년도,월,나이,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020,3,총,"589,302","42,292","23,477","21,573","32,067","53,317","18,934","22,375","21,545","35,354","24,992","25,797","33,807","14,942","15,989","38,306","44,392","27,251","45,162","23,601","24,129"
2020,3,0,"42,840","4,329","1,380","1,471","1,813","3,089","1,371","1,418","1,288","2,542","1,383","1,556","1,874",564,819,"3,766","4,068","2,710","4,610","1,257","1,532"
2020,3,10,"46,611","4,578","1,471","1,710","2,278","2,692","1,563","1,670","1,441","2,617","1,763","1,724","2,037",497,673,"5,140","5,560","1,753","4,296","1,555","1,593"
2020,3,20,"87,486","5,637","4,597","3,346","4,340","9,137","2,570","3,288","2,991","5,802","4,080","3,869","8,288","1,833","1,959","4,759","5,342","3,923","5,510","3,464","2,751"
2020,3,30,"101,665","7,421","5,617","3,667","4,693","11,011","3,118","3,401","3,582","6,609","4,148","4,542","8,015","2,594","3,222","4,654","5,903","5,218","6,865","3,573","3,812"
2020,3,40,"92,942","7,772","3,319","3,147","4,128","7,757","3,261","3,294","3,328","5,788","3,758","4,070","4,565","1,486","2,020","7,484","8,765","4,196","7,886","3,323","3,595"
2020,3,50,"88,423","6,036","3,085","3,567","5,623","7,709","2,898","3,478","3,552","4,992","4,061","3,920","4,272","2,450","2,399","5,726","6,578","3,869","6,616","3,785","3,807"
2020,3,60,"74,524","4,044","2,127","2,832","5,004","6,900","2,413","3,413","3,082","4,123","3,547","3,464","3,034","3,149","2,651","3,810","4,872","3,161","5,478","3,571","3,849"
2020,3,70,"38,030","1,707","1,097","1,305","2,488","3,715","1,317","1,757","1,632","2,082","1,617","2,016","1,168","1,509","1,506","2,078","2,445","1,674","2,728","2,098","2,091"
2020,3,80,"14,188",670,650,442,"1,395","1,137",360,544,566,659,540,560,469,731,623,753,709,628,"1,003",840,909
2020,3,90,"2,371",87,129,82,291,153,57,90,77,131,88,71,80,126,115,127,127,92,157,110,181
2020,3,100,222,11,5,4,14,17,6,22,6,9,7,5,5,3,2,9,23,27,13,25,9
2020,4,총,"588,281","42,315","23,445","21,521","32,056","53,226","18,874","22,286","21,531","35,255","25,046","25,747","33,717","14,909","15,921","38,215","44,266","27,231","45,135","23,484","24,101"
2020,4,0,"42,474","4,310","1,380","1,440","1,800","3,069","1,352","1,392","1,288","2,518","1,377","1,525","1,864",552,793,"3,722","4,030","2,699","4,613","1,239","1,511"
2020,4,10,"46,391","4,580","1,444","1,706","2,261","2,672","1,550","1,654","1,444","2,576","1,749","1,708","2,018",491,667,"5,123","5,554","1,750","4,300","1,545","1,599"
2020,4,20,"87,486","5,631","4,593","3,351","4,314","9,140","2,595","3,296","2,981","5,803","4,145","3,900","8,263","1,833","1,963","4,759","5,330","3,910","5,503","3,430","2,746"
2020,4,30,"101,236","7,400","5,610","3,651","4,712","10,988","3,085","3,361","3,567","6,615","4,137","4,508","8,011","2,586","3,186","4,612","5,858","5,201","6,805","3,543","3,800"
2020,4,40,"92,731","7,792","3,315","3,130","4,133","7,720","3,237","3,290","3,319","5,766","3,740","4,060","4,537","1,475","2,014","7,480","8,745","4,205","7,882","3,296","3,595"
2020,4,50,"88,164","6,043","3,076","3,568","5,600","7,672","2,882","3,468","3,540","4,974","4,074","3,898","4,250","2,416","2,390","5,735","6,557","3,875","6,616","3,748","3,782"
2020,4,60,"74,715","4,068","2,144","2,839","5,025","6,927","2,421","3,399","3,104","4,117","3,559","3,473","3,040","3,180","2,638","3,803","4,890","3,164","5,491","3,594","3,839"
2020,4,70,"38,207","1,718","1,102","1,304","2,497","3,725","1,319","1,774","1,639","2,095","1,625","2,032","1,175","1,507","1,528","2,085","2,447","1,675","2,740","2,106","2,114"
2020,4,80,"14,260",675,646,445,"1,404","1,145",369,541,563,651,546,566,474,737,624,757,707,634,"1,009",846,921
2020,4,90,"2,392",87,130,83,296,151,58,89,80,132,87,72,79,129,115,130,125,91,163,111,184
2020,4,100,225,11,5,4,14,17,6,22,6,8,7,5,6,3,3,9,23,27,13,26,10
2020,5,총,"587,553","42,227","23,465","21,468","32,082","53,138","18,847","22,255","21,475","35,114","25,145","25,691","33,779","14,917","15,913","38,193","44,137","27,202","45,066","23,435","24,004"
2020,5,0,"42,183","4,304","1,385","1,427","1,806","3,038","1,348","1,378","1,267","2,472","1,382","1,487","1,854",554,791,"3,706","3,992","2,685","4,576","1,240","1,491"
2020,5,10,"46,184","4,576","1,425","1,693","2,247","2,661","1,536","1,661","1,430","2,574","1,732","1,702","2,001",484,659,"5,116","5,521","1,732","4,297","1,543","1,594"
2020,5,20,"87,368","5,585","4,583","3,337","4,316","9,178","2,601","3,267","2,976","5,772","4,211","3,893","8,276","1,832","1,937","4,766","5,321","3,901","5,477","3,423","2,716"
