년도,월,나이,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020,1,총,"90,387","7,729","3,790","2,758","1,711","4,355","7,253","4,928","2,627","3,882","3,338","10,097","10,026","4,626","8,150","15,117"
2020,1,0,"8,221",391,297,64,42,344,"1,385",312,74,146,221,999,940,329,743,"1,934"
2020,1,10,"9,347",609,399,124,59,382,499,454,154,272,289,"1,135","1,443",478,993,"2,057"
2020,1,20,"11,248","1,221",397,201,110,436,861,517,187,462,353,"1,461","1,349",667,"1,104","1,922"
2020,1,30,"12,422",986,365,185,92,633,"1,931",520,156,312,358,"1,568","1,278",505,"1,112","2,421"
2020,1,40,"14,740","1,141",604,318,187,721,"1,062",797,352,533,524,"1,726","1,720",801,"1,470","2,784"
2020,1,50,"14,921","1,799",711,482,350,717,752,883,503,743,464,"1,623","1,649",810,"1,342","2,093"
2020,1,60,"10,228",915,497,645,420,593,429,708,531,677,512,906,914,576,794,"1,111"
2020,1,70,"6,268",455,334,475,319,354,230,485,443,515,374,464,520,323,412,565
2020,1,80,"2,753",187,168,246,121,162,98,237,214,207,223,196,197,122,165,210
2020,1,90,231,25,18,18,8,13,5,15,12,15,20,19,14,15,15,19
2020,1,100,8,0,0,0,3,0,1,0,1,0,0,0,2,0,0,1
2020,2,총,"90,431","7,731","3,797","2,747","1,714","4,346","7,361","4,916","2,628","3,855","3,308","10,128","10,037","4,598","8,163","15,102"
2020,2,0,"8,177",390,297,63,38,337,"1,400",312,73,147,207,995,945,325,733,"1,915"
2020,2,10,"9,315",596,398,125,63,384,519,454,159,266,281,"1,125","1,429",472,989,"2,055"
2020,2,20,"11,222","1,226",386,192,109,419,856,512,180,449,354,"1,484","1,351",659,"1,113","1,932"
2020,2,30,"12,382",985,363,180,92,626,"1,953",506,156,305,347,"1,570","1,267",514,"1,117","2,401"
2020,2,40,"14,797","1,138",609,324,190,727,"1,099",796,357,534,527,"1,732","1,733",787,"1,469","2,775"
2020,2,50,"14,915","1,798",715,481,348,724,764,881,501,733,461,"1,622","1,648",802,"1,335","2,102"
2020,2,60,"10,300",924,506,645,418,594,431,712,525,681,513,916,924,581,806,"1,124"
2020,2,70,"6,298",461,333,474,324,356,231,489,449,517,371,468,523,322,417,563
