년도,월,나이,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020,1,총,"110,022","3,344","14,484","5,464","4,706","6,851","11,224","7,534","8,215","11,938","6,744","15,002","14,516"
2020,1,0,"6,937",132,851,170,271,424,578,316,511,840,418,"1,122","1,304"
2020,1,10,"8,475",192,"1,093",315,374,520,591,427,643,"1,005",577,"1,295","1,443"
2020,1,20,"16,021",391,"2,093",559,656,983,"1,927","1,005","1,279","2,047","1,008","1,979","2,094"
2020,1,30,"14,306",355,"1,874",513,584,819,"1,742",971,"1,022","1,686",874,"2,010","1,856"
2020,1,40,"15,979",469,"2,004",832,680,923,"1,444","1,074","1,085","1,858",932,"2,296","2,382"
2020,1,50,"21,436",783,"2,826","1,199","1,031","1,406","2,300","1,632","1,636","1,959","1,177","2,726","2,761"
2020,1,60,"17,452",631,"2,436","1,088",666,"1,195","1,785","1,369","1,361","1,585","1,114","2,388","1,834"
2020,1,70,"7,552",321,"1,054",603,362,472,705,581,550,771,489,945,699
2020,1,80,"1,756",67,236,175,76,104,147,149,122,177,147,221,135
2020,1,90,100,3,17,9,5,4,4,8,5,10,8,19,8
2020,1,100,8,0,0,1,1,1,1,2,1,0,0,1,0
2020,2,총,"109,833","3,320","14,473","5,446","4,678","6,826","11,276","7,514","8,210","11,901","6,731","14,963","14,495"
2020,2,0,"6,891",127,848,168,277,412,575,310,510,839,417,"1,111","1,297"
2020,2,10,"8,365",187,"1,086",312,363,511,592,420,635,983,571,"1,270","1,435"
2020,2,20,"15,984",384,"2,093",555,653,973,"1,944",992,"1,277","2,052","1,000","1,975","2,086"
2020,2,30,"14,253",357,"1,868",508,567,820,"1,756",961,"1,024","1,673",874,"1,985","1,860"
2020,2,40,"15,956",466,"2,001",824,683,915,"1,453","1,085","1,083","1,858",932,"2,293","2,363"
2020,2,50,"21,347",771,"2,822","1,196","1,017","1,408","2,284","1,618","1,629","1,947","1,175","2,727","2,753"
2020,2,60,"17,533",642,"2,437","1,083",674,"1,199","1,803","1,375","1,370","1,590","1,112","2,401","1,847"
2020,2,70,"7,602",313,"1,059",614,361,478,711,594,551,770,492,955,704
2020,2,80,"1,792",70,242,176,77,105,153,149,125,179,150,226,140
2020,2,90,102,3,17,9,5,4,4,8,5,10,8,19,10
2020,2,100,8,0,0,1,1,1,1,2,1,0,0,1,0
2020,3,총,"109,636","3,309","14,455","5,434","4,679","6,849","11,261","7,491","8,173","11,885","6,710","14,956","14,434"
2020,3,0,"6,818",124,831,165,278,417,574,306,496,816,422,"1,109","1,280"
2020,3,10,"8,328",181,"1,092",302,363,510,587,419,635,979,568,"1,270","1,422"
2020,3,20,"15,952",390,"2,087",552,647,964,"1,942",983,"1,259","2,079",998,"1,977","2,074"
2020,3,30,"14,201",353,"1,869",512,565,831,"1,745",963,"1,025","1,664",865,"1,966","1,843"
2020,3,40,"15,856",462,"1,993",808,683,915,"1,459","1,074","1,075","1,839",927,"2,282","2,339"
2020,3,50,"21,281",765,"2,790","1,202","1,012","1,415","2,273","1,607","1,619","1,939","1,169","2,732","2,758"
2020,3,60,"17,601",647,"2,462","1,088",686,"1,198","1,805","1,370","1,372","1,602","1,111","2,404","1,856"
2020,3,70,"7,670",316,"1,067",615,355,489,715,611,559,775,494,966,708
2020,3,80,"1,818",68,247,180,84,105,156,148,127,182,149,229,143
2020,3,90,103,3,17,9,5,4,4,8,5,10,7,20,11
2020,3,100,8,0,0,1,1,1,1,2,1,0,0,1,0
2020,4,총,"109,497","3,308","14,421","5,406","4,687","6,860","11,296","7,476","8,162","11,878","6,689","14,907","14,407"
2020,4,0,"6,775",126,836,164,281,412,573,299,497,807,412,"1,096","1,272"
2020,4,10,"8,273",179,"1,080",300,360,509,587,415,628,968,567,"1,263","1,417"
2020,4,20,"15,918",388,"2,080",542,647,973,"1,943",983,"1,258","2,084",988,"1,969","2,063"
2020,4,30,"14,169",349,"1,864",504,569,833,"1,742",962,"1,021","1,672",865,"1,944","1,844"
2020,4,40,"15,786",453,"1,983",802,683,915,"1,484","1,066","1,064","1,832",915,"2,268","2,321"
2020,4,50,"21,232",777,"2,780","1,194","1,010","1,412","2,260","1,601","1,624","1,930","1,172","2,725","2,747"
2020,4,60,"17,669",646,"2,458","1,091",690,"1,200","1,826","1,371","1,372","1,610","1,110","2,419","1,876"
2020,4,70,"7,724",316,"1,076",617,355,495,718,620,565,778,501,972,711
2020,4,80,"1,842",70,250,182,86,106,158,149,127,187,152,230,145
2020,4,90,101,4,14,9,5,4,4,8,5,10,7,20,11
2020,4,100,8,0,0,1,1,1,1,2,1,0,0,1,0
2020,5,총,"109,279","3,289","14,418","5,393","4,676","6,839","11,310","7,449","8,130","11,878","6,677","14,852","14,368"
2020,5,0,"6,729",126,829,167,275,410,572,299,496,794,412,"1,078","1,271"
2020,5,10,"8,237",174,"1,076",296,359,502,589,411,625,979,561,"1,254","1,411"
2020,5,20,"15,886",389,"2,083",540,642,969,"1,943",964,"1,237","2,102",981,"1,979","2,057"
2020,5,30,"14,084",341,"1,859",491,564,830,"1,732",967,"1,023","1,656",864,"1,916","1,841"
2020,5,40,"15,756",452,"1,985",802,679,913,"1,496","1,064","1,054","1,830",911,"2,256","2,314"
2020,5,50,"21,167",763,"2,784","1,186","1,015","1,405","2,267","1,586","1,617","1,927","1,169","2,723","2,725"
2020,5,60,"17,714",652,"2,460","1,098",690,"1,203","1,824","1,376","1,375","1,614","1,108","2,430","1,884"
2020,5,70,"7,738",317,"1,075",623,357,496,725,620,567,775,509,963,711
2020,5,80,"1,857",71,253,180,89,106,156,152,130,190,155,232,143
2020,5,90,103,4,14,9,5,4,5,8,5,11,7,20,11
2020,5,100,8,0,0,1,1,1,1,2,1,0,0,1,0
2020,6,총,"109,108","3,297","14,383","5,392","4,681","6,799","11,286","7,435","8,105","11,905","6,688","14,786","14,351"
2020,6,0,"6,693",124,818,163,278,408,567,295,497,794,411,"1,070","1,268"
2020,6,10,"8,203",174,"1,081",293,360,495,575,412,622,973,566,"1,241","1,411"
2020,6,20,"15,813",387,"2,073",547,632,963,"1,942",952,"1,225","2,108",971,"1,972","2,041"
2020,6,30,"14,057",339,"1,843",488,569,815,"1,736",962,"1,022","1,670",864,"1,904","1,845"
2020,6,40,"15,760",452,"1,991",796,685,914,"1,494","1,066","1,046","1,836",922,"2,249","2,309"
2020,6,50,"21,039",766,"2,763","1,181","1,005","1,390","2,240","1,585","1,611","1,926","1,171","2,695","2,706"
2020,6,60,"17,799",658,"2,462","1,106",698,"1,202","1,847","1,382","1,379","1,615","1,113","2,436","1,901"
2020,6,70,"7,775",320,"1,081",625,357,501,724,621,568,778,511,971,718
2020,6,80,"1,861",72,257,183,91,106,156,150,129,194,152,228,143
2020,6,90,99,5,14,9,5,4,4,8,5,10,7,19,9
2020,6,100,9,0,0,1,1,1,1,2,1,1,0,1,0
2020,7,총,"108,906","3,316","14,337","5,378","4,643","6,774","11,323","7,430","8,088","11,879","6,660","14,759","14,319"
2020,7,0,"6,647",126,805,165,268,403,571,291,502,786,402,"1,065","1,263"
2020,7,10,"8,168",172,"1,081",289,357,491,578,408,620,962,568,"1,244","1,398"
2020,7,20,"15,752",388,"2,070",533,631,954,"1,946",946,"1,219","2,101",966,"1,953","2,045"
2020,7,30,"13,996",339,"1,824",491,564,809,"1,741",972,"1,010","1,675",852,"1,898","1,821"
2020,7,40,"15,726",465,"1,978",795,673,913,"1,497","1,066","1,047","1,826",925,"2,242","2,299"
2020,7,50,"20,967",764,"2,747","1,180","1,000","1,377","2,244","1,578","1,599","1,915","1,158","2,695","2,710"
2020,7,60,"17,863",665,"2,468","1,111",695,"1,212","1,848","1,387","1,388","1,627","1,117","2,440","1,905"
2020,7,70,"7,805",320,"1,088",615,357,503,734,622,568,783,511,978,726
2020,7,80,"1,871",72,262,187,91,106,159,150,129,194,153,224,144
2020,7,90,102,5,14,11,6,5,4,8,5,9,8,19,8
2020,7,100,9,0,0,1,1,1,1,2,1,1,0,1,0
2020,8,총,"108,616","3,301","14,300","5,358","4,623","6,753","11,387","7,392","8,063","11,838","6,627","14,712","14,262"
2020,8,0,"6,571",127,805,163,260,398,571,284,501,770,397,"1,043","1,252"
2020,8,10,"8,115",165,"1,082",283,357,490,585,400,613,961,563,"1,246","1,370"
2020,8,20,"15,712",392,"2,055",522,625,950,"1,973",935,"1,211","2,098",964,"1,935","2,052"
2020,8,30,"13,880",332,"1,802",483,553,806,"1,744",969,"1,014","1,663",836,"1,879","1,799"
2020,8,40,"15,674",465,"1,984",797,669,907,"1,510","1,060","1,033","1,817",921,"2,235","2,276"
2020,8,50,"20,912",750,"2,729","1,173",995,"1,376","2,246","1,573","1,590","1,913","1,160","2,696","2,711"
2020,8,60,"17,913",671,"2,472","1,120",697,"1,210","1,854","1,388","1,398","1,630","1,110","2,449","1,914"
2020,8,70,"7,841",322,"1,099",617,368,503,735,622,568,779,514,978,736
2020,8,80,"1,884",72,257,188,92,107,164,151,129,195,153,230,146
2020,8,90,105,5,15,11,6,5,4,8,5,11,9,20,6
2020,8,100,9,0,0,1,1,1,1,2,1,1,0,1,0
2020,9,총,"108,367","3,285","14,275","5,329","4,596","6,764","11,410","7,377","8,046","11,821","6,613","14,664","14,187"
2020,9,0,"6,498",122,808,160,256,389,566,280,505,759,388,"1,035","1,230"
2020,9,10,"8,077",168,"1,080",277,352,496,583,386,609,961,567,"1,235","1,363"
2020,9,20,"15,659",389,"2,039",516,622,950,"1,977",940,"1,208","2,102",961,"1,919","2,036"
2020,9,30,"13,812",334,"1,786",477,549,801,"1,762",975,"1,008","1,652",826,"1,867","1,775"
2020,9,40,"15,603",449,"1,991",780,666,911,"1,498","1,047","1,028","1,816",928,"2,223","2,266"
2020,9,50,"20,815",750,"2,707","1,168",989,"1,369","2,246","1,561","1,584","1,904","1,138","2,691","2,708"
2020,9,60,"18,018",679,"2,492","1,129",696,"1,225","1,872","1,398","1,400","1,637","1,122","2,459","1,909"
2020,9,70,"7,874",320,"1,100",620,366,507,736,627,568,782,518,981,749
2020,9,80,"1,899",72,259,188,93,110,165,154,130,196,156,231,145
2020,9,90,103,2,13,13,6,5,4,7,5,11,9,22,6
2020,9,100,9,0,0,1,1,1,1,2,1,1,0,1,0
2020,10,총,"108,044","3,271","14,238","5,313","4,581","6,746","11,390","7,362","8,026","11,797","6,588","14,635","14,097"
2020,10,0,"6,421",126,802,157,256,383,557,279,507,753,384,"1,015","1,202"
2020,10,10,"8,030",169,"1,073",271,348,501,580,383,604,955,563,"1,226","1,357"
2020,10,20,"15,598",383,"2,025",512,624,943,"1,967",928,"1,195","2,099",951,"1,933","2,038"
2020,10,30,"13,711",329,"1,780",473,547,790,"1,754",972,"1,008","1,639",820,"1,852","1,747"
2020,10,40,"15,540",447,"1,975",778,662,917,"1,499","1,048","1,027","1,804",924,"2,220","2,239"
2020,10,50,"20,739",749,"2,709","1,166",979,"1,351","2,252","1,546","1,570","1,899","1,137","2,679","2,702"
2020,10,60,"18,079",676,"2,500","1,136",699,"1,238","1,867","1,408","1,405","1,653","1,122","2,467","1,908"
2020,10,70,"7,899",318,"1,094",621,366,506,744,634,569,786,522,986,753
2020,10,80,"1,908",71,264,184,93,111,165,155,135,197,155,233,145
