년도,월,나이,군포시,군포1동,군포2동,산본1동,산본2동,금정동,재궁동,오금동,수리동,궁내동,대야동,광정동,송부동
2020,1,총,"275,989","32,949","54,112","16,443","27,932","17,563","19,724","22,724","17,330","21,394","20,135","25,683",
2020,1,0,"22,392","2,128","5,142",799,"2,484",907,"1,357","2,183","1,219","1,972","2,287","1,914",
2020,1,10,"27,965","2,813","6,333",974,"2,928","1,259","1,588","2,337","1,753","3,307","1,757","2,916",
2020,1,20,"38,280","5,078","7,364","2,482","3,950","2,701","2,823","2,840","2,174","2,602","2,664","3,602",
2020,1,30,"39,832","4,600","7,538","2,288","3,789","2,405","3,440","3,976","2,368","2,265","3,747","3,416",
2020,1,40,"45,729","5,089","9,375","2,204","4,544","2,669","2,971","4,013","2,833","4,365","3,189","4,477",
2020,1,50,"48,346","6,448","9,423","3,227","4,923","3,566","3,219","3,433","3,015","3,532","3,221","4,339",
2020,1,60,"30,536","4,148","5,367","2,524","3,185","2,525","2,369","2,114","1,962","1,781","1,988","2,573",
2020,1,70,"14,590","1,800","2,385","1,305","1,353","1,069","1,225","1,116","1,176",921,875,"1,365",
2020,1,80,"7,135",717,995,557,656,403,633,637,736,563,335,903,
2020,1,90,"1,114",118,176,75,118,52,93,75,90,83,67,167,
2020,1,100,70,10,14,8,2,7,6,0,4,3,5,11,
2020,2,총,"275,857","33,032","54,091","16,418","27,893","17,530","19,696","22,701","17,246","21,386","20,256","25,608",
2020,2,0,"22,252","2,104","5,106",802,"2,476",893,"1,334","2,164","1,200","1,977","2,293","1,903",
2020,2,10,"27,779","2,790","6,319",953,"2,909","1,252","1,581","2,320","1,731","3,291","1,753","2,880",
2020,2,20,"38,183","5,107","7,335","2,484","3,886","2,702","2,832","2,837","2,159","2,579","2,662","3,600",
2020,2,30,"39,703","4,635","7,481","2,272","3,781","2,407","3,406","3,960","2,321","2,257","3,787","3,396",
2020,2,40,"45,728","5,093","9,400","2,190","4,567","2,646","2,945","4,017","2,845","4,351","3,221","4,453",
2020,2,50,"48,374","6,458","9,436","3,226","4,902","3,562","3,228","3,431","3,014","3,549","3,226","4,342",
2020,2,60,"30,836","4,184","5,426","2,533","3,233","2,535","2,409","2,142","1,966","1,794","2,028","2,586",
2020,2,70,"14,614","1,812","2,386","1,310","1,353","1,073","1,219","1,111","1,169",932,882,"1,367",
2020,2,80,"7,201",722,"1,014",564,669,400,641,641,749,568,333,900,
2020,2,90,"1,117",117,174,76,115,53,95,78,88,85,66,170,
2020,2,100,70,10,14,8,2,7,6,0,4,3,5,11,
2020,3,총,"275,960","33,243","54,082","16,331","27,880","17,508","19,659","22,658","17,249","21,360","20,342","25,648",
