년도,월,나이,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020,7,30,"1,606",462,73,82,49,58,77,127,241,45,61,46,132,153
2020,7,40,"2,903",745,203,200,112,102,131,205,460,88,94,82,244,237
2020,7,50,"4,661",952,413,393,195,188,227,394,579,175,174,143,473,355
2020,7,60,"4,468",805,310,384,218,212,254,360,540,192,202,199,505,287
2020,7,70,"2,755",471,195,247,124,138,152,255,317,164,123,106,291,172
2020,7,80,"1,325",183,89,126,81,77,81,131,160,79,64,35,149,70
2020,7,90,143,14,8,7,14,12,9,9,13,16,9,5,17,10
2020,7,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,8,총,"22,558","4,979","1,584","1,752",956,920,"1,141","1,800","3,036",858,855,821,"2,189","1,667"
2020,8,0,"1,039",315,50,64,34,25,49,53,180,12,28,55,97,77
2020,8,10,"1,546",447,119,107,55,37,55,67,246,28,53,109,127,96
2020,8,20,"2,138",590,130,137,78,74,106,198,294,67,47,49,159,209
2020,8,30,"1,590",456,71,83,49,55,77,126,243,43,61,45,129,152
2020,8,40,"2,875",741,201,201,109,102,131,205,454,80,93,78,244,236
2020,8,50,"4,659",953,409,393,193,192,225,397,579,173,172,143,472,358
2020,8,60,"4,496",807,312,387,220,209,256,361,547,197,205,200,506,289
2020,8,70,"2,740",472,193,247,124,137,151,254,319,162,120,106,285,170
2020,8,80,"1,326",182,90,126,81,76,82,129,161,81,66,32,151,69
2020,8,90,145,16,8,7,13,12,9,10,13,14,9,4,19,11
2020,8,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,9,총,"22,512","4,974","1,582","1,746",955,920,"1,139","1,786","3,024",865,861,823,"2,178","1,659"
2020,9,0,"1,020",308,48,64,33,25,48,54,177,13,28,51,96,75
2020,9,10,"1,547",451,117,107,55,37,56,65,249,28,54,110,124,94
2020,9,20,"2,108",588,130,134,80,70,103,194,288,65,49,48,157,202
2020,9,30,"1,572",447,71,82,49,55,77,126,237,44,61,44,129,150
2020,9,40,"2,849",737,197,197,105,100,130,202,454,79,92,79,240,237
2020,9,50,"4,664",963,407,396,194,189,226,392,583,174,171,140,467,362
2020,9,60,"4,533",806,319,389,222,217,255,363,543,202,209,208,511,289
2020,9,70,"2,744",477,193,245,123,137,152,251,323,161,120,107,284,171
2020,9,80,"1,323",181,91,125,80,76,83,129,157,84,66,32,151,68
2020,9,90,148,16,8,7,14,13,9,10,13,14,10,4,19,11
2020,9,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,10,총,"22,488","4,971","1,577","1,743",953,920,"1,140","1,786","3,020",866,859,821,"2,184","1,648"
2020,10,0,997,303,48,65,32,23,47,52,173,13,28,49,91,73
2020,10,10,"1,553",453,118,105,56,40,55,68,253,28,51,107,127,92
2020,10,20,"2,112",590,127,135,78,70,104,196,291,64,52,48,158,199
2020,10,30,"1,558",444,72,81,52,55,74,123,233,43,61,43,130,147
2020,10,40,"2,817",731,195,190,103,99,131,202,444,81,91,80,237,233
2020,10,50,"4,652",957,407,397,191,188,230,385,583,174,171,140,468,361
2020,10,60,"4,572",818,317,392,224,216,254,368,550,204,206,210,521,292
2020,10,70,"2,752",477,194,242,126,141,151,252,323,160,123,109,283,171
2020,10,80,"1,323",180,90,129,78,74,85,130,157,84,65,31,151,69
2020,10,90,148,18,8,7,13,13,9,10,13,14,10,4,18,11
2020,10,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,11,총,"22,422","4,958","1,565","1,743",947,920,"1,139","1,783","3,010",863,858,815,"2,175","1,646"
2020,11,0,971,297,44,62,31,24,45,51,171,12,28,46,85,75
2020,11,10,"1,542",455,116,106,57,38,56,70,247,28,50,104,125,90
2020,11,20,"2,097",584,125,135,75,71,106,190,295,62,52,45,159,198
2020,11,30,"1,549",441,71,80,50,56,72,125,231,45,60,44,127,147
2020,11,40,"2,804",722,195,191,104,99,128,199,440,80,91,83,237,235
2020,11,50,"4,619",956,403,390,184,186,231,386,579,173,170,140,465,356
2020,11,60,"4,606",824,320,398,228,217,257,369,554,204,209,206,526,294
2020,11,70,"2,759",479,192,244,127,140,149,253,326,162,123,112,281,171
2020,11,80,"1,320",182,90,130,77,75,86,128,151,84,64,31,152,70
2020,11,90,151,18,8,7,14,13,9,12,16,12,10,4,18,10
2020,11,100,4,0,1,0,0,1,0,0,0,1,1,0,0,0
2020,12,총,"22,364","4,949","1,549","1,740",948,929,"1,139","1,778","3,000",860,853,806,"2,174","1,639"
2020,12,0,954,298,40,61,31,24,42,51,170,11,27,44,82,73
2020,12,10,"1,546",445,117,107,57,40,56,72,250,27,52,103,128,92
2020,12,20,"2,064",584,122,128,72,69,107,182,287,62,51,42,157,201
2020,12,30,"1,554",442,72,84,51,59,72,123,230,45,61,42,128,145
2020,12,40,"2,783",717,190,194,105,99,130,199,439,78,88,82,236,226
2020,12,50,"4,597",954,400,389,182,186,226,387,575,171,165,140,463,359
2020,12,60,"4,635",831,320,397,232,222,261,371,558,208,210,205,523,297
2020,12,70,"2,756",475,191,240,125,142,151,254,324,162,125,113,288,166
2020,12,80,"1,316",184,88,132,78,75,84,126,150,83,64,31,151,70
2020,12,90,155,19,8,8,15,11,10,13,17,12,10,4,18,10
2020,12,100,4,0,1,0,0,2,0,0,0,1,0,0,0,0
2021,1,총,"22,299","4,931","1,547","1,743",948,927,"1,136","1,775","2,990",863,849,794,"2,175","1,621"
2021,1,0,939,291,43,61,32,24,41,51,165,11,27,41,82,70
2021,1,10,"1,541",451,116,110,56,39,58,70,251,30,51,95,126,88
2021,1,20,"2,048",574,125,127,72,70,104,180,284,61,52,42,158,199
2021,1,30,"1,524",438,68,84,49,60,65,122,224,45,61,43,126,139
2021,1,40,"2,763",706,189,195,105,95,135,195,440,78,84,81,235,225
2021,1,50,"4,581",950,401,386,183,185,221,386,572,170,164,140,467,356
2021,1,60,"4,660",839,319,400,231,224,264,375,560,207,213,205,525,298
2021,1,70,"2,758",476,191,240,127,139,153,258,324,163,125,111,284,167
2021,1,80,"1,323",187,85,132,76,78,84,125,153,85,63,32,154,69
2021,1,90,158,19,9,8,17,11,11,13,17,12,9,4,18,10
2021,1,100,4,0,1,0,0,2,0,0,0,1,0,0,0,0
2021,2,총,"22,217","4,893","1,549","1,738",942,926,"1,131","1,768","2,985",861,846,791,"2,169","1,618"
2021,2,0,926,285,42,61,33,25,41,49,163,11,27,41,78,70
2021,2,10,"1,535",445,116,106,57,39,56,73,249,34,50,95,125,90
2021,2,20,"2,015",557,125,125,68,67,102,175,286,59,51,41,158,201
2021,2,30,"1,510",441,66,85,49,60,65,121,220,45,61,41,125,131
2021,2,40,"2,727",696,183,188,104,91,133,192,440,78,84,79,233,226
2021,2,50,"4,574",955,407,386,180,181,223,385,567,167,164,141,466,352
2021,2,60,"4,673",831,321,405,234,231,266,378,560,208,212,205,519,303
2021,2,70,"2,764",475,191,242,129,140,151,257,328,161,124,112,289,165
2021,2,80,"1,332",189,87,132,73,79,83,125,154,86,64,32,157,71
2021,2,90,156,19,10,8,15,11,11,13,18,11,9,4,18,9
2021,2,100,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021,3,총,"22,166","4,882","1,545","1,739",937,928,"1,134","1,770","2,965",858,854,781,"2,160","1,613"
2021,3,0,922,286,43,63,30,26,40,49,159,11,28,39,79,69
2021,3,10,"1,528",447,111,107,56,38,56,74,250,31,50,91,126,91
2021,3,20,"1,982",543,129,123,69,66,102,174,278,57,52,37,153,199
2021,3,30,"1,510",439,63,87,51,55,66,122,216,48,61,46,127,129
2021,3,40,"2,696",685,183,187,101,97,130,190,434,79,84,75,227,224
2021,3,50,"4,552",962,403,376,181,179,223,384,560,164,167,140,462,351
2021,3,60,"4,712",831,327,417,233,235,270,382,567,206,214,208,518,304
2021,3,70,"2,757",475,189,235,129,139,153,257,325,163,126,110,293,163
2021,3,80,"1,345",194,87,136,74,79,83,125,157,88,63,31,156,72
