년도,월,나이,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2020,1,총,"4,988,421","77,527","64,255","118,684","153,390","181,099","174,116","199,952","228,224","160,647","170,052","274,916","248,286","161,239","197,169","232,892","305,290","205,686","114,767","185,412","203,864","248,938","224,938","284,748","349,080","223,250"
2020,1,0,"321,260","4,054","3,604","6,820","10,649","10,466","10,724","11,887","15,028","8,392","9,922","17,299","15,365","9,947","12,987","16,070","21,420","14,868","6,674","12,464","12,944","12,028","17,340","18,697","25,816","15,795"
2020,1,10,"396,729","5,816","3,585","8,005","10,654","13,401","12,343","13,862","19,081","11,393","13,290","27,157","19,738","12,262","14,634","25,061","23,079","15,200","7,690","11,715","14,271","14,791","22,514","28,847","29,954","18,386"
2020,1,20,"744,368","11,821","9,523","17,126","23,153","32,485","27,373","28,087","33,987","22,049","21,943","36,039","33,776","25,143","33,007","29,637","46,268","28,294","17,740","29,824","33,988","54,951","29,278","39,478","49,760","29,638"
2020,1,30,"753,432","10,275","10,270","19,085","25,723","29,366","24,690","28,602","31,059","19,348","21,065","33,748","34,835","22,578","34,409","30,317","50,766","31,668","15,981","31,959","31,589","39,955","36,069","46,357","59,560","34,158"
2020,1,40,"788,263","11,840","9,101","18,405","23,442","27,578","25,406","28,770","36,673","23,904","25,706","46,986","39,536","24,339","32,052","42,065","46,468","31,321","16,357","27,030","30,162","33,099","41,567","53,618","57,306","35,532"
2020,1,50,"785,090","12,774","10,283","18,492","24,201","28,480","27,160","35,757","35,514","27,502","30,629","45,843","40,056","25,591","27,597","38,875","46,647","32,488","20,534","27,636","30,876","35,005","32,099","40,407","54,040","36,604"
2020,1,60,"629,763","9,696","8,530","14,505","18,173","21,284","23,239","28,394","28,093","23,676","24,730","34,765","32,979","19,600","20,579","28,308","39,507","28,270","16,108","22,988","25,699","30,867","25,199","31,512","42,448","30,614"
2020,1,70,"373,868","6,993","5,756","9,757","11,359","11,867","15,363","16,572","18,838","16,717","14,691","20,857","21,335","13,883","14,041","14,519","20,075","16,028","9,361","14,173","16,076","19,618","14,052","17,322","19,822","14,793"
2020,1,80,"161,432","3,422","2,888","5,179","5,066","5,128","6,538","6,707","8,259","6,472","6,797","10,329","8,890","6,571","6,507","6,711","9,128","6,367","3,622","6,350","6,815","7,179","5,351","6,615","8,346","6,195"
2020,1,90,"29,515",662,586,"1,052",800,884,"1,079","1,168","1,423","1,016","1,156","1,714","1,447","1,122","1,116","1,201","1,776","1,056",587,"1,069","1,236","1,199","1,307","1,674","1,823","1,362"
2020,1,100,"4,701",174,129,258,170,160,201,146,269,178,123,179,329,203,240,128,156,126,113,204,208,246,162,221,205,173
2020,2,총,"4,991,829","77,580","64,295","118,904","153,109","181,032","174,237","199,831","228,405","160,432","169,756","274,575","248,238","161,895","197,426","232,630","304,800","205,391","114,682","186,640","203,768","248,765","225,143","284,970","348,902","226,423"
2020,2,0,"320,270","4,038","3,567","6,799","10,526","10,401","10,651","11,773","14,972","8,297","9,832","17,274","15,218","10,002","12,909","16,113","21,171","14,727","6,604","12,546","12,770","11,874","17,379","18,795","25,734","16,298"
2020,2,10,"395,840","5,765","3,604","7,979","10,629","13,357","12,416","13,757","19,123","11,307","13,174","27,018","19,654","12,320","14,657","24,950","22,963","15,082","7,630","11,737","14,285","14,766","22,445","28,788","29,792","18,642"
2020,2,20,"744,531","11,859","9,529","17,180","23,045","32,523","27,408","28,055","34,073","22,022","21,920","35,795","33,889","25,311","33,071","29,430","46,264","28,227","17,777","30,081","34,046","54,996","29,143","39,338","49,625","29,924"
2020,2,30,"752,619","10,244","10,220","19,169","25,612","29,252","24,689","28,517","30,983","19,210","20,931","33,639","34,723","22,654","34,352","30,303","50,473","31,508","15,947","32,198","31,452","39,879","36,014","46,310","59,554","34,786"
2020,2,40,"788,954","11,825","9,112","18,384","23,414","27,548","25,391","28,728","36,618","23,858","25,613","46,873","39,485","24,431","32,162","42,074","46,452","31,265","16,312","27,242","30,170","33,021","41,730","53,822","57,289","36,135"
2020,2,50,"784,569","12,784","10,309","18,553","24,162","28,436","27,102","35,713","35,518","27,479","30,578","45,821","39,962","25,614","27,616","38,699","46,507","32,440","20,470","27,769","30,844","34,932","32,165","40,309","53,918","36,869"
2020,2,60,"633,016","9,778","8,562","14,551","18,286","21,412","23,337","28,566","28,227","23,775","24,862","34,942","33,176","19,718","20,668","28,435","39,726","28,424","16,170","23,122","25,799","30,922","25,268","31,627","42,687","30,976"
2020,2,70,"374,777","6,996","5,749","9,757","11,353","11,896","15,369","16,593","18,856","16,723","14,695","20,898","21,365","13,894","14,065","14,548","20,129","16,090","9,388","14,236","16,088","19,682","14,128","17,414","19,887","14,978"
2020,2,80,"162,700","3,449","2,921","5,208","5,105","5,157","6,583","6,786","8,329","6,553","6,865","10,390","8,970","6,616","6,554","6,744","9,163","6,435","3,678","6,423","6,861","7,238","5,402","6,656","8,355","6,259"
2020,2,90,"29,818",668,592,"1,064",807,891,"1,088","1,193","1,434","1,031","1,160","1,744","1,464","1,130","1,129","1,207","1,798","1,066",592,"1,082","1,242","1,209","1,304","1,689","1,853","1,381"
2020,2,100,"4,735",174,130,260,170,159,203,150,272,177,126,181,332,205,243,127,154,127,114,204,211,246,165,222,208,175
2020,3,총,"4,991,438","77,513","64,336","118,912","152,742","180,849","174,260","199,543","228,568","160,238","169,359","274,311","247,872","162,591","197,627","232,098","304,217","205,279","114,539","187,587","203,742","248,631","224,781","284,150","348,236","229,457"
2020,3,0,"318,665","3,989","3,541","6,785","10,454","10,318","10,624","11,643","14,914","8,217","9,749","17,170","15,080","10,039","12,914","15,986","20,931","14,618","6,544","12,623","12,707","11,772","17,229","18,593","25,497","16,728"
2020,3,10,"394,621","5,743","3,613","7,962","10,551","13,317","12,407","13,677","19,144","11,248","13,081","26,870","19,527","12,346","14,592","24,798","22,890","15,055","7,594","11,762","14,241","14,730","22,384","28,681","29,664","18,744"
2020,3,20,"747,986","11,877","9,576","17,269","23,041","32,717","27,555","28,104","34,344","22,071","21,914","35,864","34,073","25,533","33,271","29,448","46,458","28,261","17,810","30,455","34,276","55,338","29,195","39,311","49,831","30,394"
2020,3,30,"750,525","10,234","10,187","19,133","25,505","29,073","24,693","28,375","30,840","19,081","20,807","33,587","34,470","22,826","34,377","30,020","50,114","31,459","15,876","32,367","31,331","39,665","35,847","46,122","59,136","35,400"
2020,3,40,"785,988","11,756","9,078","18,336","23,262","27,380","25,262","28,534","36,493","23,744","25,445","46,631","39,287","24,467","32,010","41,903","46,239","31,150","16,210","27,211","30,086","32,834","41,550","53,553","57,054","36,513"
2020,3,50,"783,035","12,801","10,313","18,511","24,109","28,297","26,991","35,616","35,505","27,400","30,440","45,716","39,878","25,607","27,649","38,596","46,308","32,314","20,433","27,796","30,732","34,763","32,130","40,172","53,752","37,206"
2020,3,60,"635,954","9,806","8,601","14,600","18,328","21,521","23,391","28,745","28,333","23,895","24,998","35,113","33,363","19,811","20,760","28,593","39,898","28,533","16,227","23,297","25,856","31,014","25,358","31,660","42,859","31,394"
2020,3,70,"375,916","6,981","5,765","9,743","11,358","11,963","15,404","16,648","18,875","16,738","14,722","20,967","21,380","13,946","14,074","14,597","20,191","16,178","9,412","14,314","16,143","19,730","14,177","17,474","19,976","15,160"
2020,3,80,"163,851","3,480","2,940","5,238","5,141","5,203","6,626","6,860","8,395","6,623","6,902","10,432","9,021","6,660","6,597","6,803","9,216","6,498","3,712","6,475","6,905","7,302","5,436","6,672","8,382","6,332"
2020,3,90,"30,137",671,591,"1,076",822,900,"1,103","1,191","1,449","1,043","1,177","1,778","1,460","1,149","1,139","1,226","1,818","1,085",608,"1,083","1,253","1,238","1,309","1,688","1,873","1,407"
2020,3,100,"4,760",175,131,259,171,160,204,150,276,178,124,183,333,207,244,128,154,128,113,204,212,245,166,224,212,179
2020,4,총,"4,988,944","77,373","64,356","118,765","152,416","180,803","174,172","199,288","228,431","160,097","169,126","273,958","247,916","162,740","197,570","232,569","303,738","205,032","114,461","187,779","203,781","248,536","224,277","283,304","347,735","230,721"
