년도,월,나이,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2021,4,10,"12,859",226,"1,195",20,76,14,75,61,12,827,72,84,58,53,290,357,422,676,954,163,324,114,"2,121","2,841",764,"1,060"
2021,4,20,"17,354",329,875,49,101,16,101,73,14,"1,057",106,393,174,104,486,583,881,"1,076","1,293",240,"1,088",492,"2,403","3,033","1,164","1,223"
2021,4,30,"16,654",299,"1,254",36,86,22,106,49,12,"1,122",100,177,133,91,677,588,595,"1,055","1,400",220,531,266,"1,782","3,216","1,285","1,552"
2021,4,40,"21,287",406,"1,837",38,107,35,140,109,25,"1,404",145,178,154,115,562,654,719,"1,127","1,610",329,592,210,"3,086","4,486","1,449","1,770"
2021,4,50,"23,220",660,"1,499",103,214,82,307,243,82,"1,377",287,232,225,179,530,841,968,"1,250","1,814",382,799,315,"3,107","4,348","1,678","1,698"
2021,4,60,"20,312",735,"1,259",177,306,127,433,322,115,"1,178",450,272,264,206,571,704,"1,008",943,"1,597",361,899,350,"2,101","3,022","1,473","1,439"
2021,4,70,"11,684",500,546,107,138,101,282,204,98,588,246,184,199,184,433,457,614,561,869,232,670,227,"1,227","1,493",690,834
2021,4,80,"7,701",411,345,105,145,74,273,148,53,385,170,138,144,112,264,267,388,377,591,133,418,139,746,948,409,518
2021,4,90,"1,432",67,94,10,24,16,58,35,9,76,30,14,34,31,35,49,75,59,99,23,69,24,129,176,94,102
2021,4,100,44,1,3,1,0,1,5,0,0,3,2,1,0,0,2,3,1,4,1,1,0,1,4,3,5,2
2021,5,총,"143,021","3,784","9,947",666,"1,245",490,"1,836","1,278",428,"8,675","1,632","1,722","1,419","1,113","4,275","4,872","5,889","7,780","11,095","2,267","5,626","2,190","17,937","25,745","9,749","11,361"
2021,5,0,"10,307",162,"1,025",17,46,7,58,32,6,662,34,39,41,39,425,382,239,638,875,172,201,68,"1,209","2,140",738,"1,052"
2021,5,10,"12,823",224,"1,200",21,73,14,72,62,12,826,69,80,57,53,291,362,411,681,950,164,328,111,"2,107","2,833",761,"1,061"
2021,5,20,"17,380",327,884,51,101,16,99,71,14,"1,057",106,401,173,106,497,577,868,"1,076","1,292",242,"1,099",486,"2,417","3,043","1,150","1,227"
2021,5,30,"16,638",298,"1,250",36,86,21,106,51,13,"1,115",98,181,135,89,664,583,593,"1,053","1,382",226,535,263,"1,787","3,208","1,296","1,569"
2021,5,40,"21,274",403,"1,833",38,105,35,141,109,24,"1,397",144,175,151,118,564,660,721,"1,134","1,616",325,601,206,"3,074","4,474","1,439","1,787"
2021,5,50,"23,218",657,"1,498",102,215,78,302,238,83,"1,370",283,232,223,174,523,838,970,"1,254","1,817",384,797,312,"3,118","4,356","1,687","1,707"
2021,5,60,"20,496",735,"1,267",178,310,128,439,325,115,"1,189",449,278,261,205,576,703,"1,016",947,"1,605",366,900,351,"2,123","3,063","1,485","1,482"
2021,5,70,"11,643",497,549,107,138,97,282,205,98,589,243,183,198,183,431,455,609,557,861,229,674,225,"1,225","1,481",688,839
2021,5,80,"7,766",415,344,106,147,77,274,150,54,392,174,138,145,116,267,260,387,375,595,135,420,139,749,969,407,531
2021,5,90,"1,430",65,94,9,24,16,58,35,9,74,31,14,35,29,35,50,74,60,101,23,71,28,124,175,92,104
2021,5,100,46,1,3,1,0,1,5,0,0,4,1,1,0,1,2,2,1,5,1,1,0,1,4,3,6,2
2021,6,총,"143,006","3,787","9,944",664,"1,241",488,"1,831","1,267",428,"8,687","1,627","1,724","1,417","1,110","4,267","4,861","5,870","7,768","11,078","2,263","5,611","2,181","17,927","25,770","9,753","11,442"
2021,6,0,"10,253",163,"1,017",16,46,6,58,31,6,659,34,38,39,39,428,378,236,637,868,171,200,67,"1,189","2,125",742,"1,060"
2021,6,10,"12,780",215,"1,194",20,72,14,71,61,12,824,69,80,54,52,287,359,411,684,952,163,324,109,"2,103","2,829",757,"1,064"
2021,6,20,"17,405",325,897,51,99,15,99,70,14,"1,054",106,406,173,106,493,577,865,"1,074","1,291",247,"1,093",483,"2,428","3,058","1,146","1,235"
2021,6,30,"16,588",301,"1,238",37,83,22,106,50,13,"1,109",99,176,136,92,668,573,595,"1,051","1,369",224,538,265,"1,791","3,184","1,289","1,579"
2021,6,40,"21,239",404,"1,828",37,107,34,140,106,23,"1,402",144,174,150,118,563,662,716,"1,131","1,608",327,599,198,"3,053","4,485","1,433","1,797"
2021,6,50,"23,126",655,"1,483",101,216,77,298,230,85,"1,378",280,237,223,172,522,830,960,"1,240","1,810",378,786,313,"3,106","4,349","1,686","1,711"
2021,6,60,"20,714",748,"1,294",180,310,129,442,330,114,"1,197",449,276,263,205,574,709,"1,019",954,"1,616",369,910,350,"2,156","3,111","1,502","1,507"
2021,6,70,"11,605",497,547,107,139,97,282,201,98,589,238,183,198,179,425,460,602,552,866,223,671,226,"1,219","1,471",689,846
2021,6,80,"7,819",415,348,105,146,77,270,151,54,398,175,137,146,117,272,262,390,378,593,137,419,141,757,982,412,537
2021,6,90,"1,430",63,95,9,23,16,60,37,9,73,31,16,35,29,33,49,75,62,104,23,71,28,121,173,91,104
2021,6,100,47,1,3,1,0,1,5,0,0,4,2,1,0,1,2,2,1,5,1,1,0,1,4,3,6,2
2021,7,총,"143,046","3,779","9,987",660,"1,247",491,"1,829","1,265",422,"8,698","1,626","1,726","1,427","1,106","4,256","4,866","5,875","7,771","11,070","2,248","5,617","2,178","17,860","25,782","9,781","11,479"
2021,7,0,"10,202",162,"1,007",17,42,6,56,30,6,658,31,38,40,39,431,376,239,630,855,169,201,68,"1,173","2,120",743,"1,065"
2021,7,10,"12,775",213,"1,200",19,75,14,72,61,10,828,70,76,52,48,284,363,409,684,955,163,319,108,"2,108","2,830",750,"1,064"
2021,7,20,"17,368",323,905,50,97,16,98,67,13,"1,053",107,408,174,107,488,574,869,"1,079","1,289",247,"1,087",473,"2,401","3,065","1,145","1,233"
2021,7,30,"16,591",302,"1,233",35,85,21,103,51,13,"1,118",97,180,142,92,673,566,605,"1,055","1,360",224,543,264,"1,774","3,171","1,296","1,588"
2021,7,40,"21,223",395,"1,833",39,107,35,144,105,23,"1,394",144,170,149,118,559,672,710,"1,135","1,607",316,596,197,"3,041","4,486","1,439","1,809"
2021,7,50,"23,069",653,"1,495",99,213,78,295,230,83,"1,380",276,235,226,170,512,825,953,"1,232","1,811",375,791,316,"3,096","4,348","1,675","1,702"
2021,7,60,"20,908",756,"1,314",182,319,134,447,334,113,"1,203",449,280,265,205,584,719,"1,025",960,"1,622",370,921,357,"2,168","3,131","1,526","1,524"
2021,7,70,"11,578",494,549,105,138,96,281,200,98,589,237,180,199,181,419,455,598,548,870,222,664,224,"1,214","1,476",694,847
2021,7,80,"7,843",416,353,105,146,74,268,152,53,394,182,141,145,114,271,265,388,379,597,139,424,142,758,980,417,540
2021,7,90,"1,438",63,95,8,25,16,60,35,10,77,31,17,35,31,33,49,77,64,102,22,71,28,122,173,89,105
2021,7,100,51,2,3,1,0,1,5,0,0,4,2,1,0,1,2,2,2,5,2,1,0,1,5,2,7,2
2021,8,총,"143,086","3,790","9,984",660,"1,244",492,"1,829","1,273",423,"8,701","1,625","1,719","1,414","1,109","4,268","4,859","5,871","7,765","11,070","2,246","5,649","2,173","17,856","25,742","9,821","11,503"
2021,8,0,"10,143",161,"1,008",17,42,6,56,32,6,646,30,38,38,40,430,374,240,625,848,163,198,68,"1,162","2,112",753,"1,050"
2021,8,10,"12,782",218,"1,195",19,74,12,74,65,10,828,71,71,53,50,288,361,403,691,955,165,326,108,"2,101","2,816",753,"1,075"
2021,8,20,"17,360",321,897,49,95,17,99,65,13,"1,054",106,410,176,106,491,566,868,"1,073","1,289",247,"1,104",471,"2,404","3,062","1,139","1,238"
2021,8,30,"16,559",307,"1,228",35,85,19,103,49,13,"1,107",98,182,138,92,674,570,602,"1,046","1,361",222,547,262,"1,775","3,154","1,300","1,590"
2021,8,40,"21,208",395,"1,835",37,105,37,142,110,23,"1,408",138,169,154,118,563,673,712,"1,129","1,610",318,593,196,"3,022","4,477","1,446","1,798"
2021,8,50,"23,073",658,"1,490",98,209,76,289,226,82,"1,383",280,232,220,174,515,821,954,"1,238","1,810",373,795,316,"3,100","4,340","1,685","1,709"
2021,8,60,"21,051",757,"1,328",185,325,138,449,337,115,"1,215",447,276,264,203,581,729,"1,026",972,"1,632",373,928,357,"2,192","3,143","1,535","1,544"
2021,8,70,"11,551",491,553,106,138,96,284,198,97,587,239,184,196,181,419,450,592,546,865,221,660,224,"1,210","1,473",698,843
2021,8,80,"7,858",417,354,105,145,73,265,156,53,391,181,140,142,114,271,264,396,379,598,137,424,142,761,990,415,545
2021,8,90,"1,449",63,92,8,26,17,63,35,11,78,33,16,33,29,34,49,76,62,100,26,74,28,124,173,90,109
2021,8,100,52,2,4,1,0,1,5,0,0,4,2,1,0,2,2,2,2,4,2,1,0,1,5,2,7,2
2021,9,총,"143,392","3,791","9,928",658,"1,240",492,"1,828","1,268",428,"8,644","1,629","1,709","1,410","1,410","4,229","4,803","5,848","7,694","11,008","2,226","5,672","2,159","17,749","25,511","10,617","11,441"
2021,9,0,"10,157",166,991,17,41,6,58,33,7,630,30,36,38,78,419,363,236,621,832,164,195,67,"1,156","2,084",846,"1,043"
2021,9,10,"12,768",217,"1,191",19,76,12,72,63,10,836,67,72,52,69,284,353,398,679,954,164,318,106,"2,086","2,779",826,"1,065"
2021,9,20,"17,397",315,887,47,91,17,102,63,13,"1,034",104,409,172,154,491,565,876,"1,063","1,274",238,"1,143",475,"2,398","3,005","1,240","1,221"
2021,9,30,"16,621",305,"1,223",35,86,18,103,50,14,"1,098",99,185,137,143,668,565,593,"1,033","1,341",218,547,254,"1,750","3,108","1,473","1,575"
2021,9,40,"21,180",396,"1,816",38,103,38,139,108,25,"1,403",140,164,155,159,554,652,715,"1,115","1,592",313,590,191,"2,984","4,446","1,571","1,773"
2021,9,50,"23,154",659,"1,484",98,211,74,285,223,81,"1,371",282,230,215,219,512,818,941,"1,230","1,813",373,790,314,"3,100","4,318","1,808","1,705"
2021,9,60,"21,174",762,"1,338",183,321,137,454,340,116,"1,209",448,276,267,243,579,715,"1,027",965,"1,636",372,933,358,"2,183","3,136","1,618","1,558"
2021,9,70,"11,513",484,542,107,140,98,285,194,97,588,240,182,197,193,414,455,587,547,858,221,652,222,"1,203","1,454",709,844
2021,9,80,"7,915",421,360,105,141,72,264,159,54,395,182,139,144,121,273,264,399,374,603,137,430,144,762,"1,002",425,545
2021,9,90,"1,459",64,92,8,30,19,61,35,11,76,35,15,33,29,33,51,74,62,103,25,73,27,122,177,94,110
2021,9,100,54,2,4,1,0,1,5,0,0,4,2,1,0,2,2,2,2,5,2,1,1,1,5,2,7,2
2021,10,총,"143,599","3,780","9,933",661,"1,235",494,"1,832","1,266",430,"8,593","1,624","1,700","1,394","1,651","4,210","4,774","5,813","7,679","10,927","2,214","5,644","2,143","17,653","25,300","11,247","11,402"
2021,10,0,"10,157",164,995,15,41,6,56,33,7,620,30,34,37,108,421,356,232,618,826,164,192,57,"1,140","2,067",910,"1,028"
2021,10,10,"12,730",214,"1,192",20,75,12,70,61,9,830,67,72,48,87,276,354,390,671,943,161,311,108,"2,064","2,753",883,"1,059"
2021,10,20,"17,393",314,893,45,85,19,102,62,14,"1,016",101,400,174,183,496,556,866,"1,063","1,258",236,"1,145",473,"2,382","2,973","1,319","1,218"
2021,10,30,"16,668",304,"1,224",35,92,17,105,50,14,"1,082",97,184,134,187,667,555,590,"1,044","1,335",216,544,252,"1,732","3,078","1,573","1,557"
2021,10,40,"21,168",392,"1,806",36,100,38,139,109,24,"1,404",140,166,156,200,546,649,709,"1,104","1,579",308,589,187,"2,974","4,362","1,684","1,767"
2021,10,50,"23,170",654,"1,481",97,211,73,283,222,79,"1,363",281,228,206,252,515,823,929,"1,218","1,785",373,788,314,"3,075","4,312","1,912","1,696"
2021,10,60,"21,338",760,"1,347",187,318,139,460,343,121,"1,222",446,277,267,271,569,711,"1,032",970,"1,636",370,923,358,"2,202","3,129","1,706","1,574"
2021,10,70,"11,495",489,543,107,143,98,284,190,98,583,241,182,197,204,410,451,584,543,857,222,648,218,"1,198","1,444",724,837
2021,10,80,"7,962",419,358,107,139,71,264,161,53,393,184,142,142,126,275,267,403,382,603,137,431,148,760,"1,010",433,554
2021,10,90,"1,464",68,90,11,31,20,64,35,11,76,35,14,33,31,33,50,76,61,103,26,72,27,121,170,96,110
2021,10,100,54,2,4,1,0,1,5,0,0,4,2,1,0,2,2,2,2,5,2,1,1,1,5,2,7,2
2021,11,총,"143,780","3,762","9,939",662,"1,238",495,"1,831","1,262",433,"8,593","1,616","1,715","1,384","1,712","4,222","4,746","5,801","7,663","10,921","2,209","5,641","2,140","17,622","25,296","11,458","11,419"
2021,11,0,"10,163",167,"1,001",15,43,6,54,33,7,617,30,37,36,115,414,351,227,614,830,162,185,57,"1,131","2,069",923,"1,039"
2021,11,10,"12,693",207,"1,189",22,75,12,68,60,9,829,65,71,48,94,280,347,384,675,940,158,304,109,"2,057","2,742",894,"1,054"
2021,11,20,"17,392",308,882,44,80,19,105,62,14,"1,016",99,407,174,189,506,554,863,"1,055","1,247",238,"1,164",472,"2,373","2,972","1,340","1,209"
2021,11,30,"16,722",310,"1,222",33,92,17,106,49,13,"1,080",96,186,132,207,668,550,590,"1,041","1,326",216,541,253,"1,729","3,089","1,613","1,563"
2021,11,40,"21,154",380,"1,810",36,105,38,135,107,23,"1,400",141,169,153,212,546,641,709,"1,100","1,582",303,587,187,"2,962","4,337","1,722","1,769"
2021,11,50,"23,203",654,"1,491",98,209,73,283,220,81,"1,360",276,233,209,253,519,818,926,"1,217","1,788",372,789,312,"3,081","4,308","1,943","1,690"
2021,11,60,"21,465",759,"1,348",189,321,140,462,348,122,"1,232",449,278,263,273,567,717,"1,037",972,"1,641",372,921,360,"2,205","3,157","1,747","1,585"
2021,11,70,"11,469",488,540,106,142,97,283,187,97,589,239,178,190,208,414,447,582,540,858,222,646,217,"1,189","1,437",733,840
2021,11,80,"7,993",415,362,107,139,72,265,162,56,390,184,141,146,129,273,269,408,380,606,139,430,145,768,"1,011",438,558
2021,11,90,"1,476",72,90,11,32,20,66,34,11,77,35,14,33,30,34,50,73,64,101,26,73,27,122,172,99,110
2021,11,100,50,2,4,1,0,1,4,0,0,3,2,1,0,2,1,2,2,5,2,1,1,1,5,2,6,2
2021,12,총,"144,010","3,775","9,932",666,"1,251",493,"1,840","1,258",438,"8,616","1,616","1,718","1,392","1,757","4,213","4,737","5,788","7,651","10,908","2,207","5,659","2,139","17,607","25,272","11,560","11,517"
2021,12,0,"10,152",161,991,17,44,6,56,33,7,626,28,37,36,120,410,350,218,612,826,164,186,61,"1,129","2,053",933,"1,048"
2021,12,10,"12,688",211,"1,177",21,75,13,69,60,9,831,64,71,49,96,278,348,388,661,952,156,294,107,"2,046","2,746",898,"1,068"
2021,12,20,"17,398",308,889,42,83,19,108,60,13,"1,009",101,412,173,205,512,544,865,"1,063","1,242",237,"1,195",468,"2,346","2,960","1,336","1,208"
2021,12,30,"16,754",319,"1,210",36,93,16,104,46,13,"1,078",96,190,131,215,662,553,586,"1,044","1,320",211,538,254,"1,731","3,085","1,637","1,586"
2021,12,40,"21,216",379,"1,812",37,110,39,135,104,23,"1,406",138,168,158,217,541,635,706,"1,089","1,585",307,592,190,"2,957","4,350","1,740","1,798"
2021,12,50,"23,249",662,"1,499",96,209,69,287,217,80,"1,362",278,232,213,258,522,818,923,"1,216","1,780",374,793,310,"3,084","4,299","1,961","1,707"
2021,12,60,"21,537",758,"1,351",191,323,145,466,354,124,"1,244",453,280,263,277,570,719,"1,037",979,"1,636",370,916,362,"2,211","3,157","1,769","1,582"
2021,12,70,"11,439",485,542,105,145,93,280,186,102,582,238,174,188,208,407,446,583,534,857,221,639,211,"1,200","1,430",736,847
2021,12,80,"8,051",417,367,110,138,73,265,163,56,399,183,138,147,130,276,270,411,383,609,139,432,148,775,"1,017",444,561
2021,12,90,"1,483",73,91,10,31,19,66,35,11,76,35,15,34,30,35,52,70,65,99,27,74,27,124,173,100,111
2021,12,100,43,2,3,1,0,1,4,0,0,3,2,1,0,1,0,2,1,5,2,1,0,1,4,2,6,1
