년도,월,나이,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020,3,90,"1,392",61,82,12,20,14,63,33,8,66,33,19,30,37,44,55,72,64,90,23,67,20,135,173,79,92
2020,3,100,63,2,1,1,0,1,3,1,0,3,1,0,1,1,4,7,4,5,0,0,2,1,3,8,6,8
2020,4,총,"142,625","3,894","9,910",682,"1,252",502,"1,898","1,314",424,"8,661","1,676","1,791","1,541","1,209","4,432","5,164","6,093","7,916","11,263","2,314","5,633","2,319","18,316","25,646","8,572","10,203"
2020,4,0,"10,739",186,"1,103",16,52,7,60,38,9,729,34,42,47,45,467,419,271,654,891,173,218,79,"1,391","2,202",610,996
2020,4,10,"13,210",236,"1,166",23,81,17,89,67,14,856,76,88,72,58,303,360,430,720,"1,055",181,349,134,"2,208","2,933",683,"1,011"
2020,4,20,"17,270",380,854,59,96,12,116,68,17,"1,049",122,401,211,113,507,593,915,"1,048","1,346",238,"1,057",537,"2,453","2,963","1,035","1,080"
2020,4,30,"17,102",312,"1,368",40,94,28,112,56,12,"1,193",118,191,156,108,713,671,630,"1,107","1,449",253,520,273,"1,937","3,361","1,060","1,340"
2020,4,40,"21,485",433,"1,786",45,117,36,146,116,29,"1,371",150,176,156,133,565,691,767,"1,202","1,656",344,668,223,"3,230","4,580","1,237","1,628"
2020,4,50,"23,490",699,"1,516",120,229,83,342,266,79,"1,383",307,254,259,211,584,893,"1,044","1,316","1,855",401,807,360,"3,113","4,286","1,560","1,523"
2020,4,60,"18,797",671,"1,166",157,284,129,410,302,110,"1,063",416,288,274,204,548,708,984,878,"1,482",326,870,334,"1,916","2,741","1,293","1,243"
2020,4,70,"11,909",518,549,117,142,99,291,229,95,583,253,203,193,186,461,492,636,578,896,262,682,231,"1,240","1,516",647,810
2020,4,80,"7,153",395,320,93,137,75,265,137,51,363,165,129,140,113,238,276,339,346,542,113,391,127,691,880,358,469
2020,4,90,"1,407",62,81,11,20,15,64,34,8,68,34,19,32,37,42,54,73,62,91,23,69,20,134,176,83,95
2020,4,100,63,2,1,1,0,1,3,1,0,3,1,0,1,1,4,7,4,5,0,0,2,1,3,8,6,8
2020,5,총,"142,562","3,895","9,905",679,"1,247",503,"1,885","1,314",423,"8,675","1,665","1,776","1,534","1,204","4,434","5,155","6,086","7,915","11,262","2,309","5,649","2,316","18,295","25,716","8,561","10,159"
2020,5,0,"10,694",187,"1,092",15,51,7,57,37,6,729,33,38,48,46,467,420,273,653,898,170,224,76,"1,380","2,196",605,986
2020,5,10,"13,154",235,"1,161",24,79,18,87,68,16,851,72,89,72,56,305,354,432,722,"1,050",181,343,129,"2,199","2,941",668,"1,002"
2020,5,20,"17,251",373,857,55,95,13,113,65,15,"1,050",119,397,204,116,497,597,915,"1,053","1,346",238,"1,074",537,"2,449","2,975","1,030","1,068"
2020,5,30,"17,020",317,"1,358",40,95,28,109,57,13,"1,183",114,186,154,103,714,665,627,"1,102","1,442",253,518,276,"1,922","3,352","1,054","1,338"
2020,5,40,"21,489",430,"1,787",44,114,35,143,115,29,"1,381",151,173,160,131,574,692,770,"1,196","1,658",338,665,221,"3,233","4,593","1,233","1,623"
2020,5,50,"23,482",700,"1,520",119,227,85,340,265,78,"1,394",306,251,257,211,577,890,"1,028","1,311","1,853",404,809,359,"3,122","4,302","1,561","1,513"
2020,5,60,"18,906",673,"1,175",158,286,127,408,305,112,"1,066",420,290,271,206,552,713,990,887,"1,484",328,867,338,"1,920","2,774","1,305","1,251"
2020,5,70,"11,893",515,551,117,142,99,294,226,96,587,249,202,195,183,462,488,632,574,895,258,688,232,"1,233","1,518",651,806
2020,5,80,"7,199",400,322,95,138,76,268,141,51,363,167,131,141,114,240,276,341,347,544,116,391,127,696,880,366,468
2020,5,90,"1,413",63,81,11,20,14,63,34,7,68,33,19,31,37,42,53,74,65,92,23,68,20,138,177,84,96
2020,5,100,61,2,1,1,0,1,3,1,0,3,1,0,1,1,4,7,4,5,0,0,2,1,3,8,4,8
2020,6,총,"142,565","3,893","9,911",675,"1,250",507,"1,874","1,319",422,"8,681","1,674","1,773","1,528","1,193","4,427","5,134","6,097","7,907","11,249","2,300","5,657","2,292","18,286","25,762","8,583","10,171"
2020,6,0,"10,687",191,"1,079",16,50,7,59,38,5,715,35,38,48,44,465,419,276,661,900,171,220,72,"1,371","2,207",612,988
2020,6,10,"13,084",229,"1,165",23,79,18,83,67,15,852,72,85,70,56,305,351,432,719,"1,047",181,342,127,"2,194","2,922",654,996
2020,6,20,"17,272",374,853,56,95,13,115,68,16,"1,056",122,394,204,114,493,587,920,"1,062","1,337",237,"1,091",538,"2,435","2,973","1,038","1,081"
2020,6,30,"16,988",322,"1,354",40,96,30,108,57,13,"1,173",111,190,154,102,705,666,617,"1,087","1,447",248,524,270,"1,921","3,369","1,057","1,327"
2020,6,40,"21,460",426,"1,791",43,115,34,143,117,28,"1,392",152,176,162,130,577,687,768,"1,197","1,650",334,655,218,"3,222","4,596","1,223","1,624"
2020,6,50,"23,441",697,"1,529",115,229,86,335,265,78,"1,387",308,247,256,211,571,880,"1,026","1,305","1,851",397,799,352,"3,123","4,312","1,566","1,516"
2020,6,60,"19,047",673,"1,179",159,287,128,409,307,112,"1,081",424,289,270,205,559,719,999,887,"1,491",334,871,334,"1,953","2,796","1,319","1,262"
2020,6,70,"11,871",520,550,117,138,99,291,224,98,587,251,201,194,181,462,489,636,575,887,257,690,231,"1,220","1,514",659,800
2020,6,80,"7,229",396,324,94,141,77,267,141,49,368,165,134,139,111,241,275,345,346,545,117,392,127,705,888,371,471
2020,6,90,"1,426",63,86,11,20,14,61,34,8,67,33,18,30,38,45,54,74,63,94,24,71,22,140,177,80,99
2020,6,100,60,2,1,1,0,1,3,1,0,3,1,1,1,1,4,7,4,5,0,0,2,1,2,8,4,7
2020,7,총,"142,615","3,889","9,942",676,"1,251",506,"1,870","1,319",425,"8,707","1,676","1,761","1,521","1,190","4,428","5,119","6,093","7,891","11,225","2,306","5,655","2,285","18,286","25,832","8,589","10,173"
2020,7,0,"10,668",189,"1,077",17,48,7,60,37,5,720,33,37,45,45,467,417,277,649,899,171,224,75,"1,356","2,209",611,993
2020,7,10,"13,045",225,"1,170",23,79,18,82,65,13,853,75,86,72,55,305,349,431,717,"1,032",178,324,122,"2,204","2,917",660,990
2020,7,20,"17,276",367,859,55,99,13,111,72,16,"1,049",120,385,202,117,499,584,923,"1,065","1,323",249,"1,096",533,"2,433","2,998","1,036","1,072"
2020,7,30,"16,950",316,"1,359",39,95,30,108,57,13,"1,179",112,191,153,100,704,659,622,"1,079","1,432",246,530,272,"1,911","3,371","1,055","1,317"
2020,7,40,"21,440",425,"1,796",43,115,32,141,116,29,"1,397",152,175,163,128,576,682,764,"1,184","1,651",333,647,215,"3,222","4,599","1,222","1,633"
2020,7,50,"23,472",704,"1,541",116,227,88,335,262,79,"1,398",304,248,252,207,564,885,"1,019","1,309","1,851",400,803,354,"3,121","4,320","1,565","1,520"
2020,7,60,"19,117",681,"1,181",159,292,128,408,313,112,"1,082",433,288,269,205,562,718,"1,002",888,"1,498",337,875,331,"1,959","2,815","1,316","1,265"
2020,7,70,"11,882",518,542,118,135,99,291,222,98,589,249,200,193,182,461,495,632,580,892,250,691,231,"1,233","1,514",663,804
2020,7,80,"7,281",401,329,94,142,76,267,140,51,370,164,133,140,112,240,271,346,353,552,118,393,128,708,906,375,472
2020,7,90,"1,421",61,86,11,19,14,64,34,9,67,33,17,31,38,46,52,73,62,95,24,70,23,137,176,79,100
2020,7,100,63,2,2,1,0,1,3,1,0,3,1,1,1,1,4,7,4,5,0,0,2,1,2,7,7,7
2020,8,총,"142,768","3,890","9,977",675,"1,257",502,"1,876","1,318",431,"8,728","1,665","1,767","1,512","1,191","4,427","5,118","6,073","7,904","11,225","2,305","5,679","2,267","18,300","25,894","8,618","10,169"
2020,8,0,"10,630",186,"1,073",18,49,8,62,35,7,718,32,34,41,46,460,413,277,661,892,171,229,75,"1,338","2,212",610,983
2020,8,10,"13,030",221,"1,179",23,78,16,78,66,14,845,74,82,70,53,301,347,429,717,"1,021",180,315,118,"2,209","2,929",665,"1,000"
2020,8,20,"17,330",367,870,52,100,11,113,71,16,"1,067",116,401,196,120,494,586,912,"1,061","1,329",242,"1,111",530,"2,445","3,000","1,040","1,080"
2020,8,30,"16,929",314,"1,346",39,95,29,107,56,14,"1,180",107,190,153,99,708,664,624,"1,081","1,436",245,536,270,"1,911","3,366","1,059","1,300"
2020,8,40,"21,441",429,"1,815",43,115,33,145,115,30,"1,405",153,172,162,128,576,679,760,"1,180","1,645",336,637,212,"3,207","4,599","1,233","1,632"
2020,8,50,"23,491",700,"1,543",117,228,85,332,262,80,"1,393",301,250,254,206,565,889,"1,012","1,306","1,851",397,813,349,"3,134","4,345","1,556","1,523"
2020,8,60,"19,245",689,"1,190",161,294,130,411,314,112,"1,091",436,288,269,209,566,720,"1,001",898,"1,513",341,868,332,"1,973","2,841","1,328","1,270"
2020,8,70,"11,859",517,542,116,136,99,293,223,99,585,248,197,194,180,463,490,627,580,887,251,698,231,"1,239","1,502",664,798
2020,8,80,"7,318",399,332,94,143,76,265,140,50,375,164,136,141,111,243,272,353,354,556,118,400,125,706,915,373,477
2020,8,90,"1,430",67,85,11,19,14,67,35,9,66,33,16,31,38,47,51,74,61,95,24,70,24,135,178,82,98
2020,8,100,65,1,2,1,0,1,3,1,0,3,1,1,1,1,4,7,4,5,0,0,2,1,3,7,8,8
2020,9,총,"142,828","3,877","9,925",675,"1,245",501,"1,870","1,319",429,"8,727","1,659","1,774","1,498","1,175","4,439","5,103","6,046","7,894","11,183","2,296","5,681","2,253","18,213","25,756","9,003","10,287"
2020,9,0,"10,613",180,"1,064",18,48,7,62,35,7,716,33,35,36,45,464,410,267,655,894,171,228,72,"1,320","2,192",649,"1,005"
2020,9,10,"13,000",223,"1,167",23,78,16,75,67,13,840,73,78,72,52,309,350,428,714,"1,018",176,311,116,"2,178","2,906",711,"1,006"
2020,9,20,"17,349",363,873,54,98,11,112,72,15,"1,064",110,413,191,117,494,581,896,"1,060","1,309",245,"1,120",528,"2,453","2,983","1,094","1,093"
2020,9,30,"16,893",313,"1,328",36,90,28,105,55,13,"1,171",110,191,150,96,701,665,623,"1,079","1,431",238,538,268,"1,882","3,335","1,136","1,311"
2020,9,40,"21,437",422,"1,810",43,114,30,147,116,29,"1,405",150,172,162,124,575,679,755,"1,170","1,647",335,634,213,"3,186","4,557","1,309","1,653"
2020,9,50,"23,470",701,"1,528",114,228,86,325,258,81,"1,397",298,251,249,201,570,873,"1,010","1,316","1,828",392,812,337,"3,135","4,333","1,613","1,534"
2020,9,60,"19,343",690,"1,192",165,293,129,416,318,111,"1,100",440,285,270,210,569,726,"1,004",902,"1,525",345,867,335,"1,972","2,834","1,350","1,295"
2020,9,70,"11,852",518,541,116,136,102,290,222,99,582,247,196,193,180,467,488,632,575,876,250,692,230,"1,236","1,506",673,805
2020,9,80,"7,366",400,332,94,140,77,269,140,52,381,164,137,142,112,241,274,353,358,561,119,405,129,710,924,373,479
2020,9,90,"1,438",66,87,11,20,14,65,35,9,68,33,15,32,37,45,50,74,60,94,24,72,24,138,179,87,99
2020,9,100,67,1,3,1,0,1,4,1,0,3,1,1,1,1,4,7,4,5,0,1,2,1,3,7,8,7
