년도,월,나이,김포시,통진읍,고촌읍,양촌읍,대곶면,월곶면,하성면,김포본동,장기본동,사우동,풍무동,장기동,구래동,마산동,운양동
2020,1,총,"437,789","26,624","27,089","26,038","9,800","5,556","8,216","51,039","37,659","23,163","61,714","41,612","39,461","30,478","49,340"
2020,1,0,"51,846","1,827","2,638","2,063",348,148,279,"3,996","5,166","1,759","7,401","6,421","6,672","5,093","8,035"
2020,1,10,"44,875","2,345","2,707","2,246",568,274,479,"5,957","5,285","2,224","7,087","4,954","3,352","2,371","5,026"
2020,1,20,"47,539","3,229","2,814","2,713",915,525,825,"7,036","3,611","3,289","7,144","3,772","4,506","2,677","4,483"
2020,1,30,"70,651","2,984","3,732","3,394",872,420,669,"5,701","5,788","3,116","9,570","7,267","9,830","7,401","9,907"
2020,1,40,"80,818","4,172","4,718","4,374","1,340",621,951,"8,775","8,090","3,935","11,707","8,965","7,297","5,452","10,421"
2020,1,50,"62,860","5,196","4,260","4,530","2,280","1,221","1,772","9,465","4,560","4,220","8,762","4,741","3,541","2,926","5,386"
2020,1,60,"44,154","3,795","3,628","3,726","1,881","1,216","1,608","5,438","2,834","2,554","5,575","3,156","2,605","2,561","3,577"
2020,1,70,"23,995","1,954","1,778","2,019","1,030",689,"1,026","3,111","1,629","1,407","3,136","1,688","1,223","1,500","1,805"
2020,1,80,"9,618",997,690,816,486,367,535,"1,359",618,584,"1,185",575,380,430,596
2020,1,90,"1,367",121,110,148,78,70,67,187,77,71,141,73,55,65,104
2020,1,100,66,4,14,9,2,5,5,14,1,4,6,0,0,2,0
2020,2,총,"439,502","26,605","27,508","26,061","9,800","5,535","8,250","50,890","38,562","23,118","61,883","41,524","39,775","30,550","49,441"
2020,2,0,"51,884","1,809","2,704","2,035",337,146,277,"3,965","5,314","1,744","7,391","6,354","6,686","5,093","8,029"
2020,2,10,"45,106","2,340","2,783","2,259",576,269,481,"5,904","5,408","2,210","7,081","4,954","3,389","2,411","5,041"
2020,2,20,"47,550","3,204","2,827","2,709",915,516,840,"6,960","3,680","3,265","7,193","3,775","4,560","2,642","4,464"
2020,2,30,"70,442","2,964","3,761","3,353",876,419,661,"5,666","5,908","3,088","9,528","7,177","9,855","7,337","9,849"
2020,2,40,"81,496","4,163","4,862","4,411","1,330",624,959,"8,756","8,299","3,932","11,772","8,983","7,385","5,541","10,479"
2020,2,50,"63,171","5,206","4,289","4,542","2,274","1,204","1,770","9,448","4,704","4,222","8,792","4,732","3,591","2,944","5,453"
2020,2,60,"44,524","3,830","3,670","3,741","1,890","1,231","1,616","5,489","2,894","2,573","5,627","3,175","2,621","2,568","3,599"
2020,2,70,"24,179","1,962","1,793","2,036","1,033",687,"1,030","3,127","1,650","1,420","3,163","1,713","1,233","1,514","1,818"
2020,2,80,"9,700","1,003",690,815,493,364,542,"1,372",624,584,"1,188",589,399,433,604
2020,2,90,"1,382",120,115,151,74,70,68,188,80,76,142,72,56,65,105
2020,2,100,68,4,14,9,2,5,6,15,1,4,6,0,0,2,0
2020,3,총,"443,071","26,605","29,824","26,825","9,769","5,536","8,275","50,789","39,100","23,116","61,935","41,443","39,909","30,519","49,426"
2020,3,0,"52,248","1,791","3,276","2,145",332,147,273,"3,928","5,358","1,737","7,312","6,266","6,642","5,053","7,988"
2020,3,10,"45,404","2,352","2,954","2,311",570,271,485,"5,864","5,457","2,193","7,097","4,969","3,410","2,434","5,037"
2020,3,20,"48,060","3,208","2,992","2,788",916,505,846,"6,959","3,772","3,252","7,261","3,781","4,616","2,653","4,511"
2020,3,30,"71,019","2,951","4,470","3,559",876,425,667,"5,606","5,978","3,073","9,470","7,093","9,822","7,280","9,749"
2020,3,40,"82,072","4,143","5,282","4,525","1,313",614,954,"8,708","8,401","3,935","11,732","8,984","7,434","5,563","10,484"
2020,3,50,"63,562","5,189","4,395","4,628","2,251","1,220","1,762","9,456","4,779","4,223","8,848","4,751","3,624","2,943","5,493"
2020,3,60,"45,041","3,868","3,779","3,830","1,900","1,232","1,637","5,532","2,961","2,606","5,680","3,192","2,637","2,563","3,624"
2020,3,70,"24,397","1,967","1,842","2,058","1,045",690,"1,034","3,128","1,671","1,430","3,191","1,732","1,257","1,526","1,826"
