년도,월,나이,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020,3,총,"39,294","17,116","4,774","1,217","1,548","1,637",888,"1,228","3,407","1,251","2,266","1,785","2,177"
2020,3,0,"1,862","1,086",271,29,35,41,20,30,130,42,73,48,57
2020,3,10,"2,835","1,683",315,46,68,72,33,62,200,78,127,57,94
2020,3,20,"3,090","1,679",466,62,60,91,40,83,222,50,110,102,125
2020,3,30,"2,820","1,512",446,64,81,62,36,51,222,57,96,95,98
2020,3,40,"4,426","2,530",500,70,118,120,58,84,350,100,176,135,185
2020,3,50,"6,601","2,970",752,194,231,236,144,229,660,190,353,273,369
2020,3,60,"7,211","2,700",797,280,347,323,207,263,696,259,477,383,479
2020,3,70,"5,634","1,732",619,253,316,332,172,218,502,240,459,363,428
2020,3,80,"4,157","1,061",526,186,248,325,147,176,359,194,349,290,296
2020,3,90,626,153,75,31,42,34,31,32,61,39,44,39,45
2020,3,100,32,10,7,2,2,1,0,0,5,2,2,0,1
2020,4,총,"39,202","17,042","4,787","1,222","1,541","1,641",881,"1,227","3,394","1,253","2,261","1,784","2,169"
2020,4,0,"1,848","1,076",270,30,35,41,14,30,131,44,68,50,59
2020,4,10,"2,822","1,679",317,46,67,73,32,61,197,76,125,55,94
2020,4,20,"3,058","1,652",466,61,61,90,37,84,219,48,111,106,123
2020,4,30,"2,799","1,485",457,65,77,62,36,52,222,58,94,93,98
2020,4,40,"4,411","2,522",495,69,118,124,58,83,352,100,174,134,182
2020,4,50,"6,553","2,948",752,194,225,233,142,229,650,186,356,271,367
2020,4,60,"7,238","2,715",803,284,349,322,211,261,692,263,477,380,481
2020,4,70,"5,646","1,745",621,255,314,334,173,219,502,242,458,362,421
2020,4,80,"4,170","1,057",524,185,250,326,147,178,364,196,352,294,297
2020,4,90,625,153,75,31,43,35,31,30,60,38,44,39,46
2020,4,100,32,10,7,2,2,1,0,0,5,2,2,0,1
2020,5,총,"39,121","16,989","4,791","1,228","1,525","1,641",877,"1,218","3,391","1,262","2,263","1,778","2,158"
2020,5,0,"1,832","1,063",271,31,34,42,14,27,132,43,69,49,57
2020,5,10,"2,820","1,678",316,46,67,72,32,62,197,78,124,55,93
2020,5,20,"3,008","1,624",455,61,56,89,37,85,215,50,109,105,122
2020,5,30,"2,775","1,474",461,64,74,62,36,48,218,57,95,91,95
2020,5,40,"4,388","2,505",496,70,118,123,54,84,353,98,173,135,179
2020,5,50,"6,569","2,962",752,197,223,235,140,228,652,190,358,271,361
2020,5,60,"7,234","2,704",804,283,352,322,215,260,689,267,472,381,485
2020,5,70,"5,664","1,756",627,256,311,332,173,220,502,242,464,362,419
2020,5,80,"4,172","1,061",524,187,248,326,145,175,368,197,352,291,298
2020,5,90,627,152,78,31,40,37,31,29,60,38,45,38,48
2020,5,100,32,10,7,2,2,1,0,0,5,2,2,0,1
