년도,월,나이,중랑구,면목제2동,면목제4동,면목제5동,면목본동,면목제7동,면목제3.8동,상봉제1동,상봉제2동,중화제1동,중화제2동,묵제1동,묵제2동,망우본동,망우제3동,신내1동,신내2동
2020,1,총,"396,755","25,561","19,739","9,664","35,294","22,121","26,142","25,314","19,578","20,699","26,512","35,745","19,662","30,774","17,541","40,649","21,760"
2020,1,0,"24,518","1,437","1,178",526,"1,833","1,266","1,281","1,983",849,"1,399","1,167","2,663","1,201","1,597",896,"3,719","1,523"
2020,1,10,"28,368","1,757","1,342",668,"2,167","1,336","1,655","2,135",883,"1,465","1,352","3,239","1,316","2,034","1,282","3,864","1,873"
2020,1,20,"56,209","3,499","2,632","1,291","5,322","3,029","3,851","3,763","3,783","3,026","3,839","4,866","2,784","4,263","2,394","5,169","2,698"
2020,1,30,"59,297","3,543","2,908","1,429","5,619","3,388","3,805","3,728","4,040","3,346","3,894","5,270","3,214","4,197","2,298","5,503","3,115"
2020,1,40,"59,286","3,962","3,126","1,462","5,282","3,220","3,749","3,731","2,672","2,906","3,749","6,023","2,973","4,343","2,561","6,163","3,364"
2020,1,50,"70,742","5,036","3,373","1,829","6,550","3,963","4,784","4,550","3,132","3,545","5,281","5,644","3,253","5,919","3,437","6,766","3,680"
2020,1,60,"55,258","3,540","2,825","1,382","4,727","3,355","3,882","3,123","2,371","2,935","4,021","4,436","2,867","4,801","2,610","5,275","3,108"
2020,1,70,"30,438","1,967","1,783",784,"2,755","1,835","2,259","1,598","1,333","1,462","2,276","2,535","1,499","2,517","1,443","2,798","1,594"
2020,1,80,"10,930",709,482,261,907,638,760,617,439,542,819,937,482,939,525,"1,170",703
2020,1,90,"1,521",100,81,29,107,79,106,85,65,68,99,112,62,145,80,207,96
2020,1,100,188,11,9,3,25,12,10,1,11,5,15,20,11,19,15,15,6
2020,2,총,"396,314","25,509","19,657","9,610","35,255","22,333","26,085","25,221","19,636","20,655","26,440","35,756","19,621","30,722","17,528","40,584","21,702"
2020,2,0,"24,271","1,432","1,166",521,"1,796","1,280","1,271","1,962",844,"1,358","1,157","2,670","1,179","1,568",892,"3,685","1,490"
2020,2,10,"28,144","1,741","1,326",662,"2,160","1,339","1,623","2,110",884,"1,455","1,328","3,213","1,307","2,013","1,279","3,855","1,849"
2020,2,20,"56,093","3,474","2,615","1,275","5,299","3,048","3,845","3,721","3,807","3,015","3,868","4,877","2,768","4,251","2,399","5,127","2,704"
2020,2,30,"59,121","3,532","2,872","1,423","5,606","3,464","3,796","3,707","4,065","3,325","3,866","5,259","3,185","4,187","2,278","5,470","3,086"
2020,2,40,"59,204","3,937","3,122","1,459","5,281","3,239","3,736","3,728","2,663","2,910","3,733","6,027","2,990","4,316","2,556","6,146","3,361"
2020,2,50,"70,626","5,029","3,357","1,810","6,550","3,985","4,767","4,543","3,127","3,532","5,249","5,641","3,247","5,899","3,436","6,779","3,675"
2020,2,60,"55,554","3,565","2,838","1,388","4,730","3,392","3,888","3,140","2,387","2,961","4,029","4,457","2,883","4,832","2,628","5,311","3,125"
2020,2,70,"30,507","1,970","1,788",776,"2,777","1,847","2,270","1,597","1,345","1,469","2,266","2,532","1,490","2,539","1,435","2,807","1,599"
2020,2,80,"11,056",715,484,264,921,646,771,628,436,555,830,941,501,953,528,"1,173",710
2020,2,90,"1,545",102,80,28,109,81,107,83,67,70,99,118,60,146,82,216,97
2020,2,100,193,12,9,4,26,12,11,2,11,5,15,21,11,18,15,15,6
2020,3,총,"395,619","25,434","19,583","9,546","35,222","22,422","26,028","25,157","19,723","20,639","26,294","35,784","19,580","30,598","17,449","40,529","21,631"
2020,3,0,"24,045","1,399","1,151",516,"1,790","1,282","1,252","1,954",834,"1,360","1,135","2,645","1,182","1,552",874,"3,644","1,475"
2020,3,10,"27,948","1,708","1,314",656,"2,142","1,323","1,617","2,089",893,"1,426","1,308","3,214","1,297","1,983","1,266","3,875","1,837"
2020,3,20,"56,113","3,473","2,589","1,263","5,295","3,075","3,827","3,708","3,861","3,026","3,859","4,939","2,772","4,248","2,386","5,100","2,692"
2020,3,30,"58,815","3,518","2,850","1,412","5,577","3,496","3,777","3,720","4,060","3,317","3,827","5,205","3,170","4,143","2,253","5,438","3,052"
2020,3,40,"58,866","3,909","3,119","1,450","5,263","3,236","3,694","3,687","2,670","2,900","3,699","6,015","2,959","4,270","2,533","6,134","3,328"
2020,3,50,"70,407","5,019","3,347","1,781","6,526","3,991","4,785","4,535","3,126","3,511","5,216","5,638","3,230","5,849","3,418","6,760","3,675"
2020,3,60,"55,873","3,579","2,843","1,392","4,763","3,415","3,910","3,148","2,415","2,979","4,040","4,496","2,889","4,869","2,648","5,353","3,134"
2020,3,70,"30,639","1,992","1,791",785,"2,800","1,860","2,261","1,596","1,339","1,485","2,266","2,537","1,498","2,552","1,449","2,820","1,608"
2020,3,80,"11,178",721,488,260,930,650,790,635,444,559,833,956,514,967,528,"1,175",728
2020,3,90,"1,541",105,82,27,110,82,104,83,70,71,94,118,58,147,79,215,96
2020,3,100,194,11,9,4,26,12,11,2,11,5,17,21,11,18,15,15,6
2020,4,총,"395,072","25,360","19,447","9,509","35,269","22,416","25,964","25,183","19,709","20,624","26,249","35,780","19,548","30,513","17,444","40,491","21,566"
2020,4,0,"23,873","1,379","1,131",516,"1,782","1,258","1,241","1,957",829,"1,364","1,128","2,614","1,180","1,529",877,"3,633","1,455"
2020,4,10,"27,815","1,702","1,289",652,"2,127","1,325","1,607","2,075",891,"1,413","1,303","3,225","1,291","1,965","1,259","3,865","1,826"
2020,4,20,"56,018","3,457","2,558","1,259","5,307","3,087","3,815","3,705","3,859","2,997","3,887","4,938","2,763","4,236","2,373","5,084","2,693"
2020,4,30,"58,561","3,496","2,819","1,409","5,559","3,469","3,742","3,735","4,058","3,326","3,790","5,196","3,149","4,109","2,244","5,429","3,031"
2020,4,40,"58,681","3,892","3,090","1,437","5,279","3,226","3,672","3,664","2,666","2,905","3,684","5,990","2,960","4,233","2,530","6,134","3,319"
2020,4,50,"70,332","5,019","3,342","1,776","6,533","4,023","4,777","4,545","3,129","3,485","5,199","5,640","3,225","5,840","3,424","6,730","3,645"
2020,4,60,"56,063","3,566","2,839","1,388","4,783","3,404","3,922","3,181","2,420","2,996","4,040","4,541","2,883","4,907","2,657","5,380","3,156"
