년도,월,나이,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020,3,총,"25,340","5,267","1,880","2,517","2,095","2,542","2,641","1,814","6,584"
2020,3,0,"1,023",302,46,70,77,62,83,56,327
2020,3,10,"1,284",366,65,101,98,101,95,49,409
2020,3,20,"1,817",504,103,137,142,131,127,105,568
2020,3,30,"1,775",494,128,110,114,126,118,111,574
2020,3,40,"2,492",629,159,169,202,207,215,146,765
2020,3,50,"4,833","1,014",378,512,418,499,499,296,"1,217"
2020,3,60,"5,354",894,451,631,431,673,619,424,"1,231"
2020,3,70,"4,046",636,347,465,351,446,518,337,946
2020,3,80,"2,391",371,184,283,236,260,312,246,499
2020,3,90,305,49,19,36,24,36,54,42,45
2020,3,100,20,8,0,3,2,1,1,2,3
2020,4,총,"25,291","5,281","1,881","2,503","2,093","2,542","2,628","1,805","6,558"
2020,4,0,"1,014",301,46,69,77,62,79,58,322
2020,4,10,"1,264",362,62,100,99,100,93,48,400
2020,4,20,"1,810",502,105,134,141,132,125,104,567
2020,4,30,"1,772",500,128,111,113,127,116,111,566
2020,4,40,"2,468",637,153,167,201,204,208,137,761
2020,4,50,"4,829","1,019",377,511,418,500,503,295,"1,206"
2020,4,60,"5,342",890,453,623,432,673,616,422,"1,233"
2020,4,70,"4,039",637,346,464,348,445,518,339,942
2020,4,80,"2,425",377,192,284,237,261,316,246,512
2020,4,90,307,47,19,37,25,37,53,43,46
2020,4,100,21,9,0,3,2,1,1,2,3
2020,5,총,"25,264","5,267","1,872","2,510","2,095","2,542","2,623","1,805","6,550"
2020,5,0,"1,005",296,46,69,78,63,78,54,321
2020,5,10,"1,267",364,62,98,102,99,93,49,400
2020,5,20,"1,789",491,102,137,138,132,123,103,563
2020,5,30,"1,769",500,126,114,112,127,118,111,561
2020,5,40,"2,465",631,155,166,204,204,206,135,764
2020,5,50,"4,808","1,018",368,513,415,496,498,293,"1,207"
2020,5,60,"5,364",895,456,626,433,670,621,427,"1,236"
2020,5,70,"4,043",632,345,466,349,449,520,342,940
2020,5,80,"2,430",385,193,282,237,264,315,245,509
2020,5,90,303,46,19,36,25,37,50,44,46
2020,5,100,21,9,0,3,2,1,1,2,3
2020,6,총,"25,228","5,236","1,877","2,505","2,094","2,542","2,618","1,807","6,549"
2020,6,0,"1,007",295,47,69,78,64,77,51,326
2020,6,10,"1,264",366,62,98,104,100,92,51,391
2020,6,20,"1,766",479,104,134,134,132,124,98,561
2020,6,30,"1,760",490,125,112,110,129,117,108,569
2020,6,40,"2,456",631,154,160,209,204,204,138,756
2020,6,50,"4,779","1,002",368,510,414,493,497,290,"1,205"
2020,6,60,"5,389",904,462,631,432,668,623,435,"1,234"
2020,6,70,"4,055",633,343,469,350,452,516,343,949
2020,6,80,"2,424",381,193,284,235,261,316,246,508
2020,6,90,307,46,19,35,26,38,51,45,47
2020,6,100,21,9,0,3,2,1,1,2,3
2020,7,총,"25,161","5,226","1,874","2,509","2,091","2,534","2,608","1,801","6,518"
2020,7,0,"1,003",297,49,68,78,63,76,51,321
2020,7,10,"1,252",364,60,97,103,101,93,50,384
2020,7,20,"1,755",478,103,135,135,128,121,97,558
2020,7,30,"1,747",483,127,114,109,125,114,108,567
2020,7,40,"2,429",630,152,161,206,207,202,134,737
2020,7,50,"4,772","1,006",366,506,416,490,493,291,"1,204"
2020,7,60,"5,394",897,463,634,430,670,624,437,"1,239"
2020,7,70,"4,059",634,342,475,349,451,517,341,950
2020,7,80,"2,427",381,192,284,236,263,317,247,507
2020,7,90,302,47,20,32,27,35,50,43,48
2020,7,100,21,9,0,3,2,1,1,2,3
2020,8,총,"25,122","5,228","1,868","2,502","2,090","2,524","2,607","1,794","6,509"
2020,8,0,994,293,50,67,78,61,77,50,318
2020,8,10,"1,243",363,58,93,101,102,92,53,381
2020,8,20,"1,743",480,98,135,137,126,122,93,552
2020,8,30,"1,727",477,129,113,108,125,114,107,554
2020,8,40,"2,422",628,151,158,204,201,199,133,748
2020,8,50,"4,766","1,013",366,502,414,485,492,288,"1,206"
2020,8,60,"5,415",901,463,636,433,672,623,438,"1,249"
2020,8,70,"4,066",635,340,480,351,454,521,341,944
2020,8,80,"2,425",381,191,284,235,263,316,248,507
2020,8,90,300,48,22,32,27,34,49,41,47
