년도,월,나이,양평군,양평읍,강상면,강하면,양서면,옥천면,서종면,단월면,청운면,양동면,지평면,용문면,개군면
2020,6,50,"20,905","5,405","1,669",911,"2,433","1,390","1,732",691,683,890,"1,298","2,882",921
2020,6,60,"21,894","4,254","1,655","1,172","2,594","1,581","1,975",907,937,"1,147","1,604","2,940","1,128"
2020,6,70,"12,849","2,385",892,679,"1,556",860,"1,005",569,603,700,"1,015","1,883",702
2020,6,80,"6,090","1,141",405,217,654,348,400,286,378,437,571,912,341
2020,6,90,942,141,57,45,110,55,73,34,43,76,107,163,38
2020,6,100,68,15,4,1,11,3,5,0,8,8,3,8,2
2020,7,총,"117,931","30,517","10,242","4,672","13,482","7,814","9,604","3,874","3,750","4,552","6,801","17,531","5,092"
2020,7,0,"7,420","2,278",947,170,734,487,645,124,117,141,229,"1,320",228
2020,7,10,"9,726","3,280",908,245,"1,042",547,819,236,158,193,389,"1,588",321
2020,7,20,"10,518","3,517",810,321,"1,246",718,598,263,237,278,477,"1,642",411
2020,7,30,"10,942","3,246","1,221",383,"1,222",783,838,295,205,293,406,"1,668",382
2020,7,40,"16,352","4,827","1,645",518,"1,828","1,024","1,507",450,370,385,706,"2,483",609
2020,7,50,"20,935","5,400","1,681",904,"2,439","1,393","1,724",693,692,897,"1,291","2,904",917
2020,7,60,"22,007","4,279","1,666","1,176","2,616","1,582","1,988",919,940,"1,146","1,607","2,950","1,138"
2020,7,70,"12,908","2,386",900,691,"1,575",865,"1,010",568,600,700,"1,013","1,897",703
2020,7,80,"6,116","1,148",402,220,661,356,396,290,382,435,573,911,342
2020,7,90,941,142,58,43,109,56,74,36,41,76,107,160,39
2020,7,100,66,14,4,1,10,3,5,0,8,8,3,8,2
2020,8,총,"118,372","30,543","10,292","4,673","13,600","7,850","9,612","3,859","3,754","4,564","6,815","17,730","5,080"
2020,8,0,"7,410","2,265",956,169,733,488,643,123,114,141,235,"1,312",231
2020,8,10,"9,927","3,284",912,245,"1,117",548,815,228,162,194,388,"1,714",320
2020,8,20,"10,573","3,507",823,323,"1,260",732,598,260,235,274,481,"1,675",405
2020,8,30,"10,884","3,237","1,213",377,"1,213",775,833,287,203,290,413,"1,662",381
2020,8,40,"16,366","4,835","1,662",515,"1,830","1,027","1,511",443,369,384,693,"2,492",605
2020,8,50,"20,925","5,391","1,682",904,"2,446","1,393","1,709",700,691,900,"1,292","2,914",903
2020,8,60,"22,167","4,310","1,677","1,181","2,638","1,593","2,011",926,941,"1,156","1,623","2,964","1,147"
2020,8,70,"12,949","2,403",907,690,"1,575",870,"1,013",565,607,703,"1,004","1,908",704
2020,8,80,"6,147","1,151",399,222,673,361,396,291,383,438,576,914,343
2020,8,90,956,146,57,45,105,59,78,36,41,76,107,167,39
2020,8,100,68,14,4,2,10,4,5,0,8,8,3,8,2
