년도,월,나이,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동,서울특별시 강동구 상일제1동,서울특별시 강동구 상일제2동
2020,3,총,"229,457","16,476","13,905","13,529","8,885","13,093","10,328","18,293","7,958","9,438","14,129","17,574","13,712","10,476","12,406","11,931","23,359",139,"13,826",,
2020,3,0,"16,728","1,307","1,720","1,056",588,"1,570","1,145","1,180",710,"1,051",778,883,701,775,527,634,"1,244",2,857,,
2020,3,10,"18,744","2,181","1,427","1,274","1,168","1,456",886,"1,378",545,938,908,943,696,865,672,791,"1,482",4,"1,130",,
2020,3,20,"30,394","1,945","1,399","1,635","1,087","1,164","1,066","2,410","1,035",992,"1,950","2,627","2,238","1,380","2,155","1,751","3,599",9,"1,952",,
2020,3,30,"35,400","1,834","2,385","2,064",959,"2,112","1,833","2,664","1,463","1,467","1,973","3,008","2,383","1,731","2,075","1,768","3,652",13,"2,016",,
2020,3,40,"36,513","2,903","2,418","2,255","1,715","2,717","1,684","2,829","1,237","1,646","2,013","2,469","1,855","1,742","1,727","1,904","3,334",26,"2,039",,
2020,3,50,"37,206","2,517","2,110","2,194","1,440","1,766","1,596","3,106","1,192","1,405","2,508","2,968","2,198","1,630","1,999","2,117","4,022",13,"2,425",,
2020,3,60,"31,394","1,980","1,591","1,812","1,205","1,361","1,301","2,603",983,"1,172","2,244","2,557","2,031","1,386","1,842","1,722","3,544",30,"2,030",,
2020,3,70,"15,160","1,103",554,792,438,560,518,"1,420",555,515,"1,163","1,455","1,082",654,958,852,"1,643",24,874,,
2020,3,80,"6,332",584,236,349,214,272,240,580,199,191,478,527,440,257,363,325,673,4,400,,
2020,3,90,"1,407",110,59,89,66,99,58,104,29,57,105,119,80,52,75,59,148,7,91,,
2020,3,100,179,12,6,9,5,16,1,19,10,4,9,18,8,4,13,8,18,7,12,,
2020,4,총,"230,721","16,444","15,449","13,521","8,838","13,010","10,360","18,209","7,986","9,442","14,110","17,528","13,666","10,459","12,396","11,902","23,448",136,"13,817",,
2020,4,0,"16,784","1,279","1,897","1,048",601,"1,546","1,144","1,174",706,"1,045",788,870,683,772,529,612,"1,241",2,847,,
2020,4,10,"18,734","2,163","1,509","1,257","1,163","1,458",895,"1,353",549,933,899,935,692,856,657,789,"1,494",4,"1,128",,
2020,4,20,"30,658","1,958","1,605","1,643","1,071","1,147","1,072","2,386","1,042","1,005","1,942","2,621","2,266","1,380","2,169","1,745","3,626",8,"1,972",,
2020,4,30,"35,711","1,847","2,688","2,074",948,"2,084","1,840","2,656","1,468","1,472","1,983","3,007","2,380","1,734","2,089","1,750","3,654",13,"2,024",,
2020,4,40,"36,578","2,877","2,660","2,251","1,698","2,702","1,688","2,809","1,246","1,641","1,986","2,453","1,838","1,742","1,695","1,912","3,330",26,"2,024",,
2020,4,50,"37,380","2,527","2,355","2,183","1,433","1,763","1,598","3,096","1,194","1,407","2,497","2,951","2,185","1,632","1,984","2,119","4,024",11,"2,421",,
2020,4,60,"31,664","1,980","1,789","1,825","1,193","1,361","1,312","2,609",984,"1,171","2,249","2,565","2,019","1,374","1,862","1,729","3,584",29,"2,029",,
2020,4,70,"15,231","1,100",616,798,442,558,515,"1,413",558,517,"1,173","1,464","1,065",650,961,855,"1,653",25,868,,
2020,4,80,"6,370",591,253,341,217,270,238,589,198,194,476,526,450,260,364,322,675,4,402,,
2020,4,90,"1,430",111,71,92,66,105,57,105,31,53,107,119,80,54,73,61,148,7,90,,
