년도,월,나이,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020,1,총,"2,436,488","77,282","344,932","174,803","148,057","437,189","428,770","568,663","256,792"
2020,1,0,"187,477","5,474","26,874","8,268","7,238","35,242","30,979","43,168","30,234"
2020,1,10,"235,903","5,184","27,642","11,851","9,955","45,211","53,913","58,586","23,561"
2020,1,20,"323,212","11,600","42,156","22,593","20,124","60,310","56,281","80,700","29,448"
2020,1,30,"304,758","11,099","45,582","18,560","17,822","54,833","44,193","69,662","43,007"
2020,1,40,"392,841","10,985","52,269","24,082","21,034","73,973","75,069","93,009","42,420"
2020,1,50,"428,568","11,546","57,842","35,496","25,495","77,128","75,105","105,351","40,605"
2020,1,60,"309,806","10,160","49,307","29,820","23,418","50,316","49,921","69,343","27,521"
2020,1,70,"170,765","7,403","29,481","16,810","15,025","27,429","28,180","33,160","13,277"
2020,1,80,"73,744","3,256","12,236","6,486","6,991","11,417","13,351","14,032","5,975"
2020,1,90,"8,726",483,"1,424",738,872,"1,247","1,680","1,566",716
2020,1,100,688,92,119,99,83,83,98,86,28
2020,2,총,"2,432,883","77,151","343,857","174,389","147,938","436,530","428,729","567,716","256,573"
2020,2,0,"186,623","5,443","26,513","8,213","7,195","35,057","31,201","42,906","30,095"
2020,2,10,"234,528","5,194","27,477","11,725","9,907","44,952","53,631","58,125","23,517"
2020,2,20,"321,487","11,564","41,944","22,412","20,119","60,051","55,871","80,311","29,215"
2020,2,30,"303,397","11,031","45,256","18,449","17,754","54,520","44,216","69,421","42,750"
2020,2,40,"391,997","10,995","52,076","24,015","21,009","73,743","74,991","92,672","42,496"
2020,2,50,"428,622","11,530","57,734","35,388","25,453","77,226","75,192","105,478","40,621"
2020,2,60,"311,274","10,144","49,438","29,959","23,484","50,609","50,127","69,754","27,759"
2020,2,70,"171,217","7,404","29,561","16,847","15,018","27,524","28,208","33,286","13,369"
2020,2,80,"74,227","3,270","12,300","6,543","7,027","11,500","13,477","14,111","5,999"
2020,2,90,"8,817",482,"1,438",739,887,"1,265","1,716","1,566",724
2020,2,100,694,94,120,99,85,83,99,86,28
2020,3,총,"2,433,568","77,136","343,933","174,042","148,083","436,847","428,777","567,978","256,772"
2020,3,0,"185,945","5,382","26,347","8,147","7,188","34,989","31,162","42,717","30,013"
2020,3,10,"233,311","5,170","27,387","11,641","9,829","44,726","53,247","57,766","23,545"
2020,3,20,"322,594","11,719","42,031","22,328","20,284","60,368","55,981","80,679","29,204"
2020,3,30,"302,617","10,991","45,111","18,355","17,656","54,449","44,204","69,310","42,541"
2020,3,40,"390,628","10,962","51,917","23,793","20,919","73,506","74,741","92,201","42,589"
2020,3,50,"428,955","11,479","57,728","35,321","25,500","77,328","75,337","105,617","40,645"
2020,3,60,"313,213","10,168","49,755","30,071","23,587","50,888","50,414","70,321","28,009"
2020,3,70,"171,945","7,395","29,667","16,935","15,086","27,630","28,302","33,495","13,435"
2020,3,80,"74,745","3,286","12,422","6,608","7,063","11,603","13,555","14,180","6,028"
2020,3,90,"8,915",489,"1,442",744,883,"1,278","1,737","1,607",735
2020,3,100,700,95,126,99,88,82,97,85,28
2020,4,총,"2,431,523","76,955","343,568","173,807","147,905","436,863","428,125","567,375","256,925"
2020,4,0,"185,155","5,325","26,205","8,110","7,164","34,879","31,026","42,483","29,963"
2020,4,10,"232,363","5,129","27,296","11,544","9,793","44,590","52,953","57,513","23,545"
2020,4,20,"322,534","11,805","41,935","22,249","20,305","60,528","55,920","80,613","29,179"
2020,4,30,"301,805","10,952","45,002","18,247","17,616","54,369","44,014","69,143","42,462"
2020,4,40,"389,655","10,907","51,790","23,721","20,868","73,344","74,489","91,859","42,677"
2020,4,50,"428,427","11,431","57,627","35,227","25,400","77,259","75,395","105,488","40,600"
2020,4,60,"314,502","10,152","49,906","30,208","23,623","51,162","50,539","70,731","28,181"
2020,4,70,"172,311","7,371","29,735","17,015","15,065","27,661","28,359","33,617","13,488"
2020,4,80,"75,116","3,302","12,497","6,642","7,099","11,687","13,594","14,226","6,069"
2020,4,90,"8,956",484,"1,452",745,887,"1,300","1,738","1,617",733
2020,4,100,699,97,123,99,85,84,98,85,28
2020,5,총,"2,429,059","76,880","342,897","173,278","147,746","437,566","427,436","566,213","257,043"
2020,5,0,"184,227","5,318","26,045","8,004","7,110","34,816","30,834","42,200","29,900"
2020,5,10,"231,161","5,110","27,149","11,442","9,727","44,419","52,621","57,145","23,548"
2020,5,20,"322,350","11,841","41,772","22,118","20,370","60,761","55,844","80,465","29,179"
2020,5,30,"301,074","10,964","44,818","18,110","17,557","54,496","43,913","68,875","42,341"
2020,5,40,"388,419","10,825","51,628","23,611","20,749","73,231","74,206","91,472","42,697"
2020,5,50,"428,389","11,447","57,549","35,132","25,414","77,441","75,455","105,320","40,631"
2020,5,60,"315,443","10,125","49,979","30,263","23,602","51,501","50,657","71,021","28,295"
2020,5,70,"172,853","7,365","29,862","17,081","15,098","27,743","28,426","33,686","13,592"
2020,5,80,"75,447","3,316","12,526","6,665","7,140","11,762","13,631","14,313","6,094"
2020,5,90,"8,993",470,"1,446",753,895,"1,308","1,752","1,631",738
2020,5,100,703,99,123,99,84,88,97,85,28
2020,6,총,"2,427,954","76,984","342,627","172,802","147,482","438,608","426,919","565,378","257,154"
2020,6,0,"183,631","5,342","25,923","7,941","7,052","34,805","30,690","42,006","29,872"
2020,6,10,"230,453","5,097","27,046","11,362","9,705","44,367","52,376","56,915","23,585"
2020,6,20,"322,265","11,866","41,737","22,023","20,370","61,048","55,794","80,365","29,062"
2020,6,30,"300,366","11,041","44,676","17,999","17,462","54,527","43,839","68,579","42,243"
2020,6,40,"387,880","10,813","51,576","23,512","20,672","73,327","73,985","91,267","42,728"
2020,6,50,"427,621","11,432","57,362","34,955","25,328","77,610","75,322","104,991","40,621"
2020,6,60,"316,981","10,126","50,182","30,371","23,649","51,864","50,887","71,393","28,509"
2020,6,70,"173,456","7,373","29,976","17,108","15,112","27,865","28,530","33,827","13,665"
2020,6,80,"75,574","3,324","12,578","6,681","7,151","11,799","13,636","14,306","6,099"
2020,6,90,"9,024",469,"1,448",750,897,"1,310","1,762","1,645",743
2020,6,100,703,101,123,100,84,86,98,84,27
2020,7,총,"2,428,022","77,062","342,657","172,657","147,355","439,432","426,611","564,639","257,609"
2020,7,0,"182,953","5,331","25,805","7,885","7,021","34,807","30,475","41,777","29,852"
2020,7,10,"229,707","5,109","26,970","11,273","9,637","44,220","52,180","56,690","23,628"
2020,7,20,"322,718","11,933","41,787","22,042","20,386","61,348","55,856","80,272","29,094"
2020,7,30,"299,733","11,018","44,552","17,939","17,478","54,599","43,677","68,260","42,210"
2020,7,40,"387,441","10,807","51,581","23,427","20,625","73,284","73,820","91,064","42,833"
2020,7,50,"427,685","11,436","57,368","34,896","25,268","77,770","75,403","104,880","40,664"
2020,7,60,"317,981","10,135","50,262","30,441","23,655","52,135","51,020","71,633","28,700"
2020,7,70,"174,208","7,379","30,117","17,213","15,148","28,004","28,657","33,956","13,734"
2020,7,80,"75,804","3,337","12,650","6,686","7,147","11,856","13,647","14,362","6,119"
2020,7,90,"9,089",476,"1,442",755,907,"1,324","1,777","1,660",748
2020,7,100,703,101,123,100,83,85,99,85,27
2020,8,총,"2,428,228","77,120","343,317","172,465","147,235","439,690","426,437","563,730","258,234"
2020,8,0,"182,168","5,305","25,787","7,824","6,966","34,693","30,306","41,447","29,840"
2020,8,10,"228,864","5,104","26,940","11,213","9,585","43,983","51,986","56,382","23,671"
2020,8,20,"323,345","11,995","41,860","21,955","20,459","61,680","55,924","80,288","29,184"
2020,8,30,"299,184","11,012","44,660","17,874","17,378","54,532","43,553","67,995","42,180"
2020,8,40,"386,857","10,798","51,650","23,341","20,593","73,138","73,676","90,718","42,943"
2020,8,50,"427,501","11,448","57,408","34,827","25,205","77,788","75,421","104,670","40,734"
2020,8,60,"319,802","10,154","50,521","30,618","23,733","52,511","51,306","72,021","28,938"
2020,8,70,"174,435","7,364","30,184","17,230","15,156","28,018","28,645","34,030","13,808"
2020,8,80,"76,234","3,365","12,737","6,732","7,163","11,923","13,733","14,425","6,156"
2020,8,90,"9,129",474,"1,446",752,913,"1,336","1,787","1,668",753
2020,8,100,709,101,124,99,84,88,100,86,27
2020,9,총,"2,426,849","77,030","343,233","171,947","146,864","440,500","425,949","562,972","258,354"
2020,9,0,"181,188","5,262","25,683","7,745","6,868","34,591","30,126","41,226","29,687"
2020,9,10,"228,270","5,111","26,846","11,136","9,536","43,868","51,854","56,150","23,769"
2020,9,20,"323,230","11,976","41,847","21,845","20,453","61,937","55,881","80,224","29,067"
2020,9,30,"298,224","10,974","44,514","17,785","17,266","54,630","43,356","67,716","41,983"
2020,9,40,"386,278","10,772","51,682","23,202","20,529","73,103","73,426","90,453","43,111"
2020,9,50,"427,217","11,457","57,318","34,680","25,130","78,011","75,383","104,461","40,777"
2020,9,60,"321,394","10,166","50,779","30,754","23,738","52,873","51,578","72,386","29,120"
2020,9,70,"174,520","7,354","30,174","17,180","15,163","28,058","28,657","34,068","13,866"
