년도,월,나이,안산시,상록구,일동,이동,사동,사이동,해양동,본오1동,본오2동,본오3동,부곡동,월피동,성포동,반월동,안산동,단원구,와동,고잔동,중앙동,호수동,원곡동,백운동,신길동,초지동,선부1동,선부2동,선부3동,대부동
2020,1,총,"650,559","344,245","25,945","25,141","34,580","33,176","18,447","39,553","27,846","20,989","22,672","40,158","27,956","18,491","9,291","306,314","39,625","22,512","26,150","46,076","6,626","19,111","23,107","48,119","11,429","18,309","36,709","8,541"
2020,1,0,"46,175","23,793","1,988","1,350","2,198","2,752","1,526","3,006","1,814","1,173","1,684","2,550","1,938","1,267",547,"22,382","2,857","1,365","1,797","3,723",308,"1,446","1,842","4,149",733,"1,069","2,782",311
2020,1,10,"67,575","35,391","2,693","1,794","3,253","3,916","2,357","4,438","3,208","1,942","2,318","4,311","2,920","1,421",820,"32,184","4,252","2,109","2,491","5,777",330,"1,967","2,666","5,379",918,"1,884","4,012",399
2020,1,20,"105,142","56,682","3,887","4,590","6,157","5,267","3,241","6,166","4,467","3,611","3,656","7,238","4,956","2,236","1,210","48,460","6,100","4,315","5,047","7,926",533,"2,926","3,138","7,510","1,619","2,699","5,929",718
2020,1,30,"85,672","43,673","3,426","4,069","5,029","4,165","2,061","5,112","3,158","2,662","2,602","4,644","3,374","2,367","1,004","41,999","5,437","3,232","4,185","5,473",710,"2,565","3,134","7,343","1,758","2,189","5,304",669
2020,1,40,"111,005","58,493","4,793","4,246","6,074","5,808","3,136","7,308","4,910","3,483","3,894","6,610","4,001","2,781","1,449","52,512","7,347","3,492","3,984","8,041","1,148","3,052","4,219","8,694","1,816","3,281","6,508",930
2020,1,50,"126,198","66,997","4,655","4,660","6,361","6,310","3,541","7,368","5,495","4,311","4,655","8,352","5,930","3,475","1,884","59,201","7,600","4,184","4,754","9,417","1,726","3,778","4,283","8,271","2,201","4,013","7,045","1,929"
2020,1,60,"64,375","33,907","2,416","2,491","2,667","3,081","1,767","3,435","2,639","2,101","2,173","3,849","3,060","2,798","1,430","30,468","3,529","2,220","2,622","3,822",989,"2,245","2,422","4,039","1,431","1,914","3,282","1,953"
2020,1,70,"28,611","16,232","1,405","1,285","1,549","1,203",549,"1,813","1,392","1,083","1,097","1,614","1,083","1,525",634,"12,379","1,667","1,027",814,"1,186",603,807,919,"1,717",591,822,"1,193","1,033"
2020,1,80,"13,730","7,875",593,560,"1,086",595,225,814,681,551,533,868,576,534,259,"5,855",728,515,373,606,243,286,424,875,324,381,590,510
2020,1,90,"1,971","1,149",86,90,194,74,43,92,80,72,57,118,111,83,49,822,105,49,79,102,30,32,57,135,37,54,60,82
2020,1,100,105,53,3,6,12,5,1,1,2,0,3,4,7,4,5,52,3,4,4,3,6,7,3,7,1,3,4,7
2020,2,총,"651,211","344,685","25,899","25,084","34,390","33,401","20,122","39,380","27,679","20,876","22,451","39,938","27,772","18,416","9,277","306,526","39,385","22,425","26,113","45,834","6,556","18,840","23,007","47,993","13,408","18,023","36,422","8,520"
2020,2,0,"46,112","23,862","1,969","1,320","2,155","2,769","1,888","2,987","1,767","1,147","1,655","2,522","1,898","1,242",543,"22,250","2,811","1,347","1,777","3,671",304,"1,412","1,805","4,102",949,"1,037","2,728",307
2020,2,10,"67,189","35,239","2,666","1,778","3,209","3,866","2,608","4,394","3,169","1,925","2,272","4,238","2,896","1,403",815,"31,950","4,210","2,079","2,441","5,708",328,"1,918","2,642","5,315","1,131","1,837","3,944",397
2020,2,20,"105,146","56,601","3,908","4,576","6,152","5,325","3,380","6,101","4,427","3,590","3,612","7,188","4,899","2,233","1,210","48,545","6,048","4,303","5,109","7,875",514,"2,868","3,125","7,509","1,941","2,662","5,891",700
2020,2,30,"85,684","43,658","3,382","4,041","4,956","4,229","2,370","5,086","3,131","2,642","2,552","4,586","3,344","2,339","1,000","42,026","5,370","3,207","4,171","5,491",697,"2,548","3,095","7,329","2,080","2,128","5,252",658
