년도,월,나이,무안군,무안읍,일로읍,삼향읍,삼향읍남악출장소,몽탄면,청계면,현경면,망운면,해제면,운남면
2020,1,총,"81,144","10,887","6,650","5,711","33,239","3,154","6,461","4,776","2,082","5,141","3,043"
2020,1,0,"7,193",758,284,209,"5,230",47,238,128,68,137,94
2020,1,10,"8,817","1,176",415,336,"5,452",165,459,225,102,300,187
2020,1,20,"8,162","1,368",569,530,"3,575",247,688,358,172,395,260
2020,1,30,"9,343","1,038",440,384,"5,983",163,475,272,143,261,184
2020,1,40,"12,591","1,598",764,650,"7,047",281,736,456,210,548,301
2020,1,50,"12,486","1,875","1,210","1,211","3,552",608,"1,190",932,383,915,610
2020,1,60,"10,177","1,498","1,243","1,095","1,470",582,"1,185",974,471,"1,032",627
2020,1,70,"7,822","1,052","1,064",807,633,602,904,911,361,979,509
2020,1,80,"3,971",472,584,417,261,407,498,453,137,502,240
2020,1,90,548,50,77,67,34,50,72,66,33,71,28
2020,1,100,34,2,0,5,2,2,16,1,2,1,3
2020,2,총,"81,322","10,868","6,624","5,690","33,509","3,161","6,446","4,778","2,077","5,120","3,049"
2020,2,0,"7,156",756,279,210,"5,205",47,235,129,68,134,93
2020,2,10,"8,821","1,172",405,324,"5,495",165,450,220,101,297,192
2020,2,20,"8,214","1,355",567,526,"3,642",247,702,355,171,392,257
2020,2,30,"9,325","1,032",434,380,"5,997",156,470,276,138,259,183
2020,2,40,"12,671","1,587",762,637,"7,158",282,734,455,210,541,305
2020,2,50,"12,481","1,879","1,200","1,206","3,594",603,"1,178",924,378,908,611
2020,2,60,"10,261","1,508","1,247","1,107","1,498",592,"1,190",986,475,"1,033",625
2020,2,70,"7,772","1,048","1,059",805,628,596,893,910,358,972,503
2020,2,80,"4,034",478,593,420,258,420,506,456,141,513,249
2020,2,90,553,51,78,70,32,51,72,66,35,70,28
2020,2,100,34,2,0,5,2,2,16,1,2,1,3
2020,3,총,"81,409","10,824","6,632","5,664","33,714","3,142","6,445","4,770","2,073","5,104","3,041"
2020,3,0,"7,160",763,282,209,"5,199",47,238,128,67,132,95
2020,3,10,"8,814","1,153",403,324,"5,521",158,454,220,99,294,188
2020,3,20,"8,234","1,326",567,527,"3,702",243,706,344,172,389,258
2020,3,30,"9,319","1,021",430,372,"6,032",155,464,269,138,257,181
2020,3,40,"12,707","1,581",770,625,"7,215",276,736,464,208,530,302
2020,3,50,"12,450","1,881","1,196","1,196","3,617",599,"1,161",917,373,906,604
2020,3,60,"10,308","1,518","1,243","1,112","1,514",591,"1,204",991,478,"1,033",624
2020,3,70,"7,758","1,048","1,058",808,626,589,886,905,359,973,506
2020,3,80,"4,063",478,601,417,254,431,506,464,142,518,252
2020,3,90,563,54,82,69,32,51,74,67,35,71,28
2020,3,100,33,1,0,5,2,2,16,1,2,1,3
2020,4,총,"81,412","10,794","6,601","5,652","33,878","3,130","6,427","4,746","2,061","5,100","3,023"
2020,4,0,"7,138",762,276,202,"5,194",48,238,123,68,134,93
2020,4,10,"8,796","1,151",404,320,"5,520",155,459,219,97,290,181
2020,4,20,"8,236","1,315",556,530,"3,762",240,690,336,167,383,257
2020,4,30,"9,305","1,014",421,365,"6,056",155,458,266,137,253,180
2020,4,40,"12,724","1,566",771,624,"7,264",273,732,458,208,532,296
2020,4,50,"12,428","1,876","1,192","1,185","3,644",595,"1,152",914,371,902,597
2020,4,60,"10,344","1,528","1,240","1,126","1,526",591,"1,209",991,473,"1,032",628
2020,4,70,"7,745","1,045","1,060",801,625,586,891,900,360,970,507
2020,4,80,"4,091",483,600,421,252,432,507,468,144,531,253
2020,4,90,572,53,81,73,33,53,75,70,34,72,28
2020,4,100,33,1,0,5,2,2,16,1,2,1,3
