년도,월,나이,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020,3,총,"15,613","5,084",726,952,"1,190","4,163",940,793,"1,765"
2020,3,0,752,306,15,27,37,272,20,16,59
2020,3,10,998,435,21,19,42,379,19,31,52
2020,3,20,"1,168",446,43,60,97,335,59,30,98
2020,3,30,"1,109",422,28,46,68,386,45,24,90
2020,3,40,"1,748",752,48,57,94,591,51,51,104
2020,3,50,"2,669",832,117,164,226,744,170,121,295
2020,3,60,"2,874",831,149,205,244,681,213,178,373
2020,3,70,"2,313",616,149,199,202,459,183,167,338
2020,3,80,"1,739",391,139,153,155,280,159,158,304
2020,3,90,240,53,16,22,24,36,21,17,51
2020,3,100,3,0,1,0,1,0,0,0,1
2020,4,총,"15,602","5,095",726,959,"1,196","4,151",933,788,"1,754"
2020,4,0,732,299,16,24,36,265,18,16,58
2020,4,10,988,432,21,20,42,373,19,29,52
2020,4,20,"1,154",449,43,61,94,330,55,29,93
2020,4,30,"1,099",418,27,43,71,385,45,24,86
2020,4,40,"1,747",754,48,59,90,587,50,50,109
2020,4,50,"2,686",837,116,169,232,751,169,119,293
2020,4,60,"2,900",841,151,209,249,685,213,177,375
2020,4,70,"2,296",613,148,198,199,460,183,165,330
2020,4,80,"1,759",399,140,154,157,282,158,162,307
2020,4,90,238,53,15,22,25,33,23,17,50
2020,4,100,3,0,1,0,1,0,0,0,1
2020,5,총,"15,549","5,074",728,960,"1,192","4,139",926,785,"1,745"
2020,5,0,728,302,16,24,35,259,18,15,59
2020,5,10,985,429,21,19,41,374,20,30,51
2020,5,20,"1,122",431,43,61,95,325,50,26,91
2020,5,30,"1,084",416,26,44,67,379,44,23,85
2020,5,40,"1,743",748,48,61,90,587,50,50,109
2020,5,50,"2,681",842,120,165,232,752,164,120,286
2020,5,60,"2,909",841,151,209,251,685,217,177,378
2020,5,70,"2,303",615,148,200,200,464,183,162,331
2020,5,80,"1,759",399,140,155,156,283,157,165,304
2020,5,90,232,51,14,22,24,31,23,17,50
2020,5,100,3,0,1,0,1,0,0,0,1
2020,6,총,"15,497","5,067",729,957,"1,192","4,118",913,786,"1,735"
2020,6,0,726,299,16,25,35,259,18,14,60
2020,6,10,979,429,21,19,39,372,18,30,51
2020,6,20,"1,110",427,42,59,92,323,52,26,89
2020,6,30,"1,074",413,25,45,68,372,43,24,84
2020,6,40,"1,738",755,48,58,88,582,48,50,109
2020,6,50,"2,649",831,121,164,234,740,159,122,278
2020,6,60,"2,934",845,153,212,256,696,216,174,382
2020,6,70,"2,298",617,147,200,200,463,179,164,328
2020,6,80,"1,753",399,141,154,156,279,156,166,302
2020,6,90,233,52,14,21,23,32,24,16,51
2020,6,100,3,0,1,0,1,0,0,0,1
2020,7,총,"15,431","5,054",730,948,"1,190","4,099",913,776,"1,721"
2020,7,0,720,298,14,24,35,256,19,14,60
