년도,월,나이,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020,3,총,"162,614","3,473","37,857","2,204","11,241","10,646","11,845","2,958","3,658","1,683","2,329","10,538","5,024","3,585","18,509","9,287","13,325","14,452"
2020,3,0,"17,697",195,"5,015",117,"1,605","1,362","1,282",73,163,40,56,925,488,137,"2,254",841,"1,392","1,752"
2020,3,10,"17,583",263,"4,647",188,"1,472",866,688,164,214,62,100,"1,073",380,312,"2,453","1,286","1,613","1,802"
2020,3,20,"19,913",344,"4,818",184,"1,443","1,234","1,462",285,366,119,219,"1,342",578,569,"2,350","1,166","1,960","1,474"
2020,3,30,"26,550",407,"7,184",151,"2,079","2,092","2,765",239,446,123,191,"1,385","1,036",324,"2,748","1,068","2,086","2,226"
2020,3,40,"30,130",546,"7,383",341,"2,502","1,964","2,099",364,621,195,250,"1,896",864,482,"3,522","1,767","2,445","2,889"
2020,3,50,"24,462",638,"4,882",442,"1,316","1,469","1,698",610,779,312,511,"1,793",707,781,"2,718","1,607","1,982","2,217"
2020,3,60,"14,877",546,"2,394",386,471,"1,023","1,141",624,565,365,481,"1,179",543,541,"1,428",878,"1,073","1,239"
2020,3,70,"7,768",339,"1,096",266,240,456,488,375,307,289,325,649,299,301,730,464,555,589
2020,3,80,"3,320",179,395,117,105,167,205,204,180,163,185,271,115,123,281,182,205,243
2020,3,90,280,14,35,12,8,13,17,17,16,10,11,24,9,13,24,26,13,18
2020,3,100,34,2,8,0,0,0,0,3,1,5,0,1,5,2,1,2,1,3
2020,4,총,"162,676","3,454","37,863","2,194","11,304","10,653","11,892","2,956","3,650","1,678","2,332","10,497","5,016","3,556","18,485","9,408","13,286","14,452"
2020,4,0,"17,624",195,"4,980",117,"1,605","1,350","1,289",75,163,37,54,913,490,133,"2,228",848,"1,388","1,759"
2020,4,10,"17,570",262,"4,667",186,"1,464",870,696,162,214,62,97,"1,060",380,309,"2,457","1,293","1,602","1,789"
2020,4,20,"19,951",339,"4,814",184,"1,458","1,245","1,453",283,370,120,220,"1,346",572,563,"2,357","1,190","1,966","1,471"
2020,4,30,"26,476",403,"7,138",146,"2,098","2,078","2,780",239,438,122,190,"1,369","1,030",323,"2,720","1,099","2,072","2,231"
2020,4,40,"30,111",532,"7,410",335,"2,505","1,961","2,107",369,622,192,253,"1,884",862,472,"3,526","1,784","2,421","2,876"
2020,4,50,"24,516",645,"4,897",434,"1,343","1,471","1,701",603,772,312,508,"1,792",707,774,"2,720","1,624","1,986","2,227"
2020,4,60,"14,988",546,"2,424",396,473,"1,032","1,152",628,562,367,486,"1,188",543,538,"1,438",889,"1,073","1,253"
2020,4,70,"7,785",335,"1,091",268,244,462,493,370,311,289,327,650,305,304,730,469,556,581
2020,4,80,"3,336",181,399,116,106,170,203,206,180,162,186,270,113,125,284,184,207,244
2020,4,90,285,14,35,12,8,14,18,18,17,10,11,24,9,13,24,26,14,18
2020,4,100,34,2,8,0,0,0,0,3,1,5,0,1,5,2,1,2,1,3
2020,5,총,"162,712","3,446","37,880","2,192","11,346","10,672","11,919","2,948","3,644","1,659","2,322","10,498","5,011","5,613","18,430","9,429","11,185","14,518"
2020,5,0,"17,551",198,"4,960",117,"1,595","1,346","1,292",76,163,37,56,907,484,234,"2,204",846,"1,278","1,758"
2020,5,10,"17,562",258,"4,678",185,"1,479",872,697,159,212,59,97,"1,051",382,444,"2,445","1,281","1,460","1,803"
2020,5,20,"19,965",338,"4,816",183,"1,467","1,250","1,453",282,366,115,215,"1,357",565,975,"2,358","1,208","1,542","1,475"
2020,5,30,"26,363",399,"7,099",146,"2,118","2,054","2,787",238,439,120,184,"1,357","1,028",716,"2,692","1,106","1,659","2,221"
2020,5,40,"30,145",531,"7,426",335,"2,507","1,977","2,114",362,617,191,248,"1,887",865,807,"3,524","1,785","2,084","2,885"
2020,5,50,"24,532",637,"4,920",431,"1,345","1,472","1,700",598,772,307,508,"1,792",712,"1,063","2,713","1,620","1,692","2,250"
2020,5,60,"15,081",550,"2,440",392,478,"1,051","1,156",630,560,364,487,"1,196",541,756,"1,445",901,862,"1,272"
2020,5,70,"7,844",340,"1,100",271,244,465,495,374,318,289,331,652,305,442,738,472,420,588
2020,5,80,"3,350",179,397,120,105,171,207,208,180,162,186,274,115,158,285,184,175,244
2020,5,90,285,14,36,12,8,14,18,18,16,10,10,24,9,16,25,24,12,19
2020,5,100,34,2,8,0,0,0,0,3,1,5,0,1,5,2,1,2,1,3
2020,6,총,"162,398","3,426","37,822","2,177","11,328","10,641","11,943","2,959","3,624","1,657","2,300","10,459","5,007","5,621","18,338","9,446","11,145","14,505"
2020,6,0,"17,404",201,"4,919",117,"1,578","1,329","1,281",75,159,39,56,899,480,231,"2,183",846,"1,262","1,749"
2020,6,10,"17,590",253,"4,697",189,"1,479",879,704,162,212,59,92,"1,050",389,446,"2,437","1,278","1,458","1,806"
2020,6,20,"19,918",337,"4,808",178,"1,485","1,238","1,461",275,361,111,213,"1,349",567,979,"2,327","1,216","1,532","1,481"
2020,6,30,"26,100",396,"7,056",138,"2,085","2,019","2,784",245,425,122,183,"1,336","1,021",717,"2,644","1,099","1,642","2,188"
2020,6,40,"30,111",522,"7,421",332,"2,510","1,984","2,115",364,618,189,244,"1,880",859,808,"3,527","1,772","2,085","2,881"
2020,6,50,"24,533",631,"4,907",428,"1,353","1,482","1,704",591,763,305,499,"1,789",715,"1,055","2,709","1,634","1,696","2,272"
2020,6,60,"15,187",554,"2,465",391,479,"1,053","1,169",637,571,366,487,"1,209",540,770,"1,456",910,853,"1,277"
2020,6,70,"7,881",339,"1,106",272,248,472,502,377,317,290,327,649,310,440,742,478,427,585
2020,6,80,"3,359",178,399,121,103,171,207,212,181,161,189,272,112,158,287,188,176,244
2020,6,90,280,13,36,11,8,14,16,18,16,10,10,25,9,15,25,22,13,19
2020,6,100,35,2,8,0,0,0,0,3,1,5,0,1,5,2,1,3,1,3
2020,7,총,"162,566","3,424","38,000","2,179","11,364","10,619","11,989","2,963","3,619","1,651","2,289","10,437","4,983","5,615","18,371","9,437","11,132","14,494"
2020,7,0,"17,320",194,"4,922",112,"1,571","1,329","1,277",75,156,38,57,876,477,231,"2,165",836,"1,255","1,749"
2020,7,10,"17,622",255,"4,716",190,"1,485",877,711,165,211,59,92,"1,056",388,443,"2,445","1,275","1,462","1,792"
2020,7,20,"19,943",337,"4,865",179,"1,489","1,219","1,448",271,369,109,209,"1,338",564,973,"2,336","1,212","1,538","1,487"
2020,7,30,"26,014",394,"7,068",136,"2,084","2,009","2,799",246,415,119,185,"1,326","1,009",719,"2,626","1,099","1,620","2,160"
2020,7,40,"30,211",521,"7,473",327,"2,526","1,991","2,127",368,615,188,239,"1,877",861,801,"3,552","1,763","2,084","2,898"
2020,7,50,"24,582",628,"4,929",430,"1,359","1,482","1,729",583,765,304,496,"1,793",716,"1,053","2,717","1,630","1,698","2,270"
2020,7,60,"15,291",562,"2,474",397,489,"1,057","1,170",643,570,368,492,"1,214",530,781,"1,471",925,859,"1,289"
2020,7,70,"7,897",340,"1,112",273,251,467,501,379,320,293,324,654,313,441,744,481,422,582
2020,7,80,"3,373",178,398,124,102,174,212,213,181,157,186,277,110,158,287,192,179,245
2020,7,90,279,13,35,11,8,14,15,18,16,11,9,25,10,13,27,21,14,19
2020,7,100,34,2,8,0,0,0,0,2,1,5,0,1,5,2,1,3,1,3
2020,8,총,"162,873","3,424","38,275","2,165","11,407","10,623","12,014","2,955","3,606","1,638","2,280","10,408","4,966","5,592","18,378","9,583","11,112","14,447"
2020,8,0,"17,233",191,"4,917",107,"1,559","1,314","1,276",77,151,36,58,861,468,226,"2,149",852,"1,251","1,740"
2020,8,10,"17,674",253,"4,727",189,"1,497",887,717,162,213,58,88,"1,049",388,436,"2,444","1,304","1,472","1,790"
2020,8,20,"19,959",340,"4,928",175,"1,492","1,212","1,441",266,369,107,206,"1,341",564,967,"2,324","1,226","1,528","1,473"
2020,8,30,"26,077",388,"7,132",139,"2,084","2,015","2,808",245,416,115,184,"1,315","1,003",718,"2,640","1,125","1,608","2,142"
2020,8,40,"30,237",525,"7,538",322,"2,539","1,987","2,128",374,612,184,233,"1,858",858,793,"3,547","1,788","2,069","2,882"
2020,8,50,"24,675",625,"4,972",429,"1,376","1,487","1,739",579,749,303,494,"1,795",716,"1,049","2,728","1,656","1,700","2,278"
2020,8,60,"15,409",565,"2,503",395,501,"1,062","1,170",644,580,370,496,"1,227",533,782,"1,489",934,867,"1,291"
2020,8,70,"7,922",343,"1,121",273,250,470,510,377,320,293,322,658,311,447,739,481,423,584
2020,8,80,"3,371",179,395,124,102,175,208,213,179,156,190,277,110,159,289,192,177,246
2020,8,90,283,13,35,12,7,14,17,16,16,11,9,26,10,13,28,22,16,18
2020,8,100,33,2,7,0,0,0,0,2,1,5,0,1,5,2,1,3,1,3
2020,9,총,"163,138","3,425","38,459","2,173","11,420","10,654","12,059","2,939","3,604","1,640","2,283","10,388","4,949","5,577","18,382","9,660","11,092","14,434"
2020,9,0,"17,200",195,"4,940",105,"1,555","1,312","1,281",78,151,38,55,852,465,220,"2,132",860,"1,233","1,728"
2020,9,10,"17,656",253,"4,740",191,"1,496",894,725,162,215,57,85,"1,040",392,432,"2,437","1,297","1,462","1,778"
2020,9,20,"20,026",344,"4,948",175,"1,505","1,221","1,421",263,370,106,209,"1,341",556,971,"2,346","1,233","1,543","1,474"
2020,9,30,"26,000",385,"7,156",140,"2,068","2,009","2,817",240,410,112,185,"1,298",984,708,"2,620","1,148","1,583","2,137"
2020,9,40,"30,352",517,"7,593",322,"2,555","2,004","2,158",375,605,182,234,"1,856",860,797,"3,563","1,806","2,062","2,863"
