년도,월,나이,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2021,11,총,"160,282","9,218","12,378","8,338","10,587","4,739","13,713","25,467","10,417","16,331","13,250","14,909","8,364","7,377","5,194"
2021,11,0,"11,630",401,992,627,887,225,803,"1,738",619,"1,037","1,074","1,629",738,550,310
2021,11,10,"15,452",541,"1,640",646,"1,182",306,"1,064","2,266",830,"1,717","1,668","1,712",945,648,287
2021,11,20,"24,304","1,343","1,743","1,122","1,502",776,"2,226","4,266","1,690","3,303","2,009","1,694","1,141",952,537
2021,11,30,"21,934","1,230","1,395","1,084","1,411",737,"2,107","4,259","1,252","1,896","1,582","2,107","1,142","1,006",726
2021,11,40,"24,445","1,276","1,967","1,286","1,703",757,"2,040","4,075","1,409","2,292","1,823","2,669","1,196","1,199",753
2021,11,50,"30,415","1,708","2,436","1,625","1,887",878,"2,524","4,736","2,247","3,340","2,601","2,454","1,603","1,361","1,015"
2021,11,60,"21,719","1,724","1,433","1,283","1,314",685,"2,025","2,974","1,628","1,912","1,778","1,727","1,140","1,139",957
2021,11,70,"8,136",778,609,503,552,295,698,953,556,630,572,726,375,425,464
2021,11,80,"2,123",209,156,152,139,78,212,185,176,192,135,178,80,91,140
2021,11,90,123,8,7,10,10,2,14,15,10,12,8,13,4,5,5
2021,11,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,12,총,"160,055","9,169","12,357","8,339","10,558","4,747","13,706","25,492","10,400","16,327","13,230","14,877","8,339","7,379","5,135"
2021,12,0,"11,593",400,989,625,876,220,792,"1,736",621,"1,034","1,077","1,632",739,545,307
2021,12,10,"15,408",542,"1,644",642,"1,189",309,"1,058","2,247",831,"1,718","1,663","1,699",939,644,283
2021,12,20,"24,203","1,321","1,736","1,114","1,492",790,"2,214","4,291","1,676","3,297","1,988","1,687","1,121",952,524
2021,12,30,"21,901","1,235","1,392","1,080","1,402",737,"2,118","4,248","1,238","1,886","1,589","2,096","1,147","1,009",724
2021,12,40,"24,419","1,271","1,970","1,291","1,701",747,"2,037","4,086","1,408","2,291","1,824","2,670","1,191","1,181",751
2021,12,50,"30,324","1,669","2,407","1,639","1,881",877,"2,524","4,730","2,246","3,338","2,598","2,447","1,591","1,376","1,001"
2021,12,60,"21,792","1,726","1,447","1,285","1,309",689,"2,028","2,999","1,632","1,929","1,776","1,733","1,144","1,149",946
2021,12,70,"8,144",783,609,504,558,297,701,953,561,627,568,722,382,427,452
2021,12,80,"2,141",213,156,149,139,79,219,185,176,195,140,178,80,91,141
2021,12,90,130,9,7,10,11,2,15,17,11,12,7,13,5,5,6
2021,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
