년도,월,나이,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020,10,90,119,9,10,10,13,3,12,14,11,9,7,7,3,4,7
2020,10,100,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2020,11,총,"163,513","9,726","12,751","8,296","10,932","4,710","13,830","25,270","10,702","16,551","13,416","15,297","8,487","7,541","6,004"
2020,11,0,"12,361",443,"1,040",666,962,247,852,"1,824",680,"1,133","1,055","1,759",776,628,296
2020,11,10,"16,211",579,"1,713",658,"1,232",316,"1,141","2,311",925,"1,834","1,796","1,700",996,677,333
2020,11,20,"25,620","1,526","1,875","1,170","1,621",793,"2,323","4,274","1,820","3,330","2,155","1,842","1,229",989,673
2020,11,30,"22,529","1,310","1,496","1,069","1,451",703,"2,114","4,245","1,256","1,933","1,582","2,278","1,180","1,077",835
2020,11,40,"25,239","1,351","2,022","1,279","1,767",755,"2,099","4,112","1,479","2,427","1,862","2,758","1,212","1,227",889
2020,11,50,"31,188","1,848","2,476","1,654","1,951",903,"2,549","4,735","2,356","3,379","2,659","2,473","1,638","1,385","1,182"
2020,11,60,"20,487","1,696","1,380","1,164","1,282",642,"1,879","2,738","1,477","1,724","1,667","1,640","1,061","1,055","1,082"
2020,11,70,"7,821",773,607,483,520,283,668,850,538,617,520,677,323,399,563
2020,11,80,"1,927",191,132,141,132,65,192,167,160,164,113,161,69,96,144
2020,11,90,122,8,10,10,13,3,12,14,11,10,7,9,3,5,7
2020,11,100,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2020,12,총,"163,198","9,688","12,725","8,283","10,881","4,689","13,827","25,294","10,633","16,526","13,378","15,247","8,496","7,512","6,019"
2020,12,0,"12,295",438,"1,036",658,961,244,848,"1,815",672,"1,121","1,045","1,753",773,628,303
2020,12,10,"16,170",580,"1,725",658,"1,215",320,"1,130","2,302",914,"1,831","1,797","1,688",999,671,340
2020,12,20,"25,501","1,511","1,858","1,160","1,603",788,"2,322","4,302","1,810","3,312","2,137","1,836","1,220",981,661
2020,12,30,"22,467","1,299","1,482","1,070","1,456",702,"2,111","4,221","1,238","1,945","1,575","2,257","1,190","1,073",848
2020,12,40,"25,173","1,347","2,022","1,278","1,762",746,"2,087","4,120","1,470","2,425","1,851","2,755","1,204","1,223",883
2020,12,50,"31,077","1,831","2,472","1,652","1,931",898,"2,557","4,729","2,337","3,354","2,659","2,454","1,647","1,374","1,182"
2020,12,60,"20,579","1,708","1,381","1,169","1,287",636,"1,891","2,766","1,484","1,736","1,669","1,649","1,060","1,063","1,080"
2020,12,70,"7,856",765,603,482,521,286,676,860,538,621,525,685,329,396,569
2020,12,80,"1,947",199,137,144,132,66,191,164,159,170,113,161,70,95,146
2020,12,90,125,9,9,10,12,3,13,15,11,11,7,9,4,5,7
2020,12,100,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2021,1,총,"163,120","9,666","12,699","8,272","10,850","4,704","13,830","25,359","10,619","16,509","13,348","15,257","8,508","7,461","6,038"
2021,1,0,"12,187",435,"1,023",651,942,248,829,"1,789",667,"1,103","1,048","1,736",781,620,315
2021,1,10,"16,155",572,"1,729",660,"1,216",316,"1,134","2,310",911,"1,829","1,775","1,705",997,665,336
2021,1,20,"25,431","1,490","1,854","1,152","1,594",789,"2,322","4,332","1,811","3,299","2,132","1,833","1,208",962,653
2021,1,30,"22,430","1,299","1,459","1,068","1,444",705,"2,110","4,245","1,241","1,938","1,569","2,249","1,191","1,056",856
2021,1,40,"25,152","1,344","2,023","1,284","1,773",741,"2,088","4,116","1,454","2,436","1,847","2,739","1,210","1,213",884
2021,1,50,"30,996","1,830","2,476","1,630","1,914",903,"2,557","4,728","2,325","3,348","2,643","2,458","1,636","1,365","1,183"
2021,1,60,"20,753","1,716","1,379","1,188","1,299",642,"1,903","2,787","1,504","1,753","1,684","1,666","1,074","1,072","1,086"
2021,1,70,"7,912",766,607,481,517,289,683,874,540,622,527,696,337,404,569
2021,1,80,"1,970",204,140,146,138,69,191,162,155,170,116,165,70,95,149
2021,1,90,126,9,9,10,12,2,12,16,11,11,7,10,4,6,7
2021,1,100,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2021,2,총,"162,809","9,665","12,654","8,299","10,776","4,694","13,800","25,376","10,566","16,460","13,332","15,197","8,514","7,426","6,050"
2021,2,0,"12,137",430,"1,025",656,933,245,822,"1,785",663,"1,089","1,067","1,719",774,607,322
2021,2,10,"16,017",576,"1,718",655,"1,205",310,"1,115","2,292",899,"1,804","1,745","1,704",992,660,342
2021,2,20,"25,280","1,473","1,840","1,160","1,570",788,"2,307","4,334","1,799","3,284","2,093","1,816","1,211",956,649
2021,2,30,"22,441","1,314","1,457","1,072","1,436",706,"2,108","4,262","1,228","1,932","1,593","2,230","1,186","1,048",869
