년도,월,나이,서천군,장항읍,서천읍,마서면,화양면,기산면,한산면,마산면,시초면,문산면,판교면,종천면,비인면,서면
2020,1,총,"52,702","11,276","13,813","5,067","2,315","1,716","2,602","1,535","1,307","1,289","2,167","2,079","3,059","4,477"
2020,1,0,"2,445",594,"1,034",178,56,41,63,60,30,35,45,49,55,205
2020,1,10,"3,665",927,"1,561",227,61,63,113,75,65,28,71,84,123,267
2020,1,20,"4,121","1,077","1,386",334,113,91,161,82,62,41,110,112,227,325
2020,1,30,"3,732",917,"1,201",342,118,76,122,83,66,65,104,102,183,353
2020,1,40,"6,116","1,639","2,056",517,170,135,248,110,83,100,160,161,244,493
2020,1,50,"8,802","1,940","2,253",844,328,285,385,234,203,202,359,349,580,840
2020,1,60,"9,938","1,915","2,019","1,040",513,345,528,334,279,317,512,484,693,959
2020,1,70,"7,932","1,462","1,374",922,468,351,504,291,251,276,420,404,562,647
2020,1,80,"5,171",715,789,566,435,280,419,239,242,198,333,282,328,345
2020,1,90,738,85,133,91,49,47,56,27,25,24,51,49,60,41
2020,1,100,42,5,7,6,4,2,3,0,1,3,2,3,4,2
2020,2,총,"52,582","11,253","13,804","5,053","2,299","1,706","2,598","1,531","1,301","1,282","2,156","2,069","3,051","4,479"
2020,2,0,"2,447",598,"1,038",175,55,38,63,59,29,36,46,49,56,205
2020,2,10,"3,635",917,"1,546",231,61,64,111,75,62,28,70,84,116,270
2020,2,20,"4,056","1,062","1,370",320,107,91,161,83,62,39,102,111,227,321
2020,2,30,"3,693",909,"1,186",337,117,73,122,82,67,61,103,102,179,355
2020,2,40,"6,122","1,636","2,065",517,165,138,246,111,81,97,164,159,245,498
2020,2,50,"8,746","1,932","2,247",841,323,281,382,229,203,201,353,342,582,830
2020,2,60,"9,964","1,922","2,038","1,040",512,344,532,335,277,317,512,486,694,955
2020,2,70,"7,916","1,463","1,370",920,469,346,503,289,253,275,423,402,549,654
2020,2,80,"5,208",723,802,570,436,280,419,241,242,200,329,281,338,347
2020,2,90,752,86,135,96,50,49,56,27,24,25,51,50,61,42
2020,2,100,43,5,7,6,4,2,3,0,1,3,3,3,4,2
2020,3,총,"52,494","11,234","13,794","5,036","2,308","1,712","2,595","1,526","1,293","1,280","2,151","2,071","3,030","4,464"
2020,3,0,"2,422",591,"1,035",171,55,38,59,59,28,35,46,49,53,203
2020,3,10,"3,608",911,"1,540",226,64,59,112,75,60,29,70,85,110,267
2020,3,20,"4,058","1,078","1,367",320,103,93,161,82,62,37,102,109,225,319
2020,3,30,"3,661",897,"1,191",337,116,70,123,80,68,62,99,100,165,353
2020,3,40,"6,082","1,609","2,054",516,169,140,244,110,79,94,163,161,249,494
2020,3,50,"8,712","1,932","2,242",838,328,281,381,230,198,202,355,326,580,819
2020,3,60,"9,985","1,936","2,041","1,037",512,347,528,329,279,315,510,503,690,958
2020,3,70,"7,934","1,465","1,371",919,470,348,508,293,250,279,417,403,557,654
2020,3,80,"5,223",724,808,573,436,283,418,241,244,197,333,280,336,350
2020,3,90,766,86,138,93,51,51,58,27,24,27,53,52,61,45
2020,3,100,43,5,7,6,4,2,3,0,1,3,3,3,4,2
2020,4,총,"52,374","11,192","13,798","5,035","2,301","1,701","2,578","1,527","1,288","1,281","2,140","2,065","3,019","4,449"
2020,4,0,"2,421",591,"1,032",176,57,39,56,60,29,33,46,48,52,202
2020,4,10,"3,584",905,"1,537",223,62,58,112,72,60,31,70,85,106,263
2020,4,20,"4,030","1,072","1,367",318,104,94,159,83,60,38,99,105,222,309
2020,4,30,"3,632",890,"1,188",332,117,69,117,79,68,58,100,101,164,349
2020,4,40,"6,059","1,599","2,050",516,169,139,239,110,79,98,161,156,247,496
2020,4,50,"8,665","1,922","2,242",833,319,273,379,228,198,200,347,323,580,821
2020,4,60,"9,971","1,930","2,038","1,039",511,346,526,334,275,312,509,500,689,962
2020,4,70,"7,963","1,474","1,381",923,469,344,516,292,251,277,423,406,554,653
2020,4,80,"5,231",715,816,579,435,286,412,242,242,203,331,284,339,347
2020,4,90,775,89,139,91,54,51,59,27,25,28,51,54,62,45
2020,4,100,43,5,8,5,4,2,3,0,1,3,3,3,4,2
2020,5,총,"52,247","11,137","13,785","5,011","2,302","1,693","2,585","1,529","1,287","1,277","2,124","2,063","3,017","4,437"
2020,5,0,"2,414",588,"1,029",176,58,37,59,59,29,33,41,48,53,204
2020,5,10,"3,548",888,"1,521",216,62,58,115,71,60,31,71,85,108,262
2020,5,20,"4,007","1,066","1,369",320,100,91,154,85,57,37,97,107,214,310
2020,5,30,"3,599",885,"1,175",322,121,66,119,79,69,61,95,100,165,342
2020,5,40,"6,009","1,579","2,050",508,171,139,239,109,78,95,155,153,251,482
2020,5,50,"8,624","1,917","2,250",822,311,266,378,228,196,197,342,320,574,823
2020,5,60,"9,985","1,933","2,038","1,039",511,353,522,336,275,309,510,500,695,964
2020,5,70,"7,983","1,469","1,389",932,471,344,519,294,250,280,424,404,553,654
2020,5,80,"5,250",718,818,579,435,288,415,239,245,204,333,289,337,350
2020,5,90,785,89,138,92,58,50,62,28,27,27,53,54,63,44
2020,5,100,43,5,8,5,4,1,3,1,1,3,3,3,4,2
2020,6,총,"52,209","11,103","13,850","4,983","2,311","1,692","2,565","1,523","1,283","1,280","2,130","2,051","3,009","4,429"
2020,6,0,"2,397",574,"1,038",170,58,35,58,58,27,32,41,49,54,203
2020,6,10,"3,537",882,"1,528",219,63,61,113,69,59,29,71,81,103,259
2020,6,20,"3,979","1,058","1,371",309,99,90,150,84,58,39,100,105,216,300
2020,6,30,"3,593",881,"1,183",320,125,64,113,79,67,60,96,104,166,335
2020,6,40,"5,980","1,561","2,047",503,167,143,238,107,77,98,154,150,252,483
2020,6,50,"8,610","1,919","2,273",819,313,262,372,224,192,194,337,316,564,825
2020,6,60,"10,053","1,947","2,055","1,044",520,356,521,341,279,312,520,499,691,968
2020,6,70,"8,004","1,466","1,392",934,473,342,519,296,251,283,425,400,561,662
2020,6,80,"5,231",721,817,570,432,288,415,235,243,204,331,292,334,349
2020,6,90,781,89,137,90,57,50,63,29,29,26,52,52,64,43
2020,6,100,44,5,9,5,4,1,3,1,1,3,3,3,4,2
2020,7,총,"52,223","11,113","13,840","4,987","2,316","1,692","2,567","1,518","1,285","1,284","2,132","2,047","3,009","4,433"
2020,7,0,"2,393",574,"1,039",173,59,34,57,56,27,34,42,46,52,200
2020,7,10,"3,537",882,"1,523",219,63,58,115,71,58,29,70,84,107,258
2020,7,20,"3,950","1,053","1,370",305,99,89,146,83,57,36,97,102,212,301
2020,7,30,"3,549",880,"1,161",318,121,64,114,76,66,58,90,105,164,332
2020,7,40,"5,987","1,567","2,032",506,170,141,238,105,77,100,157,151,248,495
2020,7,50,"8,624","1,926","2,283",819,315,263,368,225,189,197,344,314,563,818
2020,7,60,"10,076","1,942","2,068","1,044",518,358,529,340,286,311,518,495,694,973
2020,7,70,"8,032","1,471","1,396",936,476,346,517,294,251,288,427,402,566,662
2020,7,80,"5,236",725,821,571,433,286,414,237,243,202,332,291,332,349
2020,7,90,796,88,138,91,58,52,66,30,30,27,52,54,67,43
2020,7,100,43,5,9,5,4,1,3,1,1,2,3,3,4,2
2020,8,총,"52,137","11,108","13,812","4,988","2,311","1,682","2,561","1,519","1,289","1,285","2,123","2,039","2,998","4,422"
2020,8,0,"2,369",562,"1,030",170,58,33,59,59,27,35,39,45,53,199
