년도,월,나이,안산시,상록구,일동,이동,사동,사이동,해양동,본오1동,본오2동,본오3동,부곡동,월피동,성포동,반월동,안산동,단원구,와동,고잔동,중앙동,호수동,원곡동,백운동,신길동,초지동,선부1동,선부2동,선부3동,대부동
2020,1,총,"333,471","175,550","13,218","13,358","17,973","16,838","9,464","20,350","13,797","10,431","11,673","20,520","13,756","9,348","4,824","157,921","20,894","11,288","12,971","23,156","3,828","9,724","12,322","24,656","5,871","9,941","18,803","4,467"
2020,1,0,"23,525","12,145",991,667,"1,116","1,400",786,"1,578",932,600,868,"1,314",990,628,275,"11,380","1,488",671,909,"1,867",148,725,942,"2,125",381,552,"1,399",173
2020,1,10,"34,911","18,237","1,339",944,"1,683","2,012","1,214","2,289","1,594",989,"1,163","2,296","1,559",736,419,"16,674","2,243","1,086","1,271","3,003",174,"1,017","1,367","2,714",463,997,"2,115",224
2020,1,20,"55,904","30,127","2,018","2,396","3,380","2,822","1,833","3,291","2,262","1,838","1,928","3,903","2,590","1,206",660,"25,777","3,362","2,217","2,520","4,071",320,"1,514","1,769","4,051",913,"1,478","3,160",402
2020,1,30,"46,496","23,574","1,844","2,372","2,874","2,199","1,054","2,731","1,676","1,372","1,408","2,495","1,718","1,274",557,"22,922","3,012","1,804","2,224","2,729",424,"1,383","1,787","4,047","1,027","1,260","2,838",387
2020,1,40,"56,255","29,544","2,561","2,334","3,170","2,876","1,473","3,739","2,346","1,744","2,026","3,241","1,760","1,497",777,"26,711","3,926","1,720","1,899","3,737",703,"1,513","2,300","4,373",943,"1,811","3,255",531
2020,1,50,"65,185","34,467","2,432","2,533","3,386","3,219","1,775","3,893","2,766","2,130","2,507","4,263","2,834","1,712","1,017","30,718","4,138","2,102","2,301","4,802","1,077","1,894","2,261","4,192","1,084","2,295","3,577",995
2020,1,60,"33,588","17,555","1,210","1,304","1,382","1,588",959,"1,770","1,390","1,092","1,132","2,048","1,600","1,346",734,"16,033","1,786","1,094","1,345","2,155",569,"1,160","1,286","2,096",736,"1,024","1,776","1,006"
2020,1,70,"12,687","7,055",608,593,603,523,291,775,578,436,447,681,494,737,289,"5,632",697,425,376,577,308,410,450,753,219,393,492,532
2020,1,80,"4,487","2,594",198,198,327,181,75,272,236,212,185,260,173,192,85,"1,893",220,162,111,190,94,101,147,281,97,114,184,192
2020,1,90,411,242,17,17,50,18,4,12,16,18,8,19,35,18,10,169,22,7,13,24,10,7,13,22,7,16,6,22
2020,1,100,22,10,0,0,2,0,0,0,1,0,1,0,3,2,1,12,0,0,2,1,1,0,0,2,1,1,1,3
2020,2,총,"333,839","175,761","13,197","13,336","17,899","16,925","10,298","20,259","13,713","10,366","11,564","20,418","13,665","9,303","4,818","158,078","20,786","11,252","12,975","23,064","3,787","9,612","12,273","24,579","6,867","9,784","18,645","4,454"
2020,2,0,"23,523","12,187",987,651,"1,091","1,410",974,"1,571",906,588,854,"1,297",972,614,272,"11,336","1,456",664,903,"1,858",149,714,930,"2,093",487,539,"1,371",172
2020,2,10,"34,682","18,131","1,327",929,"1,665","1,976","1,333","2,263","1,562",982,"1,142","2,266","1,542",726,418,"16,551","2,228","1,068","1,242","2,970",170,995,"1,364","2,683",566,977,"2,067",221
2020,2,20,"55,859","30,040","2,023","2,393","3,374","2,837","1,901","3,252","2,241","1,818","1,908","3,875","2,554","1,203",661,"25,819","3,345","2,211","2,556","4,053",304,"1,498","1,753","4,049","1,068","1,447","3,144",391
2020,2,30,"46,565","23,587","1,822","2,352","2,845","2,240","1,182","2,721","1,672","1,370","1,383","2,465","1,714","1,264",557,"22,978","2,979","1,798","2,228","2,738",420,"1,379","1,765","4,038","1,212","1,225","2,812",384
2020,2,40,"56,265","29,564","2,554","2,319","3,158","2,871","1,679","3,722","2,318","1,719","2,012","3,224","1,740","1,480",768,"26,701","3,920","1,717","1,899","3,703",683,"1,481","2,294","4,359","1,111","1,770","3,231",533
2020,2,50,"65,240","34,545","2,439","2,548","3,384","3,247","1,846","3,874","2,774","2,124","2,483","4,258","2,830","1,717","1,021","30,695","4,095","2,098","2,287","4,760","1,070","1,878","2,257","4,182","1,255","2,275","3,562",976
2020,2,60,"33,994","17,751","1,213","1,329","1,405","1,610","1,001","1,794","1,406","1,096","1,138","2,075","1,606","1,342",736,"16,243","1,825","1,100","1,356","2,180",580,"1,154","1,294","2,114",820,"1,025","1,774","1,021"
2020,2,70,"12,726","7,069",615,591,595,529,304,774,580,434,445,680,493,738,291,"5,657",697,428,377,585,305,402,454,753,242,391,490,533
2020,2,80,"4,546","2,629",201,205,328,188,73,275,237,217,190,259,175,198,83,"1,917",219,161,112,193,95,104,150,282,97,119,187,198
2020,2,90,415,246,16,18,51,17,5,13,16,18,8,19,36,19,10,169,22,7,13,23,10,7,12,24,8,15,6,22
2020,2,100,24,12,0,1,3,0,0,0,1,0,1,0,3,2,1,12,0,0,2,1,1,0,0,2,1,1,1,3
