년도,월,나이,제주특별자치도,제주특별자치도 제주시,제주특별자치도 서귀포시
2020,1,총,"337,231","245,389","91,842"
2020,1,0,"31,892","24,183","7,709"
2020,1,10,"37,527","28,395","9,132"
2020,1,20,"43,459","33,042","10,417"
2020,1,30,"42,887","32,510","10,377"
2020,1,40,"58,558","42,408","16,150"
2020,1,50,"57,780","40,996","16,784"
2020,1,60,"36,970","25,396","11,574"
2020,1,70,"20,107","13,182","6,925"
2020,1,80,"7,471","4,892","2,579"
2020,1,90,546,362,184
2020,1,100,34,23,11
2020,2,총,"337,295","245,546","91,749"
2020,2,0,"31,903","24,229","7,674"
2020,2,10,"37,424","28,288","9,136"
2020,2,20,"43,389","33,033","10,356"
2020,2,30,"42,697","32,398","10,299"
2020,2,40,"58,541","42,424","16,117"
2020,2,50,"57,889","41,087","16,802"
2020,2,60,"37,203","25,554","11,649"
2020,2,70,"20,135","13,221","6,914"
2020,2,80,"7,530","4,923","2,607"
2020,2,90,550,366,184
2020,2,100,34,23,11
