년도,월,나이,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020,3,총,"174,042","8,872","10,467","17,305","10,007","9,854","10,232","6,535","7,943","11,049","8,056","8,311","10,392","18,490","2,079","5,460","20,859","8,131"
2020,3,0,"8,147",366,373,821,331,322,407,210,225,385,297,659,364,"1,424",94,173,"1,396",300
2020,3,10,"11,641",551,585,"1,348",674,537,665,389,522,625,512,604,676,"1,248",125,352,"1,767",461
2020,3,20,"22,328","1,367","1,333","2,472","1,183","1,088","1,332",722,"1,055","1,349","1,070",956,"1,341","2,392",251,671,"2,733","1,013"
2020,3,30,"18,355","1,012","1,006","2,040",933,831,"1,020",629,739,"1,047",772,"1,021","1,053","2,446",211,493,"2,345",757
2020,3,40,"23,793","1,107","1,360","2,362","1,409","1,219","1,355",830,"1,074","1,498","1,062","1,253","1,431","2,624",274,732,"3,072","1,131"
2020,3,50,"35,321","1,730","2,078","3,257","2,155","1,979","2,093","1,323","1,719","2,483","1,687","1,547","2,300","3,551",444,"1,209","4,076","1,690"
2020,3,60,"30,071","1,539","1,934","2,805","1,753","1,876","1,845","1,262","1,423","2,017","1,428","1,307","1,825","2,833",409,"1,065","3,323","1,427"
2020,3,70,"16,935",821,"1,250","1,525","1,093","1,360","1,038",804,817,"1,189",846,685,987,"1,362",202,520,"1,506",930
2020,3,80,"6,608",338,495,600,414,561,428,338,333,417,342,247,363,525,56,222,541,388
2020,3,90,744,32,45,73,54,63,38,27,29,35,34,31,50,81,7,23,88,34
2020,3,100,99,9,8,2,8,18,11,1,7,4,6,1,2,4,6,0,12,0
2020,4,총,"173,807","8,881","10,437","17,277","9,990","9,877","10,224","6,577","7,925","11,090","8,046","8,284","10,365","18,472","2,030","5,448","20,780","8,104"
2020,4,0,"8,110",365,368,813,332,323,404,212,225,387,292,661,365,"1,419",92,173,"1,381",298
2020,4,10,"11,544",554,576,"1,335",666,534,664,388,511,622,510,605,664,"1,249",125,347,"1,742",452
2020,4,20,"22,249","1,371","1,311","2,490","1,180","1,092","1,332",711,"1,056","1,362","1,054",942,"1,326","2,385",246,663,"2,722","1,006"
2020,4,30,"18,247","1,000","1,006","2,015",924,831,"1,017",637,732,"1,049",760,"1,013","1,050","2,440",206,494,"2,323",750
2020,4,40,"23,721","1,113","1,362","2,349","1,396","1,215","1,350",838,"1,068","1,496","1,065","1,251","1,411","2,623",274,723,"3,053","1,134"
2020,4,50,"35,227","1,728","2,073","3,248","2,154","1,983","2,074","1,333","1,711","2,497","1,689","1,529","2,298","3,538",426,"1,201","4,076","1,669"
2020,4,60,"30,208","1,540","1,947","2,819","1,752","1,878","1,862","1,269","1,434","2,025","1,446","1,311","1,842","2,838",394,"1,079","3,329","1,443"
2020,4,70,"17,015",830,"1,246","1,533","1,105","1,377","1,040",816,814,"1,197",849,688,991,"1,363",200,526,"1,513",927
2020,4,80,"6,642",339,495,601,418,563,432,345,337,416,340,252,366,533,54,221,540,390
2020,4,90,745,32,46,72,55,63,38,27,30,35,35,31,49,80,7,21,89,35
2020,4,100,99,9,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020,5,총,"173,278","8,834","10,406","17,225","9,970","9,845","10,194","6,547","7,890","11,106","8,048","8,283","10,318","18,446","2,002","5,426","20,723","8,015"
2020,5,0,"8,004",359,365,802,321,316,396,209,220,389,302,654,360,"1,396",93,171,"1,362",289
2020,5,10,"11,442",549,564,"1,309",664,527,658,380,505,617,512,602,659,"1,250",124,346,"1,732",444
2020,5,20,"22,118","1,360","1,316","2,492","1,181","1,088","1,335",697,"1,046","1,353","1,032",944,"1,321","2,358",242,654,"2,706",993
2020,5,30,"18,110",988,997,"2,024",916,825,"1,003",637,726,"1,045",758,994,"1,034","2,417",204,502,"2,300",740
2020,5,40,"23,611","1,102","1,357","2,323","1,389","1,199","1,349",834,"1,062","1,493","1,073","1,254","1,411","2,622",268,711,"3,048","1,116"
2020,5,50,"35,132","1,736","2,068","3,237","2,150","1,988","2,067","1,325","1,698","2,507","1,680","1,540","2,268","3,542",416,"1,196","4,058","1,656"
2020,5,60,"30,263","1,539","1,951","2,818","1,756","1,873","1,860","1,272","1,444","2,031","1,450","1,310","1,855","2,854",386,"1,078","3,350","1,436"
2020,5,70,"17,081",829,"1,234","1,540","1,111","1,384","1,047",821,812,"1,209",856,702,994,"1,380",200,521,"1,517",924
2020,5,80,"6,665",333,500,605,420,564,427,344,339,421,343,252,364,540,56,226,547,384
