년도,월,나이,고양시,덕양구,주교동,원신동,흥도동,성사1동,성사2동,효자동,삼송동,창릉동,고양동,관산동,능곡동,화정1동,화정2동,행주동,행신1동,행신2동,행신3동,화전동,대덕동,일산동구,식사동,중산동,정발산동,풍산동,백석1동,백석2동,마두1동,마두2동,장항1동,장항2동,고봉동,일산서구,일산1동,일산2동,일산3동,탄현동,주엽1동,주엽2동,대화동,송포동,송산동
2020,1,총,"544,838","236,133","7,587","12,359","22,896","11,120","6,041","3,293","11,292","9,950","15,461","17,925","7,795","19,873","17,470","9,535","11,620","16,738","24,193","9,864","1,121","152,903","17,606","24,620","12,531","20,446","16,317","10,788","12,865","8,849","4,793","13,367","10,721","155,802","14,514","9,666","18,815","26,993","15,077","15,770","18,046","10,910","26,011"
2020,1,0,"41,552","19,108",303,"1,645","2,844",685,354,373,"1,138","1,154","1,234","1,120",444,"1,101","1,453",411,786,"1,219","1,495","1,303",46,"10,627","1,714","1,758",651,"1,723","1,054",482,750,627,577,598,693,"11,817","1,100",559,"1,344","2,411","1,060","1,024","1,120",812,"2,387"
2020,1,10,"52,868","20,696",603,938,"1,844",932,558,243,681,730,"1,605","1,400",619,"1,894","1,961",651,"1,126","1,513","2,600",713,85,"14,848","2,238","2,271","1,146","2,306","1,449",688,"1,644","1,141",423,787,755,"17,324","1,426",765,"2,912","2,899","1,712","1,700","1,462","1,186","3,262"
2020,1,20,"73,259","30,173","1,000","1,214","2,575","1,422",688,547,"1,401","1,213","1,636","1,994",971,"3,187","2,289","1,357","1,588","2,428","3,400","1,093",170,"22,111","2,370","3,369","1,994","2,647","2,553","1,735","1,996","1,147",495,"2,522","1,283","20,975","1,967","1,390","2,442","3,738","1,828","1,940","3,197","1,432","3,041"
2020,1,30,"71,667","32,841",687,"2,290","4,248","1,267",688,654,"2,106","2,200","1,756","2,039",882,"2,121","2,215","1,027","1,366","2,438","2,658","2,089",110,"19,881","2,148","2,911","1,493","2,548","2,364","1,832","1,235",908,838,"2,302","1,302","18,945","1,705","1,015","1,832","3,747","1,747","1,794","2,503","1,470","3,132"
2020,1,40,"95,834","39,081","1,123","2,052","3,889","1,804",983,475,"1,690","1,638","2,708","2,678","1,189","3,383","3,514","1,353","1,954","2,747","4,307","1,474",120,"27,795","3,735","4,101","2,046","3,847","2,935","1,978","2,414","1,726",860,"2,570","1,583","28,958","2,482","1,413","4,191","5,028","2,777","2,799","2,968","2,076","5,224"
2020,1,50,"96,839","40,848","1,537","1,815","3,237","2,121","1,100",419,"1,743","1,272","2,392","3,425","1,593","3,817","2,952","1,978","2,228","3,059","4,633","1,341",186,"27,959","2,908","4,867","2,470","3,524","3,013","1,853","2,478","1,578",817,"2,313","2,138","28,032","2,722","2,174","3,302","4,736","2,643","2,771","3,349","1,963","4,372"
2020,1,60,"54,783","26,129","1,119","1,368","2,277","1,410",748,261,"1,295",948,"2,069","2,665","1,045","1,881","1,367","1,342","1,230","1,517","2,395","1,011",181,"14,600","1,259","2,563","1,412","1,930","1,555","1,046","1,133",713,461,"1,029","1,499","14,054","1,470","1,180","1,366","2,049","1,403","1,473","1,732","1,005","2,376"
2020,1,70,"34,789","16,833",747,662,"1,277",911,560,195,800,507,"1,335","1,645",647,"1,524","1,032",851,842,"1,094","1,558",508,138,"8,783",794,"1,569",796,"1,157",875,670,678,506,205,718,815,"9,173","1,037",697,792,"1,373","1,028","1,239","1,027",594,"1,386"
2020,1,80,"19,778","8,840",405,326,599,472,318,97,367,228,617,774,330,844,607,473,432,633,981,268,69,"5,315",369,"1,008",447,657,450,432,447,430,90,455,530,"5,623",517,404,532,878,773,908,595,321,695
2020,1,90,"3,232","1,430",59,45,101,85,40,20,61,49,100,157,64,110,78,86,64,84,162,52,13,942,68,192,72,102,65,67,85,72,25,72,122,860,80,65,97,131,101,117,89,50,130
2020,1,100,237,154,4,4,5,11,4,9,10,11,9,28,11,11,2,6,4,6,4,12,3,42,3,11,4,5,4,5,5,1,2,1,1,41,8,4,5,3,5,5,4,1,6
2020,2,총,"546,119","237,186","7,558","12,362","22,871","11,100","6,004","4,545","11,350","9,946","15,416","17,933","7,788","19,812","17,452","9,490","11,563","16,743","24,136","10,014","1,103","153,082","17,629","24,640","12,483","20,441","16,314","10,791","12,821","8,833","5,029","13,375","10,726","155,851","14,489","9,628","18,816","26,960","15,070","15,786","18,065","10,938","26,099"
2020,2,0,"41,571","19,192",299,"1,620","2,835",675,351,637,"1,128","1,154","1,224","1,113",448,"1,081","1,439",391,760,"1,207","1,475","1,310",45,"10,611","1,705","1,757",641,"1,712","1,053",484,743,621,622,587,686,"11,768","1,102",549,"1,359","2,397","1,044","1,017","1,102",819,"2,379"
2020,2,10,"52,763","20,694",589,949,"1,849",930,547,349,691,732,"1,589","1,397",603,"1,865","1,950",638,"1,125","1,508","2,574",727,82,"14,831","2,254","2,264","1,128","2,289","1,449",685,"1,645","1,139",447,783,748,"17,238","1,414",755,"2,917","2,881","1,692","1,713","1,448","1,160","3,258"
2020,2,20,"73,138","30,149",997,"1,200","2,547","1,422",677,674,"1,382","1,191","1,642","1,973",975,"3,162","2,274","1,360","1,581","2,422","3,408","1,102",160,"22,053","2,363","3,357","1,983","2,653","2,538","1,729","1,972","1,125",522,"2,529","1,282","20,936","1,946","1,378","2,417","3,736","1,813","1,925","3,224","1,441","3,056"
2020,2,30,"71,895","33,073",683,"2,284","4,222","1,257",671,958,"2,128","2,218","1,744","2,038",883,"2,129","2,215","1,015","1,349","2,422","2,645","2,104",108,"19,886","2,150","2,915","1,484","2,521","2,358","1,821","1,234",908,889,"2,307","1,299","18,936","1,689","1,012","1,840","3,739","1,751","1,785","2,499","1,483","3,138"
2020,2,40,"95,850","39,213","1,112","2,063","3,901","1,784",975,678,"1,718","1,644","2,712","2,673","1,179","3,343","3,502","1,360","1,952","2,739","4,249","1,508",121,"27,735","3,729","4,077","2,020","3,828","2,931","1,973","2,411","1,730",888,"2,560","1,588","28,902","2,460","1,391","4,192","5,001","2,778","2,800","2,970","2,075","5,235"
2020,2,50,"97,230","41,023","1,537","1,815","3,245","2,134","1,103",553,"1,740","1,254","2,375","3,419","1,596","3,833","2,954","1,958","2,227","3,076","4,661","1,356",187,"28,079","2,919","4,893","2,477","3,553","3,012","1,856","2,452","1,580",853,"2,332","2,152","28,128","2,745","2,171","3,283","4,754","2,670","2,777","3,356","1,968","4,404"
2020,2,60,"55,391","26,427","1,121","1,370","2,279","1,411",755,340,"1,315",963,"2,064","2,696","1,053","1,893","1,389","1,357","1,237","1,543","2,419","1,042",180,"14,764","1,278","2,594","1,421","1,958","1,579","1,066","1,138",716,474,"1,033","1,507","14,200","1,478","1,198","1,390","2,078","1,397","1,492","1,741","1,021","2,405"
2020,2,70,"34,846","16,866",739,675,"1,277",915,560,216,800,507,"1,335","1,653",640,"1,529","1,032",849,832,"1,093","1,555",523,136,"8,780",793,"1,575",795,"1,158",867,666,684,510,207,715,810,"9,200","1,044",699,785,"1,371","1,041","1,237","1,037",595,"1,391"
2020,2,80,"19,917","8,948",417,337,606,474,319,111,378,225,624,784,336,853,616,470,431,639,985,275,68,"5,341",365,"1,007",455,661,456,437,451,431,97,454,527,"5,628",520,405,530,867,775,914,594,322,701
2020,2,90,"3,285","1,450",60,45,105,87,42,20,60,47,99,160,65,113,79,86,65,88,161,55,13,961,70,189,76,103,67,69,86,73,28,74,126,874,83,66,98,133,104,121,90,53,126
2020,2,100,233,151,4,4,5,11,4,9,10,11,8,27,10,11,2,6,4,6,4,12,3,41,3,12,3,5,4,5,5,0,2,1,1,41,8,4,5,3,5,5,4,1,6
2020,3,총,"547,153","237,938","7,526","12,355","22,887","11,071","6,015","5,214","11,389","10,049","15,372","17,933","7,782","19,831","17,426","9,476","11,564","16,730","24,019","10,203","1,096","153,330","17,649","24,692","12,465","20,409","16,310","10,809","12,781","8,827","5,119","13,510","10,759","155,885","14,473","9,582","18,789","26,954","15,064","15,773","18,034","10,970","26,246"
2020,3,0,"41,528","19,243",297,"1,611","2,834",660,347,703,"1,123","1,185","1,199","1,116",443,"1,086","1,437",391,757,"1,207","1,465","1,339",43,"10,575","1,704","1,749",641,"1,703","1,043",482,740,617,625,585,686,"11,710","1,100",536,"1,345","2,387","1,035","1,010","1,097",826,"2,374"
2020,3,10,"52,495","20,616",585,957,"1,849",922,549,392,695,733,"1,573","1,381",599,"1,847","1,936",634,"1,113","1,488","2,553",731,79,"14,747","2,248","2,266","1,114","2,278","1,440",675,"1,617","1,127",460,784,738,"17,132","1,394",742,"2,885","2,870","1,690","1,699","1,446","1,152","3,254"
