년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,3,총,"1,336,289","255,465","120,030","135,435","127,506","70,481","78,917","214,573","51,833","51,685","48,585","35,038","132,578","12,069","25,651","12,651","8,346","17,569","20,976","16,355","22,604","60,497","27,261","16,077","24,487","5,085"
2020,3,0,"101,707","21,455","9,556","11,899","8,547","5,580","5,814","22,198","3,346","2,952","2,804","2,144","10,913",394,"1,041",528,414,893,820,762,"1,007","5,215","2,366",783,"1,508",223
2020,3,10,"122,401","25,187","11,458","13,729","11,323","6,423","7,355","24,183","4,815","3,684","4,223","3,198","12,140",558,"1,274",690,509,"1,122","1,211","1,161","1,375","6,210","2,351","1,038","2,128",243
2020,3,20,"163,001","32,794","15,699","17,095","15,558","8,364","9,167","31,666","5,845","6,192","4,952","3,442","19,620",974,"1,937","1,080",682,"1,514","1,767","1,530","2,169","7,055","2,320","1,224","2,640",509
2020,3,30,"160,653","32,284","15,153","17,131","13,902","8,332","8,218","35,840","4,794","5,244","4,264","3,209","18,298",813,"1,888","1,050",586,"1,365","1,594","1,365","1,884","8,777","2,829","1,133","2,429",555
2020,3,40,"203,326","39,294","18,698","20,596","19,667","10,322","11,802","37,081","7,362","7,092","6,351","4,764","21,340","1,350","2,843","1,428","1,081","2,275","2,577","2,266","2,948","11,220","3,883","1,977","3,561",842
2020,3,50,"239,321","45,797","21,874","23,923","24,236","12,516","13,707","35,456","9,313","9,716","9,093","6,256","22,474","2,501","4,895","2,525","1,641","3,334","3,963","3,372","4,779","10,534","4,242","3,170","4,711","1,090"
2020,3,60,"193,638","36,841","17,457","19,384","19,358","10,331","11,909","18,710","8,546","8,951","8,617","6,223","16,257","2,694","5,682","2,677","1,638","3,406","4,685","3,165","4,611","6,727","4,428","3,417","3,831",934
2020,3,70,"105,389","16,652","7,921","8,731","10,604","5,762","7,408","6,836","5,276","5,425","5,422","3,977","8,250","1,839","3,925","1,753","1,188","2,397","2,934","1,785","2,617","3,219","3,073","2,129","2,450",468
2020,3,80,"42,963","4,761","2,059","2,702","3,960","2,609","3,207","2,383","2,317","2,238","2,612","1,654","3,052",881,"1,984",852,546,"1,164","1,305",871,"1,104","1,396","1,644","1,089","1,137",197
2020,3,90,"3,687",372,139,233,330,232,315,214,205,178,238,157,221,64,174,63,55,92,119,74,105,137,121,112,90,19
2020,3,100,203,28,16,12,21,10,15,6,14,13,9,14,13,1,8,5,6,7,1,4,5,7,4,5,2,5
2020,4,총,"1,334,981","255,341","119,825","135,516","127,374","70,365","78,720","214,528","51,767","51,771","48,383","34,989","132,633","12,018","25,606","12,636","8,317","17,498","20,937","16,308","22,565","60,414","27,302","16,050","24,410","5,049"
2020,4,0,"101,297","21,354","9,483","11,871","8,537","5,554","5,794","22,140","3,328","2,968","2,778","2,137","10,866",391,"1,047",528,401,880,811,758,995,"5,178","2,358",774,"1,495",225
2020,4,10,"121,827","25,080","11,417","13,663","11,254","6,397","7,314","24,097","4,807","3,657","4,170","3,178","12,105",548,"1,267",678,512,"1,115","1,205","1,144","1,370","6,188","2,364","1,032","2,107",238
2020,4,20,"162,635","32,755","15,665","17,090","15,515","8,358","9,133","31,598","5,808","6,189","4,905","3,429","19,722",973,"1,915","1,080",668,"1,493","1,750","1,518","2,151","6,991","2,316","1,224","2,642",502
2020,4,30,"159,943","32,208","15,068","17,140","13,864","8,253","8,145","35,709","4,753","5,257","4,210","3,201","18,223",795,"1,886","1,047",583,"1,341","1,585","1,351","1,869","8,757","2,831","1,123","2,408",544
2020,4,40,"202,841","39,179","18,618","20,561","19,605","10,279","11,747","37,133","7,349","7,086","6,310","4,753","21,310","1,340","2,821","1,415","1,073","2,254","2,560","2,250","2,933","11,206","3,903","1,967","3,536",832
2020,4,50,"239,068","45,816","21,858","23,958","24,207","12,522","13,631","35,445","9,303","9,746","9,040","6,236","22,492","2,478","4,855","2,526","1,639","3,329","3,948","3,370","4,770","10,548","4,236","3,162","4,683","1,086"
2020,4,60,"194,473","36,995","17,524","19,471","19,435","10,360","11,955","18,922","8,559","8,968","8,658","6,235","16,323","2,692","5,710","2,674","1,646","3,422","4,699","3,165","4,635","6,768","4,453","3,418","3,846",935
2020,4,70,"105,727","16,743","7,952","8,791","10,624","5,783","7,436","6,846","5,298","5,452","5,437","3,986","8,280","1,852","3,934","1,759","1,177","2,397","2,953","1,804","2,617","3,223","3,072","2,133","2,456",465
2020,4,80,"43,262","4,805","2,083","2,722","3,982","2,619","3,228","2,419","2,342","2,247","2,627","1,663","3,080",885,"1,990",860,557,"1,164","1,306",871,"1,112","1,411","1,646","1,103","1,147",198
2020,4,90,"3,703",378,141,237,329,230,322,213,206,188,238,156,220,63,173,64,55,96,119,73,108,137,119,109,88,19
2020,4,100,205,28,16,12,22,10,15,6,14,13,10,15,12,1,8,5,6,7,1,4,5,7,4,5,2,5
2020,5,총,"1,333,815","255,144","119,635","135,509","127,240","70,371","78,605","214,442","51,666","51,745","48,286","34,927","132,603","11,983","25,545","12,631","8,295","17,457","20,913","16,293","22,532","60,357","27,329","16,019","24,399","5,033"
2020,5,0,"100,944","21,277","9,420","11,857","8,530","5,534","5,769","22,054","3,306","2,956","2,778","2,124","10,841",388,"1,047",525,401,873,807,753,987,"5,151","2,360",762,"1,499",222
2020,5,10,"121,160","24,942","11,368","13,574","11,190","6,407","7,261","23,981","4,772","3,628","4,132","3,157","12,027",538,"1,262",676,510,"1,106","1,204","1,132","1,350","6,169","2,362","1,018","2,093",243
2020,5,20,"162,195","32,622","15,601","17,021","15,443","8,334","9,103","31,564","5,769","6,183","4,880","3,412","19,774",965,"1,894","1,080",667,"1,483","1,746","1,507","2,131","6,962","2,312","1,231","2,641",492
2020,5,30,"159,494","32,176","15,029","17,147","13,849","8,240","8,112","35,682","4,740","5,238","4,193","3,177","18,125",790,"1,870","1,044",570,"1,320","1,580","1,344","1,856","8,707","2,820","1,111","2,402",548
2020,5,40,"202,378","39,108","18,564","20,544","19,503","10,286","11,714","37,086","7,314","7,051","6,281","4,751","21,311","1,324","2,815","1,418","1,068","2,253","2,540","2,250","2,918","11,185","3,904","1,956","3,514",828
2020,5,50,"239,096","45,808","21,852","23,956","24,214","12,520","13,624","35,504","9,310","9,768","9,034","6,219","22,514","2,470","4,837","2,520","1,636","3,320","3,930","3,364","4,764","10,578","4,250","3,162","4,669","1,081"
2020,5,60,"195,058","37,162","17,574","19,588","19,472","10,392","11,979","19,021","8,553","8,985","8,673","6,237","16,365","2,694","5,711","2,681","1,649","3,441","4,704","3,191","4,651","6,801","4,469","3,426","3,869",932
