년도,월,나이,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020,3,총,"49,878","2,170","1,904","2,773","4,169","4,458","5,452","2,182","2,357","1,562","4,412","6,422","4,232","7,785"
2020,3,0,"3,204",37,62,93,352,276,316,88,108,46,373,344,265,844
2020,3,10,"3,511",86,106,127,354,318,432,166,183,75,318,476,336,534
2020,3,20,"6,759",575,314,346,440,569,691,369,374,376,601,698,477,929
2020,3,30,"5,944",247,161,272,493,542,553,217,210,163,628,577,528,"1,353"
2020,3,40,"6,505",211,251,324,629,601,683,304,304,141,565,842,540,"1,110"
2020,3,50,"7,793",299,250,467,598,721,961,304,387,222,664,"1,015",738,"1,167"
2020,3,60,"7,448",363,307,544,563,617,855,332,341,239,583,"1,111",669,924
2020,3,70,"5,607",228,298,381,504,530,642,252,280,197,450,854,437,554
2020,3,80,"2,606",99,122,185,205,239,282,122,145,87,195,428,202,295
2020,3,90,451,21,30,30,29,41,34,24,22,15,26,74,38,67
2020,3,100,50,4,3,4,2,4,3,4,3,1,9,3,2,8
2020,4,총,"49,879","2,176","1,898","2,756","4,134","4,490","5,433","2,181","2,360","1,563","4,385","6,395","4,225","7,883"
2020,4,0,"3,194",36,62,92,347,282,316,89,103,45,375,339,259,849
2020,4,10,"3,505",86,104,125,354,329,419,164,183,77,309,474,332,549
2020,4,20,"6,786",583,315,339,434,569,686,374,383,380,602,691,484,946
2020,4,30,"5,931",246,156,279,487,544,554,212,211,165,619,570,528,"1,360"
2020,4,40,"6,499",207,254,319,627,607,674,305,304,140,560,835,542,"1,125"
2020,4,50,"7,786",299,256,468,593,713,956,299,389,217,658,"1,011",734,"1,193"
2020,4,60,"7,464",369,303,537,555,630,863,335,339,239,586,"1,119",667,922
2020,4,70,"5,586",223,295,382,500,524,643,255,275,195,444,847,439,564
2020,4,80,"2,627",102,123,184,204,246,284,119,147,89,197,434,199,299
2020,4,90,451,21,27,27,31,42,35,25,23,15,26,72,39,68
2020,4,100,50,4,3,4,2,4,3,4,3,1,9,3,2,8
2020,5,총,"50,143","2,207","1,875","2,749","4,119","4,518","5,403","2,164","2,368","1,568","4,359","6,373","4,212","8,228"
2020,5,0,"3,202",36,60,91,343,280,309,84,101,43,375,339,256,885
2020,5,10,"3,500",87,104,121,352,330,418,153,182,75,307,472,334,565
2020,5,20,"6,859",605,308,339,435,579,675,380,389,394,602,685,481,987
2020,5,30,"5,999",252,158,280,479,550,556,213,209,165,616,563,531,"1,427"
2020,5,40,"6,502",206,247,315,631,609,663,295,303,139,551,827,530,"1,186"
2020,5,50,"7,829",299,248,466,588,718,956,301,395,214,648,"1,011",729,"1,256"
2020,5,60,"7,482",370,303,534,552,628,859,333,338,240,580,"1,115",662,968
2020,5,70,"5,621",222,296,387,500,529,644,255,277,195,448,853,449,566
2020,5,80,"2,642",103,122,184,207,249,284,121,147,88,195,431,201,310
2020,5,90,454,22,26,28,30,42,36,25,24,14,28,74,36,69
2020,5,100,53,5,3,4,2,4,3,4,3,1,9,3,3,9
2020,6,총,"50,182","2,231","1,876","2,748","4,103","4,499","5,370","2,172","2,358","1,568","4,355","6,331","4,187","8,384"
2020,6,0,"3,192",35,59,90,342,275,303,83,101,43,373,333,256,899
2020,6,10,"3,488",86,102,119,349,324,421,160,179,76,300,464,333,575
2020,6,20,"6,881",630,313,344,426,581,660,381,389,395,609,673,474,"1,006"
2020,6,30,"5,983",254,156,275,475,547,547,213,207,166,618,561,520,"1,444"
2020,6,40,"6,498",200,241,315,634,603,654,292,305,137,542,821,533,"1,221"
2020,6,50,"7,817",305,251,460,579,715,961,306,384,212,645,"1,006",715,"1,278"
2020,6,60,"7,537",372,304,539,555,633,861,330,340,239,584,"1,106",668,"1,006"
2020,6,70,"5,641",222,299,388,501,530,645,259,279,195,452,856,448,567
2020,6,80,"2,636",100,121,185,211,247,281,118,146,90,195,434,200,308
2020,6,90,455,22,27,29,29,40,34,26,25,14,28,74,36,71
2020,6,100,54,5,3,4,2,4,3,4,3,1,9,3,4,9
2020,7,총,"50,185","2,235","1,858","2,752","4,102","4,500","5,362","2,176","2,355","1,558","4,352","6,318","4,204","8,413"
2020,7,0,"3,185",35,56,90,344,272,304,83,101,44,370,328,262,896
2020,7,10,"3,456",81,99,116,353,321,418,156,175,77,301,457,327,575
2020,7,20,"6,920",645,310,346,423,580,661,388,391,388,611,680,485,"1,012"
2020,7,30,"5,979",254,150,275,473,555,545,215,206,166,607,559,523,"1,451"
2020,7,40,"6,490",194,240,314,637,603,656,288,304,135,551,812,533,"1,223"
2020,7,50,"7,783",306,249,454,574,718,949,305,380,210,641,"1,000",711,"1,286"
2020,7,60,"7,541",369,303,537,548,628,859,334,344,239,585,"1,108",671,"1,016"
2020,7,70,"5,671",226,302,398,505,531,645,259,278,194,457,854,448,574
2020,7,80,"2,643",97,120,186,214,249,287,118,147,89,192,441,202,301
2020,7,90,462,23,26,32,29,39,35,26,26,15,28,76,37,70
2020,7,100,55,5,3,4,2,4,3,4,3,1,9,3,5,9
2020,8,총,"50,154","2,246","1,857","2,745","4,108","4,497","5,369","2,182","2,343","1,551","4,325","6,299","4,203","8,429"
2020,8,0,"3,160",36,55,90,343,272,303,80,98,42,364,325,260,892
2020,8,10,"3,449",81,104,117,350,315,414,160,172,73,302,451,328,582
2020,8,20,"6,933",647,309,341,426,585,666,391,391,397,602,684,483,"1,011"
2020,8,30,"5,958",259,156,275,470,556,544,212,209,161,597,555,519,"1,445"
2020,8,40,"6,487",196,243,307,639,597,658,287,301,135,551,804,533,"1,236"
