년도,월,나이,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020,1,총,"88,199","4,956","16,833","2,828","5,518","1,237","1,889","1,843","2,640","2,640","8,239","6,850","12,625","10,507","9,594"
2020,1,0,"8,448",207,"2,188",106,256,34,51,60,104,102,815,650,"1,345","1,304","1,226"
2020,1,10,"8,252",332,"1,344",145,267,57,99,95,176,214,942,515,"1,257","1,318","1,491"
2020,1,20,"9,635",462,"1,425",244,634,89,191,178,231,225,875,705,"1,958","1,215","1,203"
2020,1,30,"13,518",477,"3,340",198,794,87,127,142,184,207,989,"1,358","2,553","1,636","1,426"
2020,1,40,"14,833",705,"3,225",337,879,137,195,231,331,337,"1,401","1,258","2,136","1,872","1,789"
2020,1,50,"14,440",940,"2,555",577,"1,163",194,366,366,556,511,"1,402","1,076","1,718","1,576","1,440"
2020,1,60,"10,001",895,"1,608",570,802,298,407,363,493,498,943,684,968,911,561
2020,1,70,"6,009",601,798,398,477,235,284,262,361,337,586,390,491,474,315
2020,1,80,"2,793",309,314,231,223,99,160,125,182,188,262,198,184,186,132
2020,1,90,257,27,36,22,21,6,9,19,21,20,22,16,15,13,10
2020,1,100,13,1,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,2,총,"88,109","4,944","16,805","2,817","5,535","1,230","1,899","1,856","2,635","2,631","8,244","6,848","12,583","10,487","9,595"
2020,2,0,"8,376",209,"2,172",102,251,33,49,60,103,101,814,651,"1,323","1,302","1,206"
2020,2,10,"8,242",328,"1,346",145,272,57,100,94,172,209,939,515,"1,267","1,304","1,494"
2020,2,20,"9,529",464,"1,403",239,635,88,194,179,234,220,867,697,"1,914","1,203","1,192"
2020,2,30,"13,464",475,"3,315",191,791,85,127,143,179,209,979,"1,352","2,559","1,626","1,433"
2020,2,40,"14,876",699,"3,238",336,892,138,196,234,330,329,"1,412","1,259","2,143","1,885","1,785"
2020,2,50,"14,412",928,"2,564",578,"1,158",191,360,365,557,513,"1,397","1,074","1,709","1,575","1,443"
2020,2,60,"10,109",898,"1,618",577,810,298,416,373,491,499,955,697,977,918,582
2020,2,70,"6,017",604,794,395,478,233,287,263,365,341,593,389,489,471,315
2020,2,80,"2,806",311,319,232,224,99,161,124,180,188,264,196,187,188,133
2020,2,90,264,26,36,22,22,7,9,19,23,21,22,18,15,13,11
2020,2,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,3,총,"87,970","4,912","16,816","2,820","5,548","1,232","1,899","1,856","2,621","2,621","8,189","6,850","12,551","10,469","9,586"
2020,3,0,"8,314",206,"2,162",104,253,34,49,59,100,102,799,653,"1,310","1,289","1,194"
2020,3,10,"8,229",321,"1,355",147,269,57,101,91,171,206,935,510,"1,265","1,297","1,504"
2020,3,20,"9,519",461,"1,399",237,630,88,194,177,234,223,854,709,"1,913","1,208","1,192"
2020,3,30,"13,367",464,"3,308",187,794,85,125,144,174,200,967,"1,340","2,552","1,612","1,415"
2020,3,40,"14,867",697,"3,232",339,902,139,197,236,333,332,"1,400","1,261","2,132","1,881","1,786"
2020,3,50,"14,383",923,"2,587",573,"1,162",189,357,363,546,505,"1,390","1,069","1,696","1,581","1,442"
2020,3,60,"10,148",900,"1,616",574,820,300,419,371,488,499,960,702,990,918,591
2020,3,70,"6,041",600,797,402,474,231,287,272,367,341,590,393,492,478,317
2020,3,80,"2,821",312,322,236,220,102,161,121,183,190,271,196,184,190,133
2020,3,90,267,26,38,21,22,6,9,20,24,22,21,17,17,13,11
2020,3,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,4,총,"87,969","4,897","16,826","2,807","5,571","1,227","1,906","1,848","2,623","2,616","8,163","6,860","12,534","10,482","9,609"
2020,4,0,"8,291",206,"2,168",104,252,34,52,56,96,102,794,646,"1,297","1,297","1,187"
2020,4,10,"8,207",317,"1,340",145,269,55,100,95,175,203,934,513,"1,266","1,297","1,498"
2020,4,20,"9,500",457,"1,399",230,633,86,192,173,230,228,856,701,"1,902","1,203","1,210"
2020,4,30,"13,326",457,"3,307",186,788,84,128,141,173,194,950,"1,335","2,555","1,606","1,422"
2020,4,40,"14,903",699,"3,228",339,910,139,197,235,338,334,"1,397","1,277","2,135","1,887","1,788"
2020,4,50,"14,354",920,"2,598",570,"1,161",188,354,360,540,494,"1,384","1,077","1,687","1,576","1,445"
2020,4,60,"10,229",901,"1,629",573,836,299,424,375,495,506,964,703,"1,000",930,594
2020,4,70,"6,061",600,798,404,476,232,289,273,367,342,593,398,492,477,320
2020,4,80,"2,818",310,322,236,220,103,161,120,184,190,269,194,183,194,132
2020,4,90,266,28,37,20,24,6,9,18,24,22,20,16,17,13,12
2020,4,100,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020,5,총,"87,974","4,887","16,839","2,802","5,570","1,225","1,909","1,852","2,616","2,616","8,157","6,876","12,537","10,476","9,612"
