년도,월,나이,통영시,산양읍,용남면,도산면,광도면,욕지면,한산면,사량면,도천동,명정동,중앙동,정량동,북신동,미수동,봉평동,무전동
2020,1,총,"131,089","4,874","13,007","2,995","31,208","2,075","2,088","1,522","9,230","3,123","4,238","9,305","10,838","11,773","10,690","14,123"
2020,1,0,"10,728",143,"1,401",80,"4,173",55,34,20,461,109,150,547,757,"1,050",569,"1,179"
2020,1,10,"13,067",219,"1,449",138,"3,921",99,70,46,862,202,246,693,974,"1,448","1,007","1,693"
2020,1,20,"11,848",357,"1,168",196,"2,714",126,89,75,964,232,343,765,"1,058","1,107","1,024","1,630"
2020,1,30,"15,415",356,"1,629",168,"5,177",129,104,86,836,213,318,"1,009","1,229","1,328","1,062","1,771"
2020,1,40,"21,715",588,"2,290",310,"6,349",283,197,131,"1,329",400,575,"1,390","1,617","2,059","1,588","2,609"
2020,1,50,"23,012","1,000","2,124",537,"4,392",429,359,328,"1,811",622,874,"1,890","1,915","2,077","2,129","2,525"
2020,1,60,"19,271","1,026","1,523",725,"2,687",464,450,346,"1,576",654,910,"1,722","1,920","1,702","1,826","1,740"
2020,1,70,"10,887",722,920,526,"1,223",312,474,285,979,492,570,941,985,710,"1,036",712
2020,1,80,"4,543",405,433,277,504,159,282,184,366,174,230,313,332,259,390,235
2020,1,90,578,56,69,38,68,19,28,19,43,24,21,32,46,32,55,28
2020,1,100,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
2020,2,총,"130,735","4,863","12,951","2,977","31,146","2,087","2,084","1,521","9,213","3,126","4,202","9,285","10,787","11,736","10,666","14,091"
2020,2,0,"10,597",139,"1,382",75,"4,126",55,38,19,454,110,146,537,748,"1,037",560,"1,171"
2020,2,10,"13,022",220,"1,437",136,"3,898",105,69,41,860,204,244,686,970,"1,450","1,001","1,701"
2020,2,20,"11,709",352,"1,154",188,"2,707",124,88,76,959,232,328,757,"1,032","1,090","1,017","1,605"
2020,2,30,"15,191",353,"1,606",169,"5,115",130,100,82,809,211,317,993,"1,219","1,302","1,058","1,727"
