년도,월,나이,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2020,3,총,"52,821","3,762","1,661","1,446","2,792","2,021","2,260","2,266","2,575","1,497","1,810","2,379","4,208","2,709","4,041","10,028","7,366"
2020,3,0,"2,951",127,61,33,93,72,113,51,82,38,40,97,212,187,160,734,851
2020,3,10,"4,153",212,50,69,143,94,185,106,160,81,46,167,381,291,269,"1,065",834
2020,3,20,"5,178",205,116,73,166,150,173,113,162,96,77,269,406,376,386,"1,536",874
2020,3,30,"4,657",208,91,78,151,129,191,114,147,56,95,168,386,249,332,"1,183","1,079"
2020,3,40,"6,479",366,103,85,213,237,239,154,215,115,180,298,571,386,475,"1,577","1,265"
2020,3,50,"9,047",698,274,215,453,470,444,409,422,235,364,397,696,419,767,"1,673","1,111"
2020,3,60,"8,836",834,356,299,659,427,376,504,514,320,469,411,737,389,729,"1,179",633
2020,3,70,"6,194",598,296,278,455,256,278,396,439,278,286,332,491,224,567,647,373
2020,3,80,"4,581",450,279,267,393,154,217,357,377,242,220,199,281,163,318,372,292
2020,3,90,699,61,30,46,63,31,43,58,50,33,30,39,42,25,36,60,52
2020,3,100,46,3,5,3,3,1,1,4,7,3,3,2,5,0,2,2,2
2020,4,총,"52,724","3,741","1,655","1,441","2,785","2,012","2,261","2,269","2,569","1,490","1,809","2,369","4,222","2,729","4,021","9,991","7,360"
2020,4,0,"2,929",123,62,32,93,73,113,55,79,39,40,94,215,186,161,725,839
2020,4,10,"4,126",214,50,70,141,93,188,105,161,82,45,162,381,295,265,"1,048",826
2020,4,20,"5,150",201,112,70,163,146,170,113,152,93,74,268,411,383,387,"1,527",880
2020,4,30,"4,605",198,91,78,150,123,191,114,144,57,94,163,386,252,322,"1,174","1,068"
2020,4,40,"6,463",363,103,85,211,230,239,157,218,114,180,298,565,387,473,"1,568","1,272"
2020,4,50,"9,019",698,269,212,454,470,443,404,416,233,362,394,700,421,760,"1,673","1,110"
2020,4,60,"8,881",829,357,299,654,434,379,508,524,318,472,415,737,395,731,"1,193",636
2020,4,70,"6,203",597,297,281,462,259,276,391,439,274,287,331,495,223,564,644,383
2020,4,80,"4,589",452,278,265,389,153,218,359,377,244,221,203,283,161,319,373,294
2020,4,90,712,62,31,46,65,30,43,59,52,33,31,39,44,26,37,64,50
2020,4,100,47,4,5,3,3,1,1,4,7,3,3,2,5,0,2,2,2
2020,5,총,"52,659","3,742","1,652","1,440","2,790","2,014","2,257","2,273","2,561","1,487","1,809","2,361","4,198","2,724","4,005","10,000","7,346"
2020,5,0,"2,921",121,63,32,95,72,113,58,77,39,41,95,209,183,153,734,836
2020,5,10,"4,099",210,52,70,142,92,187,105,156,81,45,164,378,287,269,"1,040",821
2020,5,20,"5,120",197,105,69,164,144,169,108,151,91,75,256,407,387,379,"1,535",883
2020,5,30,"4,576",204,90,73,148,126,190,112,144,56,93,166,378,243,323,"1,170","1,060"
2020,5,40,"6,439",364,105,85,211,229,243,159,219,112,177,292,562,381,466,"1,573","1,261"
2020,5,50,"9,033",699,269,214,458,464,442,404,417,236,362,398,699,430,755,"1,675","1,111"
2020,5,60,"8,881",831,353,298,649,440,376,511,521,314,474,411,739,398,737,"1,187",642
2020,5,70,"6,216",596,300,280,466,262,275,388,436,275,287,335,496,223,562,650,385
2020,5,80,"4,613",454,280,270,393,154,218,364,381,247,221,202,282,163,318,373,293
2020,5,90,714,63,30,45,61,30,43,60,52,33,31,40,43,29,41,61,52
2020,5,100,47,3,5,4,3,1,1,4,7,3,3,2,5,0,2,2,2
2020,6,총,"52,602","3,730","1,643","1,433","2,795","2,004","2,245","2,270","2,550","1,480","1,810","2,368","4,211","2,735","4,003","9,967","7,358"
2020,6,0,"2,914",119,62,31,97,68,109,59,78,37,42,97,207,183,155,732,838
2020,6,10,"4,084",209,50,68,141,88,184,105,156,80,45,164,381,289,272,"1,036",816
2020,6,20,"5,085",191,101,70,163,143,169,106,147,90,73,255,412,391,374,"1,519",881
2020,6,30,"4,554",199,91,72,153,126,185,111,145,57,92,165,379,246,314,"1,162","1,057"
2020,6,40,"6,426",362,103,86,211,225,245,160,217,108,177,296,562,378,465,"1,561","1,270"
2020,6,50,"9,024",693,265,209,454,464,445,404,412,237,361,396,696,434,757,"1,681","1,116"
2020,6,60,"8,922",839,354,296,658,444,379,513,521,314,474,414,751,397,741,"1,186",641
2020,6,70,"6,223",597,301,281,464,262,270,387,436,275,291,335,494,223,562,653,392
2020,6,80,"4,609",456,281,270,390,153,217,363,379,246,219,204,283,165,320,372,291
2020,6,90,713,62,30,46,61,30,41,58,52,33,32,40,41,29,41,63,54
2020,6,100,48,3,5,4,3,1,1,4,7,3,4,2,5,0,2,2,2
2020,7,총,"52,614","3,733","1,633","1,431","2,780","2,013","2,272","2,272","2,544","1,477","1,814","2,370","4,215","2,735","4,011","9,968","7,346"
2020,7,0,"2,896",119,59,32,95,69,106,56,78,37,41,98,211,181,158,722,834
2020,7,10,"4,080",211,48,67,138,85,185,106,155,81,46,162,378,287,273,"1,036",822
2020,7,20,"5,080",192,101,64,158,148,182,103,147,87,72,258,414,390,377,"1,515",872
2020,7,30,"4,549",199,86,76,150,128,189,116,141,55,92,163,372,246,312,"1,162","1,062"
2020,7,40,"6,408",357,103,84,212,227,246,157,216,109,181,297,563,374,461,"1,563","1,258"
2020,7,50,"9,010",695,265,211,448,462,453,402,411,237,358,391,697,434,757,"1,680","1,109"
2020,7,60,"8,968",836,352,295,661,451,383,514,524,315,476,413,755,404,744,"1,201",644
2020,7,70,"6,239",604,303,282,459,259,267,390,432,275,294,339,498,226,564,651,396
2020,7,80,"4,616",454,281,270,395,152,218,365,381,245,219,206,281,164,319,373,293
2020,7,90,721,63,30,47,61,31,42,59,52,33,31,41,41,28,44,64,54
2020,7,100,47,3,5,3,3,1,1,4,7,3,4,2,5,1,2,1,2
2020,8,총,"52,612","3,737","1,631","1,441","2,758","2,004","2,257","2,269","2,543","1,478","1,816","2,374","4,218","2,737","3,995","9,971","7,383"
2020,8,0,"2,877",120,59,34,91,65,104,55,79,37,42,95,209,183,154,714,836
2020,8,10,"4,071",207,47,66,136,83,183,103,156,81,46,161,379,284,275,"1,041",823
2020,8,20,"5,050",191,100,66,153,146,180,104,143,85,70,254,420,386,372,"1,513",867
