년도,월,나이,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020,3,총,"1,231,295","39,975","174,250","86,705","76,835","219,178","220,702","287,323","126,327"
2020,3,0,"90,649","2,611","12,846","3,968","3,452","17,070","15,140","20,811","14,751"
2020,3,10,"111,101","2,533","13,019","5,544","4,647","21,426","24,963","27,739","11,230"
2020,3,20,"149,427","6,054","19,490","10,039","10,023","27,504","25,710","37,500","13,107"
2020,3,30,"146,022","5,329","21,422","7,979","8,430","26,181","22,846","33,428","20,407"
2020,3,40,"197,898","5,328","25,150","11,057","10,389","37,461","40,570","47,602","20,341"
2020,3,50,"218,897","5,845","29,751","17,621","13,187","38,886","38,704","54,534","20,369"
2020,3,60,"163,966","5,467","26,620","15,921","12,798","26,136","26,706","36,246","14,072"
2020,3,70,"97,154","4,267","16,728","9,560","8,660","15,858","15,998","18,706","7,377"
2020,3,80,"48,692","2,094","8,009","4,337","4,521","7,573","8,658","9,431","4,069"
2020,3,90,"6,953",371,"1,122",603,660,"1,018","1,337","1,258",584
2020,3,100,536,76,93,76,68,65,70,68,20
2020,4,총,"1,230,624","39,891","174,140","86,640","76,775","219,182","220,515","287,079","126,402"
2020,4,0,"90,311","2,567","12,798","3,950","3,440","17,019","15,096","20,702","14,739"
2020,4,10,"110,659","2,515","12,977","5,486","4,630","21,387","24,839","27,611","11,214"
2020,4,20,"149,594","6,123","19,480","10,024","10,052","27,556","25,735","37,503","13,121"
2020,4,30,"145,529","5,314","21,356","7,927","8,399","26,126","22,750","33,325","20,332"
2020,4,40,"197,458","5,308","25,097","11,022","10,370","37,359","40,453","47,449","20,400"
2020,4,50,"218,601","5,808","29,686","17,577","13,127","38,849","38,778","54,441","20,335"
2020,4,60,"164,724","5,453","26,713","16,026","12,820","26,275","26,767","36,491","14,179"
2020,4,70,"97,299","4,258","16,759","9,589","8,657","15,869","16,013","18,767","7,387"
2020,4,80,"48,927","2,098","8,056","4,360","4,553","7,639","8,679","9,451","4,091"
2020,4,90,"6,986",369,"1,128",603,661,"1,036","1,334","1,271",584
2020,4,100,536,78,90,76,66,67,71,68,20
2020,5,총,"1,229,555","39,867","173,784","86,386","76,676","219,585","220,231","286,543","126,483"
2020,5,0,"89,870","2,578","12,732","3,895","3,416","16,995","14,998","20,575","14,681"
2020,5,10,"110,200","2,500","12,905","5,433","4,612","21,312","24,748","27,463","11,227"
2020,5,20,"149,529","6,144","19,403","9,959","10,087","27,681","25,698","37,421","13,136"
2020,5,30,"145,082","5,324","21,250","7,873","8,363","26,174","22,653","33,193","20,252"
2020,5,40,"196,864","5,275","24,998","10,963","10,304","37,328","40,351","47,213","20,432"
2020,5,50,"218,557","5,815","29,604","17,526","13,114","38,955","38,804","54,370","20,369"
2020,5,60,"165,261","5,437","26,792","16,044","12,799","26,436","26,819","36,691","14,243"
