년도,월,나이,목포시,용당1동,용당2동,연동,산정동,연산동,원산동,대성동,목원동,동명동,삼학동,만호동,유달동,죽교동,북항동,용해동,이로동,상동,하당동,신흥동,삼향동,옥암동,부흥동,부주동
2020,1,총,"229,744","11,305","5,533","4,931","9,033","9,907","13,919","5,547","8,128","5,750","6,466","3,176","4,775","3,456","9,850","18,283","10,459","18,252","12,513","17,213","5,163","11,259","10,241","24,585"
2020,1,0,"20,152",554,252,191,658,"1,414","1,161",554,251,233,503,80,155,172,841,"2,163",975,"1,676",992,"1,432",514,"1,151",993,"3,237"
2020,1,10,"25,775",828,381,310,993,"1,141","1,695",502,472,376,655,158,241,271,"1,088","2,524","1,362","2,126","1,246","2,052",572,"1,663","1,150","3,969"
2020,1,20,"27,800","1,188",589,478,"1,074","1,336","1,855",565,809,554,778,223,617,341,"1,180","1,942","1,128","1,931","2,156","2,707",548,"1,488","1,437","2,876"
2020,1,30,"28,208","1,126",544,426,"1,074","1,777","1,608",880,675,500,745,262,343,311,"1,122","2,449","1,232","2,190","1,858","2,057",687,"1,405","1,431","3,506"
2020,1,40,"38,430","1,549",749,665,"1,375","1,712","2,429",861,"1,058",776,988,469,619,489,"1,596","3,382","1,738","3,052","2,269","2,837",861,"2,065","1,748","5,143"
2020,1,50,"36,900","1,868",941,876,"1,516","1,190","2,378",847,"1,498",963,982,599,795,572,"1,710","2,543","1,610","2,927","1,988","3,203",796,"1,839","1,819","3,440"
2020,1,60,"27,580","2,084","1,049",882,"1,212",754,"1,531",680,"1,524","1,104",984,658,859,563,"1,307","1,681","1,323","2,347","1,167","1,787",637,945,962,"1,540"
2020,1,70,"17,292","1,500",769,767,771,406,877,436,"1,268",919,617,513,769,508,715,"1,067",746,"1,359",568,763,372,480,474,628
2020,1,80,"6,643",535,221,297,312,156,340,199,488,297,199,177,336,196,260,462,299,554,231,326,157,200,202,199
2020,1,90,891,68,34,36,45,19,38,19,78,26,15,31,32,28,31,66,44,84,36,48,19,22,25,47
2020,1,100,73,5,4,3,3,2,7,4,7,2,0,6,9,5,0,4,2,6,2,1,0,1,0,0
2020,2,총,"229,235","11,277","5,506","4,937","9,028","9,938","13,880","5,531","8,073","5,732","6,478","3,157","4,730","3,444","9,820","18,252","10,499","18,193","12,560","17,170","5,163","11,278","10,147","24,442"
2020,2,0,"20,002",547,252,193,674,"1,412","1,148",551,248,233,499,79,158,178,834,"2,132",974,"1,648",983,"1,433",517,"1,140",982,"3,187"
2020,2,10,"25,639",827,379,314,981,"1,150","1,672",500,467,369,653,155,236,271,"1,087","2,519","1,361","2,128","1,240","2,036",569,"1,654","1,129","3,942"
2020,2,20,"27,657","1,187",581,470,"1,065","1,330","1,860",564,785,556,780,220,595,335,"1,161","1,934","1,130","1,915","2,199","2,666",550,"1,495","1,409","2,870"
2020,2,30,"27,956","1,107",543,427,"1,063","1,781","1,593",866,668,499,734,261,331,308,"1,119","2,428","1,231","2,160","1,851","2,055",675,"1,408","1,404","3,444"
2020,2,40,"38,429","1,535",748,670,"1,380","1,720","2,409",867,"1,050",775,"1,000",457,615,490,"1,601","3,394","1,759","3,047","2,271","2,834",867,"2,069","1,741","5,130"
2020,2,50,"36,893","1,867",929,874,"1,508","1,203","2,382",846,"1,486",959,982,596,793,560,"1,699","2,541","1,617","2,928","1,995","3,207",794,"1,858","1,812","3,457"
2020,2,60,"27,707","2,099","1,051",880,"1,214",755,"1,546",682,"1,521","1,100",991,668,861,571,"1,311","1,689","1,327","2,351","1,184","1,793",644,954,969,"1,546"
2020,2,70,"17,279","1,488",762,768,778,410,878,436,"1,271",907,625,510,764,507,713,"1,074",753,"1,364",567,770,366,477,470,621
2020,2,80,"6,697",544,223,301,315,157,346,197,490,304,199,176,336,191,264,469,302,560,231,325,160,201,205,201
2020,2,90,899,71,34,36,47,18,39,18,80,28,15,29,32,28,31,68,42,86,37,49,21,20,26,44
2020,2,100,77,5,4,4,3,2,7,4,7,2,0,6,9,5,0,4,3,6,2,2,0,2,0,0
2020,3,총,"229,009","11,233","5,472","4,938","9,023","9,934","13,857","5,511","8,050","5,722","6,436","3,152","4,666","3,424","9,777","18,202","10,797","18,142","12,560","17,129","5,151","11,317","10,095","24,421"
2020,3,0,"19,905",535,247,191,681,"1,419","1,135",558,248,232,488,78,150,171,822,"2,102","1,025","1,637",965,"1,430",504,"1,140",967,"3,180"
2020,3,10,"25,500",820,371,316,976,"1,145","1,653",503,459,364,641,157,227,268,"1,074","2,516","1,391","2,116","1,230","2,009",575,"1,654","1,127","3,908"
2020,3,20,"27,653","1,186",583,468,"1,054","1,312","1,858",558,781,561,775,224,570,335,"1,164","1,930","1,169","1,907","2,218","2,658",548,"1,517","1,398","2,879"
