년도,월,나이,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2020,3,총,"213,926","8,033","11,625","6,562","7,352","11,860","7,842","7,842","9,183","11,450","7,742","12,646","17,505","8,249","19,713","13,157","9,726","9,964","6,851","8,916","17,708"
2020,3,0,"15,582",407,672,303,428,"1,122",255,518,789,820,363,951,"2,191",794,"1,469","1,113",630,496,294,902,"1,065"
2020,3,10,"19,752",669,"1,056",460,689,"1,465",527,517,923,"1,037",571,"1,193","2,366",764,"2,047","1,294",774,860,482,792,"1,266"
2020,3,20,"32,495","1,303","1,989","1,441","1,008","1,486","2,607","1,394","1,190","1,623","1,680","1,672","1,679","1,031","3,075","1,495","1,566","1,567",932,"1,159","2,598"
2020,3,30,"30,520","1,193","1,716","1,156","1,010","1,463","1,187","1,400","1,348","1,609","1,081","1,686","2,274","1,267","2,633","1,812","1,463","1,312",849,"1,422","2,639"
2020,3,40,"35,479","1,285","1,913",992,"1,097","2,204",905,"1,255","1,643","1,835","1,008","2,158","3,889","1,399","3,297","2,370","1,501","1,460","1,102","1,450","2,716"
2020,3,50,"34,432","1,303","1,892",916,"1,352","1,945","1,037","1,243","1,424","1,808","1,166","2,037","2,442","1,361","3,186","2,146","1,545","1,881","1,294","1,453","3,001"
2020,3,60,"25,215",952,"1,270",640,986,"1,252",699,873,"1,010","1,526",963,"1,622","1,451",984,"2,178","1,633","1,251","1,404","1,017","1,018","2,486"
2020,3,70,"14,590",603,781,464,556,626,437,458,611,845,625,961,901,471,"1,232",963,708,716,643,542,"1,447"
2020,3,80,"5,259",275,300,165,196,265,172,166,224,315,255,326,281,157,518,305,266,240,218,164,451
2020,3,90,510,36,28,20,25,29,12,13,20,30,28,37,24,16,64,20,21,24,18,12,33
2020,3,100,92,7,8,5,5,3,4,5,1,2,2,3,7,5,14,6,1,4,2,2,6
2020,4,총,"213,743","8,000","11,523","6,569","7,337","11,850","7,846","7,819","9,173","11,446","7,772","12,616","17,489","8,266","19,703","13,135","9,722","9,937","6,883","8,924","17,733"
2020,4,0,"15,502",394,665,293,426,"1,111",251,515,789,818,364,942,"2,169",802,"1,469","1,115",623,490,289,905,"1,072"
2020,4,10,"19,669",670,"1,054",460,680,"1,459",520,510,924,"1,022",558,"1,202","2,376",763,"2,035","1,291",775,849,483,788,"1,250"
2020,4,20,"32,505","1,289","1,959","1,434","1,006","1,488","2,627","1,379","1,185","1,631","1,703","1,670","1,672","1,028","3,083","1,493","1,549","1,567",953,"1,161","2,628"
2020,4,30,"30,563","1,196","1,688","1,174","1,011","1,476","1,177","1,405","1,338","1,622","1,097","1,674","2,283","1,278","2,647","1,801","1,469","1,315",862,"1,419","2,631"
2020,4,40,"35,294","1,276","1,906",983,"1,084","2,205",904,"1,253","1,630","1,828","1,002","2,149","3,874","1,401","3,255","2,356","1,501","1,448","1,095","1,432","2,712"
2020,4,50,"34,423","1,301","1,878",918,"1,356","1,940","1,041","1,244","1,435","1,800","1,165","2,030","2,443","1,343","3,197","2,145","1,540","1,880","1,301","1,463","3,003"
2020,4,60,"25,285",952,"1,255",647,991,"1,260",698,867,"1,017","1,531",966,"1,615","1,457",993,"2,188","1,642","1,261","1,402","1,014","1,036","2,493"
2020,4,70,"14,609",607,781,465,553,613,436,461,609,847,631,966,900,478,"1,235",960,712,711,649,545,"1,450"
2020,4,80,"5,288",272,303,170,200,265,176,167,224,313,256,328,284,159,514,306,269,247,218,162,455
2020,4,90,513,36,26,20,25,30,12,13,21,32,28,37,24,16,66,20,22,24,17,11,33
2020,4,100,92,7,8,5,5,3,4,5,1,2,2,3,7,5,14,6,1,4,2,2,6
2020,5,총,"213,614","7,969","11,451","6,613","7,310","11,836","7,860","7,823","9,158","11,438","7,777","12,580","17,472","8,290","19,699","13,114","9,715","9,932","6,902","8,914","17,761"
2020,5,0,"15,418",389,654,294,420,"1,114",244,514,787,818,354,940,"2,151",802,"1,461","1,107",618,487,291,904,"1,069"
2020,5,10,"19,592",673,"1,039",454,678,"1,446",521,500,916,"1,016",558,"1,197","2,386",755,"2,038","1,286",781,847,483,779,"1,239"
2020,5,20,"32,560","1,289","1,950","1,449","1,000","1,495","2,639","1,379","1,183","1,634","1,715","1,662","1,671","1,044","3,089","1,494","1,554","1,555",964,"1,155","2,639"
2020,5,30,"30,549","1,186","1,673","1,187","1,003","1,473","1,183","1,406","1,330","1,628","1,086","1,671","2,265","1,263","2,646","1,805","1,456","1,330",883,"1,425","2,650"
2020,5,40,"35,168","1,267","1,896","1,002","1,075","2,190",905,"1,268","1,629","1,816","1,006","2,130","3,867","1,406","3,237","2,333","1,502","1,431","1,081","1,423","2,704"
2020,5,50,"34,437","1,290","1,860",919,"1,355","1,942","1,041","1,232","1,439","1,802","1,167","2,040","2,461","1,356","3,200","2,151","1,544","1,883","1,291","1,469","2,995"
2020,5,60,"25,287",951,"1,257",645,985,"1,255",703,880,"1,012","1,517",968,"1,610","1,450",993,"2,186","1,644","1,258","1,412","1,018","1,034","2,509"
2020,5,70,"14,680",605,782,466,562,626,435,462,613,857,631,962,906,487,"1,251",959,709,710,654,547,"1,456"
2020,5,80,"5,319",277,305,172,199,262,175,166,227,317,260,331,283,162,513,309,270,248,218,164,461
2020,5,90,511,35,27,20,28,30,10,11,21,31,30,33,25,17,65,20,22,25,17,12,32
2020,5,100,93,7,8,5,5,3,4,5,1,2,2,4,7,5,13,6,1,4,2,2,7
2020,6,총,"213,431","7,972","11,422","6,614","7,287","11,824","7,843","7,826","9,152","11,410","7,769","12,554","17,440","8,296","19,714","13,106","9,668","9,952","6,933","8,917","17,732"
2020,6,0,"15,349",390,639,285,414,"1,108",245,521,788,802,347,952,"2,143",806,"1,455","1,104",602,481,293,911,"1,063"
2020,6,10,"19,533",675,"1,037",452,678,"1,443",509,500,912,"1,018",542,"1,189","2,385",751,"2,043","1,290",777,848,487,765,"1,232"
2020,6,20,"32,508","1,284","1,941","1,447",996,"1,501","2,648","1,379","1,178","1,625","1,719","1,665","1,657","1,048","3,078","1,484","1,545","1,560",965,"1,167","2,621"
2020,6,30,"30,532","1,195","1,670","1,201",997,"1,462","1,184","1,395","1,332","1,628","1,087","1,670","2,251","1,247","2,652","1,803","1,447","1,337",902,"1,432","2,640"
2020,6,40,"35,146","1,263","1,874",995,"1,072","2,190",905,"1,261","1,632","1,805","1,010","2,133","3,850","1,423","3,249","2,338","1,496","1,440","1,084","1,415","2,711"
