년도,월,나이,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020,7,20,"6,360",385,555,240,"1,773","1,297",116,"1,817",177
2020,7,30,"13,438",339,511,215,"5,653","2,392",120,"4,023",185
2020,7,40,"12,422",433,565,248,"4,068","3,387",139,"3,332",250
2020,7,50,"8,475",775,656,541,"1,941","1,705",282,"2,176",399
2020,7,60,"7,694",906,718,689,"1,640","1,151",327,"1,831",432
2020,7,70,"3,317",519,353,270,662,395,212,673,233
2020,7,80,876,147,117,93,146,92,53,161,67
2020,7,90,76,10,6,11,9,12,6,13,9
2020,7,100,12,1,2,4,3,1,0,1,0
2020,8,총,"68,912","3,768","4,000","2,419","22,660","15,259","1,322","17,581","1,903"
2020,8,0,"10,079",94,262,43,"4,427","2,765",28,"2,397",63
2020,8,10,"5,677",172,262,81,"1,768","2,092",44,"1,184",74
2020,8,20,"6,406",390,555,233,"1,838","1,285",115,"1,815",175
2020,8,30,"13,579",332,509,213,"5,863","2,370",121,"3,983",188
2020,8,40,"12,623",431,561,245,"4,274","3,388",139,"3,334",251
2020,8,50,"8,499",762,656,532,"1,993","1,702",276,"2,181",397
2020,8,60,"7,744",910,719,691,"1,669","1,150",327,"1,832",446
2020,8,70,"3,333",519,352,274,668,399,209,679,233
2020,8,80,881,147,116,92,147,94,56,162,67
2020,8,90,79,10,6,11,10,13,7,13,9
2020,8,100,12,1,2,4,3,1,0,1,0
2020,9,총,"69,941","3,772","4,001","2,400","23,860","15,154","1,327","17,524","1,903"
2020,9,0,"10,266",93,266,43,"4,687","2,729",29,"2,358",61
2020,9,10,"5,769",173,262,78,"1,855","2,097",43,"1,188",73
2020,9,20,"6,490",392,550,227,"1,949","1,264",118,"1,818",172
2020,9,30,"13,809",338,506,215,"6,208","2,322",120,"3,908",192
2020,9,40,"12,820",432,561,237,"4,463","3,388",140,"3,347",252
2020,9,50,"8,553",750,646,523,"2,092","1,687",276,"2,183",396
2020,9,60,"7,891",916,731,696,"1,755","1,158",327,"1,859",449
2020,9,70,"3,361",523,353,273,690,397,208,683,234
2020,9,80,892,145,117,93,149,98,59,166,65
2020,9,90,77,9,7,10,9,13,7,13,9
2020,9,100,13,1,2,5,3,1,0,1,0
2020,10,총,"70,513","3,767","4,010","2,390","24,503","15,115","1,326","17,518","1,884"
2020,10,0,"10,303",90,276,44,"4,790","2,682",31,"2,333",57
2020,10,10,"5,851",173,256,78,"1,919","2,112",44,"1,198",71
2020,10,20,"6,533",397,544,225,"2,003","1,269",116,"1,812",167
2020,10,30,"13,896",334,520,212,"6,355","2,285",119,"3,876",195
2020,10,40,"12,987",437,553,232,"4,608","3,394",140,"3,373",250
2020,10,50,"8,614",751,644,513,"2,160","1,693",276,"2,189",388
2020,10,60,"7,947",909,732,697,"1,810","1,164",327,"1,863",445
2020,10,70,"3,392",523,358,281,692,401,207,693,237
2020,10,80,900,142,118,93,154,101,59,167,66
2020,10,90,77,10,7,10,9,13,7,13,8
2020,10,100,13,1,2,5,3,1,0,1,0
2020,11,총,"70,896","3,782","4,007","2,393","24,833","15,110","1,325","17,531","1,915"
2020,11,0,"10,344",88,277,44,"4,852","2,671",30,"2,326",56
2020,11,10,"5,900",177,256,74,"1,957","2,119",45,"1,201",71
2020,11,20,"6,583",401,546,223,"2,019","1,280",117,"1,822",175
2020,11,30,"13,888",338,512,215,"6,399","2,263",118,"3,847",196
2020,11,40,"13,086",433,544,231,"4,705","3,399",142,"3,377",255
2020,11,50,"8,656",747,644,509,"2,200","1,702",269,"2,194",391
2020,11,60,"8,033",921,739,706,"1,831","1,157",332,"1,887",460
2020,11,70,"3,417",525,360,284,699,407,207,698,237
2020,11,80,897,142,119,92,158,98,58,164,66
2020,11,90,79,9,8,10,10,13,7,14,8
2020,11,100,13,1,2,5,3,1,0,1,0
2020,12,총,"71,245","3,777","3,975","2,395","25,227","15,109","1,320","17,507","1,935"
2020,12,0,"10,326",88,267,44,"4,882","2,677",27,"2,284",57
2020,12,10,"5,949",171,253,71,"2,003","2,125",46,"1,211",69
2020,12,20,"6,631",399,542,225,"2,086","1,269",114,"1,818",178
2020,12,30,"13,920",337,506,211,"6,487","2,250",120,"3,810",199
2020,12,40,"13,222",439,543,234,"4,796","3,414",142,"3,391",263
2020,12,50,"8,688",748,641,503,"2,246","1,692",267,"2,199",392
2020,12,60,"8,060",916,728,709,"1,845","1,161",328,"1,910",463
2020,12,70,"3,462",527,366,292,709,413,211,703,241
2020,12,80,894,142,119,90,159,95,57,166,66
2020,12,90,80,9,8,11,11,12,8,14,7
2020,12,100,13,1,2,5,3,1,0,1,0
2021,1,총,"71,620","3,768","3,971","2,382","25,504","15,110","1,308","17,645","1,932"
2021,1,0,"10,323",90,269,45,"4,916","2,658",22,"2,268",55
2021,1,10,"6,050",167,247,70,"2,052","2,149",45,"1,250",70
2021,1,20,"6,646",391,541,224,"2,112","1,264",117,"1,818",179
2021,1,30,"13,923",341,505,206,"6,514","2,228",119,"3,810",200
2021,1,40,"13,369",437,541,238,"4,903","3,426",137,"3,427",260
2021,1,50,"8,701",745,635,495,"2,262","1,685",261,"2,225",393
2021,1,60,"8,121",918,733,707,"1,859","1,169",331,"1,937",467
2021,1,70,"3,474",520,368,292,709,420,210,721,234
2021,1,80,919,150,122,88,163,99,58,172,67
2021,1,90,81,8,8,12,11,11,8,16,7
2021,1,100,13,1,2,5,3,1,0,1,0
2021,2,총,"71,882","3,757","3,989","2,375","25,577","15,118","1,296","17,803","1,967"
2021,2,0,"10,319",89,273,44,"4,904","2,660",21,"2,272",56
2021,2,10,"6,086",164,246,69,"2,066","2,152",43,"1,276",70
2021,2,20,"6,684",385,553,220,"2,134","1,268",118,"1,823",183
2021,2,30,"13,892",336,504,211,"6,482","2,205",117,"3,827",210
2021,2,40,"13,484",444,537,235,"4,952","3,451",137,"3,461",267
2021,2,50,"8,742",731,641,486,"2,281","1,680",257,"2,280",386
2021,2,60,"8,180",928,731,714,"1,868","1,178",331,"1,950",480
2021,2,70,"3,469",519,370,288,713,413,206,719,241
2021,2,80,930,152,124,91,161,99,58,178,67
2021,2,90,83,8,8,12,13,11,8,16,7
2021,2,100,13,1,2,5,3,1,0,1,0
2021,3,총,"72,000","3,668","3,956","2,318","25,683","15,116","1,278","17,979","2,002"
2021,3,0,"10,319",88,267,43,"4,929","2,640",22,"2,272",58
2021,3,10,"6,137",161,247,67,"2,090","2,159",42,"1,302",69
2021,3,20,"6,722",383,545,221,"2,140","1,272",117,"1,856",188
2021,3,30,"13,848",333,509,208,"6,447","2,196",112,"3,826",217
2021,3,40,"13,568",426,533,222,"5,016","3,451",132,"3,521",267
2021,3,50,"8,723",712,634,471,"2,269","1,685",255,"2,304",393
2021,3,60,"8,216",908,725,707,"1,893","1,182",325,"1,987",489
2021,3,70,"3,476",505,369,282,721,421,209,725,244
2021,3,80,906,143,121,84,162,97,57,172,70
2021,3,90,79,9,5,12,13,12,7,14,7
2021,3,100,6,0,1,1,3,1,0,0,0
2021,4,총,"72,239","3,645","3,946","2,308","25,801","15,109","1,270","18,164","1,996"
