년도,월,나이,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020,3,총,"82,841","21,681","3,168","10,523","6,316","7,770","10,818","4,658","11,620","6,287"
2020,3,0,"8,115","2,010",138,"1,190",511,741,"1,085",388,"1,337",715
2020,3,10,"8,258","2,170",198,"1,044",644,743,"1,184",484,"1,169",622
2020,3,20,"10,211","2,666",423,"1,155",882,993,"1,397",553,"1,463",679
2020,3,30,"13,514","3,665",515,"1,702",920,"1,259","1,480",647,"2,285","1,041"
2020,3,40,"13,902","4,035",483,"1,769","1,048","1,223","1,771",762,"1,781","1,030"
2020,3,50,"13,088","3,458",555,"1,684","1,205","1,191","1,940",711,"1,431",913
2020,3,60,"11,004","2,572",559,"1,355",817,"1,036","1,394",754,"1,596",921
2020,3,70,"3,952",917,245,518,223,497,466,301,486,299
2020,3,80,747,181,48,99,64,77,96,56,65,61
2020,3,90,46,7,4,7,2,8,4,2,6,6
2020,3,100,4,0,0,0,0,2,1,0,1,0
2020,4,총,"82,795","21,703","3,176","10,469","6,267","7,820","10,820","4,634","11,629","6,277"
2020,4,0,"8,081","2,003",142,"1,185",497,742,"1,093",383,"1,334",702
2020,4,10,"8,281","2,185",199,"1,027",644,751,"1,187",482,"1,174",632
2020,4,20,"10,199","2,669",421,"1,153",864,"1,003","1,395",554,"1,467",673
2020,4,30,"13,440","3,645",515,"1,672",915,"1,279","1,478",642,"2,258","1,036"
2020,4,40,"13,917","4,053",489,"1,756","1,039","1,226","1,766",760,"1,801","1,027"
2020,4,50,"13,059","3,451",553,"1,683","1,194","1,189","1,941",702,"1,429",917
2020,4,60,"11,037","2,588",557,"1,365",817,"1,044","1,395",754,"1,598",919
2020,4,70,"3,979",921,248,518,232,498,466,299,492,305
2020,4,80,753,181,48,103,64,78,94,56,69,60
2020,4,90,45,7,4,7,1,8,4,2,6,6
2020,4,100,4,0,0,0,0,2,1,0,1,0
2020,5,총,"82,706","21,690","3,176","10,450","6,241","7,820","10,808","4,650","11,603","6,268"
2020,5,0,"8,039","1,989",144,"1,176",495,743,"1,092",380,"1,320",700
2020,5,10,"8,256","2,188",195,"1,020",637,753,"1,173",482,"1,171",637
2020,5,20,"10,185","2,678",427,"1,151",850,997,"1,386",559,"1,470",667
2020,5,30,"13,373","3,608",512,"1,659",910,"1,278","1,486",643,"2,245","1,032"
2020,5,40,"13,923","4,071",486,"1,758","1,038","1,223","1,762",761,"1,797","1,027"
2020,5,50,"13,037","3,430",552,"1,685","1,194","1,198","1,942",705,"1,422",909
2020,5,60,"11,087","2,608",558,"1,368",812,"1,047","1,400",760,"1,608",926
2020,5,70,"3,998",928,249,519,239,493,467,303,494,306
2020,5,80,758,182,49,107,65,78,95,55,69,58
2020,5,90,46,8,4,7,1,8,4,2,6,6
2020,5,100,4,0,0,0,0,2,1,0,1,0
2020,6,총,"82,633","21,715","3,170","10,410","6,235","7,805","10,809","4,634","11,586","6,269"
2020,6,0,"7,995","1,976",140,"1,161",496,740,"1,087",378,"1,318",699
2020,6,10,"8,234","2,183",194,"1,019",637,750,"1,184",477,"1,158",632
2020,6,20,"10,200","2,690",425,"1,151",849,"1,003","1,386",560,"1,472",664
2020,6,30,"13,270","3,600",514,"1,618",899,"1,274","1,474",633,"2,233","1,025"
2020,6,40,"13,950","4,071",484,"1,775","1,038","1,219","1,770",756,"1,801","1,036"
2020,6,50,"12,988","3,435",556,"1,682","1,180","1,189","1,926",706,"1,415",899
2020,6,60,"11,150","2,625",554,"1,364",826,"1,052","1,410",763,"1,614",942
2020,6,70,"4,037",940,250,528,244,492,472,306,499,306
2020,6,80,758,187,49,105,65,76,94,53,69,60
2020,6,90,46,8,4,6,1,8,5,2,6,6
2020,6,100,5,0,0,1,0,2,1,0,1,0
2020,7,총,"82,507","21,683","3,147","10,378","6,226","7,816","10,793","4,623","11,578","6,263"
2020,7,0,"7,928","1,948",132,"1,159",489,739,"1,076",374,"1,317",694
2020,7,10,"8,228","2,182",193,"1,019",639,748,"1,183",477,"1,151",636
2020,7,20,"10,167","2,678",417,"1,132",853,"1,012","1,394",550,"1,463",668
2020,7,30,"13,175","3,558",510,"1,600",889,"1,268","1,463",634,"2,237","1,016"
2020,7,40,"13,989","4,094",485,"1,782","1,040","1,223","1,766",759,"1,802","1,038"
2020,7,50,"12,956","3,449",554,"1,676","1,170","1,188","1,915",697,"1,412",895
2020,7,60,"11,169","2,626",552,"1,365",835,"1,046","1,417",768,"1,619",941
2020,7,70,"4,080",953,253,532,243,503,477,309,502,308
2020,7,80,764,187,47,106,67,79,96,53,68,61
2020,7,90,46,8,4,6,1,8,5,2,6,6
2020,7,100,5,0,0,1,0,2,1,0,1,0
2020,8,총,"82,449","21,682","3,151","10,377","6,221","7,819","10,798","4,595","11,538","6,268"
2020,8,0,"7,859","1,920",130,"1,151",489,741,"1,070",366,"1,305",687
2020,8,10,"8,233","2,188",192,"1,021",638,739,"1,190",475,"1,149",641
2020,8,20,"10,132","2,672",421,"1,130",846,"1,019","1,387",544,"1,450",663
2020,8,30,"13,085","3,532",507,"1,591",878,"1,264","1,455",628,"2,215","1,015"
2020,8,40,"14,035","4,106",491,"1,782","1,045","1,228","1,778",748,"1,810","1,047"
2020,8,50,"12,918","3,452",556,"1,681","1,158","1,177","1,915",693,"1,400",886
2020,8,60,"11,255","2,651",552,"1,371",854,"1,057","1,419",776,"1,627",948
2020,8,70,"4,108",963,250,538,242,503,481,310,508,313
2020,8,80,772,189,47,106,70,81,97,53,67,62
2020,8,90,48,9,5,6,1,8,5,2,6,6
2020,8,100,4,0,0,0,0,2,1,0,1,0
2020,9,총,"82,303","21,672","3,144","10,344","6,198","7,822","10,766","4,583","11,513","6,261"
2020,9,0,"7,799","1,905",127,"1,135",488,736,"1,063",368,"1,293",684
2020,9,10,"8,210","2,184",188,"1,017",635,745,"1,187",470,"1,141",643
2020,9,20,"10,091","2,667",421,"1,134",848,"1,017","1,366",543,"1,442",653
2020,9,30,"12,995","3,508",500,"1,571",867,"1,266","1,449",622,"2,203","1,009"
2020,9,40,"14,044","4,113",490,"1,782","1,036","1,230","1,781",741,"1,816","1,055"
2020,9,50,"12,875","3,459",558,"1,667","1,156","1,169","1,898",692,"1,396",880
2020,9,60,"11,324","2,670",555,"1,382",853,"1,062","1,431",782,"1,637",952
2020,9,70,"4,127",968,252,537,246,507,486,311,506,314
2020,9,80,784,189,48,112,68,80,99,51,72,65
2020,9,90,49,9,5,7,1,7,5,3,6,6
2020,9,100,5,0,0,0,0,3,1,0,1,0
2020,10,총,"82,261","21,659","3,143","10,313","6,209","7,816","10,754","4,591","11,519","6,257"
2020,10,0,"7,736","1,888",128,"1,123",477,738,"1,045",369,"1,297",671
2020,10,10,"8,222","2,189",189,"1,008",638,745,"1,189",470,"1,149",645
2020,10,20,"10,081","2,653",417,"1,138",856,"1,015","1,366",543,"1,439",654
2020,10,30,"12,891","3,498",499,"1,549",865,"1,245","1,437",622,"2,179",997
2020,10,40,"14,116","4,125",490,"1,788","1,029","1,242","1,789",744,"1,840","1,069"
2020,10,50,"12,835","3,455",554,"1,658","1,164","1,160","1,903",680,"1,382",879
2020,10,60,"11,379","2,684",559,"1,386",863,"1,068","1,434",791,"1,642",952
2020,10,70,"4,155",971,253,540,248,511,487,319,508,318
2020,10,80,791,189,49,113,68,82,98,51,76,65
2020,10,90,50,7,5,10,1,7,5,2,6,7
2020,10,100,5,0,0,0,0,3,1,0,1,0
2020,11,총,"82,126","21,637","3,131","10,330","6,194","7,805","10,720","4,570","11,490","6,249"
2020,11,0,"7,684","1,879",125,"1,125",478,723,"1,036",365,"1,284",669
2020,11,10,"8,227","2,187",191,"1,008",634,752,"1,184",467,"1,156",648
2020,11,20,"10,047","2,661",415,"1,129",853,"1,009","1,369",540,"1,427",644
2020,11,30,"12,767","3,444",492,"1,552",859,"1,229","1,428",614,"2,163",986
2020,11,40,"14,142","4,133",489,"1,786","1,027","1,260","1,779",745,"1,840","1,083"
2020,11,50,"12,788","3,457",549,"1,664","1,154","1,150","1,887",676,"1,378",873
2020,11,60,"11,440","2,702",560,"1,398",870,"1,076","1,444",794,"1,646",950
2020,11,70,"4,172",972,255,541,249,511,491,316,513,324
2020,11,80,803,195,51,116,69,85,95,51,76,65
2020,11,90,51,7,4,11,1,7,6,2,6,7
2020,11,100,5,0,0,0,0,3,1,0,1,0
2020,12,총,"81,999","21,627","3,129","10,308","6,194","7,815","10,695","4,568","11,432","6,231"
2020,12,0,"7,618","1,856",122,"1,120",480,723,"1,022",362,"1,269",664
2020,12,10,"8,240","2,199",190,998,637,757,"1,182",468,"1,159",650
2020,12,20,"10,012","2,645",414,"1,128",851,"1,007","1,371",540,"1,415",641
2020,12,30,"12,688","3,439",488,"1,537",858,"1,221","1,417",610,"2,143",975
2020,12,40,"14,136","4,133",489,"1,780","1,023","1,262","1,779",748,"1,839","1,083"
2020,12,50,"12,746","3,453",551,"1,657","1,145","1,155","1,880",673,"1,370",862
2020,12,60,"11,471","2,713",559,"1,408",879,"1,077","1,450",798,"1,629",958
2020,12,70,"4,220",984,261,550,254,515,491,315,526,324
2020,12,80,812,198,51,119,66,88,96,52,75,67
2020,12,90,51,7,4,11,1,7,6,2,6,7
2020,12,100,5,0,0,0,0,3,1,0,1,0
2021,1,총,"81,834","21,629","3,143","10,284","6,187","7,791","10,659","4,553","11,365","6,223"
2021,1,0,"7,553","1,838",119,"1,111",478,716,"1,023",354,"1,253",661
2021,1,10,"8,250","2,207",192,"1,001",642,747,"1,178",469,"1,160",654
2021,1,20,"9,951","2,637",420,"1,122",847,992,"1,367",538,"1,398",630
2021,1,30,"12,549","3,395",491,"1,527",854,"1,214","1,397",598,"2,101",972
2021,1,40,"14,172","4,163",494,"1,788","1,018","1,264","1,765",746,"1,852","1,082"
2021,1,50,"12,693","3,455",544,"1,637","1,140","1,151","1,865",673,"1,363",865
2021,1,60,"11,519","2,731",562,"1,413",884,"1,087","1,460",806,"1,627",949
2021,1,70,"4,265",997,263,554,257,523,499,310,527,335
2021,1,80,827,199,54,120,66,87,99,57,77,68
2021,1,90,50,7,4,11,1,7,5,2,6,7
2021,1,100,5,0,0,0,0,3,1,0,1,0
2021,2,총,"81,652","21,612","3,139","10,258","6,151","7,767","10,613","4,537","11,335","6,240"
2021,2,0,"7,484","1,825",118,"1,103",471,704,"1,021",344,"1,237",661
2021,2,10,"8,243","2,196",190,"1,010",637,757,"1,162",472,"1,160",659
2021,2,20,"9,882","2,630",417,"1,115",837,976,"1,352",539,"1,388",628
2021,2,30,"12,422","3,376",489,"1,507",847,"1,193","1,378",587,"2,076",969
2021,2,40,"14,205","4,170",497,"1,777","1,011","1,278","1,767",740,"1,870","1,095"
2021,2,50,"12,663","3,460",546,"1,627","1,135","1,147","1,862",676,"1,353",857
2021,2,60,"11,549","2,733",560,"1,431",886,"1,085","1,465",806,"1,630",953
2021,2,70,"4,311","1,012",266,554,261,530,499,314,534,341
2021,2,80,838,204,52,122,65,87,101,57,80,70
2021,2,90,50,6,4,12,1,7,5,2,6,7
2021,2,100,5,0,0,0,0,3,1,0,1,0
2021,3,총,"81,412","21,604","3,127","10,229","6,140","7,709","10,590","4,520","11,288","6,205"
2021,3,0,"7,430","1,813",115,"1,103",466,697,"1,016",338,"1,230",652
2021,3,10,"8,232","2,201",193,"1,006",631,752,"1,161",474,"1,157",657
2021,3,20,"9,843","2,629",417,"1,112",839,964,"1,333",531,"1,399",619
2021,3,30,"12,350","3,382",486,"1,488",838,"1,185","1,371",581,"2,058",961
2021,3,40,"14,179","4,170",496,"1,769","1,006","1,268","1,769",740,"1,863","1,098"
2021,3,50,"12,616","3,449",540,"1,616","1,140","1,144","1,857",674,"1,347",849
2021,3,60,"11,568","2,741",557,"1,447",882,"1,082","1,476",808,"1,618",957
2021,3,70,"4,298","1,011",265,550,272,523,497,313,530,337
2021,3,80,845,202,54,126,65,87,104,59,80,68
2021,3,90,49,6,4,12,1,6,5,2,6,7
2021,3,100,2,0,0,0,0,1,1,0,0,0
2021,4,총,"81,246","21,571","3,121","10,211","6,123","7,681","10,572","4,519","11,257","6,191"
2021,4,0,"7,352","1,794",112,"1,087",457,692,"1,013",330,"1,227",640
2021,4,10,"8,237","2,205",191,"1,013",629,758,"1,157",472,"1,147",665
