년도,월,나이,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동,경기도 여주시 세종대왕면
2020,3,총,"56,415","8,041","2,414","2,612","1,537","3,307","3,687","2,559","2,153","1,265","11,024","9,276","8,540",
2020,3,0,"3,956",528,108,100,50,126,128,79,70,51,878,753,"1,085",
2020,3,10,"5,092",688,157,154,71,242,249,226,140,71,"1,050","1,205",839,
2020,3,20,"6,567",908,265,242,146,321,360,235,212,119,"1,487","1,227","1,045",
2020,3,30,"6,161","1,037",169,213,108,279,267,164,172,105,"1,334","1,034","1,279",
2020,3,40,"8,400","1,216",242,286,161,418,396,334,276,153,"1,825","1,566","1,527",
2020,3,50,"10,549","1,505",476,530,318,668,751,569,475,220,"1,961","1,712","1,364",
2020,3,60,"8,870","1,236",509,581,375,659,819,505,414,288,"1,517","1,099",868,
2020,3,70,"4,751",637,340,341,219,419,461,290,272,174,705,501,392,
2020,3,80,"1,895",258,134,151,84,158,230,140,113,76,245,170,136,
2020,3,90,159,23,13,14,5,17,24,16,8,8,18,9,4,
2020,3,100,15,5,1,0,0,0,2,1,1,0,4,0,1,
2020,4,총,"56,492","8,064","2,409","2,614","1,538","3,295","3,684","2,560","2,153","1,271","11,011","9,294","8,599",
2020,4,0,"3,934",530,109,99,50,124,124,81,71,51,849,756,"1,090",
2020,4,10,"5,087",690,157,157,68,237,250,222,139,70,"1,051","1,207",839,
2020,4,20,"6,592",924,261,238,149,314,364,232,212,118,"1,489","1,235","1,056",
2020,4,30,"6,141","1,031",168,212,108,276,264,163,171,105,"1,332","1,031","1,280",
2020,4,40,"8,395","1,218",236,289,159,414,393,335,276,152,"1,814","1,565","1,544",
2020,4,50,"10,576","1,506",481,527,317,670,749,570,474,225,"1,972","1,712","1,373",
2020,4,60,"8,919","1,241",511,580,375,664,824,511,418,289,"1,529","1,101",876,
2020,4,70,"4,765",635,339,345,223,419,457,287,271,175,709,508,397,
2020,4,80,"1,909",260,135,153,84,160,232,143,112,78,243,170,139,
2020,4,90,158,24,11,14,5,17,25,15,8,7,19,9,4,
2020,4,100,16,5,1,0,0,0,2,1,1,1,4,0,1,
2020,5,총,"56,545","8,082","2,403","2,620","1,537","3,297","3,695","2,550","2,140","1,270","11,008","9,307","8,636",
2020,5,0,"3,929",534,104,101,53,127,122,80,70,52,843,749,"1,094",
2020,5,10,"5,052",680,157,154,65,235,242,221,138,67,"1,054","1,200",839,
2020,5,20,"6,644",930,265,242,150,313,374,229,210,117,"1,488","1,256","1,070",
2020,5,30,"6,159","1,041",168,208,106,278,267,165,169,103,"1,332","1,036","1,286",
2020,5,40,"8,355","1,220",235,284,156,417,390,333,274,151,"1,796","1,553","1,546",
2020,5,50,"10,577","1,502",475,538,315,663,748,566,473,225,"1,974","1,723","1,375",
2020,5,60,"8,966","1,241",513,582,378,666,833,515,413,292,"1,545","1,109",879,
2020,5,70,"4,769",642,342,341,224,421,453,280,274,177,705,504,406,
2020,5,80,"1,914",263,133,155,83,160,237,145,110,78,247,167,136,
2020,5,90,164,24,10,15,7,17,27,15,8,7,20,10,4,
2020,5,100,16,5,1,0,0,0,2,1,1,1,4,0,1,
2020,6,총,"56,582","8,083","2,390","2,637","1,545","3,294","3,704","2,537","2,149","1,277","11,016","9,308","8,642",
2020,6,0,"3,930",534,103,100,54,128,124,78,69,52,842,747,"1,099",
2020,6,10,"5,019",675,155,153,64,233,238,219,138,70,"1,053","1,188",833,
