년도,월,나이,양구군,양구읍,남면,동면,방산면,해안면,국토정중앙면
2021,11,10,996,810,,43,27,36,80
2021,11,20,969,685,,116,44,41,83
2021,11,30,"1,114",894,,59,31,35,95
2021,11,40,"1,119",870,,61,36,49,103
2021,11,50,"1,602",967,,159,93,121,262
2021,11,60,"1,689",926,,163,126,127,347
2021,11,70,"1,105",536,,149,83,93,244
2021,11,80,787,397,,90,68,61,171
2021,11,90,136,55,,23,12,10,36
2021,11,100,5,2,,0,0,0,3
2021,12,총,"10,284","6,790",,907,544,578,"1,465"
2021,12,0,826,706,,46,21,9,44
2021,12,10,960,770,,44,27,36,83
2021,12,20,959,676,,114,46,40,83
2021,12,30,"1,098",885,,58,31,33,91
2021,12,40,"1,118",872,,60,34,49,103
2021,12,50,"1,589",960,,158,91,120,260
2021,12,60,"1,701",931,,166,130,127,347
2021,12,70,"1,100",536,,147,84,93,240
2021,12,80,791,396,,91,67,61,176
2021,12,90,138,56,,23,13,10,36
2021,12,100,4,2,,0,0,0,2
