년도,월,나이,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020,1,총,"737,893","112,042","121,458","244,335","173,207","86,851"
2020,1,0,"58,906","7,805","8,087","19,557","17,649","5,808"
2020,1,10,"73,440","10,006","11,207","24,992","18,770","8,465"
2020,1,20,"100,720","14,308","15,212","36,134","24,004","11,062"
2020,1,30,"96,330","12,654","13,541","33,368","27,460","9,307"
2020,1,40,"121,424","16,442","18,759","41,370","30,921","13,932"
2020,1,50,"122,501","18,505","20,146","40,450","26,913","16,487"
2020,1,60,"86,736","16,104","16,992","26,636","15,475","11,529"
2020,1,70,"48,227","10,255","11,034","13,460","7,013","6,465"
2020,1,80,"25,142","5,090","5,503","7,099","4,177","3,273"
2020,1,90,"4,214",812,919,"1,203",781,499
2020,1,100,253,61,58,66,44,24
2020,2,총,"737,334","111,750","121,428","244,377","173,209","86,570"
2020,2,0,"58,544","7,721","8,029","19,499","17,560","5,735"
2020,2,10,"73,172","10,031","11,185","24,893","18,700","8,363"
2020,2,20,"100,546","14,146","15,239","36,078","24,061","11,022"
2020,2,30,"95,810","12,515","13,402","33,314","27,358","9,221"
2020,2,40,"121,437","16,454","18,795","41,396","30,930","13,862"
2020,2,50,"122,355","18,408","20,110","40,415","26,945","16,477"
2020,2,60,"87,345","16,200","17,100","26,827","15,625","11,593"
2020,2,70,"48,361","10,260","11,066","13,529","7,030","6,476"
2020,2,80,"25,239","5,134","5,513","7,130","4,176","3,286"
2020,2,90,"4,266",819,930,"1,225",781,511
2020,2,100,259,62,59,71,43,24
2020,3,총,"736,679","111,612","121,274","244,211","173,270","86,312"
2020,3,0,"58,283","7,681","7,963","19,423","17,526","5,690"
2020,3,10,"72,871","10,012","11,096","24,788","18,663","8,312"
2020,3,20,"100,582","14,159","15,279","36,055","24,141","10,948"
2020,3,30,"95,354","12,407","13,335","33,208","27,284","9,120"
2020,3,40,"121,077","16,399","18,723","41,310","30,838","13,807"
2020,3,50,"122,048","18,322","20,029","40,328","26,971","16,398"
2020,3,60,"87,970","16,292","17,179","27,035","15,766","11,698"
2020,3,70,"48,570","10,293","11,110","13,617","7,063","6,487"
2020,3,80,"25,343","5,164","5,541","7,147","4,183","3,308"
2020,3,90,"4,322",820,960,"1,230",793,519
2020,3,100,259,63,59,70,42,25
2020,4,총,"736,748","111,607","121,149","244,292","173,515","86,185"
2020,4,0,"58,050","7,647","7,898","19,331","17,509","5,665"
2020,4,10,"72,646","9,952","11,041","24,740","18,644","8,269"
2020,4,20,"100,789","14,247","15,308","36,139","24,184","10,911"
2020,4,30,"95,246","12,392","13,214","33,196","27,375","9,069"
2020,4,40,"120,795","16,351","18,670","41,232","30,806","13,736"
2020,4,50,"122,049","18,284","20,039","40,289","27,031","16,406"
2020,4,60,"88,375","16,333","17,240","27,203","15,849","11,750"
2020,4,70,"48,713","10,326","11,141","13,671","7,074","6,501"
2020,4,80,"25,484","5,191","5,583","7,183","4,202","3,325"
