년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020,1,총,"16,535","7,449",999,788,"1,098",828,"1,209",980,409,914,895,966
2020,1,0,805,520,20,45,24,19,35,33,20,30,26,33
2020,1,10,"1,183",741,46,31,52,36,89,47,12,38,44,47
2020,1,20,"1,446",818,78,80,62,49,94,62,12,60,59,72
2020,1,30,"1,314",691,61,103,58,47,119,64,14,39,61,57
2020,1,40,"1,957","1,030",113,106,109,77,130,102,37,93,76,84
2020,1,50,"3,329","1,436",216,144,228,158,230,206,88,202,214,207
2020,1,60,"3,304","1,173",249,126,269,187,255,249,126,223,206,241
2020,1,70,"2,039",681,145,94,192,154,155,141,71,140,123,143
2020,1,80,"1,041",320,62,52,94,89,99,72,29,80,73,71
2020,1,90,116,39,8,7,10,12,3,4,0,9,13,11
2020,1,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,2,총,"16,521","7,449",995,786,"1,100",826,"1,208",981,409,916,889,962
2020,2,0,810,523,21,44,26,20,35,33,20,30,25,33
2020,2,10,"1,170",737,43,31,54,35,86,47,12,38,41,46
2020,2,20,"1,437",806,78,81,60,48,95,62,13,60,62,72
2020,2,30,"1,310",692,59,103,57,48,119,65,14,38,58,57
2020,2,40,"1,944","1,026",113,104,112,73,130,100,36,93,72,85
2020,2,50,"3,320","1,442",213,143,226,158,227,206,87,201,212,205
2020,2,60,"3,329","1,183",252,126,267,188,260,252,127,225,210,239
2020,2,70,"2,037",679,144,96,195,154,155,139,70,142,122,141
2020,2,80,"1,046",323,63,51,92,90,98,73,30,80,73,73
2020,2,90,117,38,8,7,11,12,3,4,0,9,14,11
2020,2,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,3,총,"16,500","7,440",993,783,"1,094",828,"1,211",980,413,912,887,959
2020,3,0,799,522,20,44,23,20,33,31,19,30,24,33
2020,3,10,"1,163",728,42,31,57,34,88,47,13,37,41,45
2020,3,20,"1,431",802,77,80,58,51,96,63,13,60,61,70
2020,3,30,"1,305",693,58,102,57,47,121,61,15,37,57,57
2020,3,40,"1,917","1,013",109,101,110,71,128,103,35,92,72,83
2020,3,50,"3,348","1,454",223,146,223,160,223,207,91,201,213,207
2020,3,60,"3,352","1,192",254,127,270,190,264,250,127,225,212,241
2020,3,70,"2,027",674,142,95,196,154,156,141,69,141,120,139
