년도,월,나이,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020,3,총,"39,404","18,574","2,188","1,604","1,679","2,417","2,095","4,601","1,459","1,867","1,564","1,356"
2020,3,0,"1,927","1,385",43,33,24,71,69,145,27,53,46,31
2020,3,10,"3,058","1,965",114,72,72,149,106,254,51,109,79,87
2020,3,20,"3,234","1,946",117,79,100,202,115,282,89,127,83,94
2020,3,30,"2,723","1,705",95,67,73,145,117,261,61,85,62,52
2020,3,40,"4,563","2,714",203,152,106,227,189,443,104,166,133,126
2020,3,50,"7,013","3,255",468,319,285,397,357,741,280,325,316,270
2020,3,60,"6,974","2,606",473,324,343,504,424,945,364,375,352,264
2020,3,70,"5,583","1,807",386,317,368,396,407,818,240,351,276,217
2020,3,80,"3,758","1,048",245,207,252,289,277,607,215,245,188,185
2020,3,90,537,134,40,33,50,36,34,97,28,29,28,28
2020,3,100,34,9,4,1,6,1,0,8,0,2,1,2
2020,4,총,"39,377","18,545","2,184","1,608","1,670","2,421","2,098","4,617","1,452","1,862","1,560","1,360"
2020,4,0,"1,914","1,369",43,33,23,74,69,145,26,54,45,33
2020,4,10,"3,036","1,949",116,74,71,146,107,253,51,105,79,85
2020,4,20,"3,228","1,948",117,76,96,201,112,284,84,128,84,98
2020,4,30,"2,727","1,710",93,69,69,150,114,264,61,85,61,51
2020,4,40,"4,519","2,686",199,154,106,216,191,441,104,162,133,127
2020,4,50,"7,032","3,275",468,316,285,401,356,754,278,325,310,264
2020,4,60,"6,992","2,607",470,325,347,508,427,945,363,375,357,268
2020,4,70,"5,578","1,807",385,316,362,395,407,819,240,353,275,219
2020,4,80,"3,779","1,048",249,212,255,292,281,604,220,244,188,186
2020,4,90,538,137,40,32,50,37,34,100,25,29,27,27
2020,4,100,34,9,4,1,6,1,0,8,0,2,1,2
2020,5,총,"39,353","18,551","2,187","1,619","1,667","2,409","2,087","4,605","1,451","1,861","1,559","1,357"
2020,5,0,"1,912","1,368",46,35,21,74,68,143,27,54,44,32
2020,5,10,"3,013","1,941",116,75,71,143,105,250,51,107,72,82
2020,5,20,"3,217","1,942",112,78,94,200,110,281,85,128,87,100
2020,5,30,"2,723","1,705",97,71,71,147,113,261,60,85,61,52
2020,5,40,"4,502","2,685",196,156,107,215,185,442,105,157,132,122
2020,5,50,"7,015","3,286",471,311,287,399,352,742,274,325,304,264
2020,5,60,"7,032","2,617",471,326,343,508,432,957,366,379,364,269
2020,5,70,"5,570","1,804",384,319,363,396,407,813,237,350,277,220
2020,5,80,"3,795","1,056",249,213,254,290,281,608,222,246,189,187
2020,5,90,541,138,41,34,50,37,34,100,24,28,28,27
2020,5,100,33,9,4,1,6,0,0,8,0,2,1,2
2020,6,총,"39,321","18,526","2,189","1,624","1,667","2,410","2,079","4,598","1,443","1,859","1,561","1,365"
2020,6,0,"1,893","1,354",44,37,19,73,66,142,29,52,44,33
2020,6,10,"3,010","1,939",116,77,72,143,107,250,49,104,72,81
2020,6,20,"3,194","1,926",112,75,94,198,111,275,85,133,85,100
2020,6,30,"2,714","1,697",97,72,70,151,109,258,60,87,62,51
2020,6,40,"4,501","2,698",191,156,109,215,182,439,102,154,132,123
2020,6,50,"6,970","3,272",474,310,285,389,352,736,268,323,294,267
2020,6,60,"7,089","2,635",472,330,344,516,431,964,367,382,377,271
2020,6,70,"5,580","1,802",388,318,366,398,409,816,237,350,274,222
2020,6,80,"3,794","1,056",251,215,252,290,277,609,222,243,192,187
2020,6,90,544,138,41,33,50,37,35,101,24,29,28,28
2020,6,100,32,9,3,1,6,0,0,8,0,2,1,2
2020,7,총,"39,274","18,486","2,187","1,619","1,672","2,412","2,077","4,596","1,441","1,859","1,564","1,361"
2020,7,0,"1,866","1,333",41,37,22,74,64,138,28,52,44,33
2020,7,10,"3,010","1,937",114,77,70,143,107,255,50,106,70,81
2020,7,20,"3,179","1,921",108,73,95,199,113,268,86,133,86,97
2020,7,30,"2,691","1,683",97,70,69,153,111,250,57,90,60,51
2020,7,40,"4,491","2,691",189,155,111,216,182,441,102,153,129,122
2020,7,50,"6,972","3,269",483,306,287,388,351,734,267,319,300,268
2020,7,60,"7,116","2,643",472,333,345,515,431,977,368,381,381,270
2020,7,70,"5,575","1,803",385,317,365,397,407,812,237,355,273,224
2020,7,80,"3,795","1,052",253,216,257,290,276,611,223,239,192,186
2020,7,90,548,145,43,34,45,37,35,102,23,29,28,27
2020,7,100,31,9,2,1,6,0,0,8,0,2,1,2
2020,8,총,"39,236","18,483","2,183","1,620","1,658","2,413","2,083","4,581","1,441","1,852","1,561","1,361"
2020,8,0,"1,855","1,330",41,39,22,70,64,134,28,51,42,34
2020,8,10,"3,000","1,934",112,76,69,146,108,253,47,104,70,81
2020,8,20,"3,140","1,899",110,74,92,194,112,266,85,125,86,97
2020,8,30,"2,683","1,675",95,70,69,149,114,251,57,92,60,51
2020,8,40,"4,480","2,692",189,156,107,219,178,434,104,152,131,118
2020,8,50,"6,974","3,273",485,307,284,391,354,729,269,314,297,271
2020,8,60,"7,151","2,662",474,328,342,519,434,981,368,389,382,272
2020,8,70,"5,563","1,801",379,320,363,395,406,813,237,350,276,223
2020,8,80,"3,810","1,063",254,215,258,292,278,614,221,242,188,185
2020,8,90,549,145,42,34,46,38,35,98,25,31,28,27
2020,8,100,31,9,2,1,6,0,0,8,0,2,1,2
