년도,월,나이,기장군,기장읍,장안읍,정관읍,일광면,철마면
2020,1,총,"164,710","55,501","8,975","82,976","8,885","8,373"
2020,1,0,"18,706","3,880",463,"13,372",500,491
2020,1,10,"16,747","5,004",529,"10,272",485,457
2020,1,20,"15,838","6,491","1,043","6,631",865,808
2020,1,30,"24,263","6,232","1,102","15,163",955,811
2020,1,40,"30,218","9,115","1,066","17,883","1,095","1,059"
2020,1,50,"22,397","9,620","1,620","8,111","1,542","1,504"
2020,1,60,"19,438","7,827","1,599","6,584","1,729","1,699"
2020,1,70,"11,589","4,874",951,"3,557","1,151","1,056"
2020,1,80,"4,797","2,138",513,"1,226",483,437
2020,1,90,678,302,79,170,78,49
2020,1,100,39,18,10,7,2,2
2020,2,총,"166,321","54,787","8,911","82,444","11,882","8,297"
2020,2,0,"19,010","3,707",444,"13,138","1,250",471
2020,2,10,"16,864","4,903",519,"10,269",721,452
2020,2,20,"15,813","6,388","1,021","6,550","1,049",805
2020,2,30,"24,605","6,070","1,101","14,842","1,812",780
2020,2,40,"30,592","8,966","1,040","17,906","1,624","1,056"
2020,2,50,"22,597","9,571","1,630","8,144","1,766","1,486"
2020,2,60,"19,651","7,858","1,596","6,615","1,881","1,701"
2020,2,70,"11,630","4,862",950,"3,566","1,201","1,051"
2020,2,80,"4,835","2,139",521,"1,237",494,444
2020,2,90,684,303,80,170,82,49
2020,2,100,40,20,9,7,2,2
2020,3,총,"167,586","54,584","8,865","82,547","13,332","8,258"
2020,3,0,"19,081","3,615",438,"13,050","1,515",463
2020,3,10,"16,899","4,853",500,"10,292",818,436
2020,3,20,"16,085","6,425","1,033","6,633","1,188",806
2020,3,30,"24,770","5,997","1,085","14,687","2,236",765
2020,3,40,"30,801","8,868","1,018","17,999","1,867","1,049"
2020,3,50,"22,748","9,589","1,619","8,168","1,900","1,472"
2020,3,60,"19,868","7,898","1,610","6,668","1,982","1,710"
2020,3,70,"11,728","4,862",950,"3,626","1,229","1,061"
2020,3,80,"4,865","2,153",518,"1,245",508,441
2020,3,90,699,303,85,172,86,53
2020,3,100,42,21,9,7,3,2
2020,4,총,"168,132","54,160","8,811","82,373","14,578","8,210"
2020,4,0,"19,064","3,530",429,"12,935","1,719",451
2020,4,10,"16,954","4,790",488,"10,309",930,437
2020,4,20,"16,121","6,365","1,019","6,646","1,304",787
2020,4,30,"24,839","5,913","1,082","14,537","2,552",755
2020,4,40,"30,894","8,752","1,006","18,017","2,078","1,041"
2020,4,50,"22,874","9,554","1,623","8,181","2,051","1,465"
2020,4,60,"19,965","7,899","1,605","6,689","2,062","1,710"
2020,4,70,"11,793","4,871",952,"3,636","1,269","1,065"
2020,4,80,"4,883","2,158",513,"1,248",523,441
2020,4,90,702,307,84,168,87,56
2020,4,100,43,21,10,7,3,2
2020,5,총,"169,142","53,945","8,746","82,207","16,106","8,138"
2020,5,0,"19,168","3,493",430,"12,858","1,943",444
2020,5,10,"16,992","4,710",471,"10,333","1,045",433
2020,5,20,"16,249","6,373","1,013","6,626","1,470",767
2020,5,30,"24,945","5,858","1,070","14,401","2,880",736
2020,5,40,"31,041","8,657",987,"18,033","2,333","1,031"
2020,5,50,"23,102","9,553","1,616","8,194","2,283","1,456"
2020,5,60,"20,097","7,917","1,602","6,680","2,198","1,700"
2020,5,70,"11,875","4,894",953,"3,658","1,311","1,059"
2020,5,80,"4,922","2,160",510,"1,248",551,453
2020,5,90,707,308,84,170,88,57
2020,5,100,44,22,10,6,4,2
2020,6,총,"170,139","53,798","8,749","82,192","17,245","8,155"
2020,6,0,"19,232","3,440",432,"12,799","2,119",442
2020,6,10,"17,039","4,665",460,"10,366","1,121",427
2020,6,20,"16,407","6,371","1,007","6,647","1,607",775
2020,6,30,"25,069","5,835","1,079","14,284","3,140",731
2020,6,40,"31,237","8,594",987,"18,079","2,552","1,025"
2020,6,50,"23,188","9,519","1,605","8,192","2,412","1,460"
2020,6,60,"20,280","7,958","1,613","6,696","2,305","1,708"
2020,6,70,"11,969","4,904",958,"3,703","1,335","1,069"
2020,6,80,"4,962","2,177",514,"1,251",561,459
2020,6,90,713,314,84,169,89,57
2020,6,100,43,21,10,6,4,2
2020,7,총,"171,369","53,379","8,747","82,019","19,107","8,117"
2020,7,0,"19,297","3,357",428,"12,712","2,368",432
2020,7,10,"17,126","4,599",452,"10,383","1,261",431
2020,7,20,"16,609","6,326","1,015","6,636","1,874",758
