년도,월,나이,가평군,가평읍,설악면,청평면,상면,조종면,북면
2020,1,총,"62,303","19,624","9,416","14,127","5,489","9,689","3,958"
2020,1,0,"3,582","1,245",540,708,171,769,149
2020,1,10,"4,803","1,754",822,"1,036",304,667,220
2020,1,20,"6,182","2,240",837,"1,352",531,976,246
2020,1,30,"5,945","1,961",803,"1,302",369,"1,205",305
2020,1,40,"8,048","2,708","1,133","1,998",571,"1,225",413
2020,1,50,"11,635","3,552","1,798","2,716","1,150","1,671",748
2020,1,60,"11,245","3,038","1,844","2,503","1,275","1,665",920
2020,1,70,"6,825","1,939",990,"1,632",701,976,587
2020,1,80,"3,493","1,037",549,759,365,468,315
2020,1,90,498,134,96,110,48,58,52
2020,1,100,47,16,4,11,4,9,3
2020,2,총,"62,224","19,619","9,418","14,090","5,429","9,720","3,948"
2020,2,0,"3,573","1,235",545,698,174,773,148
2020,2,10,"4,749","1,748",817,"1,019",275,670,220
2020,2,20,"6,170","2,248",828,"1,344",520,985,245
2020,2,30,"5,919","1,956",812,"1,290",358,"1,201",302
2020,2,40,"8,041","2,705","1,124","1,989",570,"1,239",414
2020,2,50,"11,559","3,535","1,782","2,711","1,130","1,662",739
2020,2,60,"11,340","3,072","1,864","2,514","1,284","1,681",925
2020,2,70,"6,800","1,928",990,"1,633",697,970,582
2020,2,80,"3,530","1,040",555,773,368,475,319
2020,2,90,498,136,97,110,49,55,51
2020,2,100,45,16,4,9,4,9,3
2020,3,총,"62,262","19,613","9,458","14,083","5,423","9,736","3,949"
2020,3,0,"3,548","1,221",543,689,168,778,149
2020,3,10,"4,735","1,747",827,"1,018",262,664,217
2020,3,20,"6,187","2,253",836,"1,336",512,"1,003",247
2020,3,30,"5,890","1,954",804,"1,271",367,"1,199",295
2020,3,40,"8,029","2,685","1,132","2,001",566,"1,229",416
2020,3,50,"11,502","3,528","1,773","2,696","1,122","1,658",725
2020,3,60,"11,467","3,098","1,891","2,533","1,305","1,693",947
2020,3,70,"6,792","1,925",992,"1,639",698,963,575
2020,3,80,"3,563","1,049",557,778,369,485,325
2020,3,90,503,137,99,112,50,55,50
2020,3,100,46,16,4,10,4,9,3
2020,4,총,"62,397","19,603","9,479","14,111","5,502","9,743","3,959"
2020,4,0,"3,531","1,210",547,686,164,773,151
2020,4,10,"4,798","1,735",823,"1,024",337,660,219
2020,4,20,"6,182","2,236",838,"1,335",512,"1,010",251
2020,4,30,"5,898","1,961",808,"1,272",367,"1,196",294
2020,4,40,"8,018","2,684","1,132","1,995",559,"1,228",420
2020,4,50,"11,501","3,524","1,777","2,699","1,129","1,649",723
2020,4,60,"11,525","3,113","1,889","2,557","1,307","1,706",953
2020,4,70,"6,817","1,928","1,005","1,633",707,971,573
2020,4,80,"3,577","1,056",558,786,369,486,322
2020,4,90,504,140,98,114,47,55,50
2020,4,100,46,16,4,10,4,9,3
2020,5,총,"62,566","19,619","9,532","14,155","5,545","9,760","3,955"
2020,5,0,"3,529","1,203",555,684,167,769,151
2020,5,10,"4,794","1,738",822,"1,028",331,656,219
2020,5,20,"6,194","2,236",847,"1,329",515,"1,014",253
2020,5,30,"5,917","1,970",814,"1,267",375,"1,204",287
2020,5,40,"8,007","2,676","1,129","1,993",567,"1,225",417
2020,5,50,"11,487","3,516","1,778","2,692","1,121","1,651",729
2020,5,60,"11,665","3,139","1,919","2,609","1,326","1,719",953
