년도,월,나이,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020,3,총,"50,431","18,382","3,789","4,477",795,"3,331","3,486","4,327","2,397","2,114",226,"2,576","1,003","2,696",832
2020,3,0,"3,288","1,505",220,357,48,109,133,208,127,70,10,149,40,272,40
2020,3,10,"3,747","1,799",191,377,54,146,225,273,102,106,8,158,56,216,36
2020,3,20,"3,836","1,837",245,293,42,198,221,279,137,132,10,163,68,154,57
2020,3,30,"4,298","1,894",304,429,84,204,211,282,140,149,7,184,63,282,65
2020,3,40,"6,329","2,750",443,573,118,352,422,426,226,180,29,292,99,325,94
2020,3,50,"8,311","3,176",606,695,131,550,602,626,398,375,31,364,174,429,154
2020,3,60,"8,309","2,659",730,609,153,709,619,725,481,397,36,455,163,439,134
2020,3,70,"7,502","1,808",636,655,124,648,615,909,491,387,49,487,188,349,156
2020,3,80,"4,266",842,362,436,36,368,392,530,263,281,40,294,133,207,82
2020,3,90,522,103,50,52,3,46,45,66,32,36,5,29,19,23,13
2020,3,100,23,9,2,1,2,1,1,3,0,1,1,1,0,0,1
2020,4,총,"50,351","18,355","3,770","4,475",787,"3,329","3,496","4,314","2,388","2,102",228,"2,579",998,"2,697",833
2020,4,0,"3,278","1,502",212,358,45,108,137,209,126,67,10,150,38,274,42
2020,4,10,"3,738","1,788",196,382,53,143,226,266,104,107,8,158,58,214,35
2020,4,20,"3,817","1,825",239,287,40,204,217,279,132,134,10,164,66,160,60
2020,4,30,"4,270","1,894",300,424,82,205,214,278,137,143,7,185,60,278,63
2020,4,40,"6,302","2,737",440,575,117,346,420,430,226,176,29,290,100,325,91
2020,4,50,"8,312","3,171",604,699,130,552,606,621,396,376,33,365,176,430,153
2020,4,60,"8,320","2,670",729,607,155,705,621,726,480,399,36,454,163,438,137
2020,4,70,"7,475","1,811",639,651,124,646,609,898,489,377,49,487,186,352,157
2020,4,80,"4,285",840,359,437,36,372,401,538,266,285,40,296,130,204,81
2020,4,90,531,108,50,54,3,46,44,67,32,37,5,29,21,22,13
2020,4,100,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020,5,총,"50,245","18,346","3,760","4,447",786,"3,315","3,485","4,314","2,376","2,096",230,"2,570",993,"2,696",831
2020,5,0,"3,273","1,495",213,352,45,109,138,211,126,69,10,149,38,276,42
2020,5,10,"3,703","1,779",194,377,52,139,223,263,103,103,8,156,59,213,34
2020,5,20,"3,791","1,819",234,284,42,203,216,278,132,132,10,158,63,161,59
2020,5,30,"4,252","1,904",295,418,80,200,212,278,133,142,7,187,59,275,62
2020,5,40,"6,279","2,730",443,568,118,345,415,429,225,173,30,290,98,324,91
2020,5,50,"8,272","3,159",604,701,128,551,597,620,388,374,33,359,174,430,154
2020,5,60,"8,345","2,695",731,599,158,703,620,727,482,405,34,455,164,436,136
2020,5,70,"7,459","1,805",634,652,123,644,618,889,483,372,51,489,186,355,158
2020,5,80,"4,305",840,361,440,35,369,400,549,273,285,40,296,131,205,81
2020,5,90,543,111,49,55,3,50,45,68,31,40,6,30,21,21,13
2020,5,100,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020,6,총,"50,192","18,352","3,771","4,441",778,"3,287","3,487","4,311","2,374","2,096",230,"2,559",992,"2,687",827
2020,6,0,"3,274","1,494",222,348,45,111,139,205,124,69,10,151,39,275,42
2020,6,10,"3,675","1,768",194,377,52,132,221,262,102,103,9,153,57,211,34
2020,6,20,"3,795","1,823",236,289,40,201,217,280,131,134,10,156,62,158,58
2020,6,30,"4,211","1,881",296,408,79,200,215,281,134,141,6,182,57,271,60
2020,6,40,"6,291","2,755",439,574,117,336,411,429,216,173,31,290,100,329,91
2020,6,50,"8,226","3,141",609,691,124,541,599,624,393,373,33,354,170,425,149
2020,6,60,"8,409","2,726",730,607,161,706,622,722,489,407,34,455,171,437,142
2020,6,70,"7,422","1,803",622,652,122,638,617,887,481,369,51,487,183,353,157
2020,6,80,"4,323",843,371,440,33,370,401,551,271,286,39,300,132,206,80
2020,6,90,543,109,50,54,3,50,44,68,33,40,6,30,21,22,13
2020,6,100,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020,7,총,"50,210","18,353","3,771","4,442",780,"3,294","3,476","4,309","2,388","2,090",227,"2,562",993,"2,699",826
2020,7,0,"3,258","1,486",219,346,46,109,138,209,123,66,10,149,39,276,42
2020,7,10,"3,682","1,769",193,377,52,131,220,260,103,103,10,157,56,217,34
2020,7,20,"3,789","1,830",233,294,39,207,213,274,131,131,9,154,59,160,55
2020,7,30,"4,159","1,869",298,393,78,196,216,275,130,133,6,176,60,268,61
2020,7,40,"6,328","2,757",443,589,118,341,405,435,217,175,31,291,103,332,91
2020,7,50,"8,184","3,130",603,677,125,536,595,623,394,374,33,357,171,420,146
2020,7,60,"8,465","2,744",729,621,162,711,623,721,497,409,34,458,168,444,144
2020,7,70,"7,427","1,805",625,653,121,638,613,888,484,370,48,487,187,351,157
2020,7,80,"4,348",844,376,439,34,373,409,552,273,287,39,303,129,208,82
2020,7,90,545,109,50,52,3,49,43,70,36,41,6,29,21,23,13
2020,7,100,25,10,2,1,2,3,1,2,0,1,1,1,0,0,1
2020,8,총,"50,153","18,340","3,772","4,445",784,"3,284","3,466","4,305","2,379","2,087",230,"2,560",987,"2,697",817
2020,8,0,"3,240","1,480",217,345,46,112,137,206,122,68,10,149,37,269,42
2020,8,10,"3,679","1,775",196,376,52,130,215,264,102,101,10,150,56,219,33
2020,8,20,"3,794","1,826",229,299,40,203,214,274,130,134,9,159,59,163,55
2020,8,30,"4,112","1,860",296,391,76,193,215,266,126,132,6,172,59,260,60
2020,8,40,"6,305","2,740",442,583,119,338,401,437,214,178,31,295,101,336,90
2020,8,50,"8,177","3,127",606,677,127,533,590,627,398,367,35,357,169,421,143
2020,8,60,"8,467","2,754",730,629,162,703,626,715,490,414,35,455,165,445,144
2020,8,70,"7,442","1,807",626,651,124,642,612,890,486,366,48,493,188,352,157
2020,8,80,"4,362",846,378,440,34,378,412,554,276,286,39,299,132,208,80
2020,8,90,551,115,50,53,2,50,43,70,35,40,6,30,21,24,12
2020,8,100,24,10,2,1,2,2,1,2,0,1,1,1,0,0,1
2020,9,총,"50,065","18,305","3,770","4,435",782,"3,273","3,460","4,300","2,373","2,090",229,"2,550",989,"2,694",815
2020,9,0,"3,213","1,466",218,341,46,110,137,202,119,69,10,150,37,265,43
2020,9,10,"3,669","1,770",194,376,50,131,211,266,102,101,10,147,56,223,32
2020,9,20,"3,770","1,817",232,295,41,205,213,273,128,131,9,157,57,158,54
2020,9,30,"4,086","1,844",296,396,76,191,215,257,125,132,6,169,60,260,59
2020,9,40,"6,290","2,727",437,584,117,338,403,443,212,177,31,295,101,337,88
2020,9,50,"8,129","3,122",599,671,126,521,587,626,399,364,33,351,168,419,143
2020,9,60,"8,527","2,783",737,631,161,706,630,718,492,419,36,456,167,448,143
2020,9,70,"7,428","1,806",626,650,127,643,605,888,481,367,48,494,185,352,156
2020,9,80,"4,366",842,380,437,34,377,414,552,280,288,39,298,137,205,83
2020,9,90,562,118,49,53,2,49,44,73,35,41,6,32,20,27,13
2020,9,100,25,10,2,1,2,2,1,2,0,1,1,1,1,0,1
2020,10,총,"50,042","18,279","3,777","4,435",780,"3,284","3,463","4,297","2,374","2,090",229,"2,544",985,"2,696",809
2020,10,0,"3,195","1,462",219,339,45,105,137,199,120,69,8,147,37,265,43
2020,10,10,"3,667","1,757",195,378,50,136,215,267,100,100,10,149,55,223,32
2020,10,20,"3,766","1,816",237,293,42,199,212,270,129,133,9,156,59,157,54
2020,10,30,"4,064","1,836",292,389,73,190,213,258,127,134,7,170,61,258,56
2020,10,40,"6,262","2,705",439,587,118,341,398,444,211,177,30,289,98,337,88
2020,10,50,"8,123","3,112",597,666,129,530,590,630,400,361,34,351,167,414,142
2020,10,60,"8,559","2,809",741,636,159,706,631,711,492,412,37,458,166,458,143
2020,10,70,"7,434","1,810",619,654,128,645,603,891,480,376,48,490,184,350,156
2020,10,80,"4,383",848,387,439,32,381,417,551,280,285,39,299,138,207,80
2020,10,90,563,114,49,53,2,49,46,73,35,42,6,34,19,27,14
2020,10,100,26,10,2,1,2,2,1,3,0,1,1,1,1,0,1
