년도,월,나이,부산광역시 동구,부산광역시 동구 초량제1동,부산광역시 동구 초량제2동,부산광역시 동구 초량제3동,부산광역시 동구 초량제6동,부산광역시 동구 수정제1동,부산광역시 동구 수정제2동,부산광역시 동구 수정제4동,부산광역시 동구 수정제5동,부산광역시 동구 좌천동,부산광역시 동구 범일제1동,부산광역시 동구 범일제2동,부산광역시 동구 범일제5동
2020,1,총,"43,376","2,467","2,910","4,272","3,233","2,131","4,887","2,171","2,816","5,542","6,134","4,524","2,289"
2020,1,0,"2,181",89,103,379,124,105,213,78,126,269,231,279,185
2020,1,10,"2,740",160,146,271,257,172,311,156,202,348,334,237,146
2020,1,20,"5,339",340,341,540,378,267,629,221,350,731,736,594,212
2020,1,30,"5,510",304,315,888,325,234,658,196,265,632,675,635,383
2020,1,40,"6,539",413,447,669,462,342,707,300,414,820,870,706,389
2020,1,50,"7,571",420,543,662,562,362,841,423,492,949,"1,147",845,325
2020,1,60,"7,383",409,558,514,553,337,832,394,492,952,"1,217",740,385
2020,1,70,"4,434",254,330,244,397,228,514,283,356,610,669,359,190
2020,1,80,"1,504",66,109,84,158,75,163,110,107,215,233,116,68
2020,1,90,148,9,14,16,13,9,16,10,12,14,19,11,5
2020,1,100,27,3,4,5,4,0,3,0,0,2,3,2,1
2020,2,총,"43,453","2,472","2,920","4,380","3,225","2,124","4,897","2,170","2,790","5,546","6,114","4,527","2,288"
2020,2,0,"2,174",93,104,378,125,103,213,77,126,271,227,271,186
2020,2,10,"2,758",159,146,286,254,172,315,158,196,346,331,247,148
2020,2,20,"5,340",342,341,567,375,269,632,217,342,724,740,589,202
2020,2,30,"5,520",306,318,909,320,230,655,194,264,643,663,627,391
2020,2,40,"6,542",412,452,686,462,343,707,306,409,808,862,708,387
2020,2,50,"7,569",420,541,671,558,355,841,417,489,954,"1,143",851,329
2020,2,60,"7,422",408,558,524,563,339,833,397,493,955,"1,224",744,384
