년도,월,나이,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020,6,총,"84,062","5,874","3,634","2,641","1,653","3,769","6,916","4,614","2,570","3,622","3,096","9,484","9,238","4,464","8,058","14,429"
2020,6,0,"7,608",363,261,65,24,331,"1,295",274,64,133,181,862,898,298,727,"1,832"
2020,6,10,"8,175",528,332,101,62,344,549,359,138,204,241,"1,028",973,443,"1,044","1,829"
2020,6,20,"7,892",563,261,109,69,253,721,356,125,310,214,"1,149",928,477,877,"1,480"
2020,6,30,"10,043",509,341,104,65,385,"1,719",403,124,196,247,"1,263","1,093",421,911,"2,262"
2020,6,40,"12,966",835,530,182,117,516,947,638,217,372,381,"1,612","1,763",723,"1,447","2,686"
2020,6,50,"13,163","1,252",570,419,267,625,721,794,408,642,386,"1,551","1,547",756,"1,242","1,983"
2020,6,60,"10,630",821,531,646,416,539,447,713,567,690,556,"1,007",996,671,884,"1,146"
2020,6,70,"7,347",513,405,525,336,409,266,553,477,606,463,587,600,421,531,655
2020,6,80,"5,244",421,344,425,253,302,215,452,385,397,356,340,361,205,333,455
2020,6,90,940,66,55,64,42,65,34,68,64,69,65,75,73,42,60,98
2020,6,100,54,3,4,1,2,0,2,4,1,3,6,10,6,7,2,3
2020,7,총,"84,164","5,890","3,628","2,643","1,659","3,763","7,023","4,633","2,563","3,606","3,121","9,471","9,198","4,458","8,092","14,416"
2020,7,0,"7,597",356,259,65,26,327,"1,318",276,65,132,180,850,889,295,736,"1,823"
2020,7,10,"8,153",525,336,102,60,344,556,363,137,202,240,"1,026",966,443,"1,042","1,811"
2020,7,20,"7,895",579,260,108,70,247,732,356,119,301,215,"1,146",922,475,887,"1,478"
2020,7,30,"10,006",508,331,102,66,377,"1,747",401,124,198,248,"1,248","1,072",410,915,"2,259"
2020,7,40,"13,000",833,535,180,115,517,965,639,218,372,378,"1,617","1,774",720,"1,449","2,688"
2020,7,50,"13,188","1,256",572,429,269,620,736,793,409,632,399,"1,544","1,537",762,"1,242","1,988"
2020,7,60,"10,700",828,531,640,416,552,447,726,563,698,565,"1,019",998,673,890,"1,154"
2020,7,70,"7,377",517,405,529,339,411,271,551,476,603,467,588,601,422,537,660
2020,7,80,"5,251",420,341,423,255,301,215,456,386,396,358,346,362,209,331,452
2020,7,90,944,65,54,64,41,67,34,68,65,69,65,77,71,42,61,101
2020,7,100,53,3,4,1,2,0,2,4,1,3,6,10,6,7,2,2
2020,8,총,"84,196","5,884","3,627","2,638","1,651","3,774","7,106","4,634","2,549","3,601","3,110","9,433","9,198","4,443","8,092","14,456"
2020,8,0,"7,612",355,258,65,27,324,"1,342",280,68,129,183,836,878,298,736,"1,833"
2020,8,10,"8,130",509,333,98,57,349,572,360,134,204,240,"1,007",973,435,"1,034","1,825"
2020,8,20,"7,855",586,257,109,66,244,724,355,115,295,206,"1,144",919,473,890,"1,472"
2020,8,30,"10,013",504,329,104,65,374,"1,767",404,122,198,247,"1,243","1,065",409,920,"2,262"
2020,8,40,"12,987",836,538,178,115,516,979,633,219,369,378,"1,603","1,773",711,"1,448","2,691"
2020,8,50,"13,163","1,254",572,425,264,625,751,785,402,633,394,"1,545","1,531",754,"1,239","1,989"
2020,8,60,"10,784",835,530,637,420,563,450,741,566,695,563,"1,031","1,014",686,887,"1,166"
2020,8,70,"7,388",516,408,534,339,409,272,549,474,605,467,585,605,423,539,663
2020,8,80,"5,263",423,344,422,255,303,212,454,381,399,362,351,363,205,336,453
2020,8,90,949,63,54,65,41,67,35,69,67,70,65,78,71,43,61,100
2020,8,100,52,3,4,1,2,0,2,4,1,4,5,10,6,6,2,2
2020,9,총,"84,162","5,878","3,619","2,631","1,648","3,800","7,142","4,607","2,549","3,593","3,101","9,441","9,160","4,438","8,106","14,449"
2020,9,0,"7,564",357,255,64,27,319,"1,350",274,68,128,186,838,857,294,731,"1,816"
2020,9,10,"8,130",513,334,99,56,351,572,356,133,202,235,"1,003",971,433,"1,042","1,830"
2020,9,20,"7,858",581,257,108,67,252,726,350,116,295,207,"1,147",912,475,889,"1,476"
2020,9,30,"9,952",498,317,103,61,372,"1,768",401,119,201,243,"1,246","1,053",401,916,"2,253"
2020,9,40,"12,965",835,541,182,115,522,987,628,216,360,373,"1,606","1,754",711,"1,445","2,690"
2020,9,50,"13,189","1,243",570,419,262,638,766,781,399,628,393,"1,543","1,545",752,"1,248","2,002"
2020,9,60,"10,841",848,533,637,421,568,448,743,569,702,563,"1,036","1,020",695,894,"1,164"
2020,9,70,"7,405",512,407,535,340,408,277,552,479,608,464,583,609,423,542,666
2020,9,80,"5,247",423,347,419,253,304,211,448,380,396,366,350,358,206,336,450
2020,9,90,959,65,54,64,44,66,35,70,69,69,66,79,75,42,61,100
2020,9,100,52,3,4,1,2,0,2,4,1,4,5,10,6,6,2,2
2020,10,총,"84,198","5,877","3,642","2,627","1,644","3,792","7,213","4,588","2,545","3,585","3,096","9,428","9,145","4,440","8,125","14,451"
2020,10,0,"7,528",360,255,63,26,314,"1,364",267,67,133,186,822,842,292,728,"1,809"
2020,10,10,"8,134",508,339,99,57,351,577,349,133,202,234,"1,003",972,433,"1,043","1,834"
2020,10,20,"7,847",584,257,108,66,256,725,351,114,287,203,"1,147",899,479,893,"1,478"
2020,10,30,"9,933",499,324,101,62,368,"1,789",393,123,201,246,"1,243","1,042",394,919,"2,229"
2020,10,40,"12,944",826,541,180,113,507,"1,000",623,212,359,371,"1,617","1,756",706,"1,444","2,689"
2020,10,50,"13,232","1,249",574,419,256,645,773,781,399,631,393,"1,535","1,547",757,"1,258","2,015"
2020,10,60,"10,886",846,531,634,425,570,457,752,567,696,565,"1,038","1,041",697,899,"1,168"
2020,10,70,"7,409",509,411,537,338,412,279,547,475,610,464,582,610,422,542,671
2020,10,80,"5,267",426,351,419,254,302,213,449,384,395,363,354,356,211,337,453
2020,10,90,965,67,54,66,45,66,34,72,70,68,66,77,74,43,60,103
2020,10,100,53,3,5,1,2,1,2,4,1,3,5,10,6,6,2,2
2020,11,총,"84,166","5,869","3,642","2,625","1,642","3,792","7,284","4,592","2,544","3,579","3,086","9,424","9,110","4,436","8,120","14,421"
2020,11,0,"7,507",359,251,64,26,311,"1,393",264,65,131,185,817,828,287,719,"1,807"
2020,11,10,"8,098",505,337,101,57,349,574,351,130,198,234,992,965,429,"1,054","1,822"
2020,11,20,"7,864",588,260,111,66,262,728,349,110,288,200,"1,151",903,477,886,"1,485"
2020,11,30,"9,885",497,320,100,61,369,"1,808",392,123,199,241,"1,238","1,022",399,916,"2,200"
2020,11,40,"12,953",822,544,182,112,506,"1,007",628,215,354,376,"1,617","1,745",705,"1,444","2,696"
2020,11,50,"13,207","1,239",575,405,256,641,787,777,404,630,390,"1,536","1,550",746,"1,255","2,016"
2020,11,60,"10,945",855,535,641,426,570,459,757,565,706,562,"1,040","1,048",708,904,"1,169"
2020,11,70,"7,422",507,410,537,337,415,277,549,475,609,466,589,610,424,542,675
2020,11,80,"5,268",425,351,417,255,301,214,451,385,392,363,356,358,214,338,448
2020,11,90,967,69,54,66,44,67,35,71,71,69,65,78,75,41,61,101
2020,11,100,50,3,5,1,2,1,2,3,1,3,4,10,6,6,1,2
2020,12,총,"84,192","5,867","3,642","2,630","1,652","3,775","7,341","4,575","2,533","3,569","3,073","9,424","9,126","4,427","8,098","14,460"
2020,12,0,"7,512",363,249,66,26,307,"1,404",259,63,130,182,815,822,282,724,"1,820"
2020,12,10,"8,097",501,338,100,58,350,578,351,128,199,235,994,972,429,"1,050","1,814"
2020,12,20,"7,869",588,260,112,67,263,744,346,111,281,199,"1,149",891,479,887,"1,492"
2020,12,30,"9,858",493,316,99,63,365,"1,816",383,123,197,235,"1,231","1,030",394,909,"2,204"
2020,12,40,"12,922",816,545,183,112,501,"1,016",625,214,357,369,"1,619","1,738",700,"1,436","2,691"
2020,12,50,"13,223","1,243",579,396,261,635,796,782,392,627,391,"1,538","1,561",743,"1,246","2,033"
2020,12,60,"11,012",857,536,648,429,580,459,760,572,708,562,"1,046","1,057",711,909,"1,178"
2020,12,70,"7,405",509,407,536,336,416,275,546,475,604,465,584,609,427,540,676
2020,12,80,"5,274",424,354,422,255,295,216,447,384,391,367,359,361,216,335,448
2020,12,90,970,70,53,67,43,62,35,73,70,72,64,79,79,40,61,102
2020,12,100,50,3,5,1,2,1,2,3,1,3,4,10,6,6,1,2
2021,1,총,"84,144","5,826","3,634","2,623","1,646","3,775","7,380","4,584","2,522","3,564","3,045","9,413","9,124","4,414","8,094","14,500"
2021,1,0,"7,480",357,244,66,25,306,"1,405",253,62,125,180,818,815,280,722,"1,822"
2021,1,10,"8,069",486,340,98,58,355,593,350,124,202,230,982,964,424,"1,052","1,811"
2021,1,20,"7,835",575,254,110,64,255,744,348,110,279,192,"1,146",889,470,888,"1,511"
2021,1,30,"9,814",492,312,99,61,357,"1,823",385,117,194,234,"1,226","1,024",399,891,"2,200"
2021,1,40,"12,905",807,542,177,114,510,"1,027",621,213,360,360,"1,614","1,737",695,"1,440","2,688"
2021,1,50,"13,227","1,241",578,395,263,631,796,790,390,616,388,"1,534","1,568",743,"1,245","2,049"
2021,1,60,"11,075",864,541,651,424,584,465,761,581,716,562,"1,056","1,060",707,913,"1,190"
