년도,월,나이,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020,3,총,"83,570","2,726","2,559","2,577","3,734","3,907","1,366","2,610","1,794","1,873","2,714","5,005","2,236","1,931","4,705","1,373","11,326","12,886","11,639","6,609"
2020,3,0,"4,587",108,68,73,107,137,50,82,58,48,45,191,58,46,148,45,799,961,"1,095",468
2020,3,10,"6,418",128,114,130,166,230,65,137,80,82,110,315,93,79,226,66,"1,049","1,391","1,453",504
2020,3,20,"7,380",169,131,170,294,286,99,201,95,118,132,419,136,147,340,89,"1,312","1,378","1,274",590
2020,3,30,"6,976",189,151,169,237,275,92,171,111,113,162,343,139,100,297,81,"1,161","1,295","1,244",646
2020,3,40,"10,335",266,223,259,362,418,114,235,183,204,251,579,193,189,456,153,"1,612","1,911","1,945",782
2020,3,50,"14,170",454,393,452,639,718,208,462,267,295,418,957,360,369,908,216,"1,933","2,170","1,840","1,111"
2020,3,60,"14,218",638,587,537,787,744,283,559,381,386,590,963,452,384,937,264,"1,637","1,671","1,357","1,061"
2020,3,70,"11,119",412,479,461,635,626,248,399,336,354,559,751,431,349,791,279,"1,078","1,254",847,830
2020,3,80,"7,194",313,362,274,418,406,182,314,241,229,375,427,335,236,513,157,636,755,503,518
2020,3,90,"1,109",48,47,45,84,67,23,49,40,41,72,58,38,31,80,23,101,99,80,83
2020,3,100,64,1,4,7,5,0,2,1,2,3,0,2,1,1,9,0,8,1,1,16
2020,4,총,"83,391","2,717","2,543","2,578","3,713","3,898","1,370","2,594","1,783","1,867","2,709","4,999","2,243","1,908","4,680","1,371","11,313","12,868","11,651","6,586"
2020,4,0,"4,554",107,68,70,105,133,50,81,56,50,43,187,57,46,152,45,796,965,"1,086",457
2020,4,10,"6,392",132,113,126,170,227,65,135,79,80,108,315,97,78,209,66,"1,043","1,382","1,455",512
2020,4,20,"7,355",173,128,171,288,285,97,195,95,114,135,417,133,142,344,89,"1,314","1,372","1,279",584
2020,4,30,"6,927",187,150,165,233,269,94,172,106,113,158,343,140,100,288,80,"1,157","1,280","1,247",645
2020,4,40,"10,277",262,221,258,360,415,110,232,182,203,245,573,193,186,451,149,"1,610","1,909","1,943",775
2020,4,50,"14,135",451,391,450,631,717,212,465,267,291,423,944,358,357,905,218,"1,923","2,170","1,851","1,111"
