년도,월,나이,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 산동읍,경상북도 구미시 공단동,경상북도 구미시 원평동
2020,1,총,"419,761","15,379","37,229","1,918","1,771","2,314","4,256","25,573","3,285","16,398","3,940","3,414","30,753","2,326","47,852","15,357","17,901","3,402","3,353","6,345","6,730","4,524","4,552","29,355","19,898","49,443","16,320","46,173",,,
2020,1,0,"43,360",974,"3,421",43,20,43,72,"5,397",82,922,77,101,"2,553",84,"5,166","1,177","1,003",162,287,702,921,683,342,"2,829","2,425","5,424","1,067","7,383",,,
2020,1,10,"46,705","1,219","4,119",70,77,173,171,"1,973",228,"1,352",125,172,"3,806",136,"6,510","1,847","2,201",206,248,507,662,197,371,"3,813","2,722","6,183","1,198","6,419",,,
2020,1,20,"58,378","1,655","5,000",116,108,158,328,"2,844",288,"2,648",556,331,"4,253",263,"6,099","2,151","2,917",631,469,"1,038",945,725,734,"4,354","2,620","7,184","4,333","5,630",,,
2020,1,30,"68,136","1,429","4,639",102,78,105,243,"7,940",197,"2,287",568,310,"3,762",191,"6,474","1,803","1,857",525,581,"1,365","1,404","1,211",746,"4,110","3,300","9,366","4,182","9,361",,,
2020,1,40,"73,650","2,059","5,985",146,152,216,480,"3,802",421,"2,456",727,392,"5,263",298,"9,222","2,665","3,054",468,459,"1,001","1,148",660,768,"5,955","4,042","9,486","2,627","9,698",,,
2020,1,50,"68,997","3,063","7,670",392,346,419,853,"1,967",671,"3,242",860,732,"6,144",503,"8,295","3,090","4,008",647,663,"1,101","1,057",646,839,"5,362","3,143","6,778","1,695","4,811",,,
2020,1,60,"36,083","2,498","3,691",450,409,489,882,942,605,"2,337",620,754,"3,287",493,"4,051","1,704","2,002",445,362,414,434,314,442,"1,830","1,062","3,096",790,"1,680",,,
2020,1,70,"15,550","1,429","1,614",307,298,405,683,396,459,840,283,437,"1,114",231,"1,386",628,609,234,180,153,114,67,227,740,385,"1,279",273,779,,,
2020,1,80,"7,746",907,935,248,244,270,474,274,303,278,96,166,506,115,568,259,223,74,90,58,41,15,71,305,174,568,126,358,,,
2020,1,90,"1,109",142,146,43,38,34,67,38,30,32,25,18,65,11,78,33,25,10,11,6,4,5,12,55,25,77,27,52,,,
2020,1,100,47,4,9,1,1,2,3,0,1,4,3,1,0,1,3,0,2,0,3,0,0,1,0,2,0,2,2,2,,,
2020,2,총,"419,296","15,374","37,156","1,913","1,772","2,309","4,243","25,823","3,278","16,386","3,916","3,403","30,722","2,316","47,813","15,370","17,807","3,398","3,346","6,346","6,778","4,511","4,558","29,260","19,848","49,248","16,185","46,217",,,
2020,2,0,"43,126",966,"3,414",43,20,39,73,"5,430",80,916,74,101,"2,552",80,"5,135","1,180",989,167,284,709,930,663,346,"2,808","2,415","5,353","1,034","7,325",,,
2020,2,10,"46,504","1,220","4,065",72,77,175,170,"2,010",236,"1,350",123,165,"3,782",133,"6,486","1,844","2,177",203,242,499,662,199,376,"3,768","2,706","6,155","1,182","6,427",,,
2020,2,20,"58,043","1,629","4,974",108,101,156,322,"2,840",281,"2,631",551,333,"4,202",263,"6,081","2,154","2,885",634,465,"1,023",938,721,735,"4,348","2,592","7,138","4,260","5,678",,,
2020,2,30,"67,784","1,423","4,612",104,79,102,238,"8,020",196,"2,279",553,307,"3,741",185,"6,440","1,796","1,839",517,578,"1,372","1,424","1,197",737,"4,046","3,284","9,266","4,154","9,295",,,
2020,2,40,"73,740","2,073","5,960",147,153,218,478,"3,874",415,"2,466",727,384,"5,247",293,"9,219","2,654","3,033",467,460,"1,000","1,157",668,776,"5,972","4,031","9,495","2,630","9,743",,,
