년도,월,나이,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020,1,총,"151,252","13,141","15,515","10,745","7,887","9,945","12,116","14,514","10,094","15,599","10,849","17,632","13,215"
2020,1,0,"10,349",743,"1,094",509,322,578,801,"1,042",525,"1,134",861,"1,034","1,706"
2020,1,10,"14,712","1,330","1,523",763,553,952,"1,435","1,529",779,"1,813","1,002","1,601","1,432"
2020,1,20,"23,967","2,026","2,407","1,730","1,337","1,848","2,123","2,367","1,568","2,577","1,590","2,902","1,492"
2020,1,30,"20,475","1,597","2,033","1,482","1,098","1,477","1,358","1,931","1,521","2,027","1,467","2,448","2,036"
2020,1,40,"23,801","1,947","2,353","1,616","1,085","1,312","2,001","2,248","1,416","2,621","1,682","2,798","2,722"
2020,1,50,"30,491","2,720","3,112","2,360","1,690","2,090","2,736","2,864","2,073","3,217","2,112","3,588","1,929"
2020,1,60,"18,310","1,814","1,986","1,523","1,210","1,255","1,234","1,758","1,434","1,478","1,343","2,083","1,192"
2020,1,70,"6,690",713,761,579,446,312,280,575,577,512,568,835,532
2020,1,80,"2,209",220,232,169,130,104,131,175,181,199,205,307,156
2020,1,90,234,29,14,12,16,15,17,24,17,19,18,35,18
2020,1,100,14,2,0,2,0,2,0,1,3,2,1,1,0
2020,2,총,"150,884","13,104","15,484","10,731","7,877","9,925","12,093","14,481","10,028","15,596","10,802","17,548","13,215"
2020,2,0,"10,240",734,"1,079",504,320,573,806,"1,032",520,"1,133",845,"1,009","1,685"
2020,2,10,"14,587","1,319","1,509",750,544,948,"1,424","1,526",774,"1,806",992,"1,562","1,433"
2020,2,20,"23,799","2,007","2,400","1,722","1,324","1,835","2,107","2,345","1,538","2,558","1,575","2,897","1,491"
2020,2,30,"20,386","1,587","2,024","1,482","1,092","1,473","1,366","1,916","1,509","2,027","1,440","2,452","2,018"
2020,2,40,"23,736","1,944","2,354","1,600","1,089","1,306","1,977","2,247","1,413","2,621","1,695","2,770","2,720"
2020,2,50,"30,431","2,724","3,087","2,336","1,698","2,078","2,742","2,866","2,048","3,230","2,103","3,577","1,942"
2020,2,60,"18,505","1,820","2,011","1,566","1,213","1,274","1,251","1,767","1,446","1,491","1,359","2,094","1,213"
2020,2,70,"6,728",715,771,590,452,316,273,580,580,506,569,842,534
2020,2,80,"2,225",224,236,167,129,105,132,175,180,203,205,309,160
2020,2,90,233,28,13,12,16,15,15,26,17,19,18,35,19
2020,2,100,14,2,0,2,0,2,0,1,3,2,1,1,0
2020,3,총,"150,492","13,078","15,461","10,691","7,971","9,878","12,060","14,453","9,889","15,613","10,762","17,476","13,160"
2020,3,0,"10,142",726,"1,072",501,327,567,806,"1,020",500,"1,130",833,"1,004","1,656"
2020,3,10,"14,487","1,312","1,504",725,552,931,"1,417","1,513",765,"1,798",986,"1,549","1,435"
2020,3,20,"23,728","1,995","2,377","1,711","1,326","1,818","2,111","2,356","1,535","2,564","1,570","2,871","1,494"
2020,3,30,"20,258","1,584","2,011","1,474","1,106","1,474","1,344","1,909","1,467","2,026","1,421","2,451","1,991"
2020,3,40,"23,610","1,931","2,360","1,582","1,091","1,293","1,974","2,225","1,390","2,617","1,692","2,745","2,710"
2020,3,50,"30,337","2,729","3,076","2,352","1,713","2,064","2,734","2,864","1,991","3,214","2,092","3,568","1,940"
2020,3,60,"18,687","1,828","2,036","1,575","1,248","1,291","1,261","1,777","1,461","1,519","1,373","2,102","1,216"
2020,3,70,"6,754",713,776,586,457,320,269,583,576,520,572,844,538
2020,3,80,"2,244",230,236,171,135,103,131,179,184,203,205,306,161
2020,3,90,230,28,13,12,16,15,13,26,17,20,17,34,19
2020,3,100,15,2,0,2,0,2,0,1,3,2,1,2,0
2020,4,총,"150,250","13,034","15,449","10,649","8,089","9,866","12,058","14,417","9,748","15,611","10,750","17,464","13,115"
2020,4,0,"10,088",715,"1,076",490,343,561,794,"1,008",490,"1,132",835,"1,010","1,634"
2020,4,10,"14,373","1,306","1,494",713,554,917,"1,409","1,498",748,"1,787",978,"1,530","1,439"
2020,4,20,"23,690","1,984","2,364","1,696","1,351","1,829","2,125","2,350","1,506","2,569","1,568","2,858","1,490"
2020,4,30,"20,202","1,583","2,015","1,459","1,132","1,461","1,341","1,908","1,458","2,030","1,409","2,439","1,967"
2020,4,40,"23,512","1,913","2,344","1,579","1,103","1,296","1,956","2,206","1,365","2,610","1,698","2,732","2,710"
2020,4,50,"30,280","2,711","3,074","2,348","1,725","2,058","2,749","2,865","1,960","3,202","2,077","3,569","1,942"
2020,4,60,"18,840","1,843","2,056","1,583","1,270","1,304","1,270","1,791","1,446","1,535","1,389","2,129","1,224"
2020,4,70,"6,775",717,777,594,465,319,273,588,569,520,572,851,530
2020,4,80,"2,246",232,236,173,131,104,129,175,186,204,205,310,161
2020,4,90,229,28,13,12,15,15,12,27,17,20,18,34,18
2020,4,100,15,2,0,2,0,2,0,1,3,2,1,2,0
2020,5,총,"149,977","12,981","15,439","10,644","8,125","9,804","12,046","14,397","9,689","15,619","10,733","17,397","13,103"
2020,5,0,"10,015",703,"1,075",485,346,550,785,"1,009",483,"1,132",837,998,"1,612"
2020,5,10,"14,271","1,291","1,487",717,546,898,"1,402","1,483",737,"1,769",972,"1,516","1,453"
2020,5,20,"23,617","1,967","2,359","1,678","1,354","1,831","2,118","2,348","1,499","2,569","1,570","2,842","1,482"
2020,5,30,"20,181","1,572","2,020","1,458","1,142","1,460","1,344","1,908","1,454","2,032","1,404","2,429","1,958"
2020,5,40,"23,386","1,898","2,324","1,573","1,107","1,278","1,957","2,206","1,347","2,602","1,683","2,706","2,705"
