년도,월,나이,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020,3,총,"131,140","6,876","7,342","4,637","43,327","30,645","2,531","32,253","3,529"
2020,3,0,"19,462",192,530,94,"8,382","5,439",66,"4,638",121
2020,3,10,"10,673",314,496,158,"3,320","4,027",59,"2,150",149
2020,3,20,"11,877",643,857,408,"3,746","2,521",226,"3,205",271
2020,3,30,"26,565",579,919,381,"11,430","5,423",195,"7,332",306
2020,3,40,"21,672",753,929,405,"7,115","6,451",223,"5,381",415
2020,3,50,"16,501","1,327","1,193","1,019","4,227","3,348",524,"4,100",763
2020,3,60,"14,807","1,623","1,310","1,252","3,391","2,325",618,"3,474",814
2020,3,70,"6,578","1,005",709,602,"1,226",797,411,"1,381",447
2020,3,80,"2,529",381,333,256,410,267,177,509,196
2020,3,90,435,56,59,53,72,45,30,78,42
2020,3,100,41,3,7,9,8,2,2,5,5
2020,4,총,"131,235","6,850","7,303","4,607","43,402","30,760","2,523","32,272","3,518"
2020,4,0,"19,405",184,516,94,"8,382","5,438",65,"4,608",118
2020,4,10,"10,757",311,488,157,"3,360","4,048",60,"2,184",149
2020,4,20,"11,861",644,853,401,"3,737","2,528",222,"3,203",273
2020,4,30,"26,487",578,907,368,"11,452","5,420",197,"7,266",299
2020,4,40,"21,789",740,932,404,"7,148","6,512",222,"5,421",410
2020,4,50,"16,452","1,314","1,181","1,013","4,202","3,354",525,"4,107",756
2020,4,60,"14,860","1,631","1,318","1,247","3,390","2,349",613,"3,487",825
2020,4,70,"6,589","1,003",708,595,"1,236",797,415,"1,393",442
2020,4,80,"2,563",386,335,264,415,269,174,521,199
2020,4,90,428,56,58,53,71,43,28,77,42
2020,4,100,44,3,7,11,9,2,2,5,5
2020,5,총,"131,557","6,845","7,276","4,594","43,467","30,730","2,517","32,602","3,526"
2020,5,0,"19,397",184,518,94,"8,394","5,409",63,"4,618",117
2020,5,10,"10,799",304,485,154,"3,384","4,058",61,"2,208",145
2020,5,20,"11,890",654,849,390,"3,734","2,525",218,"3,244",276
2020,5,30,"26,427",577,903,364,"11,425","5,359",201,"7,294",304
2020,5,40,"21,895",728,932,397,"7,192","6,536",216,"5,489",405
2020,5,50,"16,510","1,311","1,166","1,015","4,201","3,368",523,"4,176",750
2020,5,60,"14,947","1,630","1,320","1,257","3,399","2,351",612,"3,544",834
2020,5,70,"6,626","1,005",707,593,"1,238",808,416,"1,414",445
2020,5,80,"2,590",392,334,266,418,273,175,531,201
2020,5,90,432,57,55,53,73,42,29,79,44
2020,5,100,44,3,7,11,9,1,3,5,5
2020,6,총,"131,779","6,842","7,262","4,577","43,529","30,780","2,507","32,735","3,547"
2020,6,0,"19,417",185,521,90,"8,439","5,397",61,"4,608",116
2020,6,10,"10,883",306,485,153,"3,407","4,081",64,"2,241",146
2020,6,20,"11,877",653,854,383,"3,697","2,543",210,"3,254",283
2020,6,30,"26,378",580,887,362,"11,413","5,332",205,"7,286",313
2020,6,40,"22,022",724,933,398,"7,251","6,564",211,"5,536",405
2020,6,50,"16,479","1,305","1,154","1,002","4,178","3,375",516,"4,198",751
2020,6,60,"15,042","1,631","1,331","1,270","3,402","2,364",614,"3,593",837
2020,6,70,"6,625","1,010",703,593,"1,241",805,419,"1,407",447
2020,6,80,"2,582",387,335,263,417,275,175,529,201
2020,6,90,431,58,52,52,76,43,29,78,43
2020,6,100,43,3,7,11,8,1,3,5,5
2020,7,총,"131,979","6,842","7,242","4,573","43,573","30,785","2,503","32,879","3,582"
2020,7,0,"19,392",188,514,91,"8,431","5,380",62,"4,608",118
2020,7,10,"10,949",305,488,150,"3,419","4,119",65,"2,257",146
2020,7,20,"11,868",655,853,385,"3,676","2,537",206,"3,263",293
2020,7,30,"26,310",580,889,364,"11,377","5,293",206,"7,292",309
2020,7,40,"22,183",716,930,393,"7,336","6,601",209,"5,583",415
2020,7,50,"16,473","1,311","1,143",999,"4,165","3,373",515,"4,215",752
2020,7,60,"15,094","1,631","1,329","1,274","3,410","2,360",615,"3,627",848
2020,7,70,"6,631","1,010",699,590,"1,247",801,418,"1,418",448
2020,7,80,"2,600",385,336,264,428,276,175,530,206
2020,7,90,435,58,54,52,75,44,29,81,42
2020,7,100,44,3,7,11,9,1,3,5,5
2020,8,총,"133,354","6,811","7,195","4,555","45,236","30,687","2,491","32,776","3,603"
2020,8,0,"19,629",184,503,91,"8,779","5,335",61,"4,559",117
2020,8,10,"11,141",299,481,150,"3,618","4,130",66,"2,252",145
2020,8,20,"11,939",661,849,376,"3,795","2,513",200,"3,254",291
2020,8,30,"26,631",571,885,362,"11,820","5,257",206,"7,220",310
2020,8,40,"22,518",715,916,388,"7,697","6,587",209,"5,588",418
2020,8,50,"16,525","1,290","1,137",984,"4,268","3,365",510,"4,221",750
2020,8,60,"15,207","1,635","1,333","1,278","3,473","2,368",612,"3,641",867
2020,8,70,"6,676","1,012",697,597,"1,268",812,416,"1,422",452
2020,8,80,"2,601",384,332,264,432,274,177,533,205
2020,8,90,443,57,55,54,77,45,31,81,43
2020,8,100,44,3,7,11,9,1,3,5,5
2020,9,총,"135,330","6,824","7,182","4,519","47,565","30,499","2,489","32,645","3,607"
2020,9,0,"19,959",184,505,89,"9,254","5,272",62,"4,478",115
2020,9,10,"11,330",302,482,146,"3,791","4,139",65,"2,261",144
2020,9,20,"12,115",660,837,366,"4,006","2,485",204,"3,268",289
2020,9,30,"27,059",584,880,359,"12,486","5,165",206,"7,064",315
2020,9,40,"22,882",715,916,377,"8,069","6,577",211,"5,603",414
2020,9,50,"16,692","1,279","1,118",975,"4,484","3,346",503,"4,238",749
2020,9,60,"15,447","1,643","1,351","1,280","3,622","2,379",614,"3,680",878
2020,9,70,"6,733","1,018",697,595,"1,317",813,411,"1,428",454
2020,9,80,"2,618",380,331,267,446,275,179,537,203
2020,9,90,450,56,58,53,81,47,31,83,41
2020,9,100,45,3,7,12,9,1,3,5,5
2020,10,총,"136,485","6,830","7,199","4,500","48,860","30,402","2,486","32,628","3,580"
2020,10,0,"20,074",181,514,91,"9,487","5,192",65,"4,434",110
2020,10,10,"11,479",300,476,147,"3,918","4,165",66,"2,268",139
2020,10,20,"12,174",664,839,356,"4,100","2,485",200,"3,246",284
2020,10,30,"27,261",584,895,360,"12,807","5,063",204,"7,033",315
2020,10,40,"23,199",721,907,374,"8,323","6,614",213,"5,636",411
2020,10,50,"16,817","1,283","1,120",955,"4,627","3,345",500,"4,247",740
2020,10,60,"15,565","1,645","1,347","1,275","3,724","2,396",615,"3,688",875
2020,10,70,"6,789","1,014",703,609,"1,330",819,409,"1,446",459
2020,10,80,"2,637",378,334,268,455,278,180,541,203
2020,10,90,445,57,57,53,80,44,31,84,39
2020,10,100,45,3,7,12,9,1,3,5,5
2020,11,총,"137,229","6,850","7,181","4,503","49,515","30,400","2,482","32,652","3,646"
2020,11,0,"20,113",178,517,85,"9,594","5,163",61,"4,407",108
2020,11,10,"11,607",303,473,144,"4,006","4,186",69,"2,282",144
2020,11,20,"12,254",669,835,350,"4,147","2,504",195,"3,260",294
2020,11,30,"27,263",591,883,360,"12,900","5,026",203,"6,980",320
2020,11,40,"23,412",715,891,373,"8,512","6,627",215,"5,662",417
2020,11,50,"16,892","1,282","1,118",947,"4,692","3,355",492,"4,247",759
2020,11,60,"15,737","1,658","1,359","1,298","3,777","2,389",624,"3,735",897
2020,11,70,"6,820","1,019",707,609,"1,340",828,408,"1,451",458
2020,11,80,"2,644",375,336,270,460,277,181,540,205
2020,11,90,441,57,56,53,78,44,31,83,39
2020,11,100,46,3,6,14,9,1,3,5,5
2020,12,총,"137,957","6,848","7,119","4,499","50,325","30,377","2,474","32,625","3,690"
2020,12,0,"20,095",182,498,86,"9,673","5,153",57,"4,334",112
2020,12,10,"11,714",300,470,138,"4,090","4,199",70,"2,308",139
