년도,월,나이,횡성군,횡성읍,우천면,안흥면,둔내면,갑천면,청일면,공근면,서원면,강림면
2020,1,총,"46,377","20,924","4,460","3,031","5,841","2,366","2,404","3,496","2,119","1,736"
2020,1,0,"2,244","1,533",134,62,248,42,33,87,68,37
2020,1,10,"3,619","2,093",217,481,393,92,71,131,70,71
2020,1,20,"4,005","2,354",382,151,412,127,137,217,131,94
2020,1,30,"3,634","2,181",255,130,449,122,89,199,133,76
2020,1,40,"5,239","3,023",428,191,666,179,177,275,156,144
2020,1,50,"9,009","3,643",941,593,"1,234",477,552,768,430,371
2020,1,60,"9,411","3,053","1,041",724,"1,269",671,676,890,595,492
2020,1,70,"5,628","1,837",652,429,728,402,405,545,307,323
2020,1,80,"3,086","1,031",355,226,383,217,226,334,195,119
2020,1,90,472,168,50,40,57,33,36,47,33,8
2020,1,100,30,8,5,4,2,4,2,3,1,1
2020,2,총,"46,372","20,906","4,461","3,009","5,847","2,374","2,414","3,519","2,110","1,732"
2020,2,0,"2,243","1,525",132,64,252,43,35,87,67,38
2020,2,10,"3,557","2,074",213,456,382,91,70,131,68,72
2020,2,20,"3,971","2,328",381,143,412,129,136,219,132,91
2020,2,30,"3,636","2,173",257,130,452,126,88,201,132,77
2020,2,40,"5,220","3,016",427,190,659,180,175,275,155,143
2020,2,50,"8,975","3,637",935,594,"1,233",474,548,770,422,362
2020,2,60,"9,534","3,102","1,050",730,"1,293",679,688,902,592,498
2020,2,70,"5,626","1,840",654,428,724,397,405,547,312,319
2020,2,80,"3,097","1,026",355,229,383,220,229,334,197,124
2020,2,90,483,177,52,41,55,31,38,50,32,7
2020,2,100,30,8,5,4,2,4,2,3,1,1
2020,3,총,"46,307","20,883","4,455","2,993","5,844","2,369","2,412","3,512","2,109","1,730"
2020,3,0,"2,232","1,522",129,64,250,42,35,83,69,38
2020,3,10,"3,541","2,071",220,438,382,90,68,131,69,72
2020,3,20,"3,944","2,319",367,143,415,128,138,221,127,86
2020,3,30,"3,608","2,151",253,133,447,125,90,198,135,76
2020,3,40,"5,194","3,010",427,188,650,178,172,274,151,144
2020,3,50,"8,926","3,648",920,588,"1,232",466,535,755,421,361
2020,3,60,"9,607","3,114","1,063",740,"1,304",684,695,910,598,499
2020,3,70,"5,624","1,830",657,426,726,400,404,552,309,320
2020,3,80,"3,105","1,026",362,229,382,220,232,331,198,125
2020,3,90,495,183,52,40,54,32,41,54,31,8
2020,3,100,31,9,5,4,2,4,2,3,1,1
2020,4,총,"46,232","20,851","4,463","2,966","5,829","2,369","2,417","3,507","2,102","1,728"
2020,4,0,"2,233","1,514",131,67,255,42,35,83,68,38
2020,4,10,"3,514","2,060",221,428,377,90,69,128,70,71
2020,4,20,"3,909","2,309",367,138,408,125,136,219,123,84
2020,4,30,"3,590","2,141",254,133,442,124,87,197,134,78
2020,4,40,"5,173","2,998",428,187,648,177,172,272,152,139
2020,4,50,"8,866","3,638",912,574,"1,229",463,534,749,411,356
2020,4,60,"9,683","3,134","1,066",743,"1,308",689,712,919,610,502
2020,4,70,"5,628","1,833",661,424,726,399,402,553,305,325
2020,4,80,"3,107","1,026",365,229,381,224,232,330,195,125
2020,4,90,499,189,53,39,53,32,36,54,33,10
2020,4,100,30,9,5,4,2,4,2,3,1,0
2020,5,총,"46,276","20,852","4,483","2,960","5,843","2,368","2,432","3,500","2,112","1,726"
2020,5,0,"2,239","1,513",131,66,261,42,39,82,68,37
2020,5,10,"3,504","2,057",218,428,381,85,68,124,72,71
2020,5,20,"3,900","2,303",372,135,404,123,139,217,122,85
2020,5,30,"3,554","2,115",254,128,445,123,88,193,132,76
2020,5,40,"5,175","2,999",430,185,651,176,173,272,154,135
2020,5,50,"8,855","3,651",910,571,"1,225",461,532,742,411,352
2020,5,60,"9,764","3,154","1,080",750,"1,314",694,722,925,616,509
2020,5,70,"5,621","1,831",662,423,723,396,402,554,306,324
2020,5,80,"3,131","1,031",367,231,384,231,231,333,196,127
2020,5,90,503,189,54,39,53,33,36,55,34,10
2020,5,100,30,9,5,4,2,4,2,3,1,0
2020,6,총,"46,442","20,829","4,486","3,115","5,853","2,358","2,433","3,506","2,129","1,733"
2020,6,0,"2,238","1,509",131,69,261,40,40,81,68,39
2020,6,10,"3,645","2,055",212,580,384,83,68,127,69,67
2020,6,20,"3,887","2,286",372,134,403,123,138,217,125,89
2020,6,30,"3,525","2,093",252,126,440,119,87,194,136,78
2020,6,40,"5,159","2,997",426,182,647,171,175,273,154,134
2020,6,50,"8,870","3,659",919,577,"1,225",458,532,737,409,354
2020,6,60,"9,820","3,179","1,089",748,"1,321",696,719,933,627,508
2020,6,70,"5,625","1,828",663,426,727,400,403,550,305,323
2020,6,80,"3,134","1,024",364,229,388,233,233,332,200,131
2020,6,90,507,189,52,40,55,31,36,59,35,10
2020,6,100,32,10,6,4,2,4,2,3,1,0
2020,7,총,"46,402","20,791","4,472","3,125","5,863","2,353","2,447","3,498","2,128","1,725"
2020,7,0,"2,223","1,503",132,68,258,38,38,80,68,38
2020,7,10,"3,642","2,053",209,581,388,80,71,126,68,66
2020,7,20,"3,863","2,270",368,132,402,122,139,217,125,88
2020,7,30,"3,513","2,084",253,122,441,121,90,192,132,78
2020,7,40,"5,133","2,984",418,185,637,174,175,273,158,129
2020,7,50,"8,837","3,649",921,575,"1,230",451,532,726,404,349
2020,7,60,"9,878","3,198","1,091",754,"1,326",699,727,942,629,512
2020,7,70,"5,637","1,834",658,431,728,400,403,551,310,322
2020,7,80,"3,134","1,019",363,230,395,233,233,329,198,134
2020,7,90,510,186,53,43,56,32,37,59,35,9
2020,7,100,32,11,6,4,2,3,2,3,1,0
2020,8,총,"46,409","20,786","4,476","3,132","5,866","2,353","2,435","3,494","2,128","1,739"
2020,8,0,"2,215","1,502",133,63,253,39,39,80,68,38
2020,8,10,"3,614","2,039",206,582,385,77,70,120,68,67
2020,8,20,"3,856","2,272",370,132,400,124,135,214,121,88
2020,8,30,"3,486","2,068",257,124,432,120,89,187,134,75
2020,8,40,"5,124","2,984",412,183,639,167,176,277,155,131
2020,8,50,"8,848","3,653",927,576,"1,232",452,529,722,406,351
2020,8,60,"9,936","3,203","1,098",762,"1,341",704,725,949,631,523
2020,8,70,"5,643","1,839",650,433,731,397,403,555,310,325
2020,8,80,"3,139","1,028",362,230,395,237,230,326,200,131
2020,8,90,515,187,55,42,56,33,37,61,34,10
2020,8,100,33,11,6,5,2,3,2,3,1,0
2020,9,총,"46,482","20,775","4,486","3,150","5,892","2,356","2,439","3,500","2,133","1,751"
2020,9,0,"2,208","1,499",130,65,249,40,38,79,69,39
2020,9,10,"3,597","2,027",202,581,384,76,69,119,68,71
2020,9,20,"3,858","2,264",379,132,398,126,135,214,122,88
2020,9,30,"3,474","2,055",254,123,439,119,90,184,136,74
2020,9,40,"5,137","2,987",420,188,640,169,169,276,158,130
2020,9,50,"8,840","3,650",922,578,"1,227",453,535,717,400,358
2020,9,60,"10,012","3,228","1,103",770,"1,358",710,729,954,637,523
2020,9,70,"5,642","1,832",654,435,735,391,401,559,310,325
2020,9,80,"3,166","1,033",363,231,406,236,233,332,199,133
2020,9,90,515,189,53,42,54,33,38,63,33,10
2020,9,100,33,11,6,5,2,3,2,3,1,0
2020,10,총,"46,514","20,771","4,491","3,156","5,886","2,387","2,430","3,508","2,135","1,750"
2020,10,0,"2,182","1,482",127,65,243,38,37,82,71,37
2020,10,10,"3,615","2,029",204,580,388,88,68,119,68,71
2020,10,20,"3,835","2,251",377,132,397,129,130,211,120,88
2020,10,30,"3,457","2,046",252,124,438,119,90,179,136,73
2020,10,40,"5,144","2,992",416,191,642,172,167,273,161,130
2020,10,50,"8,799","3,644",911,576,"1,217",460,529,714,396,352
2020,10,60,"10,114","3,257","1,122",777,"1,365",716,734,974,638,531
2020,10,70,"5,616","1,829",653,434,726,389,399,555,306,325
2020,10,80,"3,197","1,036",369,234,413,240,231,335,205,134
2020,10,90,523,194,54,40,54,33,43,63,33,9
2020,10,100,32,11,6,3,3,3,2,3,1,0
2020,11,총,"46,533","20,763","4,501","3,165","5,885","2,400","2,437","3,505","2,133","1,744"
2020,11,0,"2,158","1,463",129,66,238,39,35,84,69,35
2020,11,10,"3,590","2,013",201,580,388,88,68,115,66,71
2020,11,20,"3,858","2,269",380,137,392,131,132,212,121,84
2020,11,30,"3,454","2,029",254,127,441,116,94,181,136,76
2020,11,40,"5,121","2,980",417,190,637,171,166,270,159,131
2020,11,50,"8,763","3,642",906,573,"1,214",458,527,703,392,348
2020,11,60,"10,212","3,290","1,133",785,"1,381",728,738,984,644,529
2020,11,70,"5,601","1,825",652,429,721,389,405,548,307,325
2020,11,80,"3,220","1,047",368,238,415,244,227,341,205,135
2020,11,90,524,194,55,37,55,33,43,64,33,10
2020,11,100,32,11,6,3,3,3,2,3,1,0
2020,12,총,"46,472","20,755","4,517","3,077","5,889","2,408","2,429","3,509","2,140","1,748"
2020,12,0,"2,159","1,461",126,63,244,39,33,87,70,36
2020,12,10,"3,500","2,001",204,505,388,83,70,112,68,69
2020,12,20,"3,851","2,275",375,138,389,131,129,212,118,84
2020,12,30,"3,439","2,025",251,123,439,114,94,181,136,76
2020,12,40,"5,119","2,977",421,189,641,164,165,274,157,131
2020,12,50,"8,739","3,642",899,569,"1,203",461,530,695,390,350
2020,12,60,"10,273","3,301","1,147",790,"1,392",734,733,992,649,535
2020,12,70,"5,592","1,822",660,419,716,395,404,546,309,321
2020,12,80,"3,242","1,045",372,240,418,248,228,344,210,137
2020,12,90,523,193,56,38,55,36,41,63,32,9
2020,12,100,35,13,6,3,4,3,2,3,1,0
2021,1,총,"46,441","20,736","4,548","3,027","5,889","2,405","2,409","3,521","2,152","1,754"
2021,1,0,"2,152","1,450",128,63,249,40,31,88,68,35
2021,1,10,"3,447","1,991",212,454,384,87,66,110,70,73
2021,1,20,"3,816","2,268",372,134,390,125,120,207,116,84
2021,1,30,"3,430","2,018",256,124,434,112,92,182,136,76
2021,1,40,"5,111","2,960",421,189,645,166,163,277,158,132
2021,1,50,"8,714","3,648",904,562,"1,182",456,517,704,392,349
2021,1,60,"10,347","3,310","1,157",797,"1,412",734,747,999,655,536
2021,1,70,"5,588","1,829",659,419,706,402,399,544,310,320
2021,1,80,"3,271","1,053",374,242,428,245,231,345,214,139
2021,1,90,529,196,59,40,55,35,41,62,31,10
2021,1,100,36,13,6,3,4,3,2,3,2,0
2021,2,총,"46,447","20,719","4,557","3,029","5,910","2,410","2,407","3,520","2,144","1,751"
2021,2,0,"2,151","1,447",127,68,248,39,31,88,67,36
2021,2,10,"3,430","1,984",215,439,383,87,70,115,67,70
