년도,월,나이,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020,1,총,"1,540,540","281,468","350,202","213,328","90,417","43,681","81,840","66,806","68,933","46,377","39,040","42,014","37,194","45,467","24,806","22,526","31,567","27,165","27,709"
2020,1,0,"109,120","22,246","28,822","14,023","6,865","2,830","5,958","4,114","3,993","2,244","1,764","2,020","1,870","3,425","1,861","1,829","2,556","1,327","1,373"
2020,1,10,"142,857","27,920","36,731","20,044","9,045","3,991","7,736","5,478","5,455","3,619","2,998","3,095","2,690","4,019","1,886","2,089","2,351","1,757","1,953"
2020,1,20,"180,682","36,921","45,160","25,337","9,398","3,832","8,922","7,776","6,554","4,005","3,420","3,448","2,921","6,119","3,919","3,210","4,222","3,136","2,382"
2020,1,30,"170,183","34,799","45,363","22,197","9,526","4,184","9,292","6,272","6,296","3,634","2,989","3,376","3,365","4,860","2,862","2,640","3,892","2,229","2,407"
2020,1,40,"228,154","42,909","57,610","32,879","14,883","6,619","12,649","9,276","8,527","5,239","4,871","5,511","5,069","5,936","2,819","2,615","3,975","3,181","3,586"
2020,1,50,"270,181","47,032","60,215","36,820","15,646","7,604","15,206","11,703","13,071","9,009","7,565","8,342","7,265","7,478","4,007","3,672","5,442","4,989","5,115"
2020,1,60,"224,502","35,515","41,578","31,635","13,001","7,472","11,771","10,622","12,898","9,411","7,632","8,290","7,001","6,293","3,479","3,133","4,730","4,899","5,142"
2020,1,70,"135,828","21,220","21,524","19,433","7,987","4,860","6,693","7,177","7,325","5,628","4,901","5,052","4,555","4,862","2,488","2,090","2,749","3,578","3,706"
2020,1,80,"67,838","11,012","11,423","9,343","3,571","1,986","3,002","3,812","4,199","3,086","2,532","2,495","2,077","2,088","1,283","1,077","1,410","1,723","1,719"
2020,1,90,"10,400","1,782","1,672","1,519",468,245,578,529,577,472,320,346,336,344,187,155,227,332,311
2020,1,100,795,112,104,98,27,58,33,47,38,30,48,39,45,43,15,16,13,14,15
2020,2,총,"1,539,521","281,759","350,897","213,273","90,210","43,526","81,744","66,478","68,715","46,372","38,969","41,903","37,062","45,333","24,673","22,366","31,432","27,080","27,729"
2020,2,0,"108,694","22,256","28,829","13,992","6,805","2,805","5,946","4,056","3,928","2,243","1,732","2,000","1,837","3,408","1,836","1,799","2,524","1,312","1,386"
2020,2,10,"141,975","27,815","36,628","19,954","8,969","3,967","7,673","5,403","5,401","3,557","2,986","3,053","2,664","3,973","1,864","2,057","2,317","1,745","1,949"
2020,2,20,"179,813","36,898","45,199","25,188","9,372","3,770","8,897","7,636","6,489","3,971","3,391","3,435","2,868","6,096","3,851","3,138","4,152","3,072","2,390"
2020,2,30,"169,694","34,798","45,458","22,133","9,454","4,121","9,269","6,192","6,252","3,636","2,961","3,339","3,335","4,842","2,834","2,594","3,882","2,218","2,376"
2020,2,40,"227,950","42,956","57,699","32,846","14,805","6,622","12,612","9,242","8,478","5,220","4,872","5,503","5,043","5,905","2,811","2,605","3,955","3,178","3,598"
2020,2,50,"269,666","47,036","60,179","36,776","15,630","7,581","15,158","11,665","13,025","8,975","7,541","8,269","7,226","7,452","3,998","3,668","5,428","4,964","5,095"
2020,2,60,"226,444","35,817","42,091","31,922","13,079","7,486","11,848","10,686","12,985","9,534","7,668","8,364","7,054","6,341","3,512","3,157","4,773","4,940","5,187"
2020,2,70,"135,668","21,225","21,549","19,386","7,999","4,860","6,693","7,169","7,306","5,626","4,886","5,035","4,546","4,818","2,480","2,088","2,748","3,567","3,687"
2020,2,80,"68,321","11,050","11,471","9,437","3,599","2,007","3,035","3,846","4,221","3,097","2,560","2,518","2,104","2,113","1,285","1,093","1,411","1,737","1,737"
2020,2,90,"10,493","1,799","1,691","1,540",469,248,579,535,590,483,324,348,340,341,187,150,229,331,309
2020,2,100,803,109,103,99,29,59,34,48,40,30,48,39,45,44,15,17,13,16,15
2020,3,총,"1,538,577","281,688","351,154","213,143","90,263","43,411","81,689","66,088","68,630","46,307","38,938","41,817","37,044","45,220","24,646","22,301","31,461","27,064","27,713"
2020,3,0,"108,429","22,161","28,836","13,933","6,813","2,775","5,944","4,014","3,908","2,232","1,738","1,987","1,824","3,391","1,852","1,796","2,540","1,306","1,379"
2020,3,10,"141,217","27,705","36,492","19,832","8,971","3,936","7,625","5,308","5,358","3,541","2,987","3,023","2,648","3,945","1,841","2,035","2,318","1,724","1,928"
2020,3,20,"179,347","37,000","45,181","25,110","9,349","3,732","8,849","7,497","6,479","3,944","3,360","3,417","2,872","6,046","3,826","3,116","4,142","3,035","2,392"
2020,3,30,"169,113","34,663","45,403","22,038","9,445","4,083","9,268","6,125","6,219","3,608","2,939","3,298","3,319","4,810","2,824","2,587","3,882","2,234","2,368"
2020,3,40,"227,123","42,780","57,606","32,746","14,762","6,609","12,553","9,161","8,429","5,194","4,826","5,479","5,019","5,877","2,799","2,599","3,958","3,163","3,563"
2020,3,50,"269,104","47,003","60,081","36,769","15,632","7,569","15,127","11,608","12,967","8,926","7,497","8,213","7,196","7,419","4,005","3,650","5,383","4,976","5,083"
2020,3,60,"228,447","36,172","42,640","32,161","13,165","7,496","11,959","10,730","13,088","9,607","7,744","8,441","7,133","6,389","3,522","3,175","4,823","4,961","5,241"
2020,3,70,"135,644","21,179","21,552","19,369","8,003","4,866","6,705","7,191","7,311","5,624","4,892","5,029","4,539","4,820","2,477","2,078","2,753","3,569","3,687"
2020,3,80,"68,707","11,103","11,534","9,517","3,615","2,034","3,039","3,864","4,238","3,105","2,572","2,543","2,110","2,135","1,291","1,102","1,420","1,742","1,743"
2020,3,90,"10,637","1,811","1,727","1,568",479,250,586,542,592,495,335,346,340,344,194,147,229,338,314
2020,3,100,809,111,102,100,29,61,34,48,41,31,48,41,44,44,15,16,13,16,15
2020,4,총,"1,537,780","281,492","351,421","213,037","90,233","43,251","81,713","65,887","68,688","46,232","38,762","41,758","37,036","45,093","24,627","22,375","31,506","26,959","27,710"
2020,4,0,"108,087","22,050","28,816","13,857","6,789","2,757","5,914","4,010","3,897","2,233","1,729","1,986","1,811","3,374","1,852","1,793","2,551","1,290","1,378"
2020,4,10,"140,644","27,561","36,391","19,714","8,955","3,924","7,610","5,254","5,326","3,514","2,965","2,993","2,642","3,922","1,825","2,129","2,302","1,702","1,915"
2020,4,20,"178,850","36,936","45,180","25,086","9,297","3,671","8,845","7,404","6,520","3,909","3,304","3,394","2,869","6,002","3,811","3,071","4,148","3,013","2,390"
2020,4,30,"168,852","34,648","45,408","22,006","9,437","4,044","9,239","6,105","6,221","3,590","2,900","3,293","3,274","4,791","2,836","2,583","3,887","2,225","2,365"
2020,4,40,"226,430","42,657","57,475","32,668","14,745","6,570","12,545","9,109","8,381","5,173","4,777","5,443","5,021","5,838","2,777","2,620","3,963","3,124","3,544"
2020,4,50,"268,793","46,990","60,140","36,746","15,617","7,537","15,139","11,568","12,949","8,866","7,471","8,186","7,160","7,388","3,993","3,641","5,374","4,952","5,076"
2020,4,60,"229,900","36,408","43,027","32,315","13,249","7,528","12,014","10,752","13,170","9,683","7,755","8,485","7,209","6,421","3,558","3,206","4,862","4,991","5,267"
2020,4,70,"135,561","21,127","21,552","19,393","7,993","4,867","6,711","7,195","7,321","5,628","4,899","5,032","4,531","4,823","2,466","2,064","2,738","3,546","3,675"
2020,4,80,"69,127","11,173","11,588","9,569","3,635","2,041","3,078","3,892","4,269","3,107","2,578","2,557","2,129","2,144","1,296","1,106","1,432","1,763","1,770"
2020,4,90,"10,721","1,831","1,740","1,581",487,251,584,549,594,499,335,349,344,345,198,147,235,337,315
2020,4,100,815,111,104,102,29,61,34,49,40,30,49,40,46,45,15,15,14,16,15
2020,5,총,"1,538,639","281,439","351,979","212,929","90,366","43,254","81,792","65,834","68,832","46,276","38,759","41,779","37,025","45,084","24,657","22,378","31,548","26,921","27,787"
2020,5,0,"107,875","21,985","28,794","13,819","6,794","2,733","5,881","4,000","3,882","2,239","1,727","1,968","1,798","3,383","1,854","1,796","2,551","1,291","1,380"
2020,5,10,"140,101","27,394","36,301","19,592","8,909","3,939","7,594","5,223","5,327","3,504","2,943","2,992","2,632","3,914","1,820","2,117","2,299","1,689","1,912"
2020,5,20,"178,977","36,943","45,216","25,082","9,335","3,677","8,840","7,402","6,570","3,900","3,317","3,408","2,868","6,001","3,819","3,083","4,136","2,990","2,390"
2020,5,30,"168,729","34,570","45,503","21,971","9,454","4,014","9,265","6,073","6,232","3,554","2,876","3,269","3,258","4,775","2,852","2,592","3,870","2,222","2,379"
2020,5,40,"226,018","42,604","57,450","32,537","14,732","6,558","12,521","9,094","8,380","5,175","4,745","5,427","4,987","5,803","2,761","2,597","3,987","3,109","3,551"
2020,5,50,"269,022","47,033","60,341","36,745","15,637","7,540","15,146","11,519","12,976","8,855","7,465","8,192","7,160","7,379","3,992","3,633","5,372","4,943","5,094"
2020,5,60,"231,156","36,611","43,296","32,465","13,301","7,535","12,080","10,797","13,225","9,764","7,807","8,520","7,259","6,470","3,579","3,232","4,895","5,015","5,305"
2020,5,70,"135,633","21,096","21,562","19,428","8,016","4,894","6,734","7,207","7,325","5,621","4,888","5,036","4,535","4,813","2,464","2,060","2,743","3,541","3,670"
2020,5,80,"69,533","11,248","11,663","9,606","3,665","2,047","3,105","3,918","4,271","3,131","2,606","2,582","2,136","2,155","1,297","1,109","1,446","1,772","1,776"
2020,5,90,"10,774","1,846","1,749","1,580",494,255,591,552,603,503,336,344,345,346,204,144,235,333,314
2020,5,100,821,109,104,104,29,62,35,49,41,30,49,41,47,45,15,15,14,16,16
2020,6,총,"1,539,282","281,400","352,201","212,863","90,454","43,203","82,059","65,753","68,998","46,442","38,840","41,739","37,046","44,987","24,717","22,332","31,554","26,886","27,808"
2020,6,0,"107,641","21,923","28,703","13,790","6,782","2,728","5,910","3,988","3,882","2,238","1,720","1,950","1,798","3,371","1,856","1,787","2,548","1,290","1,377"
