년도,월,나이,구로구,신도림동,구로제1동,구로제2동,구로제3동,구로제4동,구로제5동,가리봉동,고척제1동,고척제2동,개봉제1동,개봉제2동,개봉제3동,오류제1동,오류제2동,수궁동,항동
2020,1,총,"201,065","18,007","10,617","12,741","12,297","10,181","14,425","5,078","11,856","14,002","16,328","15,881","10,505","11,068","19,353","12,134","6,592"
2020,1,0,"15,524","1,904","1,072",536,808,499,"1,048",153,756,986,"1,072","1,325",703,674,"1,981",844,"1,163"
2020,1,10,"16,184","1,864","1,089",803,758,631,894,170,"1,097","1,279","1,254","1,237",800,661,"1,982","1,202",463
2020,1,20,"27,373","2,180","1,392","1,716","2,039","1,396","2,226",711,"1,744","1,926","2,218","1,971","1,420","1,764","2,331","1,614",725
2020,1,30,"32,879","3,050","1,993","1,680","2,815","1,584","2,774",696,"1,567","1,803","2,379","2,476","1,607","2,275","2,751","1,807","1,622"
2020,1,40,"33,193","3,247","1,853","2,016","2,277","1,630","2,204",737,"1,874","2,319","2,591","2,594","1,688","1,669","3,458","1,988","1,048"
2020,1,50,"31,372","2,599","1,447","2,516","1,517","1,806","2,285","1,196","1,970","2,447","2,779","2,302","1,658","1,516","2,750","1,921",663
2020,1,60,"25,347","1,906","1,151","1,874","1,138","1,377","1,728",854,"1,686","1,833","2,283","2,254","1,547","1,365","2,179","1,626",546
2020,1,70,"14,615",981,481,"1,197",716,922,961,415,914,"1,042","1,344","1,337",821,867,"1,439",892,286
2020,1,80,"4,197",256,120,371,209,308,281,127,224,340,385,343,238,264,446,220,65
2020,1,90,347,20,19,27,18,23,24,14,24,26,20,39,20,12,33,17,11
2020,1,100,34,0,0,5,2,5,0,5,0,1,3,3,3,1,3,3,0
2020,2,총,"200,854","17,931","10,567","12,678","12,293","10,161","14,412","5,090","11,848","13,963","16,252","15,829","10,473","11,066","19,316","12,116","6,859"
2020,2,0,"15,390","1,892","1,055",524,786,483,"1,023",155,750,982,"1,058","1,296",696,673,"1,962",823,"1,232"
2020,2,10,"16,050","1,851","1,081",790,757,617,881,172,"1,090","1,260","1,226","1,220",800,668,"1,970","1,184",483
2020,2,20,"27,290","2,173","1,375","1,705","2,031","1,399","2,217",723,"1,743","1,921","2,214","1,963","1,400","1,757","2,316","1,620",733
2020,2,30,"32,867","3,047","1,989","1,681","2,813","1,594","2,760",697,"1,565","1,792","2,363","2,488","1,604","2,261","2,728","1,804","1,681"
2020,2,40,"33,109","3,222","1,845","1,997","2,276","1,618","2,208",729,"1,854","2,302","2,568","2,575","1,679","1,684","3,459","1,990","1,103"
2020,2,50,"31,412","2,589","1,441","2,502","1,534","1,789","2,300","1,201","1,978","2,444","2,781","2,312","1,651","1,507","2,763","1,924",696
2020,2,60,"25,439","1,883","1,160","1,873","1,150","1,400","1,752",856,"1,694","1,849","2,286","2,252","1,556","1,367","2,179","1,624",558
2020,2,70,"14,668",992,482,"1,196",713,923,961,409,923,"1,045","1,338","1,338",821,871,"1,457",904,295
2020,2,80,"4,241",261,121,378,211,310,286,129,226,341,393,344,243,265,443,223,67
2020,2,90,353,21,18,26,20,23,24,14,25,26,22,38,20,12,36,17,11
2020,2,100,35,0,0,6,2,5,0,5,0,1,3,3,3,1,3,3,0
2020,3,총,"200,558","17,882","10,541","12,643","12,284","10,098","14,380","5,049","11,817","13,901","16,211","15,817","10,458","11,098","19,253","12,071","7,055"
2020,3,0,"15,253","1,871","1,047",517,774,468,"1,000",149,751,976,"1,051","1,291",684,661,"1,940",813,"1,260"
2020,3,10,"16,000","1,844","1,081",785,754,597,887,166,"1,076","1,247","1,220","1,228",808,662,"1,974","1,168",503
2020,3,20,"27,336","2,172","1,375","1,710","2,046","1,419","2,232",734,"1,732","1,909","2,215","1,954","1,384","1,776","2,315","1,617",746
2020,3,30,"32,760","3,041","1,993","1,664","2,802","1,576","2,747",692,"1,567","1,771","2,343","2,493","1,595","2,279","2,692","1,785","1,720"
2020,3,40,"32,938","3,215","1,826","1,985","2,258","1,588","2,180",709,"1,859","2,281","2,550","2,552","1,682","1,672","3,450","1,978","1,153"
2020,3,50,"31,350","2,572","1,445","2,492","1,531","1,790","2,315","1,196","1,966","2,439","2,768","2,304","1,645","1,501","2,748","1,919",719
2020,3,60,"25,507","1,895","1,157","1,877","1,158","1,388","1,744",847,"1,687","1,859","2,291","2,264","1,560","1,387","2,188","1,626",579
2020,3,70,"14,727",989,473,"1,200",720,931,963,411,925,"1,042","1,353","1,342",826,877,"1,457",923,295
2020,3,80,"4,291",261,126,379,219,313,287,126,230,349,395,350,251,269,447,220,69
2020,3,90,359,22,18,28,20,23,25,14,23,26,22,36,20,13,39,19,11
2020,3,100,37,0,0,6,2,5,0,5,1,2,3,3,3,1,3,3,0
2020,4,총,"200,239","17,851","10,517","12,542","12,277","10,096","14,347","5,067","11,784","13,860","16,125","15,733","10,469","11,114","19,181","12,018","7,258"
2020,4,0,"15,157","1,863","1,043",511,771,458,992,149,745,971,"1,027","1,267",688,657,"1,913",805,"1,297"
2020,4,10,"15,934","1,840","1,071",782,749,591,888,166,"1,076","1,240","1,213","1,223",799,659,"1,978","1,149",510
2020,4,20,"27,311","2,167","1,376","1,693","2,033","1,422","2,223",745,"1,724","1,904","2,208","1,946","1,380","1,789","2,302","1,618",781
2020,4,30,"32,638","3,035","1,980","1,614","2,795","1,572","2,728",709,"1,564","1,761","2,337","2,475","1,600","2,270","2,668","1,776","1,754"
2020,4,40,"32,800","3,219","1,822","1,957","2,259","1,588","2,161",700,"1,856","2,252","2,516","2,519","1,683","1,680","3,445","1,945","1,198"
2020,4,50,"31,306","2,558","1,443","2,494","1,540","1,792","2,312","1,182","1,951","2,431","2,769","2,298","1,643","1,510","2,731","1,909",743
