년도,월,나이,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 오천면원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동,충청남도 보령시 원산도출장소
2020,3,총,"51,027","3,256",859,"1,166",890,621,"1,875","1,318","2,016","2,634","1,211",926,"1,162","2,820","7,441","3,546","8,447","7,389","3,450",
2020,3,0,"3,243",77,19,18,33,14,61,43,72,80,42,29,47,105,598,254,890,728,133,
2020,3,10,"4,412",181,47,65,56,43,107,70,119,134,48,36,65,185,784,333,"1,029",895,215,
2020,3,20,"5,675",297,135,77,89,42,143,83,158,234,72,66,100,305,997,454,"1,137",946,340,
2020,3,30,"5,330",239,48,87,77,47,144,91,144,184,68,55,96,259,886,420,"1,212",913,360,
2020,3,40,"7,796",386,111,168,147,81,226,134,240,281,130,109,154,433,"1,221",597,"1,559","1,311",508,
2020,3,50,"9,254",641,159,264,185,140,352,248,375,564,197,153,270,548,"1,259",629,"1,319","1,251",700,
2020,3,60,"8,030",731,193,237,180,128,404,280,446,581,267,217,223,496,961,443,801,787,655,
2020,3,70,"4,907",471,107,163,79,81,284,234,297,372,233,170,151,341,523,279,359,399,364,
2020,3,80,"2,174",206,36,78,41,42,148,123,155,177,136,83,51,138,192,130,132,144,162,
2020,3,90,195,25,4,9,3,3,6,12,10,25,18,8,5,10,18,6,8,12,13,
2020,3,100,11,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0,
2020,4,총,"50,931","3,246",853,"1,162",889,613,"1,875","1,320","2,000","2,614","1,212",922,"1,153","2,812","7,434","3,523","8,418","7,450","3,435",
2020,4,0,"3,231",77,20,19,34,14,62,44,72,79,42,29,46,101,596,251,873,740,132,
2020,4,10,"4,385",182,45,64,54,43,106,69,115,131,48,36,66,186,774,329,"1,030",895,212,
2020,4,20,"5,619",293,127,75,89,39,142,86,156,231,73,65,94,304,995,441,"1,125",945,339,
2020,4,30,"5,299",235,48,84,76,45,145,92,138,179,67,51,93,254,874,419,"1,216",927,356,
2020,4,40,"7,774",381,114,170,145,81,220,134,234,278,129,109,155,432,"1,214",596,"1,557","1,323",502,
2020,4,50,"9,258",639,158,267,187,138,355,239,376,561,199,150,265,551,"1,272",625,"1,312","1,267",697,
2020,4,60,"8,038",734,193,234,178,127,404,288,439,577,268,218,226,488,959,447,804,798,656,
2020,4,70,"4,935",475,108,164,82,81,288,233,304,371,232,173,152,345,533,273,361,394,366,
2020,4,80,"2,189",203,36,76,41,42,147,123,157,181,135,83,51,141,199,135,131,146,162,
2020,4,90,192,25,4,9,3,3,6,12,9,25,18,8,5,10,16,6,8,12,13,
2020,4,100,11,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,3,0,
2020,5,총,"50,917","3,239",864,"1,156",884,607,"1,861","1,323","1,993","2,620","1,198",914,"1,155","2,799","7,429","3,519","8,413","7,520","3,423",
2020,5,0,"3,215",76,19,17,33,13,60,44,69,80,39,30,45,100,589,254,871,749,127,
2020,5,10,"4,403",180,62,62,53,42,103,68,116,133,43,35,67,187,767,328,"1,030",917,210,
2020,5,20,"5,605",291,132,76,88,40,139,87,155,228,71,63,94,299,988,436,"1,127",953,338,
2020,5,30,"5,243",230,45,83,73,43,143,90,136,174,64,50,91,253,869,418,"1,206",926,349,
2020,5,40,"7,762",379,109,169,142,77,215,133,230,281,125,108,157,429,"1,219",595,"1,553","1,337",504,
2020,5,50,"9,227",640,153,260,187,140,355,236,375,564,202,147,264,536,"1,275",621,"1,312","1,262",698,
2020,5,60,"8,090",730,197,236,181,124,406,291,442,580,266,219,230,494,966,449,807,816,656,
2020,5,70,"4,963",480,107,167,83,84,286,236,303,372,233,172,151,349,536,275,364,398,367,
2020,5,80,"2,205",205,36,77,41,41,148,126,156,184,134,82,51,142,202,136,134,147,163,
2020,5,90,192,26,4,9,3,3,6,12,11,23,20,8,5,10,16,6,8,11,11,
2020,5,100,12,2,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,4,0,
2020,6,총,"50,987","3,227",873,"1,158",884,613,"1,861","1,322","2,001","2,626","1,201",917,"1,159","2,792","7,388","3,504","8,429","7,604","3,428",0.0
2020,6,0,"3,207",76,18,17,34,14,60,43,71,84,38,30,44,99,580,251,867,755,126,0.0
2020,6,10,"4,412",179,66,61,52,42,105,69,115,134,44,35,70,186,757,327,"1,029",932,209,0.0
2020,6,20,"5,626",292,141,73,88,38,141,85,157,228,73,63,97,293,988,423,"1,149",959,338,0.0
2020,6,30,"5,214",221,43,83,73,44,147,89,131,169,62,49,91,249,856,421,"1,191",946,349,0.0
2020,6,40,"7,780",377,107,173,142,77,208,132,233,285,125,109,158,430,"1,216",594,"1,559","1,354",501,0.0
2020,6,50,"9,241",640,154,257,186,142,357,236,380,560,203,151,263,536,"1,266",617,"1,310","1,281",702,0.0
2020,6,60,"8,114",728,197,240,182,128,404,294,444,581,269,219,230,497,960,453,811,813,664,0.0
2020,6,70,"4,987",479,107,168,84,84,287,238,304,378,231,170,151,350,544,275,370,404,363,0.0
2020,6,80,"2,198",205,36,76,39,41,146,124,156,183,135,82,51,142,203,136,134,145,164,0.0
2020,6,90,195,28,4,10,4,3,6,12,9,23,20,9,4,10,16,6,8,11,12,0.0
2020,6,100,13,2,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,4,0,0.0
2020,7,총,"50,969","3,210",878,"1,159",879,,"1,862","1,321","2,003","2,621","1,205",912,"1,156","2,789","7,347","3,495","8,441","7,668","3,415",608
2020,7,0,"3,194",74,18,18,33,,60,42,73,81,38,30,40,97,567,250,865,773,122,13
2020,7,10,"4,395",175,67,62,52,,106,65,116,134,44,36,69,182,747,329,"1,025",943,202,41
2020,7,20,"5,619",285,145,72,87,,136,88,159,231,73,64,98,295,984,413,"1,160",948,343,38
2020,7,30,"5,215",220,44,83,71,,144,87,127,166,62,47,92,249,851,421,"1,193",959,354,45
2020,7,40,"7,746",374,107,174,142,,210,134,233,277,123,105,157,431,"1,205",591,"1,552","1,358",500,73
2020,7,50,"9,241",641,154,254,186,,358,236,377,556,204,149,259,536,"1,266",618,"1,322","1,293",694,138
2020,7,60,"8,144",728,196,238,183,,405,294,446,590,270,222,235,498,960,455,811,822,660,131
2020,7,70,"5,012",478,107,172,82,,291,238,306,381,234,171,151,348,551,276,369,410,363,84
2020,7,80,"2,200",206,36,76,40,,146,124,156,183,137,81,51,143,198,134,135,147,165,42
2020,7,90,190,27,4,10,3,,6,13,9,21,19,7,4,10,16,7,8,11,12,3
2020,7,100,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020,8,총,"50,941","3,206",876,"1,154",874,,"1,861","1,314","1,999","2,616","1,205",912,"1,159","2,802","7,330","3,474","8,426","7,697","3,427",609
2020,8,0,"3,170",75,17,18,33,,58,41,73,82,38,30,42,98,560,245,850,773,124,13
2020,8,10,"4,378",172,65,62,53,,107,65,115,132,43,36,68,184,741,327,"1,016",948,204,40
2020,8,20,"5,627",283,141,74,87,,135,87,157,231,73,63,98,300,987,418,"1,155",955,344,39
2020,8,30,"5,183",222,43,81,68,,142,85,126,167,62,47,94,246,852,414,"1,181",951,358,44
2020,8,40,"7,747",369,106,170,142,,211,132,232,274,122,105,159,433,"1,203",588,"1,562","1,369",500,70
2020,8,50,"9,197",631,155,252,184,,355,237,371,549,204,150,258,537,"1,260",609,"1,320","1,293",691,141
2020,8,60,"8,214",740,199,240,183,,407,294,455,591,272,221,233,501,966,456,824,832,667,133
2020,8,70,"5,011",477,109,170,82,,292,237,303,384,232,171,152,347,547,274,372,415,362,85
2020,8,80,"2,213",209,36,77,39,,148,122,156,185,139,82,51,146,198,135,137,146,165,42
2020,8,90,188,26,5,10,3,,6,14,10,20,19,7,4,10,14,7,8,11,12,2
2020,8,100,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020,9,총,"50,881","3,193",875,"1,153",875,,"1,854","1,315","1,998","2,619","1,209",909,"1,152","2,797","7,309","3,469","8,412","7,721","3,416",605
2020,9,0,"3,159",79,18,16,33,,58,40,72,86,37,30,42,98,558,246,839,772,122,13
2020,9,10,"4,357",165,62,60,54,,106,64,111,130,43,36,67,185,741,332,"1,015",945,202,39
2020,9,20,"5,620",284,143,77,87,,136,87,158,229,74,63,93,298,984,405,"1,162",955,349,36
2020,9,30,"5,154",214,45,82,69,,140,85,125,167,60,49,94,244,850,413,"1,158",963,352,44
2020,9,40,"7,733",364,103,168,142,,209,132,234,272,121,102,158,430,"1,192",590,"1,574","1,374",497,71
2020,9,50,"9,183",629,156,250,184,,358,237,370,545,208,150,256,541,"1,255",609,"1,316","1,296",685,138
2020,9,60,"8,247",742,200,242,181,,406,299,456,596,273,221,232,503,966,456,828,840,672,134
2020,9,70,"5,002",476,108,172,82,,289,237,302,386,231,167,154,345,543,273,373,417,361,86
2020,9,80,"2,218",212,35,77,40,,145,118,159,186,142,83,52,142,202,137,138,144,164,42
2020,9,90,195,26,5,9,3,,7,16,10,21,19,8,4,11,16,7,8,11,12,2
2020,9,100,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020,10,총,"50,850","3,186",881,"1,157",871,,"1,856","1,317","1,999","2,614","1,207",905,"1,146","2,803","7,301","3,461","8,387","7,761","3,392",606
2020,10,0,"3,125",75,18,17,28,,55,39,73,79,37,31,39,95,557,242,831,779,117,13
2020,10,10,"4,339",162,63,61,53,,103,65,107,127,42,36,66,186,739,330,"1,013",947,200,39
2020,10,20,"5,621",280,143,76,88,,137,88,165,233,75,62,94,299,990,410,"1,147",953,344,37
2020,10,30,"5,136",216,45,79,69,,143,83,124,167,61,46,92,248,842,412,"1,151",969,345,44
2020,10,40,"7,711",365,103,171,140,,209,131,234,271,119,106,156,425,"1,190",585,"1,568","1,375",495,68
2020,10,50,"9,178",622,160,245,184,,358,241,368,542,204,148,254,539,"1,251",606,"1,320","1,316",679,141
2020,10,60,"8,302",750,200,245,184,,405,298,458,601,275,222,235,515,962,461,832,847,677,135
2020,10,70,"5,007",478,109,173,82,,294,238,300,384,232,162,152,342,549,270,378,415,364,85
2020,10,80,"2,221",210,35,81,40,,145,118,159,188,142,85,54,143,202,136,138,145,160,40
2020,10,90,197,26,5,9,3,,7,16,10,21,19,7,4,11,17,8,8,11,11,4
2020,10,100,13,2,0,0,0,,0,0,1,1,1,0,0,0,2,1,1,4,0,0
2020,11,총,"50,814","3,184",880,"1,153",874,,"1,847","1,311","1,994","2,608","1,200",900,"1,145","2,802","7,296","3,456","8,380","7,813","3,372",599
2020,11,0,"3,111",74,18,17,27,,54,40,75,76,36,31,41,94,554,238,825,784,114,13
2020,11,10,"4,314",162,58,60,52,,102,63,107,126,42,35,66,178,739,333,"1,006",948,199,38
2020,11,20,"5,601",273,144,78,91,,133,84,168,232,70,60,93,305,975,410,"1,158",955,336,36
2020,11,30,"5,137",215,46,78,68,,142,84,122,171,61,43,90,244,844,410,"1,148",987,341,43
2020,11,40,"7,685",361,104,171,141,,208,130,235,268,117,107,160,422,"1,186",580,"1,560","1,382",488,65
2020,11,50,"9,179",628,161,240,184,,356,239,368,538,203,149,249,541,"1,251",609,"1,318","1,321",682,142
2020,11,60,"8,340",753,200,246,185,,404,297,453,604,278,224,234,523,973,459,836,858,679,134
2020,11,70,"4,999",477,108,171,83,,297,239,295,385,231,160,154,340,547,274,380,416,358,84
