년도,월,나이,울산광역시,중구,남구,동구,북구,울주군
2020,1,총,"1,147,037","223,060","323,704","159,294","218,053","222,926"
2020,1,0,"103,835","17,884","24,815","16,049","26,152","18,935"
2020,1,10,"116,334","21,076","32,320","15,820","23,814","23,304"
2020,1,20,"148,649","28,424","46,877","18,446","28,321","26,581"
2020,1,30,"158,880","28,204","43,226","24,921","35,446","27,083"
2020,1,40,"190,754","35,501","53,234","25,736","38,084","38,199"
2020,1,50,"211,323","42,501","62,505","26,756","38,233","41,328"
2020,1,60,"135,476","30,215","39,045","21,184","17,679","27,353"
2020,1,70,"57,248","13,736","15,737","7,674","6,984","13,117"
2020,1,80,"21,413","4,855","5,270","2,327","2,891","6,070"
2020,1,90,"2,967",612,642,358,432,923
2020,1,100,158,52,33,23,17,33
2020,2,총,"1,145,710","222,395","323,756","158,809","218,190","222,560"
2020,2,0,"103,399","17,765","24,829","15,887","26,135","18,783"
2020,2,10,"115,623","20,916","32,113","15,731","23,720","23,143"
2020,2,20,"147,745","28,174","46,642","18,281","28,170","26,478"
2020,2,30,"158,271","28,017","43,340","24,691","35,371","26,852"
2020,2,40,"190,698","35,400","53,166","25,752","38,250","38,130"
2020,2,50,"211,255","42,382","62,499","26,659","38,312","41,403"
2020,2,60,"136,520","30,399","39,345","21,352","17,851","27,573"
2020,2,70,"57,438","13,745","15,812","7,726","7,031","13,124"
2020,2,80,"21,610","4,923","5,331","2,345","2,899","6,112"
2020,2,90,"2,991",620,646,361,435,929
2020,2,100,160,54,33,24,16,33
2020,3,총,"1,144,563","221,702","323,320","158,477","218,353","222,711"
2020,3,0,"102,979","17,657","24,737","15,796","26,077","18,712"
2020,3,10,"115,019","20,782","31,820","15,687","23,675","23,055"
2020,3,20,"147,434","27,991","46,577","18,158","28,150","26,558"
2020,3,30,"157,548","27,795","43,227","24,498","35,242","26,786"
2020,3,40,"190,195","35,235","52,945","25,730","38,301","37,984"
2020,3,50,"211,169","42,247","62,530","26,563","38,372","41,457"
2020,3,60,"137,496","30,557","39,515","21,512","18,074","27,838"
2020,3,70,"57,704","13,802","15,874","7,782","7,075","13,171"
2020,3,80,"21,847","4,966","5,408","2,367","2,929","6,177"
2020,3,90,"3,013",616,655,360,442,940
2020,3,100,159,54,32,24,16,33
2020,4,총,"1,144,098","221,125","323,230","158,323","218,364","223,056"
2020,4,0,"102,596","17,519","24,683","15,710","26,012","18,672"
2020,4,10,"114,667","20,655","31,650","15,702","23,659","23,001"
2020,4,20,"147,252","27,868","46,521","18,116","28,065","26,682"
2020,4,30,"157,147","27,621","43,270","24,357","35,145","26,754"
2020,4,40,"189,852","35,113","52,748","25,727","38,367","37,897"
2020,4,50,"211,109","42,150","62,508","26,512","38,354","41,585"
2020,4,60,"138,280","30,641","39,758","21,594","18,257","28,030"
2020,4,70,"58,029","13,877","15,962","7,843","7,108","13,239"
2020,4,80,"21,970","5,004","5,438","2,381","2,930","6,217"
2020,4,90,"3,035",621,660,357,450,947
2020,4,100,161,56,32,24,17,32
2020,5,총,"1,143,148","220,604","323,192","158,154","218,396","222,802"
2020,5,0,"102,217","17,393","24,670","15,640","25,933","18,581"
2020,5,10,"114,140","20,533","31,447","15,660","23,629","22,871"
2020,5,20,"146,995","27,763","46,535","18,086","28,018","26,593"
2020,5,30,"156,559","27,466","43,228","24,212","35,023","26,630"
2020,5,40,"189,546","35,032","52,592","25,737","38,396","37,789"
2020,5,50,"211,118","42,061","62,529","26,430","38,450","41,648"
2020,5,60,"138,964","30,727","39,975","21,711","18,401","28,150"
2020,5,70,"58,365","13,933","16,054","7,905","7,147","13,326"
2020,5,80,"22,039","5,027","5,462","2,386","2,937","6,227"
2020,5,90,"3,043",613,668,363,444,955
2020,5,100,162,56,32,24,18,32
2020,6,총,"1,142,190","220,028","322,883","157,973","218,673","222,633"
2020,6,0,"101,761","17,279","24,576","15,545","25,898","18,463"
2020,6,10,"113,822","20,445","31,309","15,627","23,606","22,835"
2020,6,20,"146,741","27,627","46,444","18,084","28,077","26,509"
2020,6,30,"156,012","27,317","43,135","24,033","35,022","26,505"
2020,6,40,"189,274","34,899","52,518","25,771","38,383","37,703"
2020,6,50,"210,714","41,912","62,377","26,302","38,469","41,654"
2020,6,60,"139,985","30,913","40,221","21,872","18,625","28,354"
2020,6,70,"58,616","13,948","16,115","7,970","7,178","13,405"
2020,6,80,"22,068","5,026","5,489","2,386","2,951","6,216"
2020,6,90,"3,032",605,666,358,446,957
2020,6,100,165,57,33,25,18,32
2020,7,총,"1,141,362","219,635","322,486","157,757","218,777","222,707"
2020,7,0,"101,316","17,179","24,509","15,446","25,804","18,378"
2020,7,10,"113,536","20,406","31,166","15,596","23,601","22,767"
2020,7,20,"146,406","27,463","46,317","18,034","28,068","26,524"
2020,7,30,"155,472","27,214","43,057","23,852","34,891","26,458"
2020,7,40,"189,127","34,820","52,361","25,829","38,453","37,664"
2020,7,50,"210,564","41,815","62,349","26,232","38,517","41,651"
2020,7,60,"140,639","31,013","40,328","21,947","18,812","28,539"
2020,7,70,"58,937","14,019","16,200","8,026","7,218","13,474"
2020,7,80,"22,155","5,039","5,504","2,409","2,948","6,255"
2020,7,90,"3,041",611,661,360,445,964
2020,7,100,169,56,34,26,20,33
2020,8,총,"1,140,310","219,249","321,955","157,589","218,765","222,752"
2020,8,0,"100,818","17,063","24,394","15,346","25,719","18,296"
