년도,월,나이,전라남도,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
2020,1,총,"935,962","114,506","143,642","140,119","57,696","79,710","23,666","14,067","12,751","31,428","20,049","31,001","18,667","16,928","34,599","27,993","40,675","16,371","26,816","23,409","25,430","15,096","21,343"
2020,1,0,"70,759","10,355","11,157","12,498","5,250","7,228","1,206",598,606,"1,343",991,"1,849","1,070",976,"2,207","1,984","3,669",780,"1,942","1,550","1,717",884,899
2020,1,10,"90,410","13,213","14,486","16,378","4,807","8,641","1,633","1,122","1,038","2,194","1,395","3,160","1,576","1,355","2,896","2,488","4,510","1,162","2,269","1,817","1,949","1,193","1,128"
2020,1,20,"112,943","14,982","19,242","20,086","6,477","12,067","2,976","1,373","1,152","2,556","1,773","3,699","1,793","1,627","3,166","2,863","4,378","1,560","2,871","2,797","2,246","1,411","1,848"
2020,1,30,"102,155","14,512","17,265","17,102","7,753","10,296","2,034","1,015",991,"2,129","1,477","2,531","1,605","1,333","2,817","2,913","4,799","1,232","2,640","2,119","2,411","1,288","1,893"
2020,1,40,"142,184","19,763","22,475","21,651","9,242","12,440","3,183","1,820","1,747","3,893","2,499","4,540","2,405","2,185","4,797","4,558","6,716","2,187","3,873","3,343","3,722","2,102","3,043"
2020,1,50,"169,291","18,452","25,359","24,825","9,432","15,811","4,560","2,793","2,615","5,842","3,827","6,104","3,517","3,110","6,582","5,388","6,850","3,298","4,804","4,353","4,568","2,812","4,389"
2020,1,60,"129,551","13,215","19,331","15,951","7,746","8,222","4,006","2,478","2,145","6,065","3,695","4,554","3,125","2,986","5,880","3,859","5,042","2,890","4,075","3,544","4,107","2,557","4,078"
2020,1,70,"82,864","7,623","10,729","8,204","4,923","3,464","2,746","1,784","1,584","4,892","2,821","3,065","2,323","2,225","4,358","2,636","3,412","2,185","3,064","2,626","3,293","2,020","2,887"
2020,1,80,"32,712","2,196","3,315","3,130","1,849","1,412","1,195",983,803,"2,256","1,430","1,350","1,138","1,038","1,748","1,199","1,200",972,"1,174","1,150","1,327",761,"1,086"
2020,1,90,"2,976",179,269,287,205,124,123,99,67,251,135,147,111,89,146,98,95,102,100,106,88,68,87
2020,1,100,117,16,14,7,12,5,4,2,3,7,6,2,4,4,2,7,4,3,4,4,2,0,5
2020,2,총,"934,900","114,262","143,645","140,306","57,676","79,213","23,619","14,036","12,687","31,368","20,035","30,958","18,639","16,925","34,542","27,926","40,776","16,341","26,740","23,431","25,415","15,047","21,313"
2020,2,0,"70,370","10,281","11,132","12,443","5,237","7,175","1,200",606,605,"1,332",985,"1,845","1,063",971,"2,183","1,968","3,648",769,"1,926","1,514","1,709",883,895
2020,2,10,"89,867","13,170","14,378","16,344","4,802","8,529","1,609","1,108","1,025","2,173","1,386","3,126","1,573","1,347","2,862","2,487","4,520","1,142","2,255","1,814","1,933","1,177","1,107"
2020,2,20,"112,492","14,890","19,189","20,063","6,463","11,893","2,964","1,363","1,121","2,540","1,764","3,680","1,787","1,614","3,172","2,840","4,418","1,552","2,846","2,850","2,244","1,399","1,840"
2020,2,30,"101,654","14,391","17,257","17,108","7,730","10,212","2,006",990,982,"2,117","1,477","2,504","1,585","1,337","2,803","2,877","4,781","1,228","2,610","2,100","2,398","1,278","1,883"
2020,2,40,"142,204","19,756","22,502","21,741","9,241","12,331","3,180","1,828","1,713","3,890","2,496","4,519","2,409","2,181","4,774","4,560","6,761","2,193","3,894","3,364","3,732","2,094","3,045"
2020,2,50,"169,281","18,465","25,394","24,887","9,423","15,806","4,547","2,773","2,623","5,827","3,816","6,127","3,511","3,116","6,572","5,364","6,837","3,294","4,800","4,345","4,556","2,804","4,394"
2020,2,60,"130,096","13,267","19,417","16,028","7,788","8,233","4,031","2,488","2,148","6,073","3,711","4,576","3,130","2,993","5,911","3,885","5,092","2,898","4,082","3,567","4,123","2,562","4,093"
2020,2,70,"82,793","7,622","10,742","8,226","4,907","3,476","2,750","1,789","1,596","4,901","2,809","3,060","2,323","2,223","4,345","2,635","3,400","2,179","3,044","2,601","3,284","2,012","2,869"
2020,2,80,"33,003","2,220","3,347","3,162","1,867","1,422","1,205",992,802,"2,256","1,444","1,371","1,143","1,050","1,766","1,205","1,221",976,"1,180","1,162","1,343",771,"1,098"
2020,2,90,"3,021",183,272,297,207,131,123,97,69,252,141,148,111,89,152,98,94,107,99,110,90,67,84
