년도,월,나이,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020,1,총,"13,463","5,723",666,787,"1,307","1,398","1,236",780,"1,566"
2020,1,0,613,374,22,25,25,58,35,27,47
2020,1,10,930,525,34,43,78,91,53,31,75
2020,1,20,"1,013",540,41,45,70,97,68,49,103
2020,1,30,859,487,28,39,52,79,62,43,69
2020,1,40,"1,400",748,69,56,103,153,80,72,119
2020,1,50,"2,147",945,103,108,264,199,165,104,259
2020,1,60,"2,275",846,127,143,256,249,227,134,293
2020,1,70,"2,325",723,124,191,236,244,284,182,341
2020,1,80,"1,619",452,97,119,187,193,225,116,230
2020,1,90,268,79,21,16,33,33,35,22,29
2020,1,100,14,4,0,2,3,2,2,0,1
2020,2,총,"13,399","5,698",660,770,"1,315","1,400","1,224",775,"1,557"
2020,2,0,613,376,20,25,25,61,34,28,44
2020,2,10,919,522,34,41,79,85,51,29,78
2020,2,20,993,529,40,45,65,98,67,50,99
2020,2,30,845,475,29,37,52,81,60,42,69
2020,2,40,"1,386",752,67,47,103,156,74,71,116
2020,2,50,"2,139",942,104,109,268,195,163,101,257
2020,2,60,"2,275",838,127,142,258,247,230,138,295
2020,2,70,"2,326",725,124,189,240,249,283,179,337
2020,2,80,"1,619",451,96,117,189,193,225,116,232
2020,2,90,269,83,19,16,33,33,35,21,29
2020,2,100,15,5,0,2,3,2,2,0,1
2020,3,총,"13,329","5,673",655,777,"1,312","1,379","1,220",777,"1,536"
2020,3,0,605,371,20,26,24,63,32,28,41
2020,3,10,910,519,34,39,77,81,52,26,82
2020,3,20,978,526,39,44,66,96,64,51,92
2020,3,30,825,474,28,38,48,75,58,41,63
2020,3,40,"1,375",740,67,51,105,151,75,70,116
2020,3,50,"2,123",943,101,111,267,187,162,99,253
2020,3,60,"2,280",837,129,144,258,248,229,142,293
2020,3,70,"2,307",722,122,189,238,246,283,178,329
2020,3,80,"1,639",454,97,119,192,196,225,119,237
2020,3,90,271,82,18,14,34,33,38,23,29
2020,3,100,16,5,0,2,3,3,2,0,1
2020,4,총,"13,308","5,651",650,776,"1,318","1,375","1,224",778,"1,536"
2020,4,0,601,364,20,26,23,62,34,28,44
2020,4,10,901,510,35,40,81,78,52,25,80
2020,4,20,970,519,37,45,66,95,64,53,91
2020,4,30,819,470,30,35,49,74,61,39,61
2020,4,40,"1,376",742,65,54,104,148,76,70,117
2020,4,50,"2,112",939,98,109,267,187,158,101,253
2020,4,60,"2,303",842,128,145,262,254,233,141,298
2020,4,70,"2,298",721,122,188,239,246,278,177,327
2020,4,80,"1,642",458,97,117,189,195,229,121,236
2020,4,90,269,81,18,15,35,33,37,23,27
2020,4,100,17,5,0,2,3,3,2,0,2
2020,5,총,"13,300","5,645",644,776,"1,323","1,371","1,229",778,"1,534"
2020,5,0,598,358,19,26,25,62,37,27,44
2020,5,10,899,510,32,40,80,79,52,24,82
2020,5,20,962,518,37,44,65,93,62,52,91
2020,5,30,811,466,31,35,48,73,61,38,59
2020,5,40,"1,372",740,60,56,110,147,72,71,116
2020,5,50,"2,116",944,100,108,264,187,157,105,251
2020,5,60,"2,306",839,128,145,267,250,239,141,297
2020,5,70,"2,293",721,123,182,238,248,278,176,327
2020,5,80,"1,657",464,96,123,187,196,230,122,239
2020,5,90,269,81,18,15,36,33,39,21,26
2020,5,100,17,4,0,2,3,3,2,1,2
2020,6,총,"13,303","5,630",642,783,"1,339","1,374","1,219",781,"1,535"
2020,6,0,602,361,19,25,26,62,36,26,47
2020,6,10,902,505,32,42,83,80,51,24,85
2020,6,20,946,514,35,44,65,91,60,51,86
2020,6,30,809,467,31,36,48,71,60,38,58
2020,6,40,"1,367",731,61,54,113,152,68,70,118
2020,6,50,"2,103",936,100,109,262,186,156,106,248
2020,6,60,"2,322",845,127,148,273,251,242,138,298
2020,6,70,"2,300",721,123,182,237,251,277,181,328
2020,6,80,"1,661",465,95,125,191,194,228,125,238
2020,6,90,273,81,19,15,38,33,39,21,27
2020,6,100,18,4,0,3,3,3,2,1,2
2020,7,총,"13,248","5,585",645,783,"1,332","1,365","1,219",782,"1,537"
2020,7,0,591,353,20,23,26,62,36,26,45
2020,7,10,901,501,32,42,85,79,51,23,88
2020,7,20,935,511,35,45,62,87,59,51,85
2020,7,30,800,460,30,36,49,71,58,38,58
2020,7,40,"1,351",719,62,55,111,150,66,71,117
2020,7,50,"2,080",929,99,111,249,183,154,107,248
2020,7,60,"2,330",843,129,147,279,251,244,137,300
2020,7,70,"2,293",717,123,180,236,253,280,179,325
2020,7,80,"1,667",465,95,126,193,193,228,128,239
2020,7,90,282,83,20,15,39,33,41,21,30
2020,7,100,18,4,0,3,3,3,2,1,2
2020,8,총,"13,220","5,568",646,787,"1,320","1,363","1,220",778,"1,538"
2020,8,0,587,355,22,23,24,58,36,26,43
2020,8,10,893,501,32,42,79,78,51,23,87
2020,8,20,922,499,33,44,64,87,59,51,85
2020,8,30,796,452,30,37,47,74,58,38,60
2020,8,40,"1,345",714,61,55,112,148,67,70,118
2020,8,50,"2,075",931,99,113,243,180,156,106,247
2020,8,60,"2,339",845,128,147,282,257,243,137,300
2020,8,70,"2,282",717,125,180,236,249,274,175,326
2020,8,80,"1,672",466,96,128,191,195,231,129,236
2020,8,90,291,84,20,15,39,34,43,22,34
2020,8,100,18,4,0,3,3,3,2,1,2
2020,9,총,"13,196","5,562",642,780,"1,321","1,362","1,217",776,"1,536"
2020,9,0,592,360,23,23,24,57,35,26,44
2020,9,10,877,492,31,40,77,78,50,24,85
2020,9,20,917,494,31,42,66,89,61,52,82
2020,9,30,789,451,30,38,46,72,54,38,60
2020,9,40,"1,340",714,60,54,112,149,67,69,115
2020,9,50,"2,075",937,100,110,242,181,155,103,247
2020,9,60,"2,347",841,126,147,286,259,246,138,304
2020,9,70,"2,270",716,125,179,235,245,269,175,326
2020,9,80,"1,676",468,95,129,191,195,234,127,237
2020,9,90,293,84,20,15,39,34,44,23,34
2020,9,100,20,5,1,3,3,3,2,1,2
2020,10,총,"13,144","5,546",633,777,"1,333","1,353","1,208",770,"1,524"
2020,10,0,585,360,19,22,25,58,34,24,43
2020,10,10,867,484,32,40,78,75,50,25,83
2020,10,20,911,498,30,42,65,88,57,51,80
2020,10,30,778,433,30,38,49,72,58,37,61
2020,10,40,"1,333",714,59,54,117,145,63,68,113
2020,10,50,"2,057",939,97,107,240,178,154,100,242
2020,10,60,"2,354",845,125,149,291,259,242,140,303
2020,10,70,"2,266",716,125,179,233,245,270,170,328
2020,10,80,"1,675",469,94,127,192,195,234,130,234
2020,10,90,298,83,21,16,40,35,44,24,35
2020,10,100,20,5,1,3,3,3,2,1,2
2020,11,총,"13,132","5,547",638,780,"1,318","1,351","1,206",772,"1,520"
2020,11,0,585,357,19,24,25,57,34,25,44
2020,11,10,865,480,35,41,78,76,51,25,79
2020,11,20,904,501,30,39,61,88,55,50,80
2020,11,30,781,442,29,39,46,67,59,37,62
2020,11,40,"1,315",705,56,52,114,149,64,68,107
2020,11,50,"2,053",931,102,106,239,178,151,102,244
2020,11,60,"2,362",849,127,149,288,259,245,141,304
2020,11,70,"2,271",723,124,182,233,243,266,171,329
2020,11,80,"1,681",468,93,129,193,197,235,130,236
2020,11,90,295,86,22,16,38,34,44,22,33
2020,11,100,20,5,1,3,3,3,2,1,2
2020,12,총,"13,200","5,580",649,786,"1,313","1,357","1,201",774,"1,540"
2020,12,0,578,354,19,23,24,58,34,23,43
2020,12,10,874,486,40,40,78,76,48,24,82
2020,12,20,916,501,32,41,61,90,54,52,85
2020,12,30,784,444,31,39,45,67,59,37,62
2020,12,40,"1,335",724,57,55,108,147,63,69,112
2020,12,50,"2,059",926,104,106,240,179,155,102,247
2020,12,60,"2,388",858,127,151,290,265,244,144,309
2020,12,70,"2,269",730,123,181,230,243,265,168,329
2020,12,80,"1,683",467,94,131,194,196,233,132,236
2020,12,90,294,85,21,16,40,33,44,22,33
2020,12,100,20,5,1,3,3,3,2,1,2
2021,1,총,"13,131","5,556",640,780,"1,299","1,355","1,204",769,"1,528"
2021,1,0,577,352,18,23,26,58,34,23,43
2021,1,10,863,485,36,38,72,75,50,24,83
2021,1,20,896,492,30,41,56,94,51,50,82
2021,1,30,770,431,28,39,44,65,60,39,64
2021,1,40,"1,315",720,54,53,103,149,62,65,109
2021,1,50,"2,034",922,103,106,236,175,155,101,236
2021,1,60,"2,404",867,131,152,292,264,245,145,308
2021,1,70,"2,273",729,122,179,233,243,267,168,332
2021,1,80,"1,683",467,96,129,192,196,235,131,237
2021,1,90,296,86,21,17,42,32,43,23,32
2021,1,100,20,5,1,3,3,4,2,0,2
2021,2,총,"13,108","5,567",637,769,"1,297","1,346","1,200",766,"1,526"
2021,2,0,570,350,18,23,26,57,32,20,44
2021,2,10,860,488,35,37,68,75,47,25,85
2021,2,20,885,490,29,40,59,89,53,47,78
2021,2,30,770,432,28,37,45,66,57,39,66
2021,2,40,"1,304",720,50,50,98,146,63,69,108
2021,2,50,"2,027",923,103,106,236,173,156,97,233
2021,2,60,"2,409",870,130,149,296,264,243,146,311
2021,2,70,"2,261",728,124,179,234,241,263,166,326
2021,2,80,"1,699",474,96,128,191,199,238,133,240
2021,2,90,302,87,22,17,41,31,46,24,34
2021,2,100,21,5,2,3,3,5,2,0,1
2021,3,총,"13,061","5,524",634,766,"1,291","1,345","1,202",767,"1,532"
2021,3,0,565,345,17,24,28,56,32,20,43
2021,3,10,859,488,35,38,69,75,44,25,85
2021,3,20,873,482,28,37,57,88,57,44,80
2021,3,30,756,421,28,37,40,64,60,41,65
2021,3,40,"1,298",713,51,51,95,149,62,70,107
2021,3,50,"2,015",908,103,107,234,175,157,94,237
2021,3,60,"2,412",875,127,147,297,262,238,151,315
2021,3,70,"2,247",725,125,178,231,241,261,163,323
2021,3,80,"1,710",473,97,128,195,200,242,136,239
2021,3,90,309,91,21,17,42,31,47,23,37
2021,3,100,17,3,2,2,3,4,2,0,1
2021,4,총,"13,040","5,516",631,765,"1,296","1,340","1,199",764,"1,529"
2021,4,0,562,344,17,24,28,53,33,21,42
2021,4,10,854,485,35,39,68,74,43,25,85
2021,4,20,869,480,28,39,56,89,55,43,79
2021,4,30,751,417,27,36,42,63,59,42,65
2021,4,40,"1,290",712,49,51,97,146,62,69,104
2021,4,50,"2,006",907,103,107,230,173,157,91,238
2021,4,60,"2,425",877,126,146,308,267,236,153,312
2021,4,70,"2,230",722,126,176,227,240,260,159,320
2021,4,80,"1,731",477,96,129,198,200,246,138,247
2021,4,90,305,91,23,16,39,31,46,23,36
2021,4,100,17,4,1,2,3,4,2,0,1
2021,5,총,"12,976","5,502",626,761,"1,290","1,332","1,191",758,"1,516"
