년도,월,나이,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020,3,총,"300,292","4,159","4,855","11,204","5,267","8,946","10,850","30,930","25,092","24,353","15,841","21,301","10,622","16,118","5,238","21,081","29,527","38,155","16,753"
2020,3,0,"23,043",113,430,596,196,600,959,"2,293","1,732","1,264",940,"2,488",613,"1,147",310,"1,373","2,828","3,376","1,785"
2020,3,10,"33,126",171,364,725,298,668,"1,332","3,325","2,581","1,855","1,167","2,384","1,119","1,696",389,"2,281","4,650","5,564","2,557"
2020,3,20,"45,271",443,544,"1,698",904,"1,159","1,670","5,479","4,615","4,281","2,955","2,572","1,597","2,221",626,"3,167","4,086","5,374","1,880"
2020,3,30,"38,291",392,663,"1,590",670,"1,091","1,509","4,476","3,691","3,108","2,418","3,248","1,179","1,813",552,"2,204","3,275","4,491","1,921"
2020,3,40,"50,283",481,754,"1,606",691,"1,402","1,973","5,123","4,111","3,402","2,306","3,577","1,497","2,315",640,"3,148","5,950","7,805","3,502"
2020,3,50,"49,766",722,706,"1,765",940,"1,650","1,699","5,358","3,947","4,205","2,341","3,111","1,831","2,818","1,096","4,093","4,958","6,002","2,524"
2020,3,60,"32,889",763,747,"1,532",780,"1,246",898,"2,574","2,493","3,279","1,869","2,342","1,548","2,501",846,"2,757","2,164","2,996","1,554"
2020,3,70,"18,670",748,472,"1,157",530,759,519,"1,490","1,359","2,024","1,196","1,128",848,"1,088",474,"1,358","1,096","1,685",739
2020,3,80,"7,727",281,147,466,229,305,252,733,489,806,564,378,331,445,250,618,441,743,249
2020,3,90,"1,154",38,28,65,29,56,38,77,71,115,83,70,55,70,49,78,72,118,42
2020,3,100,72,7,0,4,0,10,1,2,3,14,2,3,4,4,6,4,7,1,0
2020,4,총,"300,093","4,158","4,854","11,223","5,232","8,947","10,859","30,786","25,055","24,319","15,864","21,291","10,594","16,113","5,554","21,017","29,448","38,078","16,701"
2020,4,0,"22,960",113,428,613,195,601,951,"2,268","1,726","1,245",929,"2,492",609,"1,157",351,"1,365","2,817","3,342","1,758"
2020,4,10,"32,923",173,368,714,286,668,"1,335","3,270","2,561","1,850","1,155","2,405","1,108","1,693",404,"2,252","4,619","5,512","2,550"
2020,4,20,"45,367",437,537,"1,718",892,"1,154","1,671","5,470","4,631","4,282","3,015","2,569","1,603","2,216",672,"3,145","4,058","5,418","1,879"
2020,4,30,"38,189",385,661,"1,598",658,"1,095","1,507","4,449","3,673","3,104","2,406","3,217","1,161","1,797",632,"2,203","3,277","4,457","1,909"
2020,4,40,"50,146",482,756,"1,590",692,"1,401","1,974","5,094","4,097","3,384","2,305","3,594","1,495","2,309",688,"3,137","5,909","7,750","3,489"
2020,4,50,"49,769",720,710,"1,759",938,"1,648","1,712","5,362","3,924","4,184","2,331","3,102","1,826","2,803","1,143","4,077","4,962","6,042","2,526"
2020,4,60,"33,009",767,748,"1,522",788,"1,246",896,"2,572","2,510","3,295","1,868","2,334","1,545","2,517",882,"2,784","2,179","2,995","1,561"
2020,4,70,"18,711",749,473,"1,164",526,767,520,"1,491","1,370","2,024","1,203","1,123",857,"1,089",474,"1,346","1,105","1,695",735
2020,4,80,"7,776",286,147,473,228,300,255,730,486,819,566,382,329,457,250,628,442,749,249
2020,4,90,"1,171",39,26,68,29,57,37,78,74,118,84,70,57,71,52,77,73,117,44
2020,4,100,72,7,0,4,0,10,1,2,3,14,2,3,4,4,6,3,7,1,1
2020,5,총,"299,850","4,131","4,836","11,214","5,215","8,915","10,801","30,732","25,116","24,297","15,920","21,294","10,535","16,099","5,693","20,986","29,376","38,026","16,664"
2020,5,0,"22,853",114,420,617,187,597,943,"2,266","1,728","1,238",921,"2,491",605,"1,153",363,"1,366","2,797","3,308","1,739"
2020,5,10,"32,744",168,365,712,291,662,"1,323","3,237","2,548","1,849","1,145","2,409","1,091","1,685",417,"2,233","4,576","5,484","2,549"
2020,5,20,"45,421",430,535,"1,715",893,"1,155","1,653","5,443","4,663","4,311","3,049","2,567","1,593","2,215",698,"3,149","4,052","5,431","1,869"
2020,5,30,"38,057",379,652,"1,600",649,"1,084","1,488","4,457","3,690","3,058","2,425","3,197","1,147","1,777",677,"2,200","3,268","4,429","1,880"
2020,5,40,"49,980",475,754,"1,591",688,"1,395","1,961","5,070","4,060","3,362","2,300","3,614","1,486","2,312",700,"3,122","5,887","7,727","3,476"
2020,5,50,"49,776",714,708,"1,739",939,"1,643","1,714","5,367","3,947","4,177","2,335","3,078","1,814","2,788","1,156","4,069","4,968","6,073","2,547"
2020,5,60,"33,202",774,750,"1,524",785,"1,250",898,"2,588","2,534","3,318","1,884","2,356","1,557","2,544",901,"2,796","2,178","2,997","1,568"
2020,5,70,"18,756",740,478,"1,165",526,764,523,"1,496","1,377","2,019","1,206","1,128",850,"1,098",470,"1,350","1,122","1,702",742
2020,5,80,"7,811",291,148,477,227,297,261,729,491,830,568,380,332,452,252,620,449,758,249
2020,5,90,"1,176",39,26,70,29,58,36,77,74,121,85,71,56,71,53,78,72,116,44
2020,5,100,74,7,0,4,1,10,1,2,4,14,2,3,4,4,6,3,7,1,1
2020,6,총,"299,248","4,117","4,827","11,184","5,214","8,894","10,769","30,661","25,161","24,243","15,877","21,192","10,494","16,032","5,775","20,921","29,326","37,923","16,638"
2020,6,0,"22,698",111,414,607,186,604,922,"2,250","1,721","1,232",907,"2,473",610,"1,139",376,"1,358","2,782","3,278","1,728"
2020,6,10,"32,572",166,366,703,288,654,"1,330","3,211","2,553","1,834","1,136","2,394","1,082","1,675",415,"2,214","4,558","5,447","2,546"
2020,6,20,"45,341",428,537,"1,710",883,"1,154","1,651","5,427","4,688","4,302","3,028","2,543","1,589","2,210",704,"3,136","4,051","5,436","1,864"
2020,6,30,"37,914",376,647,"1,604",640,"1,073","1,472","4,475","3,682","3,043","2,415","3,173","1,137","1,768",711,"2,187","3,249","4,390","1,872"
2020,6,40,"49,812",472,752,"1,577",703,"1,388","1,954","5,044","4,084","3,331","2,295","3,613","1,466","2,299",709,"3,114","5,871","7,683","3,457"
2020,6,50,"49,593",707,703,"1,747",931,"1,641","1,711","5,328","3,940","4,144","2,338","3,041","1,796","2,764","1,169","4,022","4,972","6,099","2,540"
2020,6,60,"33,394",781,751,"1,526",787,"1,253",906,"2,611","2,550","3,345","1,888","2,373","1,560","2,537",916,"2,825","2,184","3,012","1,589"
2020,6,70,"18,838",740,479,"1,164",537,764,524,"1,504","1,374","2,045","1,211","1,133",851,"1,110",468,"1,357","1,130","1,705",742
2020,6,80,"7,830",289,152,476,228,299,263,728,491,833,572,375,338,453,249,625,452,753,254
2020,6,90,"1,182",39,26,66,30,54,35,81,74,120,85,72,61,73,52,80,70,119,45
2020,6,100,74,8,0,4,1,10,1,2,4,14,2,2,4,4,6,3,7,1,1
2020,7,총,"298,898","4,101","4,819","11,154","5,220","8,882","10,798","30,588","25,159","24,200","15,875","21,165","10,459","15,974","5,838","20,883","29,286","37,896","16,601"
2020,7,0,"22,578",109,411,605,189,596,916,"2,221","1,720","1,242",911,"2,469",608,"1,130",379,"1,357","2,756","3,247","1,712"
2020,7,10,"32,419",164,372,695,295,648,"1,335","3,193","2,532","1,797","1,131","2,386","1,075","1,673",416,"2,189","4,542","5,433","2,543"
2020,7,20,"45,292",427,522,"1,696",867,"1,162","1,658","5,432","4,702","4,302","3,012","2,526","1,584","2,182",715,"3,135","4,047","5,456","1,867"
2020,7,30,"37,769",370,647,"1,598",646,"1,055","1,466","4,447","3,711","3,027","2,417","3,155","1,128","1,751",716,"2,172","3,241","4,372","1,850"
2020,7,40,"49,664",469,746,"1,574",710,"1,386","1,952","5,021","4,047","3,321","2,297","3,624","1,467","2,298",723,"3,093","5,849","7,652","3,435"
2020,7,50,"49,570",690,706,"1,739",923,"1,645","1,729","5,326","3,939","4,131","2,350","3,042","1,774","2,726","1,184","4,016","4,984","6,126","2,540"
2020,7,60,"33,568",786,755,"1,523",785,"1,261",914,"2,626","2,561","3,360","1,882","2,379","1,564","2,571",916,"2,847","2,203","3,026","1,609"
2020,7,70,"18,925",743,476,"1,175",543,765,529,"1,507","1,384","2,043","1,213","1,142",853,"1,117",476,"1,369","1,134","1,711",745
2020,7,80,"7,871",294,157,479,231,300,263,731,487,845,575,369,342,450,257,625,454,758,254
2020,7,90,"1,168",41,27,66,30,54,35,82,73,118,85,71,60,71,50,77,69,114,45
2020,7,100,74,8,0,4,1,10,1,2,3,14,2,2,4,5,6,3,7,1,1
2020,8,총,"298,644","4,079","4,830","11,146","5,186","8,853","10,780","30,566","25,138","24,215","15,887","21,171","10,427","15,947","5,882","20,808","29,280","37,863","16,586"
2020,8,0,"22,444",108,412,606,180,592,906,"2,207","1,720","1,233",911,"2,464",599,"1,119",382,"1,348","2,748","3,211","1,698"
2020,8,10,"32,260",162,365,686,290,648,"1,323","3,190","2,517","1,779","1,126","2,382","1,069","1,657",424,"2,164","4,520","5,420","2,538"
2020,8,20,"45,346",426,522,"1,698",867,"1,151","1,661","5,459","4,697","4,325","3,017","2,538","1,596","2,190",726,"3,097","4,046","5,456","1,874"
2020,8,30,"37,587",366,655,"1,588",637,"1,051","1,454","4,420","3,679","3,023","2,416","3,138","1,109","1,755",719,"2,172","3,243","4,337","1,825"
2020,8,40,"49,579",467,741,"1,566",708,"1,379","1,946","5,009","4,036","3,316","2,299","3,621","1,457","2,284",735,"3,064","5,852","7,652","3,447"
2020,8,50,"49,537",686,706,"1,750",913,"1,642","1,744","5,296","3,959","4,121","2,360","3,043","1,768","2,716","1,188","4,004","4,985","6,127","2,529"
2020,8,60,"33,740",780,758,"1,517",784,"1,256",912,"2,654","2,570","3,398","1,876","2,400","1,570","2,572",919,"2,865","2,208","3,066","1,635"
2020,8,70,"19,001",748,482,"1,184",547,767,523,"1,516","1,401","2,038","1,218","1,141",852,"1,126",480,"1,382","1,136","1,717",743
2020,8,80,"7,899",288,163,481,231,302,275,730,483,851,577,369,341,451,254,630,461,761,251
2020,8,90,"1,176",40,26,66,28,55,35,83,73,117,85,73,62,72,49,79,73,115,45
2020,8,100,75,8,0,4,1,10,1,2,3,14,2,2,4,5,6,3,8,1,1
2020,9,총,"298,030","4,048","4,803","11,133","5,141","8,793","10,762","30,537","25,178","24,176","15,861","21,132","10,381","15,940","5,877","20,702","29,284","37,781","16,501"
2020,9,0,"22,200",104,408,605,171,591,900,"2,200","1,695","1,221",910,"2,443",585,"1,110",384,"1,325","2,710","3,181","1,657"
2020,9,10,"32,092",159,365,683,287,635,"1,322","3,176","2,529","1,766","1,121","2,379","1,055","1,645",417,"2,146","4,514","5,377","2,516"
2020,9,20,"45,402",428,518,"1,696",872,"1,147","1,650","5,436","4,741","4,342","3,025","2,520","1,597","2,204",730,"3,081","4,054","5,465","1,896"
2020,9,30,"37,350",360,646,"1,571",626,"1,038","1,446","4,447","3,668","3,003","2,395","3,121","1,109","1,748",715,"2,138","3,235","4,298","1,786"
2020,9,40,"49,341",461,730,"1,556",695,"1,362","1,934","4,974","4,048","3,293","2,291","3,624","1,448","2,269",727,"3,046","5,829","7,614","3,440"
2020,9,50,"49,510",678,696,"1,753",905,"1,630","1,744","5,294","3,957","4,109","2,348","3,039","1,752","2,720","1,193","3,983","5,030","6,153","2,526"
2020,9,60,"33,908",771,759,"1,534",778,"1,258",923,"2,681","2,575","3,411","1,895","2,405","1,571","2,584",923,"2,886","2,223","3,091","1,640"
2020,9,70,"19,054",748,488,"1,187",544,761,530,"1,517","1,409","2,041","1,208","1,153",851,"1,133",479,"1,381","1,145","1,730",749
2020,9,80,"7,910",291,165,477,235,309,276,725,475,858,581,372,348,447,250,635,464,760,242
2020,9,90,"1,186",40,28,67,27,52,36,85,78,118,83,74,61,75,53,78,72,111,48
2020,9,100,77,8,0,4,1,10,1,2,3,14,4,2,4,5,6,3,8,1,1
2020,10,총,"297,527","4,029","4,807","11,183","5,117","8,729","10,735","30,550","25,128","24,130","15,817","21,093","10,320","15,897","5,900","20,686","29,208","37,741","16,457"
2020,10,0,"22,020",102,408,608,176,574,884,"2,180","1,675","1,220",910,"2,417",568,"1,090",388,"1,319","2,694","3,154","1,653"
2020,10,10,"31,907",157,363,684,273,632,"1,310","3,165","2,512","1,752","1,112","2,390","1,048","1,642",413,"2,147","4,470","5,338","2,499"
2020,10,20,"45,366",424,515,"1,703",872,"1,136","1,656","5,442","4,757","4,329","3,022","2,516","1,583","2,192",735,"3,056","4,073","5,471","1,884"
2020,10,30,"37,129",359,648,"1,581",624,"1,039","1,437","4,426","3,640","2,978","2,389","3,081","1,091","1,738",713,"2,120","3,205","4,281","1,779"
2020,10,40,"49,152",451,719,"1,564",689,"1,336","1,928","4,973","4,026","3,304","2,273","3,632","1,429","2,263",733,"3,032","5,783","7,579","3,438"
2020,10,50,"49,530",677,697,"1,758",897,"1,623","1,741","5,326","3,968","4,089","2,335","3,041","1,758","2,711","1,194","3,985","5,039","6,182","2,509"
2020,10,60,"34,078",768,764,"1,540",780,"1,264",930,"2,710","2,577","3,435","1,898","2,398","1,568","2,588",931,"2,908","2,254","3,121","1,644"
2020,10,70,"19,125",750,497,"1,194",546,752,535,"1,513","1,411","2,036","1,204","1,168",859,"1,144",483,"1,399","1,143","1,735",756
2020,10,80,"7,951",295,169,479,233,312,273,729,477,853,587,375,348,449,248,639,469,769,247
2020,10,90,"1,194",38,27,69,26,51,40,84,82,120,83,73,64,75,56,78,71,110,47
2020,10,100,75,8,0,3,1,10,1,2,3,14,4,2,4,5,6,3,7,1,1
2020,11,총,"297,214","4,016","4,775","11,137","5,135","8,667","10,792","30,622","25,153","24,048","15,839","21,015","10,329","15,878","5,935","20,659","29,169","37,648","16,397"
2020,11,0,"21,883",101,401,594,180,574,882,"2,192","1,685","1,210",891,"2,404",574,"1,091",391,"1,298","2,681","3,110","1,624"
2020,11,10,"31,753",156,361,682,273,625,"1,319","3,145","2,499","1,741","1,108","2,378","1,042","1,636",415,"2,129","4,445","5,318","2,481"
2020,11,20,"45,446",420,507,"1,693",881,"1,126","1,665","5,475","4,762","4,316","3,044","2,508","1,587","2,186",747,"3,070","4,086","5,477","1,896"
2020,11,30,"36,898",359,627,"1,556",620,"1,038","1,453","4,413","3,625","2,963","2,381","3,041","1,080","1,734",710,"2,100","3,196","4,248","1,754"
2020,11,40,"49,019",454,718,"1,559",687,"1,331","1,921","4,968","4,031","3,284","2,267","3,643","1,430","2,260",744,"3,025","5,737","7,535","3,425"
2020,11,50,"49,525",668,691,"1,756",897,"1,607","1,755","5,356","3,978","4,079","2,350","3,008","1,758","2,698","1,191","3,966","5,063","6,201","2,503"
2020,11,60,"34,238",769,773,"1,538",783,"1,256",932,"2,737","2,592","3,429","1,906","2,407","1,576","2,592",944,"2,938","2,262","3,145","1,659"
2020,11,70,"19,208",751,498,"1,200",550,744,544,"1,523","1,418","2,039","1,210","1,175",865,"1,147",484,"1,405","1,155","1,741",759
2020,11,80,"7,966",293,172,488,237,305,278,727,480,855,594,375,347,455,248,644,465,758,245
2020,11,90,"1,202",37,27,67,26,51,42,84,80,118,84,74,66,74,55,81,72,114,50
2020,11,100,76,8,0,4,1,10,1,2,3,14,4,2,4,5,6,3,7,1,1
