년도,월,나이,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020,6,30,"24,226","1,330",946,"1,173","1,270","1,223","1,106","1,606","1,525","1,471",925,"1,301",866,705,"1,281",947,"1,425",660,"1,790","1,091","1,585"
2020,6,40,"26,017",978,791,"1,599","1,573","1,516",908,"1,225","1,506","1,889","1,442","1,750",744,921,"1,484","1,157","1,280",814,"2,141",819,"1,480"
2020,6,50,"28,513","1,379",757,"1,482","1,764","1,740",863,"1,166","1,487","1,781","1,726","2,175",732,"1,142","1,719","1,365","1,268",991,"2,585",873,"1,518"
2020,6,60,"25,664","1,188",635,"1,468","1,825","1,389",764,"1,016","1,490","1,503","1,268","1,861",711,882,"1,572","1,345",961,885,"2,378",810,"1,713"
2020,6,70,"13,879",621,262,863,"1,188",716,444,612,933,888,645,901,415,468,866,792,545,498,961,401,860
2020,6,80,"4,523",187,79,301,388,278,149,229,336,238,191,307,133,136,256,232,163,162,338,147,273
2020,6,90,352,16,13,24,24,21,11,21,18,23,15,31,9,8,15,22,9,11,19,15,27
2020,6,100,48,3,0,2,1,4,4,4,4,7,3,1,1,2,0,3,0,1,1,1,6
2020,7,총,"172,953","7,825","5,057","9,765","10,900","9,737","6,014","8,630","10,110","10,976","8,991","11,617","4,991","5,853","10,101","8,274","8,261","5,664","14,502","5,700","9,985"
2020,7,0,"11,005",314,344,744,694,624,299,438,576,"1,011",595,625,400,396,482,528,650,329,"1,028",256,672
2020,7,10,"12,953",313,247,939,866,804,302,505,631,928,"1,030","1,056",359,497,668,719,499,471,"1,303",254,562
2020,7,20,"25,613","1,514",977,"1,102","1,235","1,445","1,169","1,819","1,596","1,251","1,150","1,629",628,701,"1,763","1,126","1,471",851,"1,978","1,023","1,185"
2020,7,30,"24,284","1,332",959,"1,191","1,300","1,222","1,113","1,614","1,543","1,460",919,"1,285",854,694,"1,284",957,"1,411",658,"1,764","1,097","1,627"
2020,7,40,"26,023",967,786,"1,607","1,584","1,497",902,"1,218","1,491","1,895","1,441","1,737",754,919,"1,483","1,179","1,282",812,"2,148",824,"1,497"
2020,7,50,"28,477","1,376",758,"1,487","1,777","1,729",861,"1,159","1,481","1,779","1,723","2,180",729,"1,148","1,709","1,377","1,252",982,"2,570",873,"1,527"
2020,7,60,"25,749","1,191",631,"1,498","1,831","1,394",754,"1,015","1,499","1,497","1,270","1,869",705,884,"1,575","1,344",973,893,"2,385",807,"1,734"
2020,7,70,"13,903",611,264,866,"1,197",716,446,611,924,892,656,900,418,466,863,787,549,498,968,404,867
2020,7,80,"4,550",188,77,305,392,281,153,228,348,232,190,305,134,138,259,232,164,158,339,146,281
2020,7,90,349,16,14,24,23,21,11,20,17,24,14,30,9,8,15,22,10,11,18,15,27
2020,7,100,47,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,1,6
2020,8,총,"173,014","7,818","5,045","9,777","10,909","9,774","6,001","8,622","10,085","11,092","8,973","11,556","4,982","5,848","10,067","8,348","8,248","5,650","14,428","5,740","10,051"
2020,8,0,"10,912",316,343,733,697,619,294,438,562,"1,003",601,615,394,394,480,537,643,325,"1,002",251,665
2020,8,10,"12,903",309,242,937,865,806,299,503,628,948,"1,020","1,053",356,491,665,726,492,458,"1,286",251,568
2020,8,20,"25,711","1,503",975,"1,108","1,239","1,469","1,185","1,824","1,590","1,271","1,147","1,620",625,697,"1,747","1,139","1,476",861,"1,984","1,054","1,197"
2020,8,30,"24,302","1,328",955,"1,197","1,307","1,240","1,107","1,605","1,533","1,483",922,"1,263",852,690,"1,279",968,"1,413",662,"1,740","1,110","1,648"
2020,8,40,"26,014",955,787,"1,602","1,586","1,502",900,"1,215","1,489","1,911","1,432","1,727",756,922,"1,487","1,192","1,275",800,"2,150",814,"1,512"
2020,8,50,"28,439","1,384",755,"1,496","1,771","1,716",851,"1,157","1,492","1,801","1,713","2,162",728,"1,146","1,694","1,384","1,247",976,"2,550",885,"1,531"
2020,8,60,"25,838","1,206",635,"1,494","1,834","1,404",756,"1,010","1,498","1,523","1,268","1,883",704,894,"1,578","1,349",974,894,"2,384",807,"1,743"
2020,8,70,"13,939",610,263,873,"1,195",714,439,613,922,891,662,901,420,466,862,796,554,503,972,408,875
2020,8,80,"4,554",188,77,309,390,279,155,233,349,230,191,301,136,139,259,231,164,159,340,143,281
2020,8,90,354,16,13,26,24,21,11,21,18,24,14,30,10,7,16,23,10,11,19,15,25
2020,8,100,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020,9,총,"172,829","7,821","5,034","9,787","10,897","9,794","5,973","8,612","10,032","11,168","8,942","11,496","4,978","5,815","10,022","8,389","8,230","5,620","14,371","5,767","10,081"
2020,9,0,"10,833",314,343,733,690,623,293,434,545,"1,015",591,606,395,381,465,545,645,313,998,246,658
2020,9,10,"12,808",306,241,934,871,797,295,499,621,942,"1,017","1,050",355,478,660,725,483,437,"1,278",250,569
2020,9,20,"25,689","1,506",961,"1,115","1,242","1,484","1,177","1,816","1,583","1,297","1,131","1,590",621,698,"1,747","1,143","1,469",873,"1,955","1,073","1,208"
2020,9,30,"24,276","1,321",959,"1,188","1,294","1,248","1,098","1,621","1,529","1,500",918,"1,252",848,686,"1,268",967,"1,417",662,"1,729","1,111","1,660"
2020,9,40,"25,958",951,789,"1,602","1,595","1,507",901,"1,217","1,470","1,918","1,429","1,724",760,918,"1,471","1,200","1,263",788,"2,133",810,"1,512"
2020,9,50,"28,387","1,392",744,"1,500","1,756","1,705",847,"1,156","1,488","1,812","1,705","2,142",710,"1,129","1,694","1,395","1,253",973,"2,545",891,"1,550"
2020,9,60,"25,965","1,214",643,"1,505","1,837","1,414",757,"1,005","1,497","1,532","1,274","1,889",718,906,"1,582","1,352",969,904,"2,407",818,"1,742"
