년도,월,나이,대전광역시 중구,대전광역시 중구 은행선화동,대전광역시 중구 목동,대전광역시 중구 중촌동,대전광역시 중구 대흥동,대전광역시 중구 문창동,대전광역시 중구 석교동,대전광역시 중구 대사동,대전광역시 중구 부사동,대전광역시 중구 용두동,대전광역시 중구 오류동,대전광역시 중구 태평1동,대전광역시 중구 태평2동,대전광역시 중구 유천1동,대전광역시 중구 유천2동,대전광역시 중구 문화1동,대전광역시 중구 문화2동,대전광역시 중구 산성동
2020,3,총,"118,361","8,898","7,191","6,657","6,958","2,495","8,114","2,727","3,453","4,815","4,982","6,747","12,946","3,571","6,866","11,173","6,394","14,374"
2020,3,0,"8,346",471,814,408,549,102,411,113,176,280,331,704,"1,081",192,477,"1,069",344,824
2020,3,10,"11,806",578,"1,210",701,601,170,604,147,259,354,411,838,"1,683",227,546,"1,547",634,"1,296"
2020,3,20,"16,169","1,425",846,907,"1,074",281,"1,029",455,421,841,745,788,"1,671",497,921,"1,426",914,"1,928"
2020,3,30,"14,149","1,365",738,773,"1,019",279,980,340,366,688,663,815,"1,253",503,870,"1,226",726,"1,545"
2020,3,40,"19,277","1,554","1,548","1,087","1,155",367,"1,153",367,528,773,726,"1,204","2,146",568,"1,000","1,922",976,"2,203"
2020,3,50,"20,278","1,587","1,108","1,205","1,046",490,"1,471",483,661,788,818,"1,109","2,178",641,"1,098","1,726","1,176","2,693"
2020,3,60,"15,528","1,155",516,881,856,419,"1,356",400,546,565,653,716,"1,541",551,"1,022","1,166",902,"2,283"
2020,3,70,"9,113",554,282,494,463,277,851,280,343,364,414,416,976,286,663,761,501,"1,188"
2020,3,80,"3,386",183,120,181,173,102,244,129,137,146,207,150,382,99,245,304,208,376
2020,3,90,291,24,8,20,21,7,15,10,14,12,14,7,34,7,22,25,13,38
2020,3,100,18,2,1,0,1,1,0,3,2,4,0,0,1,0,2,1,0,0
2020,4,총,"118,212","8,831","7,156","6,656","6,960","2,484","8,088","2,730","3,451","4,813","4,979","6,722","12,940","3,579","6,861","11,173","6,389","14,400"
2020,4,0,"8,263",464,798,403,542,102,407,109,177,278,331,698,"1,077",195,468,"1,062",342,810
2020,4,10,"11,760",577,"1,216",700,603,169,596,145,260,346,412,828,"1,664",222,545,"1,546",630,"1,301"
2020,4,20,"16,155","1,418",831,901,"1,076",277,"1,026",458,414,847,746,784,"1,670",493,922,"1,436",919,"1,937"
2020,4,30,"14,074","1,350",730,774,"1,008",277,969,348,364,684,654,803,"1,247",506,867,"1,231",718,"1,544"
2020,4,40,"19,258","1,534","1,556","1,092","1,160",362,"1,159",366,520,771,724,"1,212","2,157",570,"1,007","1,899",976,"2,193"
2020,4,50,"20,249","1,576","1,096","1,203","1,043",489,"1,461",478,666,789,828,"1,107","2,172",639,"1,092","1,732","1,176","2,702"
2020,4,60,"15,583","1,155",520,884,864,419,"1,357",405,547,564,644,716,"1,545",557,"1,023","1,177",907,"2,299"
2020,4,70,"9,154",547,282,497,468,276,852,278,347,372,416,422,989,290,665,757,500,"1,196"
