년도,월,나이,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020,3,총,"371,903","21,811","26,964","34,359","20,978","35,982","18,536","31,750","17,809","22,474","17,646","17,215","8,886","10,388","18,080","20,196","12,825","12,554","23,450"
2020,3,0,"25,632","1,540","1,230","3,080","1,230","2,670","1,082","3,225","1,328","1,765",669,"1,241",313,742,"1,055","2,145",511,509,"1,297"
2020,3,10,"24,714","1,391",911,"2,900","1,074","2,265",991,"2,935","1,040","1,697",944,"1,210",619,722,"1,165","1,797",826,636,"1,591"
2020,3,20,"57,774","2,825","6,146","4,006","3,606","7,234","2,716","3,600","2,753","3,655","3,383","2,211","1,295","1,317","3,046","2,819","2,017","1,926","3,219"
2020,3,30,"66,863","3,391","6,456","5,418","4,249","7,785","3,369","5,758","4,334","5,039","2,989","2,558","1,070","1,445","2,932","3,487","1,483","1,707","3,393"
2020,3,40,"55,923","3,246","3,475","5,524","2,985","4,987","2,866","5,754","2,863","3,450","2,489","2,605","1,241","1,567","2,542","3,353","1,821","1,738","3,417"
2020,3,50,"56,524","3,727","3,620","5,110","3,112","4,611","3,026","4,071","2,110","3,095","2,643","2,998","1,663","1,824","2,816","3,093","2,347","2,274","4,384"
2020,3,60,"45,258","3,120","2,925","4,056","2,576","3,546","2,248","3,457","1,754","2,145","2,255","2,415","1,438","1,550","2,503","2,019","1,956","1,855","3,440"
2020,3,70,"26,596","1,797","1,532","2,658","1,442","1,872","1,516","2,003","1,102","1,083","1,532","1,387",837,851,"1,376","1,000","1,331","1,365","1,912"
2020,3,80,"10,847",651,557,"1,387",613,849,634,798,444,477,637,512,343,313,553,418,460,488,713
2020,3,90,"1,501",109,88,198,76,133,71,124,72,62,83,70,53,42,78,54,58,50,80
2020,3,100,271,14,24,22,15,30,17,25,9,6,22,8,14,15,14,11,15,6,4
2020,4,총,"372,225","21,753","27,076","34,360","20,935","35,875","18,462","32,058","17,713","22,451","17,582","17,158","8,863","10,965","17,967","20,367","12,771","12,510","23,359"
2020,4,0,"25,557","1,518","1,220","3,068","1,222","2,647","1,062","3,255","1,309","1,761",653,"1,235",316,810,"1,043","2,143",503,509,"1,283"
2020,4,10,"24,590","1,374",907,"2,903","1,054","2,253",979,"2,941","1,031","1,681",941,"1,199",615,749,"1,145","1,789",820,631,"1,578"
