년도,월,나이,부산광역시 수영구,부산광역시 수영구 남천제1동,부산광역시 수영구 남천제2동,부산광역시 수영구 수영동,부산광역시 수영구 망미제1동,부산광역시 수영구 망미제2동,부산광역시 수영구 광안제1동,부산광역시 수영구 광안제2동,부산광역시 수영구 광안제3동,부산광역시 수영구 광안제4동,부산광역시 수영구 민락동
2020,1,총,"83,525","6,551","5,834","7,311","13,735","5,855","12,366","8,885","4,941","5,002","13,045"
2020,1,0,"5,434",361,446,363,952,387,802,612,198,286,"1,027"
2020,1,10,"6,363",627,643,368,"1,043",515,925,666,269,396,911
2020,1,20,"11,896",944,778,930,"1,742",718,"2,217","1,327",868,717,"1,655"
2020,1,30,"12,084",817,615,"1,035","1,888",784,"2,058","1,387",777,736,"1,987"
2020,1,40,"12,562",970,907,996,"1,911",969,"1,833","1,437",723,740,"2,076"
2020,1,50,"12,677","1,116",955,"1,152","2,120",905,"1,627","1,279",720,776,"2,027"
2020,1,60,"12,371",907,850,"1,299","2,224",885,"1,580","1,167",780,684,"1,995"
2020,1,70,"7,549",553,477,865,"1,355",537,"1,007",736,460,489,"1,070"
2020,1,80,"2,374",223,149,283,452,146,286,251,137,169,278
2020,1,90,201,33,10,20,45,9,28,21,9,9,17
2020,1,100,14,0,4,0,3,0,3,2,0,0,2
2020,2,총,"83,801","6,546","5,846","7,291","13,711","5,856","12,362","8,881","4,948","4,971","13,389"
2020,2,0,"5,448",356,446,354,949,392,783,612,195,281,"1,080"
2020,2,10,"6,366",623,648,365,"1,040",513,916,668,269,393,931
2020,2,20,"11,929",960,767,927,"1,729",720,"2,232","1,329",861,710,"1,694"
2020,2,30,"12,119",809,632,"1,012","1,881",770,"2,045","1,375",795,732,"2,068"
2020,2,40,"12,630",963,909,"1,013","1,900",969,"1,852","1,448",727,728,"2,121"
2020,2,50,"12,703","1,119",953,"1,140","2,117",903,"1,620","1,271",714,776,"2,090"
2020,2,60,"12,414",907,852,"1,309","2,238",887,"1,586","1,158",775,682,"2,020"
2020,2,70,"7,576",555,476,858,"1,360",547,"1,008",740,459,488,"1,085"
2020,2,80,"2,396",221,148,293,446,146,290,257,144,172,279
2020,2,90,207,33,12,20,48,9,27,21,9,9,19
2020,2,100,13,0,3,0,3,0,3,2,0,0,2
2020,3,총,"83,806","6,538","5,828","7,291","13,649","5,833","12,350","8,817","4,919","4,960","13,621"
2020,3,0,"5,445",361,444,352,938,393,771,612,189,277,"1,108"
2020,3,10,"6,319",613,641,359,"1,038",502,900,660,264,395,947
2020,3,20,"11,934",980,759,925,"1,707",720,"2,237","1,324",852,698,"1,732"
2020,3,30,"12,073",810,618,"1,012","1,852",765,"2,048","1,336",800,733,"2,099"
2020,3,40,"12,635",934,911,"1,017","1,909",958,"1,850","1,441",714,742,"2,159"
2020,3,50,"12,716","1,125",958,"1,137","2,101",899,"1,619","1,266",709,773,"2,129"
2020,3,60,"12,444",905,851,"1,311","2,238",891,"1,598","1,148",772,678,"2,052"
2020,3,70,"7,593",554,482,863,"1,356",546,"1,003",748,467,486,"1,088"
2020,3,80,"2,425",222,148,295,459,151,293,259,143,169,286
2020,3,90,208,34,13,20,47,8,28,21,9,9,19
2020,3,100,14,0,3,0,4,0,3,2,0,0,2
2020,4,총,"83,743","6,527","5,812","7,261","13,634","5,819","12,325","8,796","4,906","4,950","13,713"
2020,4,0,"5,424",360,436,353,930,386,764,609,187,274,"1,125"
2020,4,10,"6,293",619,637,352,"1,038",498,890,661,263,393,942
2020,4,20,"11,898",971,749,912,"1,708",715,"2,223","1,321",836,702,"1,761"
2020,4,30,"12,050",821,608,995,"1,834",770,"2,060","1,324",802,729,"2,107"
2020,4,40,"12,624",920,920,"1,016","1,911",948,"1,832","1,443",715,740,"2,179"
2020,4,50,"12,701","1,120",962,"1,133","2,098",902,"1,623","1,246",704,769,"2,144"
2020,4,60,"12,470",907,853,"1,312","2,237",886,"1,597","1,161",781,682,"2,054"
2020,4,70,"7,614",551,484,871,"1,368",551,"1,009",750,465,477,"1,088"
2020,4,80,"2,445",224,147,296,460,155,296,259,143,175,290
2020,4,90,210,34,13,21,46,8,28,20,10,9,21
2020,4,100,14,0,3,0,4,0,3,2,0,0,2
2020,5,총,"83,672","6,512","5,788","7,259","13,565","5,799","12,310","8,788","4,919","4,931","13,801"
2020,5,0,"5,407",355,440,352,922,382,759,605,184,271,"1,137"
2020,5,10,"6,245",615,625,345,"1,029",495,896,655,258,385,942
2020,5,20,"11,842",964,741,918,"1,684",716,"2,208","1,310",842,702,"1,757"
2020,5,30,"12,050",813,606,989,"1,830",766,"2,056","1,327",811,725,"2,127"
2020,5,40,"12,612",921,916,"1,019","1,903",938,"1,834","1,446",704,742,"2,189"
2020,5,50,"12,706","1,126",956,"1,129","2,082",900,"1,606","1,257",708,771,"2,171"
2020,5,60,"12,479",908,850,"1,304","2,239",884,"1,614","1,161",785,673,"2,061"
2020,5,70,"7,641",551,487,884,"1,367",556,"1,008",745,472,476,"1,095"
2020,5,80,"2,470",226,151,300,461,154,297,260,145,177,299
2020,5,90,207,33,13,19,45,8,29,20,10,9,21
2020,5,100,13,0,3,0,3,0,3,2,0,0,2
2020,6,총,"83,688","6,487","5,796","7,243","13,528","5,793","12,370","8,788","4,920","4,885","13,878"
2020,6,0,"5,398",347,438,345,919,383,759,601,186,269,"1,151"
2020,6,10,"6,222",615,619,351,"1,031",485,898,650,248,374,951
2020,6,20,"11,840",957,744,913,"1,655",716,"2,235","1,325",848,688,"1,759"
2020,6,30,"12,032",807,601,971,"1,818",766,"2,073","1,327",817,726,"2,126"
2020,6,40,"12,611",921,914,"1,029","1,905",928,"1,834","1,443",701,732,"2,204"
2020,6,50,"12,707","1,116",959,"1,126","2,068",904,"1,624","1,259",702,764,"2,185"
2020,6,60,"12,514",914,858,"1,306","2,243",892,"1,607","1,154",791,672,"2,077"
2020,6,70,"7,659",551,496,885,"1,374",553,"1,007",746,472,473,"1,102"
2020,6,80,"2,479",226,151,298,467,157,299,259,145,178,299
2020,6,90,213,33,13,19,45,9,31,22,10,9,22
2020,6,100,13,0,3,0,3,0,3,2,0,0,2
2020,7,총,"83,573","6,482","5,771","7,245","13,484","5,788","12,396","8,791","4,868","4,873","13,875"
2020,7,0,"5,375",346,434,341,917,380,752,603,182,265,"1,155"
2020,7,10,"6,192",610,611,347,"1,027",482,901,649,241,373,951
2020,7,20,"11,837",953,741,907,"1,641",719,"2,248","1,328",856,684,"1,760"
2020,7,30,"11,996",808,595,986,"1,808",762,"2,067","1,333",802,720,"2,115"
2020,7,40,"12,581",919,905,"1,026","1,893",923,"1,847","1,433",695,735,"2,205"
2020,7,50,"12,693","1,115",962,"1,116","2,052",907,"1,631","1,272",695,754,"2,189"
2020,7,60,"12,512",920,855,"1,312","2,244",898,"1,608","1,148",774,682,"2,071"
2020,7,70,"7,679",555,498,888,"1,388",550,"1,010",745,467,473,"1,105"
2020,7,80,"2,487",223,153,302,468,159,297,259,148,178,300
2020,7,90,208,33,14,20,43,8,32,19,8,9,22
2020,7,100,13,0,3,0,3,0,3,2,0,0,2
2020,8,총,"83,686","6,466","5,764","7,203","13,432","5,764","12,343","8,755","4,815","5,275","13,869"
2020,8,0,"5,365",338,433,326,911,378,730,593,179,323,"1,154"
2020,8,10,"6,153",610,610,340,"1,021",470,897,637,234,397,937
2020,8,20,"11,873",940,746,900,"1,627",714,"2,267","1,339",842,737,"1,761"
