년도,월,나이,김해시,진영읍,주촌면,진례면,한림면,생림면,상동면,대동면,동상동,회현동,부원동,내외동,북부동,칠산서부동,활천동,삼안동,불암동,장유1동,장유2동,장유3동
2020,1,총,"542,713","55,896","16,684","6,748","7,925","3,841","3,294","6,433","10,184","9,770","10,229","75,327","80,751","9,639","41,786","34,825","7,990","56,508","37,004","67,879"
2020,1,0,"51,933","6,818","2,548",252,244,81,97,191,605,684,643,"5,184","7,824",573,"2,873","1,791",590,"5,947","3,991","10,997"
2020,1,10,"63,050","5,967","1,176",365,359,132,169,237,777,636,744,"8,523","10,953",740,"4,092","3,491",821,"8,174","5,330","10,364"
2020,1,20,"69,392","5,652","2,090",656,729,338,313,527,"1,338","1,224","1,478","12,628","10,857","1,306","6,377","5,972","1,064","6,722","4,334","5,787"
2020,1,30,"72,512","9,353","3,925",567,638,260,276,487,"1,381","1,301","1,267","8,564","10,033","1,024","4,762","3,244",877,"7,399","5,188","11,966"
2020,1,40,"99,794","10,621","2,534",904,818,372,366,619,"1,483","1,313","1,510","12,670","15,763","1,380","6,900","5,507","1,318","12,168","8,005","15,543"
2020,1,50,"94,977","8,157","2,446","1,553","1,738",881,779,"1,254","2,073","1,872","2,145","16,214","14,223","2,053","8,828","7,798","1,589","8,650","5,602","7,122"
2020,1,60,"53,507","5,483","1,228","1,273","1,746",881,762,"1,679","1,497","1,523","1,462","6,895","6,778","1,496","4,840","4,233","1,052","4,201","2,713","3,765"
2020,1,70,"25,415","2,553",443,749,"1,019",591,361,936,709,853,685,"3,095","2,929",731,"2,191","1,877",471,"2,226","1,302","1,694"
2020,1,80,"10,742","1,127",263,368,567,274,141,429,282,322,258,"1,384","1,245",306,819,827,184,906,479,561
2020,1,90,"1,312",158,30,59,66,30,27,71,34,38,31,160,140,29,93,81,19,109,60,77
2020,1,100,79,7,1,2,1,1,3,3,5,4,6,10,6,1,11,4,5,6,0,3
2020,2,총,"542,787","55,747","17,063","6,743","7,877","3,839","3,295","6,398","10,115","9,758","10,210","75,138","80,783","9,616","41,645","34,683","7,970","56,398","36,975","68,534"
2020,2,0,"51,733","6,759","2,605",249,237,86,96,192,590,683,638,"5,150","7,780",572,"2,843","1,773",583,"5,862","3,965","11,070"
2020,2,10,"62,791","5,933","1,220",366,343,127,171,236,754,623,736,"8,472","10,897",740,"4,034","3,433",818,"8,152","5,321","10,415"
