년도,월,나이,동구,중앙동,효동,신인동,판암1동,판암2동,용운동,대동,자양동,가양1동,가양2동,용전동,성남동,홍도동,삼성동,대청동,산내동
2020,1,총,"112,042","2,270","13,656","6,334","6,555","4,530","8,318","7,793","4,988","6,805","9,539","10,045","6,374","5,485","7,315","1,222","10,813"
2020,1,0,"7,805",60,"1,440",485,430,159,501,721,185,415,547,590,452,293,474,44,"1,009"
2020,1,10,"10,006",75,"1,658",447,516,201,810,711,434,565,892,785,474,408,630,74,"1,326"
2020,1,20,"14,308",163,"1,324",717,756,369,"1,218",910,"1,182",897,"1,456","1,847",704,908,758,93,"1,006"
2020,1,30,"12,654",167,"1,790",836,767,327,814,"1,075",423,724,958,"1,352",749,614,728,57,"1,273"
2020,1,40,"16,442",190,"2,499",876,902,451,"1,257","1,156",537,897,"1,444","1,496",901,753,"1,047",137,"1,899"
2020,1,50,"18,505",396,"1,971","1,024","1,187",830,"1,469","1,245",779,"1,182","1,703","1,656","1,118",978,"1,262",200,"1,505"
2020,1,60,"16,104",523,"1,529","1,000",960,945,"1,211",968,729,"1,037","1,348","1,290",979,783,"1,196",239,"1,367"
2020,1,70,"10,255",441,930,623,631,761,656,640,464,701,785,689,634,482,785,182,851
2020,1,80,"5,090",213,435,267,359,427,328,309,224,342,354,287,303,219,371,172,480
2020,1,90,812,38,75,50,45,58,51,50,27,40,52,51,54,46,60,23,92
2020,1,100,61,4,5,9,2,2,3,8,4,5,0,2,6,1,4,1,5
2020,2,총,"111,750","2,247","13,490","6,357","6,558","4,527","8,316","7,773","4,984","6,805","9,550","10,053","6,356","5,476","7,301","1,218","10,739"
2020,2,0,"7,721",60,"1,429",482,417,156,493,710,189,411,541,588,438,291,471,45,"1,000"
2020,2,10,"10,031",73,"1,630",442,508,200,811,712,468,573,912,787,485,420,629,73,"1,308"
2020,2,20,"14,146",161,"1,281",722,762,367,"1,220",895,"1,129",897,"1,449","1,855",697,894,739,88,990
2020,2,30,"12,515",163,"1,765",828,758,329,806,"1,070",418,706,951,"1,337",747,607,720,58,"1,252"
2020,2,40,"16,454",189,"2,481",884,896,458,"1,259","1,166",537,903,"1,444","1,503",895,756,"1,049",133,"1,901"
2020,2,50,"18,408",393,"1,929","1,030","1,190",819,"1,460","1,237",778,"1,182","1,703","1,650","1,102",976,"1,257",201,"1,501"
2020,2,60,"16,200",527,"1,540","1,006",973,951,"1,218",970,734,"1,042","1,360","1,298",995,788,"1,198",242,"1,358"
2020,2,70,"10,260",429,921,629,641,759,658,642,475,702,776,688,629,480,793,182,856
2020,2,80,"5,134",211,434,275,365,427,335,314,224,341,362,294,304,217,380,171,480
2020,2,90,819,37,75,50,46,59,53,49,28,43,52,51,58,46,61,23,88
2020,2,100,62,4,5,9,2,2,3,8,4,5,0,2,6,1,4,2,5
2020,3,총,"111,612","2,234","13,366","6,356","6,558","4,537","8,342","7,759","5,014","6,799","9,539","10,089","6,343","5,467","7,293","1,221","10,695"
2020,3,0,"7,681",61,"1,417",483,424,159,488,713,188,407,524,576,444,287,470,44,996
2020,3,10,"10,012",75,"1,611",441,500,196,807,713,478,586,922,790,483,419,621,72,"1,298"
2020,3,20,"14,159",158,"1,270",720,756,370,"1,239",885,"1,141",896,"1,443","1,897",692,893,737,87,975
2020,3,30,"12,407",164,"1,736",824,748,325,796,"1,070",415,697,943,"1,330",744,602,709,60,"1,244"
2020,3,40,"16,399",194,"2,468",877,896,460,"1,260","1,156",542,898,"1,447","1,497",891,747,"1,042",131,"1,893"
2020,3,50,"18,322",384,"1,916","1,027","1,187",807,"1,460","1,234",780,"1,160","1,695","1,643","1,095",971,"1,259",200,"1,504"
2020,3,60,"16,292",523,"1,539","1,007",981,957,"1,228",976,739,"1,061","1,368","1,312",995,796,"1,206",247,"1,357"
2020,3,70,"10,293",425,909,633,648,758,668,635,475,707,774,696,633,484,802,181,865
2020,3,80,"5,164",211,421,283,370,442,337,319,224,337,369,296,305,222,380,172,476
2020,3,90,820,35,74,52,46,61,56,50,27,45,54,50,55,45,63,25,82
2020,3,100,63,4,5,9,2,2,3,8,5,5,0,2,6,1,4,2,5
2020,4,총,"111,607","2,207","13,312","6,340","6,572","4,534","8,336","7,737","5,050","6,814","9,511","10,159","6,350","5,469","7,309","1,221","10,686"
2020,4,0,"7,647",61,"1,410",479,422,161,484,711,187,406,515,581,446,286,474,42,982
2020,4,10,"9,952",72,"1,606",431,499,194,802,701,475,599,913,786,480,411,616,72,"1,295"
2020,4,20,"14,247",154,"1,270",724,765,368,"1,237",879,"1,166",894,"1,451","1,926",697,902,739,88,987
2020,4,30,"12,392",158,"1,732",818,747,328,797,"1,066",422,697,927,"1,341",748,599,710,59,"1,243"
2020,4,40,"16,351",197,"2,454",867,898,456,"1,250","1,162",536,896,"1,440","1,490",887,752,"1,037",132,"1,897"
2020,4,50,"18,284",380,"1,912","1,027","1,184",803,"1,456","1,221",784,"1,164","1,680","1,657","1,087",966,"1,264",199,"1,500"
2020,4,60,"16,333",510,"1,528","1,010",983,959,"1,236",979,740,"1,065","1,378","1,316","1,001",799,"1,218",247,"1,364"
2020,4,70,"10,326",419,903,638,651,757,675,637,482,706,783,714,634,484,799,181,863
2020,4,80,"5,191",216,418,286,376,443,341,322,226,335,371,295,307,224,385,174,472
2020,4,90,819,36,73,51,45,63,55,51,27,47,53,51,57,45,63,25,77
2020,4,100,65,4,6,9,2,2,3,8,5,5,0,2,6,1,4,2,6
2020,5,총,"111,441","2,204","13,244","6,318","6,568","4,516","8,360","7,728","5,061","6,811","9,506","10,165","6,351","5,456","7,288","1,214","10,651"
2020,5,0,"7,606",61,"1,402",468,415,157,484,712,185,405,510,585,444,282,470,41,985
2020,5,10,"9,924",70,"1,602",435,497,195,801,697,472,596,919,785,477,410,607,72,"1,289"
2020,5,20,"14,217",158,"1,262",715,754,360,"1,244",874,"1,180",896,"1,467","1,908",695,903,737,84,980
2020,5,30,"12,344",158,"1,718",811,756,326,792,"1,058",427,694,917,"1,353",753,593,707,57,"1,224"
2020,5,40,"16,294",196,"2,435",865,897,449,"1,252","1,166",536,894,"1,429","1,490",883,744,"1,038",132,"1,888"
2020,5,50,"18,243",380,"1,907","1,023","1,181",805,"1,462","1,220",777,"1,167","1,670","1,651","1,094",955,"1,251",201,"1,499"
2020,5,60,"16,350",504,"1,526","1,016",987,960,"1,239",976,741,"1,069","1,381","1,324",993,804,"1,220",247,"1,363"
2020,5,70,"10,364",422,900,635,658,756,683,637,487,703,787,723,641,486,801,181,864
2020,5,80,"5,204",214,413,287,377,443,345,330,223,335,371,292,307,230,389,173,475
2020,5,90,827,37,73,54,44,63,55,50,28,46,55,51,58,47,64,24,78
2020,5,100,68,4,6,9,2,2,3,8,5,6,0,3,6,2,4,2,6
2020,6,총,"111,212","2,227","13,220","6,300","6,530","4,516","8,349","7,710","5,083","6,810","9,414","10,156","6,318","5,460","7,266","1,210","10,643"
2020,6,0,"7,589",61,"1,408",464,414,160,479,707,187,409,509,573,447,279,470,40,982
2020,6,10,"9,858",72,"1,607",433,485,191,786,690,469,598,905,779,470,408,609,72,"1,284"
2020,6,20,"14,225",167,"1,271",710,750,358,"1,258",873,"1,193",895,"1,438","1,912",690,912,728,84,986
2020,6,30,"12,255",166,"1,701",802,740,327,793,"1,054",429,681,892,"1,349",745,597,703,58,"1,218"
2020,6,40,"16,260",195,"2,446",857,894,447,"1,235","1,169",530,910,"1,428","1,489",867,742,"1,033",130,"1,888"
2020,6,50,"18,132",380,"1,871","1,024","1,171",803,"1,469","1,213",777,"1,157","1,636","1,646","1,092",950,"1,243",201,"1,499"
2020,6,60,"16,369",511,"1,525","1,016",989,950,"1,238",973,752,"1,072","1,379","1,328","1,000",806,"1,215",249,"1,366"
2020,6,70,"10,414",421,900,638,668,763,688,643,486,701,801,731,642,489,805,177,861
2020,6,80,"5,210",214,410,288,373,453,346,328,226,333,370,294,303,229,395,174,474
2020,6,90,833,36,75,59,44,62,54,52,29,48,56,52,56,46,61,23,80
2020,6,100,67,4,6,9,2,2,3,8,5,6,0,3,6,2,4,2,5
2020,7,총,"111,089","2,226","13,178","6,311","6,555","4,529","8,343","7,692","5,067","6,838","9,388","10,116","6,325","5,432","7,257","1,209","10,623"
2020,7,0,"7,524",61,"1,395",465,412,162,475,701,188,410,502,565,442,280,450,39,977
2020,7,10,"9,815",75,"1,603",435,491,194,779,682,446,591,898,774,471,405,612,71,"1,288"
2020,7,20,"14,225",167,"1,288",705,752,358,"1,257",870,"1,200",912,"1,433","1,898",686,915,729,83,972
2020,7,30,"12,189",164,"1,672",801,740,325,790,"1,044",432,681,888,"1,335",748,588,705,59,"1,217"
2020,7,40,"16,262",196,"2,450",860,896,453,"1,236","1,169",530,916,"1,421","1,486",869,734,"1,030",128,"1,888"
2020,7,50,"18,092",378,"1,870","1,017","1,165",802,"1,465","1,211",775,"1,148","1,633","1,643","1,099",943,"1,250",199,"1,494"
2020,7,60,"16,382",510,"1,514","1,030","1,004",946,"1,241",978,750,"1,079","1,378","1,328",993,809,"1,206",253,"1,363"
2020,7,70,"10,472",417,901,644,669,769,698,644,486,708,807,734,651,486,815,179,864
2020,7,80,"5,223",218,405,288,378,455,348,330,227,338,371,298,300,226,395,173,473
2020,7,90,837,35,74,57,46,63,51,54,28,49,57,52,60,45,61,23,82
2020,7,100,68,5,6,9,2,2,3,9,5,6,0,3,6,1,4,2,5
2020,8,총,"110,954","2,227","13,114","6,322","6,560","4,508","8,358","7,667","5,067","6,830","9,340","10,095","6,316","5,458","7,268","1,209","10,615"
2020,8,0,"7,449",59,"1,386",461,407,155,474,697,190,405,496,558,433,277,445,40,966
2020,8,10,"9,784",73,"1,605",436,492,195,783,666,446,587,892,760,476,407,611,71,"1,284"
2020,8,20,"14,216",169,"1,265",697,750,358,"1,257",875,"1,208",902,"1,416","1,902",686,941,728,85,977
2020,8,30,"12,080",161,"1,661",804,738,319,790,"1,034",425,677,869,"1,331",734,582,695,61,"1,199"
2020,8,40,"16,236",197,"2,436",863,896,445,"1,234","1,167",529,920,"1,412","1,476",870,737,"1,041",125,"1,888"
2020,8,50,"18,069",369,"1,861","1,027","1,166",801,"1,468","1,213",769,"1,154","1,633","1,642","1,089",933,"1,248",199,"1,497"
2020,8,60,"16,478",519,"1,524","1,034","1,014",944,"1,240",979,756,"1,081","1,387","1,340","1,007",815,"1,223",251,"1,364"
2020,8,70,"10,493",423,893,645,669,765,709,646,488,713,804,731,651,493,819,179,865
2020,8,80,"5,235",217,400,288,379,461,349,327,222,339,375,300,304,227,392,173,482
2020,8,90,844,35,76,58,47,63,51,54,29,48,56,52,59,45,61,23,87
2020,8,100,70,5,7,9,2,2,3,9,5,4,0,3,7,1,5,2,6
2020,9,총,"110,779","2,209","13,071","6,315","6,545","4,513","8,359","7,663","5,049","6,826","9,325","10,076","6,304","5,478","7,235","1,207","10,604"
2020,9,0,"7,392",56,"1,377",457,398,152,469,693,185,406,495,555,430,279,433,41,966
2020,9,10,"9,735",68,"1,605",426,492,198,783,670,432,581,886,753,473,409,604,72,"1,283"
2020,9,20,"14,218",174,"1,263",695,747,354,"1,260",875,"1,205",906,"1,414","1,904",686,955,722,86,972
2020,9,30,"11,983",161,"1,640",797,726,317,788,"1,022",420,667,869,"1,316",723,584,685,63,"1,205"
2020,9,40,"16,230",195,"2,433",863,902,450,"1,230","1,171",536,919,"1,404","1,478",870,737,"1,041",122,"1,879"
2020,9,50,"17,997",359,"1,850","1,027","1,155",787,"1,470","1,217",764,"1,143","1,641","1,641","1,080",923,"1,243",200,"1,497"
